pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
5.1332393e-12,0.02588913,-25.20378,11.598312,9.351401,14.923096,14.0513,18.550179,12.394078,18.579481,18.17449,30.514723,20.059706,16.0831,0.20907348,0.97732395,1.2181169,1.5506945,1.950458,2.2277,2.3217905,2.7610512,0.0,0.97466475,77.77778,19.444445
5.1332393e-12,0.02588913,-25.186592,11.475773,8.118092,15.395,12.709533,19.427801,13.936048,21.283812,17.043468,26.42597,22.329313,19.554415,0.20691538,0.9781315,1.2229402,1.5666362,1.9492186,2.2222192,2.3193548,2.75904,0.0,0.9745434,155.55556,53.472225
5.133204e-12,0.025889076,-25.444937,10.308449,6.8500457,16.778044,13.319503,22.339874,16.07413,22.438738,13.533142,21.826437,24.85527,25.670359,0.20672576,0.9726327,1.2230245,1.5824631,1.9481989,2.2185023,2.3170497,2.7597792,0.0,0.97367686,239.81482,100.05787
5.1331686e-12,0.025889024,-25.934912,10.7191,7.5700736,16.878403,14.18512,23.836027,17.358812,20.547422,9.640869,18.945429,23.614603,26.764116,0.20791179,0.96714216,1.2259742,1.5826694,1.9488796,2.22153,2.3192253,2.7572107,0.0,0.9732082,255.44664,138.90504
5.1331695e-12,0.025889024,-26.232473,11.169427,8.841467,16.813843,14.788078,22.812166,17.837603,20.5831,11.431862,20.363007,21.342407,25.51547,0.20802009,0.974642,1.228559,1.5804812,1.9554418,2.2251027,2.322569,2.7510316,0.0,0.97267264,269.84973,171.64124
5.133204e-12,0.025889076,-26.290255,11.966208,9.380243,19.28325,15.787389,19.316866,15.67525,20.69612,16.500935,21.594055,19.342402,23.600122,0.20589954,0.9914939,1.2426244,1.5810537,1.9580973,2.2232068,2.3255599,2.7403767,0.0,0.972851,292.02023,201.73598
5.1332393e-12,0.02588913,-26.01426,11.656732,9.329168,19.456408,12.943297,17.661142,16.465517,25.948252,19.391083,20.45798,18.474413,23.70703,0.20592089,1.0037398,1.2526509,1.5834618,1.9553312,2.2197368,2.321299,2.733922,0.0,0.97274685,301.50656,226.67863
5.1332393e-12,0.02588913,-26.121002,10.548069,9.154956,19.55145,14.48356,18.7897,13.46021,26.671188,22.26438,18.756289,17.211325,24.268326,0.20818086,0.99465585,1.2606865,1.5772362,1.9446648,2.2177784,2.314215,2.7388067,0.0,0.97284085,298.49405,244.63249
5.1332393e-12,0.02588913,-26.13241,8.717828,9.179122,18.1157,13.634807,22.840721,12.746404,25.489107,23.221598,15.276057,16.6648,24.196266,0.21260636,0.98010063,1.2534469,1.5693827,1.9358219,2.219198,2.3094618,2.7430046,0.0,0.97314,298.499,258.09912
5.1332393e-12,0.02588913,-25.773458,6.0045934,5.980847,21.32607,16.851313,22.93754,12.577935,23.681044,20.526134,15.521465,16.482788,25.8301,0.21417062,0.97082305,1.2485431,1.5634613,1.9281149,2.2152355,2.3127089,2.7542,0.0,0.9732829,306.37967,270.16928
4.7576227e-12,0.02527075,-24.667662,2.3163521,2.213378,23.958,18.500242,25.305037,16.544264,23.545456,15.75113,14.230576,15.891377,26.008234,0.21597344,0.9604125,1.2350358,1.5656265,1.9285513,2.2163713,2.3252695,2.7624588,0.0,0.97394776,325.79562,284.07587
4.757587e-12,0.025270699,-23.24877,-0.69234276,-1.5870558,23.373627,22.115074,26.643183,17.054092,22.6492,18.843184,14.93872,12.336749,26.985807,0.21290487,0.94073445,1.2401248,1.5674785,1.9322344,2.2135534,2.339324,2.7702067,0.0,0.97268826,318.79276,292.7551
4.4654684e-12,0.024799412,-22.213089,-4.181495,-2.6833088,21.814081,26.119486,32.48942,16.196161,17.128431,23.963804,13.974354,9.792713,27.108122,0.21510857,0.907022,1.2360244,1.5594243,1.9304622,2.2085521,2.3443596,2.769285,0.0,0.9716885,318.58438,299.21243
5.216667e-12,0.025947137,-21.58283,-6.606687,-3.758271,22.278341,25.719376,34.115612,12.868018,12.255649,26.817673,12.387685,10.514234,27.433914,0.21950121,0.88536453,1.2427794,1.5442394,1.9169264,2.2035344,2.3424356,2.7749405,0.0,0.96960396,333.36856,307.75146
