pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-8.76162,7.8171673,-3.127898,-0.06959156,-0.26933822,1.6261516,-1.4362327,0.2675794,0.091188796,0.4585282,-0.718806,0.31089103,0.6269107,0.90141207,1.2559699,1.5502304,1.8845288,2.1886444,2.513044,2.8241894,0.9972801,3.141627e-08,0.0,0.0
0.0,0.0,-4.38081,3.9085836,-1.563949,-0.03479578,-0.13466911,0.8130758,-0.71811634,0.1337897,0.045594398,0.2292641,-0.359403,0.15544552,0.5343018,0.8336628,1.1863934,1.4989201,1.8381578,2.1572564,2.4898336,2.8136318,0.9975824,2.3922752e-08,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44169292,0.76591355,1.1168169,1.4476099,1.791787,2.1258686,2.4666233,2.803074,0.9978846,1.6429233e-08,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,1.8365128e-08,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.06923775,0.0,0.0
0.0,0.0,-3.8747892,3.2869513,-2.2940419,2.5869863,-2.7981384,2.1597123,-1.5635141,0.89310044,0.15358853,-0.3791,-0.38018176,0.4336009,0.3963476,0.7610796,1.1252135,1.457455,1.7980127,2.135606,2.471303,2.773409,0.9921427,0.13685273,0.0,0.0
0.0,0.0,-11.267886,0.5332925,-4.35842,2.2209046,-1.3118936,4.972097,-2.7212467,1.8918644,1.2756066,0.72732216,-0.6357121,-0.51104134,0.43882218,0.8098352,1.2084566,1.5351609,1.8662981,2.1773303,2.4810266,2.7497091,0.9712904,0.22614057,0.0,0.0
0.0,0.0,-18.030363,-3.2200496,-9.212653,-0.05365753,-1.3473402,7.6455245,-1.3188466,0.8890236,2.6410925,2.3928165,-0.5136038,-1.7608585,0.4585987,0.8390705,1.27008,1.6035334,1.9262677,2.2135925,2.4922378,2.7319252,0.90722275,0.31182912,0.0,0.0
0.0,0.0,-21.27819,-11.141444,-14.453626,-7.405542,0.8402423,9.945949,1.7996954,-3.7357662,6.2047577,9.293465,0.04580589,-3.5011094,0.42629567,0.80359364,1.2326204,1.5981436,1.9197755,2.2102814,2.4776366,2.7341926,0.80145055,0.41404054,0.0,0.0
8.3466444e-14,0.0034871344,-20.944319,-12.769206,-19.904884,-11.438683,0.79299945,12.853203,4.822351,-7.100735,6.35561,10.532224,-0.14926253,-9.4238,0.37598053,0.7763045,1.1785755,1.5588684,1.8826199,2.2055197,2.482788,2.7431087,0.64732546,0.51237434,0.0,0.0
1.6693289e-13,0.0069742687,-19.803194,-13.628238,-23.6082,-17.048332,0.01035579,16.411575,4.9598565,-8.810685,4.920675,17.111336,4.101555,-12.39534,0.33808017,0.75828403,1.1448551,1.523039,1.8503286,2.2075174,2.4839904,2.7472827,0.50196433,0.5598963,142.71846,35.679615
1.6693289e-13,0.0069742687,-17.413649,-13.772841,-24.146301,-16.457628,-0.31033587,17.162058,6.403216,-8.325691,-2.076663,14.969711,6.896013,-16.078058,0.29272687,0.7258952,1.1352166,1.4911733,1.8300344,2.2032244,2.4851053,2.757949,0.3762466,0.59088874,285.4369,98.118935
1.6693289e-13,0.0069742687,-14.92648,-15.276833,-25.374527,-16.84606,-5.781939,15.073455,5.308163,-9.086372,-0.818536,15.6879425,13.083359,-11.405034,0.2687788,0.6962463,1.1219747,1.4713606,1.8208265,2.1844475,2.481712,2.773203,0.3073436,0.6024645,403.3151,174.41797
8.346644e-13,0.0102284,-13.751332,-15.684761,-25.864767,-13.852215,-4.4886656,16.964075,6.074015,-8.667989,3.5196114,10.468711,11.236724,-11.741398,0.2517319,0.6814728,1.1012038,1.4587413,1.8186985,2.1655972,2.4745076,2.788023,0.26019946,0.6034887,353.63464,219.22212
9.181309e-13,0.013715535,-12.826299,-16.539988,-27.970016,-14.434485,-6.941524,16.03524,4.814555,-6.560772,11.253784,8.65025,14.551742,-8.7670965,0.24247544,0.6706524,1.0677273,1.45113,1.811582,2.1503413,2.4700391,2.7906675,0.23662739,0.6062755,318.68515,244.08789
1.1685302e-12,0.015513908,-11.382217,-16.49498,-29.396513,-14.006352,-4.2505283,17.92244,5.6044097,-8.206053,13.631085,6.286489,15.381569,-11.953622,0.23385628,0.6582401,1.0358156,1.4408253,1.8099947,2.15184,2.470855,2.7850761,0.21214868,0.60496885,307.99448,260.06454
1.7527954e-12,0.016783973,-9.873158,-16.997774,-29.230932,-16.40718,-5.6810937,16.750692,3.5350697,-9.796604,12.587547,8.005587,20.476477,-11.400356,0.22163826,0.61203414,1.0073161,1.4114889,1.8060457,2.1441162,2.4784832,2.7727482,0.18102145,0.6057088,299.78287,269.9941
1.8780008e-12,0.01788728,-8.827102,-18.670061,-28.45665,-17.974524,-0.47957644,19.460102,0.32492796,-13.453357,13.342679,5.600296,23.476631,-14.298683,0.21364026,0.5766342,0.97450924,1.3761364,1.8136324,2.1348498,2.471403,2.770593,0.15019643,0.60928935,277.12918,271.77786
1.6276016e-12,0.016088905,-7.7290764,-18.39247,-26.833033,-20.005402,1.2934955,17.913546,-0.99507123,-15.238365,12.414654,3.999715,26.128454,-14.465379,0.20402181,0.53762203,0.9449126,1.3467016,1.8161172,2.118597,2.4623325,2.7688465,0.11725596,0.62463284,262.39453,269.43204
1.0433364e-12,0.014818841,-6.9096265,-18.636187,-26.66491,-19.582674,3.9372585,17.49553,-1.9962829,-16.861311,13.185313,-0.7110827,27.945414,-17.091171,0.20055597,0.5344927,0.91286206,1.3195782,1.8045417,2.1088634,2.4533708,2.7772505,0.10456332,0.62807655,290.61273,274.7272
1.5858625e-12,0.016969666,-6.9020767,-17.325321,-26.449316,-20.842478,1.6141785,16.058302,-0.49037108,-19.43465,13.637855,2.241355,30.923239,-16.974209,0.19907342,0.5250245,0.8879296,1.2907115,1.7817265,2.092737,2.4467576,2.778325,0.09519491,0.61101323,321.6445,286.4565
2.0449378e-12,0.019596808,-7.3910623,-18.59674,-24.474472,-20.862991,0.62780076,19.714495,0.07687529,-19.592329,16.692015,3.01074,28.580442,-17.845057,0.20292552,0.51194555,0.8659679,1.257559,1.7611781,2.078894,2.43856,2.7837956,0.09972801,0.5806487,324.74692,296.02914
1.7110875e-12,0.018507054,-7.676899,-20.788157,-22.928537,-20.9019,-1.8531909,19.886208,-1.734542,-21.815226,19.20733,4.6748466,26.224531,-17.219677,0.21127196,0.49062848,0.84799117,1.2432209,1.7488413,2.0678246,2.4298885,2.7854803,0.09851918,0.54521865,211.70233,299.82303
1.2937554e-12,0.017051294,-7.0014133,-21.715973,-19.643578,-19.786352,-2.7826252,19.975807,0.51470786,-22.29688,18.7536,3.0101016,21.547607,-20.129309,0.21024366,0.462476,0.8305331,1.2213656,1.7432951,2.0609834,2.428361,2.7881176,0.09035963,0.54607564,95.555275,298.50732
1.7110638e-11,0.027925147,-6.455549,-22.740372,-21.045918,-18.948774,-1.9044304,17.542677,1.3877689,-25.425766,17.500546,5.1126328,26.78025,-21.229383,0.20726603,0.4540486,0.8218958,1.1887068,1.7404088,2.050867,2.4309938,2.7888143,0.07827138,0.5498769,92.45283,296.7449
1.7068905e-11,0.02774932,-6.1650834,-22.32621,-22.068344,-16.024881,0.62422055,14.229054,4.4086394,-24.520803,14.721448,3.7698395,29.372301,-25.53656,0.19578604,0.43893293,0.81843203,1.1294488,1.7425245,2.0361674,2.4316359,2.788433,0.067694165,0.5425007,184.90565,293.66074
2.4288788e-11,0.035936803,-6.1966195,-23.191545,-25.648514,-13.708195,5.447249,10.913457,3.6057892,-21.705084,17.528503,3.435134,32.57981,-25.538324,0.19205874,0.43834034,0.82095045,1.0877622,1.7333132,2.020684,2.4279563,2.792307,0.06376549,0.5129478,184.90565,290.57654
9.5986335e-12,0.027514571,-5.9994445,-22.884735,-27.20848,-14.675965,6.4348664,7.3913865,-0.6432247,-19.51139,17.621363,4.5659013,33.685658,-25.386278,0.18992884,0.43438348,0.8158472,1.0700498,1.7162715,2.0100677,2.4159687,2.7942612,0.06165005,0.5041019,92.45283,289.25473
3.059043e-11,0.04044409,-6.7750587,-23.993042,-26.28096,-19.356384,7.153973,9.170745,-1.1817127,-18.336586,22.513397,5.989702,32.765087,-19.632593,0.19373415,0.43703875,0.80116576,1.0710366,1.6967902,1.9988085,2.3972132,2.7921035,0.059534606,0.5374263,0.0,289.25473
2.3787874e-11,0.03371237,-6.737473,-23.19812,-24.286318,-23.063875,4.463543,10.291709,-5.1961856,-22.127962,20.934855,5.951427,27.849686,-18.270508,0.202597,0.44768977,0.78687096,1.0680529,1.6886431,1.9921842,2.375387,2.785391,0.061045635,0.589632,92.45283,288.2634
2.2828102e-11,0.03177321,-6.727062,-23.041702,-21.494963,-25.374542,1.9522762,13.986903,-3.530814,-22.847357,21.57789,2.6604283,25.088518,-18.81433,0.20538692,0.4452254,0.7776819,1.051394,1.6790122,1.9843521,2.3491774,2.7748654,0.059836805,0.62871665,184.90565,286.52853
4.006384e-11,0.035346698,-5.928175,-21.772966,-21.081678,-25.955492,-0.8300207,15.439494,-4.4126644,-25.1779,18.906105,0.17798066,26.694407,-21.86955,0.20665932,0.4404621,0.7761102,1.0408257,1.6532711,1.9765286,2.324418,2.767233,0.063161075,0.6381921,277.3585,284.236
4.7742674e-11,0.04252943,-5.5826416,-23.861069,-21.641363,-24.610939,-2.9595768,18.31452,-1.7182022,-25.79838,18.683317,-0.558307,30.81275,-25.03382,0.20200299,0.42120066,0.7760183,1.0270501,1.622671,1.964687,2.3082657,2.7634404,0.06255666,0.62392384,277.3585,282.51663
1.14849776e-10,0.061929207,-5.6151547,-25.718801,-23.281473,-22.351664,-2.417892,16.932253,-0.5753765,-26.445238,22.2134,-0.48025548,32.54553,-23.012093,0.19623755,0.3961294,0.78370756,1.0043682,1.6029555,1.9545093,2.306422,2.7558928,0.061347842,0.58422285,277.06958,281.15488
1.2849682e-10,0.064018585,-5.1729703,-26.764273,-25.606546,-18.77878,-0.100413,14.92348,1.4417267,-27.511724,24.794436,0.2593018,33.21143,-22.531883,0.191489,0.38322353,0.79499346,0.97879505,1.5994586,1.9521569,2.3165863,2.7508862,0.0592324,0.54469395,184.61674,280.35074
1.2928979e-10,0.064399235,-5.8500657,-26.254057,-26.33523,-18.925406,2.7670212,14.453824,2.073843,-25.745733,25.360397,-0.12336865,35.314434,-21.120737,0.18678622,0.37239027,0.8004811,0.9630049,1.5864462,1.9487523,2.3181546,2.7396548,0.056210335,0.54336303,92.16392,279.96484
1.6084013e-10,0.0675596,-6.0721955,-25.188307,-25.497446,-19.387754,5.345739,17.18171,2.8342636,-21.252024,24.055674,-1.2566794,33.970737,-23.969793,0.18797676,0.38321456,0.79562473,0.9651453,1.5700239,1.9474243,2.310628,2.7440872,0.052583862,0.57761925,92.45283,279.74765
4.191686e-10,0.08457494,-6.3262095,-24.89031,-22.909224,-19.14292,4.5470953,17.911589,1.7360417,-19.272638,24.386896,-2.6433716,32.13117,-26.505516,0.19416167,0.39318848,0.78575754,0.9698937,1.5515075,1.9365048,2.2841527,2.7514412,0.048655182,0.6152994,184.61674,279.29532
4.2413495e-10,0.086548425,-6.244695,-25.498922,-20.350304,-17.97692,2.6987247,19.425821,1.4000813,-17.034678,28.559761,-4.9097877,26.655664,-28.149597,0.20043017,0.40006402,0.7755925,0.96912676,1.5365572,1.9218707,2.2718418,2.7587273,0.04925959,0.6250846,276.49173,278.59445
3.9504655e-10,0.08366797,-6.041495,-24.95212,-19.649931,-18.168837,3.1435776,20.143217,-0.39199257,-20.002426,29.553625,-3.360439,22.324488,-28.562347,0.20225476,0.39662918,0.77140445,0.96987706,1.5154568,1.9011637,2.2631176,2.751253,0.04986401,0.6120726,275.9139,277.92432
1.4539821e-10,0.0677883,-6.792944,-25.78544,-22.019714,-19.63286,7.028341,24.217161,0.6949806,-20.831736,30.428,-0.577435,20.912352,-26.608664,0.19565797,0.37769875,0.7651232,0.970803,1.5073428,1.8812119,2.265011,2.74397,0.049864005,0.6117198,275.9139,277.42172
1.4539801e-10,0.06778823,-6.1003437,-25.588446,-21.922693,-19.66024,11.697345,22.067656,-1.4738951,-21.179705,26.545685,-0.54682046,23.686811,-22.192207,0.19009142,0.36737683,0.7561582,0.9729739,1.5102946,1.8683529,2.2569268,2.7384531,0.04895739,0.63668126,276.49173,277.1892
2.9818537e-10,0.07868198,-6.4953346,-26.89038,-22.0764,-18.974121,12.183677,18.04995,1.4784676,-19.954836,23.509768,-3.1235187,30.71319,-20.182291,0.18973447,0.3692489,0.7488861,0.9651796,1.5231575,1.8633162,2.2427237,2.7268429,0.04895739,0.6852427,277.06958,277.1593
2.9639052e-10,0.078456916,-5.313334,-26.303267,-20.089157,-18.80308,6.613325,12.801941,4.0911856,-21.66349,18.989174,-6.7838635,33.932003,-19.29531,0.19162737,0.37228766,0.7478864,0.9504693,1.5210394,1.8606163,2.2204363,2.7110188,0.050166216,0.7222969,277.3585,277.20914
4.1962964e-10,0.094347894,-5.450836,-26.238441,-19.714085,-19.70128,2.3678954,11.481364,9.308606,-24.095484,16.640352,-5.8781705,33.062687,-20.291483,0.1929683,0.37367514,0.75367993,0.9443147,1.5208241,1.8584024,2.1965063,2.700263,0.04895739,0.72256285,277.65106,277.3196
1.1611433e-09,0.11486641,-4.901644,-26.087936,-19.543577,-20.582392,-0.09719471,13.36836,11.54097,-27.00402,15.679302,-5.16068,28.316202,-21.55668,0.19310729,0.36993185,0.75440735,0.95095557,1.5176395,1.8499146,2.1756053,2.7059374,0.047748566,0.6980229,277.94363,277.47562
1.1555091e-09,0.114127256,-4.6349072,-25.816076,-19.285881,-20.247866,1.4383363,14.036537,13.647853,-24.522055,15.802499,-3.4583457,24.357431,-23.737139,0.19113176,0.37022284,0.75572634,0.96695906,1.5163237,1.8401976,2.150982,2.7123985,0.047748566,0.6527014,277.94363,277.59262
1.1117718e-09,0.11063462,-5.000468,-26.14215,-21.169872,-19.755983,3.7531917,13.278218,15.28353,-21.026321,16.710337,-2.4296453,23.4012,-22.515158,0.19216907,0.3820583,0.7586258,0.9853552,1.5047477,1.8240823,2.1372044,2.7075799,0.05016621,0.5784874,277.6511,277.60727
1.2320065e-09,0.11270497,-5.513823,-25.211515,-19.338978,-15.6811495,3.632554,10.87057,15.587566,-16.714182,17.264368,-5.334793,20.556347,-23.71904,0.19835095,0.39611542,0.76793915,0.99014515,1.5000153,1.8135633,2.1047535,2.685791,0.051979452,0.48379648,184.90565,277.56018
1.3792428e-09,0.12450703,-6.709356,-25.9107,-19.092077,-12.851593,5.095388,10.409351,11.968797,-15.0030775,19.322838,-7.2463837,23.14534,-24.827337,0.20651843,0.4138378,0.7729566,0.9869036,1.4941968,1.7996079,2.0784872,2.643483,0.052583862,0.44202605,92.45283,277.54
1.4445125e-09,0.1294355,-6.766749,-25.999838,-17.692322,-10.567147,5.057037,8.307874,8.0276575,-14.69014,18.731024,-13.063362,22.474197,-30.182436,0.20932811,0.409521,0.7701636,0.97359484,1.4985029,1.7984905,2.0614755,2.6340072,0.05228166,0.45746732,0.0,277.54
5.48168e-10,0.105012566,-7.5434966,-28.850134,-19.703535,-10.868412,8.337764,10.073859,9.012122,-12.988472,18.817778,-11.283183,27.139053,-30.273287,0.20774657,0.39970437,0.75966185,0.9521355,1.4893204,1.794994,2.0603352,2.6398036,0.05228166,0.48927745,0.0,277.54
