pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
2.6960193e-11,0.039743215,-10.458337,-5.816957,0.7608151,13.488392,7.5995526,13.454337,5.9041934,4.9010797,-9.281337,-7.2279243,-0.45419803,5.1188593,0.2868494,0.49006686,0.82664055,1.030788,1.2534059,1.391449,1.9265827,2.5576792,0.052583862,0.6216329,128.94737,32.236843
2.9580969e-09,0.10941023,-9.96782,-5.0812984,1.5699921,13.371039,10.144265,10.791028,4.0439878,4.2201943,-8.505761,-6.691414,-1.7430735,5.242383,0.27430534,0.49053165,0.81799334,1.0344855,1.244101,1.3807064,1.9261736,2.5893066,0.04925959,0.6325069,237.69817,83.60217
3.311447e-08,0.26060823,-9.081887,-4.1844454,2.241505,13.493613,13.036198,9.221143,1.065265,4.6687875,-9.008652,-7.6139817,-3.3361056,3.4607608,0.26021305,0.4827281,0.79498464,1.0261927,1.224975,1.3625997,1.7779112,2.549321,0.04291327,0.6198737,336.01938,146.70648
4.652171e-08,0.36989152,-9.257094,-3.8365905,2.445088,12.175967,10.014085,10.08603,2.5782712,2.8757858,-9.560464,-9.290462,-3.980168,1.8443846,0.25603917,0.480383,0.7819131,1.0201387,1.2139031,1.3664175,1.6709791,2.4680707,0.040797826,0.5871918,318.2197,189.58478
7.3055666e-08,0.4502987,-8.821059,-3.7307358,2.6345727,13.393611,9.941049,11.154466,2.089051,-0.10468292,-9.864802,-9.433901,-3.4472628,3.0094264,0.25482753,0.47300538,0.77205366,0.99904174,1.2135516,1.3644859,1.5497646,2.4223566,0.038380176,0.5937018,339.3447,227.02473
1.3690455e-07,0.51619184,-8.341237,-3.2466404,3.1926908,13.963056,10.270141,11.286143,4.6175723,-3.0665934,-7.1861157,-8.485715,0.1519963,5.86739,0.24388397,0.46647716,0.75789505,0.9853074,1.204834,1.3618642,1.5294288,2.4127138,0.033242673,0.6323557,373.4143,263.62213
1.6333233e-07,0.5652775,-6.274643,-3.4508705,3.3615057,12.18908,12.379674,11.0073805,2.60941,-4.2867217,-3.6921425,-5.6952686,0.53886604,7.8095093,0.23703586,0.46272722,0.75240535,0.9787073,1.2301044,1.3626505,1.6362324,2.5227277,0.025687518,0.66003436,378.12988,292.24905
4.1423337e-07,0.72074956,-4.8449655,-4.2289815,4.0582767,11.2883215,14.988255,10.120898,3.1223977,-2.6473653,-3.6778753,-4.445986,-1.1987936,6.979189,0.22961478,0.45403257,0.73689526,0.96839553,1.2319956,1.3602728,1.6732559,2.5797508,0.017225748,0.65856797,357.70703,308.61353
3.5462628e-07,0.66138464,-4.6761627,-5.107557,4.088234,10.7404175,14.140839,8.465942,0.9530584,-1.870938,-5.240343,-2.4112034,-2.3945856,7.856725,0.22470827,0.44969893,0.7168446,0.9595967,1.2093722,1.3651928,1.6529303,2.5509148,0.014203687,0.6567097,328.9999,313.7101
7.5071966e-07,0.8464041,-5.5784764,-4.8799796,4.840756,12.224309,16.522367,8.316665,-0.63828874,-2.3360374,-7.235849,-5.00635,-2.6510274,6.747001,0.2317581,0.4554534,0.72591466,0.9710264,1.2204574,1.3786592,1.732871,2.5610871,0.014808099,0.65281177,311.62808,313.1896
4.8755163e-07,0.6669223,-6.3680434,-3.89406,4.674352,9.6128645,12.585995,9.345143,-0.4137648,-2.2491004,-3.9391887,-7.7033677,-0.5621856,8.898799,0.23778896,0.4668354,0.7287662,0.97170115,1.2295256,1.381813,1.7147142,2.5428994,0.014808099,0.6380813,303.06876,310.6594
4.836232e-07,0.66089755,-7.3916717,-3.874594,5.3010387,7.053608,14.026746,7.2723947,-0.29916224,-1.5689315,-1.1449105,-10.905823,1.0058479,7.406606,0.2552222,0.48431063,0.7497813,0.96225923,1.273892,1.3870813,1.7637733,2.6180127,0.016923541,0.60413724,300.1877,308.04147
3.3340675e-07,0.61789125,-8.386109,-3.4443023,4.8021674,4.623239,12.977382,5.963778,2.1441905,-2.497638,1.8317199,-11.768089,2.2477953,6.752613,0.26695237,0.48980054,0.73389655,0.93891317,1.2643653,1.3722954,1.620111,2.5831258,0.022665458,0.58911973,295.3418,304.86658
3.4359059e-07,0.6383986,-9.577584,-4.4086623,5.554394,2.9848359,15.102631,4.3482203,0.002480666,-1.2168503,1.1443459,-10.5233755,2.1844895,6.3019366,0.27776623,0.50057644,0.7336671,0.9560177,1.2676958,1.3729495,1.7003708,2.591151,0.029918404,0.59134054,283.90512,299.6262
5.5792697e-07,0.7796251,-9.737731,-3.3635767,6.129523,3.738352,14.606315,4.2713814,-0.650356,-1.5947062,-1.6340514,-10.337273,0.064026356,6.228926,0.28203574,0.51126903,0.73027974,0.97939014,1.2652944,1.3590654,1.701037,2.5825891,0.034753706,0.6058679,252.62837,287.87674
1.0348601e-06,0.8886327,-10.514533,-3.6075935,7.8670692,5.468872,16.841469,2.42385,-2.2537286,-3.6329253,-0.35256115,-7.996969,-2.6513414,5.839227,0.28792825,0.5231623,0.74040323,1.0121483,1.2627902,1.3503981,1.8046818,2.6026938,0.036869146,0.5919656,210.65266,268.5707
1.0516532e-06,0.91292953,-12.200679,-3.7375698,8.669828,7.339388,17.128351,2.306748,-3.593933,-9.19288,-0.6170233,-9.164956,-1.9703194,7.474252,0.3006251,0.52970344,0.74178123,1.0260096,1.2526059,1.3465806,1.8415409,2.5982926,0.040495615,0.54310733,172.86548,244.64441
9.1394304e-07,0.84618735,-14.347735,-5.2042885,9.65372,7.410755,17.938517,3.4075928,-4.7082334,-11.100671,1.1924336,-9.552333,-5.4065,8.936112,0.32132432,0.5320546,0.74487036,1.0217708,1.2506164,1.3457478,1.90041,2.6189284,0.05349048,0.49121335,103.339516,227.6864
2.4792726e-07,0.6488233,-16.452337,-5.362438,10.027876,7.935537,16.74594,3.6679466,-7.834313,-11.636837,-0.62120813,-8.665233,-0.94169265,12.1918955,0.33090872,0.5285148,0.74212795,0.9952237,1.2358165,1.3522353,1.7769765,2.585488,0.060139015,0.450547,51.669758,220.4187
2.762347e-07,0.67793685,-17.224823,-4.2191396,9.142228,7.1638947,15.512235,2.077285,-7.9895325,-9.58681,1.3402358,-8.048859,-3.5058682,9.911822,0.33832407,0.5267809,0.7325666,0.95072466,1.2143248,1.360617,1.5943623,2.479085,0.069205195,0.46850228,0.0,220.4187
2.1973578e-06,1.0138196,-18.77608,-2.8398018,10.175313,5.122108,14.512925,0.4135767,-6.6700883,-7.980852,2.4734392,-6.0869565,0.29898736,10.089429,0.3523644,0.53688365,0.73910326,0.93750864,1.2418176,1.387792,1.629354,2.4988146,0.07192505,0.48384014,0.0,220.4187
2.1938179e-06,1.01126,-19.73109,-3.046686,9.5464325,3.527057,14.0705805,-2.1165085,-2.912201,-2.9664366,5.3953557,-6.632052,-3.2528915,10.0465975,0.37028706,0.544221,0.7403925,0.9291463,1.285331,1.4051408,1.7117867,2.535689,0.07827138,0.48670712,0.0,220.4187
2.7745689e-06,1.2082365,-19.837015,-3.1069005,11.45491,0.80090886,12.624423,-3.5734138,-3.7466338,1.3692421,4.848755,-7.5820084,1.9050046,9.192262,0.38140988,0.54245466,0.742187,0.93449545,1.3257327,1.4078361,1.7422943,2.6298206,0.083408885,0.43905553,0.0,220.4187
1.1472425e-06,0.98755264,-20.026827,-4.1032515,11.397761,2.553854,9.56269,-4.8267775,-6.169745,3.7130327,5.009193,-11.2238245,3.7780106,9.231461,0.3833563,0.5254411,0.7475571,0.93414813,1.3141533,1.4010848,1.6457453,2.6149197,0.08552433,0.40228352,0.0,220.4187
1.2688937e-06,1.0523404,-20.624289,-3.1194317,13.772153,4.308241,5.1096644,-6.006092,-8.9791,3.7865222,8.594283,-13.956722,1.4657202,5.908508,0.37820163,0.5164831,0.7566982,0.9310147,1.3092109,1.399077,1.5732073,2.5814998,0.08854639,0.39041448,0.0,220.4187
1.019288e-06,0.9974859,-22.133766,-3.8263261,14.342529,7.6067066,6.2947693,-4.651791,-5.5414176,2.771948,10.849087,-15.758621,-9.794024,3.9420424,0.37662086,0.5124219,0.7724908,0.9244687,1.3219757,1.3988682,1.618607,2.593601,0.092777275,0.36942974,0.0,220.4187
