pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
2.5039934e-13,0.010461402,-25.744745,8.763691,6.5149503,5.5790057,6.95331,16.632307,19.58843,11.0196,10.674441,8.446757,6.001276,20.012472,0.5083081,0.9616465,1.2712368,1.550367,1.9534389,2.2268493,2.3371944,2.7534215,0.003022061,0.86311024,151.5464,37.8866
2.0866415e-13,0.009806663,-26.456861,7.7124844,5.125838,10.005832,7.708694,17.064405,16.391157,9.884721,11.727772,7.047567,7.9400787,17.573027,0.51164585,0.96215487,1.2718865,1.555251,1.9545771,2.2235978,2.337079,2.767171,0.0036264732,0.8553781,302.31958,103.99484
1.6693289e-13,0.009152001,-27.64025,6.595164,4.1600285,12.730122,7.2491307,16.06333,14.836743,11.313825,12.252941,7.4000487,9.439812,12.832619,0.51404995,0.96116704,1.274518,1.5571858,1.9619704,2.2189577,2.3392642,2.7768157,0.0042308853,0.84215856,451.562,190.88664
1.6693289e-13,0.009152001,-27.696243,5.534325,3.5717041,15.191861,8.054103,14.097695,12.225072,13.575813,9.614692,11.166421,11.4847765,6.8951144,0.5234155,0.9586646,1.2741427,1.5700688,1.9599143,2.2134807,2.3410966,2.7737534,0.0036264732,0.8375318,448.5005,255.2901
2.0866808e-13,0.009806742,-28.280558,5.3565497,4.2975063,16.854895,8.135309,10.985694,10.23745,16.217451,10.151547,12.13861,10.478496,7.0054073,0.5240249,0.9623318,1.2718898,1.5773984,1.9580498,2.2136023,2.3486538,2.7701979,0.0042308853,0.8394858,442.64282,302.12827
2.5039934e-13,0.010461402,-27.3398,5.7971435,3.7817993,16.13668,7.3789105,14.43765,7.4452987,15.212898,9.736145,12.575322,10.130336,12.565011,0.52566403,0.971736,1.2717314,1.5853459,1.9449139,2.2123568,2.3501422,2.7659,0.0042308853,0.83887476,434.7465,335.28284
2.5039934e-13,0.010461402,-27.478544,6.2013607,4.5480742,16.904585,6.399214,13.967664,5.5336213,15.142385,12.748927,12.912669,8.069759,14.502429,0.52193016,0.98318523,1.277604,1.5855271,1.9392638,2.2135026,2.3485186,2.772398,0.0042308853,0.8362777,430.43472,359.0708
2.0866806e-13,0.009806742,-26.477896,6.5241275,2.8111622,12.580479,5.258591,17.133675,5.798266,18.287483,15.6138,11.146947,3.8873155,15.418738,0.5172623,0.98667926,1.2840525,1.5835015,1.9380369,2.2108219,2.341482,2.7777765,0.004835298,0.83350784,432.5192,377.43295
1.6693679e-13,0.00915208,-27.451607,6.7528834,3.1422672,14.161125,6.977198,15.6988325,6.332908,17.82623,16.34134,8.2911415,4.497538,14.677041,0.51883745,0.9836008,1.2788974,1.581575,1.9462528,2.2059305,2.3402102,2.7865136,0.008461771,0.8311611,437.7977,392.52414
1.2520162e-13,0.00849734,-27.05845,8.403668,4.3165374,13.924609,7.9269824,17.823446,6.700235,18.506615,14.670124,4.8187327,2.7035513,16.845541,0.5249509,0.9790271,1.2608825,1.5833238,1.9599167,2.1949291,2.3449206,2.7779424,0.02024781,0.81226844,440.24924,404.4554
1.6693289e-13,0.009152001,-26.514662,9.655059,6.4184117,16.43326,7.8505936,18.245066,8.924657,16.723314,8.879807,5.5847206,4.836466,14.606627,0.53927106,0.9810149,1.2577329,1.584302,1.9689907,2.1856143,2.3447428,2.767895,0.039891206,0.7891395,431.2229,411.1473
2.0866418e-13,0.009806662,-25.558203,10.369967,5.9343033,15.43205,9.6824045,16.077204,7.64003,17.9349,8.524471,8.9966755,5.6758122,13.276047,0.544933,0.9838794,1.2679487,1.5872995,1.9747134,2.1853268,2.3429003,2.7646172,0.061347842,0.786316,413.5457,411.74686
3.7560485e-13,0.011564709,-24.722803,8.9193735,3.7901142,14.819476,11.788414,15.1090975,8.4607935,16.253817,6.08375,11.750187,10.649133,10.867724,0.5427382,0.9832351,1.2840677,1.5846157,1.971138,2.190684,2.3428476,2.7781534,0.06980961,0.7986302,387.9332,405.79346
3.3387358e-13,0.010910048,-24.146645,9.030726,3.5932853,14.994965,14.946397,14.788358,9.788066,13.052972,5.282539,11.97113,7.6085668,6.161342,0.5258398,0.98315793,1.2844437,1.583928,1.962557,2.193485,2.3484688,2.7908442,0.07615594,0.7833579,367.74796,396.2821
3.3387358e-13,0.010910048,-23.075691,10.513274,5.1484737,16.378279,14.9870405,16.209332,11.162067,12.726212,3.2302592,10.197831,4.1222496,3.6532986,0.52368927,0.98255223,1.2818432,1.5888726,1.9535097,2.2002146,2.3493989,2.786787,0.10698096,0.7358512,377.41904,391.5663
2.9214231e-13,0.010612833,-22.637543,13.355522,7.091221,16.057695,14.973727,17.187082,13.461719,14.697159,4.8882155,5.956632,-2.1847596,0.11191702,0.5180499,0.98094916,1.2713195,1.6003984,1.9490204,2.211661,2.3460472,2.7635772,0.13297069,0.6930563,375.30075,387.4999
4.590791e-13,0.0123708015,-22.460363,15.071564,8.12337,14.437614,12.870666,15.978546,10.947758,14.607556,6.5483584,6.4682975,3.208667,5.486156,0.5303756,0.9657784,1.2725517,1.603344,1.9594579,2.2260373,2.344128,2.736414,0.17527954,0.6697853,375.60022,384.525
5.842729e-13,0.0134740295,-21.364502,15.1195755,8.977687,11.782787,11.469777,14.508446,5.7889447,7.3694916,1.1150595,1.7198673,5.945948,5.061548,0.5233268,0.952441,1.2672912,1.5932673,1.9637494,2.2294447,2.3452666,2.7318413,0.16228469,0.69346505,367.58838,380.2908
5.007987e-13,0.012667939,-19.660322,14.337448,8.336795,7.6032524,4.8630776,8.472682,-3.4250422,-1.3926336,-3.5404167,2.361446,12.562655,7.0198555,0.5111984,0.9367225,1.2703742,1.5760485,1.9644655,2.221132,2.3434353,2.738472,0.18706559,0.7258499,356.7828,374.41382
3.3386187e-13,0.01090997,-17.541706,11.035922,5.766294,2.1054094,-0.13473766,7.4368834,-7.3850365,-5.987499,-10.086738,-1.5693213,14.466559,5.17775,0.47907114,0.9146994,1.2678078,1.5598797,1.9480222,2.211707,2.339425,2.750899,0.17981263,0.71673185,347.58972,367.7078
3.3387358e-13,0.010910048,-14.868146,8.935039,3.4581375,-2.0972621,-6.302428,7.4885635,-2.741308,-2.2779853,-7.7999682,-1.3799013,11.868506,0.22774696,0.43494567,0.8952818,1.2648625,1.5474423,1.9332429,2.2091048,2.3364792,2.7529557,0.19915383,0.6147108,327.09702,357.55508
4.590674e-13,0.012013276,-11.343463,8.177627,0.8879865,-4.9775944,-7.894319,11.946632,4.5221686,4.6855903,-4.984837,-4.4808054,4.006461,-7.2119446,0.37810028,0.8799727,1.2490907,1.5363649,1.9201645,2.2140093,2.3359249,2.7469203,0.18736778,0.47038904,219.00879,352.07715
7.51198e-13,0.014466312,-8.116442,9.991711,-0.87409705,-4.6825204,-7.5131707,11.899831,13.266795,13.966189,5.3824353,-3.263606,-2.3609788,-9.927335,0.3256224,0.8748539,1.2302827,1.5320746,1.9224058,2.2119596,2.333621,2.7418194,0.17376852,0.44274148,110.113914,349.90366
5.842573e-13,0.012708265,-6.226068,10.139449,-2.669381,-6.016365,-2.5600479,12.087407,14.914519,19.660408,9.178321,2.0128548,-1.8944483,-8.623645,0.29732132,0.8476952,1.1970229,1.5327482,1.9286519,2.2068467,2.3299491,2.7333612,0.14445452,0.5188133,0.0,349.90366
7.0946287e-13,0.013403409,-5.932716,10.194351,-3.1517599,-6.388054,4.1189513,11.950152,15.733792,19.385302,9.436846,9.414924,5.8858647,-8.779853,0.30118898,0.80994076,1.1715633,1.5229012,1.9301925,2.1954563,2.32563,2.74735,0.11906921,0.60446125,99.32433,345.57608
5.84269e-13,0.012708343,-5.705836,9.4998045,-2.4926424,-7.441837,9.139359,14.795871,12.383399,16.6601,5.0113335,13.426067,11.207067,-9.566132,0.31176567,0.7826198,1.1491185,1.5071214,1.921903,2.1925795,2.323351,2.7621458,0.1042611,0.6163594,198.64867,338.00284
1.0850794e-12,0.015990226,-5.590752,9.81634,-2.122077,-5.6573234,8.861763,16.368195,12.5753355,12.840365,3.957146,12.897529,12.615818,-7.2560534,0.31453362,0.7764519,1.1521362,1.4918793,1.9127693,2.1924796,2.3199542,2.7823458,0.09821698,0.60462826,296.6661,327.66867
7.512136e-13,0.010704716,-5.4282074,10.634427,-0.35045704,-6.22494,6.3726544,19.001738,15.325511,14.383282,1.2387995,9.059605,9.850936,0.3028288,0.2994441,0.78242654,1.1631254,1.4882494,1.9083427,2.1960402,2.316242,2.7832897,0.08824418,0.63724506,293.4243,319.10757
5.842768e-13,0.008946749,-4.613483,11.847564,3.7525437,-4.1306825,3.873431,18.89785,17.048933,12.95422,-0.7944467,4.238335,6.325976,4.8335285,0.28080118,0.7841553,1.1733508,1.4911522,1.8988367,2.1986225,2.3141816,2.775678,0.07555153,0.69385,308.04346,316.34155
8.347035e-14,0.005664946,-3.6867867,13.666935,6.5926347,-4.1403584,3.249069,20.12758,18.619776,13.66878,-0.56615907,-1.0242549,3.2245314,4.0503335,0.25656736,0.7877777,1.1741506,1.4924808,1.8901011,2.1999109,2.3194997,2.758825,0.0643699,0.7485015,322.17978,317.80112
1.6693679e-13,0.00915208,-2.7193747,13.839061,7.336452,-2.5307953,3.4666157,20.907001,20.594444,13.190295,3.8554728,-1.0393511,-0.41870555,0.81525105,0.24333282,0.7891863,1.1595372,1.5013682,1.8910646,2.2031596,2.3213122,2.7489936,0.055908132,0.782222,324.51785,319.48032
1.4606648e-12,0.014330938,-3.1921756,14.320138,5.817053,-5.0800714,1.1972047,21.01341,26.262823,15.338296,4.918438,-1.4796958,-1.762235,-1.2886119,0.2380619,0.7737529,1.141004,1.5050691,1.8906983,2.2023773,2.3191037,2.7484882,0.049561802,0.78770304,311.4128,317.4634
2.7543929e-12,0.019509798,-3.1313808,14.035622,6.60862,-7.5117908,-0.9959015,21.779627,28.097406,13.876781,4.877647,1.8775371,-2.3121862,-4.4638796,0.24125288,0.74986887,1.1213316,1.5009888,1.8839206,2.1938362,2.3102865,2.7513323,0.05288607,0.7838357,295.9696,312.08997
4.0063894e-12,0.024033993,-2.8110907,13.944756,7.4476776,-9.784641,-1.9063101,22.86978,26.179647,11.441663,3.6728356,2.1144142,-1.4165901,-3.64807,0.23814939,0.72088647,1.1157169,1.4827846,1.8652998,2.185829,2.3127444,2.7452762,0.05046842,0.7785556,295.14536,307.8538
1.4690095e-11,0.031510025,-2.0343802,13.762864,9.042193,-10.69016,1.1445677,25.443048,21.727694,10.543569,3.7246172,6.4042015,0.2513205,-6.9487686,0.23388211,0.7042845,1.1152954,1.4665006,1.8498524,2.180149,2.3170516,2.7387855,0.04351768,0.79098314,290.07227,303.40845
2.1701274e-11,0.037381228,-1.107411,13.335744,7.993313,-9.255653,3.600745,27.492487,20.437307,11.022603,3.0470436,7.2230263,0.98061925,-5.867576,0.21674442,0.7075844,1.122415,1.458443,1.8481388,2.1774032,2.32008,2.734565,0.030825024,0.80268764,283.94525,298.54263
2.8712458e-11,0.043252427,0.23192686,13.52702,5.720144,-6.4952035,5.577127,28.769989,17.501678,10.441719,2.2550404,7.315185,4.968615,-5.15678,0.19992006,0.71735424,1.1334785,1.469369,1.8556309,2.176404,2.3181374,2.7443266,0.030522818,0.81039906,272.23608,291.96597
3.4262922e-11,0.045120835,1.746343,11.813653,3.6585379,-4.4462867,6.4474425,26.984114,16.522856,9.574622,2.1670413,6.6739025,8.146552,-1.6137381,0.1851803,0.72547835,1.143541,1.4807367,1.8496002,2.1838045,2.3147945,2.7461882,0.03807797,0.8029149,256.38156,283.06985
3.6015715e-11,0.045937862,2.2924507,7.873911,4.430434,-0.00024747849,6.6192775,23.01751,16.859892,12.612289,-0.99598026,0.9255845,12.127086,4.5906944,0.20070072,0.63813627,1.1248804,1.4776355,1.8189006,2.1942677,2.310091,2.7411077,0.044726506,0.7784147,243.17065,273.0951
4.774281e-11,0.050118905,2.0210907,-2.8597066,8.442356,3.6150968,5.407276,21.047747,18.890207,17.654503,-5.6719832,-4.0721245,13.160693,11.543495,0.22512728,0.5331181,1.0699347,1.4630532,1.7579122,2.1963687,2.301733,2.7257423,0.039589,0.7417178,239.5901,264.71884
5.024692e-11,0.050826702,-4.0363317,-5.3056855,8.352638,11.225804,6.918017,18.081482,19.295698,12.3764,-11.00848,-12.721133,15.647133,21.770294,0.27618596,0.5403776,1.0025631,1.3794042,1.6614529,2.0738404,2.277777,2.6672552,0.039589,0.69714195,249.14838,260.8262
6.7190614e-11,0.055880103,-11.854674,-2.4666917,3.6922092,14.123952,10.514514,14.902824,19.592415,8.218963,-15.291219,-14.261677,17.480227,28.442556,0.32207415,0.6408316,0.9699239,1.3138998,1.586491,1.9288248,2.2365305,2.6181023,0.048050772,0.65244883,267.77164,262.56256
5.0455435e-11,0.04836242,-18.060627,7.0587792,-1.3341599,18.899782,12.102357,11.665928,19.331388,0.9689495,-17.933294,-13.939748,17.383368,29.95864,0.35539368,0.76595134,0.9804509,1.2438546,1.5379144,1.7910763,2.1738975,2.5775824,0.0640677,0.61750513,287.25436,268.7355
3.0548616e-11,0.034591954,-18.116308,10.487822,-1.8821839,20.835154,9.051799,14.44679,20.189644,-0.9360016,-20.50461,-13.379677,13.259524,28.681068,0.35125867,0.78471726,0.9997058,1.239521,1.5464491,1.7741197,2.1240962,2.59668,0.06557873,0.5536621,326.59335,283.19998
