pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-13.755172,12.285825,-5.066199,0.22222354,-0.6306267,2.2972426,-1.677877,0.025471568,0.17295392,0.72230893,-0.8974722,0.21448173,0.6593322,0.9065282,1.2342521,1.5887884,1.8664616,2.1776485,2.5439398,2.7995484,0.9951647,0.3547484,0.0,0.0
0.0,0.0,-9.136614,8.178439,-3.4055026,0.21537209,-0.5422062,1.7291912,-1.3680936,0.25528508,-0.08302734,0.67120045,-0.80675906,0.34617376,0.6431215,0.90397006,1.245111,1.5695091,1.8754951,2.1831465,2.528492,2.811869,0.99607134,0.20114125,0.0,0.0
0.0,0.0,-4.4693637,3.99368,-1.6406394,0.08026592,-0.3048656,0.99556273,-0.88051885,0.29979908,-0.15099439,0.43406275,-0.53643334,0.30867073,0.5343018,0.8336628,1.1863934,1.4989201,1.8381578,2.1572564,2.4898336,2.8136318,0.9972801,0.118243754,0.0,0.0
0.0,0.0,-0.7185874,1.0728534,-1.2993523,1.3737115,-1.3011743,1.113679,-0.86090875,0.5978367,-0.37208888,0.21431382,-0.13375413,0.119671054,0.5343018,0.8336628,1.1863934,1.4989201,1.8381578,2.1572564,2.4898338,2.8136318,0.9975824,0.21419905,0.0,0.0
0.0,0.0,-5.670113,4.9855466,-2.324953,1.0736374,-1.6428722,1.9353069,-1.1118405,0.3431673,-0.34981552,0.46118513,-0.16863543,-0.09149531,0.5343018,0.8336628,1.1863934,1.4989201,1.8381578,2.1572564,2.4898338,2.8136318,0.996978,0.35277843,0.0,0.0
0.0,0.0,-10.870938,8.978843,-3.3123684,0.9006894,-2.2582922,2.917392,-1.4248791,0.29106385,-0.64655554,0.9032335,-0.2760157,-0.14117455,0.6269107,0.90141207,1.2559699,1.5502304,1.8845288,2.1886444,2.513044,2.8241894,0.99607134,0.3927716,0.0,0.0
0.0,0.0,-14.015632,11.686901,-3.9935951,-0.07573829,-1.1426518,2.551669,-1.4997482,0.22510509,-0.45216706,0.9537825,-0.6281679,0.1801899,0.6152342,0.9119336,1.2619925,1.5509429,1.8900474,2.193045,2.5056467,2.8027322,0.9942581,0.3055781,0.0,0.0
0.0,0.0,-15.740582,10.006545,-1.9805393,2.5100186,-5.1924324,2.6129534,0.56100434,0.3249973,-1.8165728,1.1634492,-0.3294466,0.24155873,0.6053212,0.92090946,1.2672035,1.551684,1.8948607,2.1972854,2.4990127,2.7845943,0.99274707,0.21850628,0.0,0.0
0.0,0.0,-16.689213,9.477494,-1.0169147,3.197418,-6.5004387,2.4177835,1.4831983,0.4297583,-2.3978355,1.0818053,-0.08231794,0.3881936,0.5964895,0.9306553,1.2781409,1.553864,1.8976661,2.2078927,2.485232,2.7600586,0.99032944,0.17922334,0.0,0.0
0.0,0.0,-19.090899,7.0207095,0.30618945,3.518563,-6.607858,3.554181,2.3886764,-1.6475435,-1.5003594,0.2495106,0.34227386,-0.13867588,0.58160114,0.92919487,1.2867243,1.566116,1.9001199,2.2254336,2.489916,2.7554834,0.9860985,0.17681532,0.0,0.0
0.0,0.0,-19.285109,3.7506602,-2.6224556,3.159804,-2.511198,6.3574004,0.5131815,-2.6891325,-1.1989731,0.10746213,0.07056137,-1.5115786,0.5531204,0.92624134,1.2968413,1.58002,1.9158581,2.244572,2.4916098,2.7522385,0.97008157,0.18777306,0.0,0.0
0.0,0.0,-20.28082,-1.9149615,-8.183313,2.1413333,-0.30036107,7.755554,1.185712,-1.0526077,1.5301108,-0.6524644,-4.3565907,-1.6864525,0.52231985,0.91849405,1.2890217,1.6012183,1.926051,2.2507117,2.5027552,2.75228,0.9428831,0.187292,0.0,0.0
0.0,0.0,-20.393404,-5.5526695,-12.310722,1.7830898,-0.36691737,6.603537,3.1249523,2.1481254,-0.67281264,-0.44400367,-6.1592994,-1.1655928,0.4908698,0.9039271,1.2700186,1.6093236,1.9294934,2.2490892,2.5015376,2.7454717,0.90148085,0.23241985,0.0,0.0
0.0,0.0,-19.297838,-8.1419115,-15.708247,-0.0646891,1.4532806,4.438704,2.5700595,7.7313323,0.7796858,-2.3827722,-10.196515,1.3649465,0.45272708,0.8715139,1.25076,1.608841,1.9072822,2.2417715,2.495783,2.7349937,0.86279845,0.25256467,0.0,0.0
0.0,0.0,-17.771444,-9.334361,-14.767334,-0.4924121,2.0988634,1.1459469,0.30898747,8.477695,1.4265075,-2.018377,-12.042377,-1.1098262,0.42149842,0.84683686,1.2426267,1.5986866,1.9045662,2.240269,2.4918287,2.7243125,0.8174675,0.26046225,0.0,0.0
8.3466444e-14,0.0034871344,-17.498026,-8.878707,-15.075656,-0.4539914,5.091719,-0.4067224,-4.2835183,7.5378914,4.4757695,0.33018985,-11.897737,-2.9866552,0.41268682,0.8341308,1.2494135,1.5881726,1.8998274,2.2338183,2.4896307,2.7222197,0.78785133,0.22660387,0.0,0.0
1.2520162e-13,0.006319607,-17.273315,-7.925062,-13.41797,1.2990013,9.354535,-0.10376374,-5.582042,-0.61095935,4.519251,1.1796876,-11.263557,-4.8244553,0.41057906,0.84085065,1.2434763,1.5843624,1.8967109,2.231856,2.4892101,2.7196248,0.7455425,0.21223788,0.0,0.0
1.2520162e-13,0.006319607,-15.51379,-6.4709244,-16.346258,0.18719785,5.8903527,-2.7859166,-7.928991,-3.0259192,6.863868,1.6106825,-4.8829412,-1.620107,0.39899492,0.84583825,1.2340313,1.576902,1.8928546,2.2269108,2.4854524,2.7178571,0.7008159,0.23902194,0.0,0.0
8.347035e-14,0.005664946,-12.9855385,-5.905548,-17.782553,-2.0309527,1.378837,-4.8696103,-6.376522,-3.1062145,6.0995674,0.2593228,-4.087809,-2.0819714,0.36613238,0.84537077,1.2165083,1.5753498,1.8910283,2.2242117,2.4849348,2.7222693,0.5983681,0.3486793,0.0,0.0
8.347035e-14,0.005664946,-9.888679,-4.5279503,-20.405169,-4.5930347,-2.257557,-6.58063,-5.6022725,-0.8682187,2.3538468,2.466316,-4.1730227,-6.814981,0.33724642,0.83314294,1.2013434,1.5671048,1.8985362,2.226017,2.4957244,2.729337,0.475068,0.44986454,0.0,0.0
8.347035e-14,0.005664946,-8.636258,-5.0686297,-19.299255,-1.6653503,0.8404229,-1.3494066,-0.75183487,-1.4135946,-2.6360548,4.708648,-11.612648,-10.570418,0.3085017,0.8079596,1.1915087,1.559141,1.8816686,2.2237184,2.5042276,2.741378,0.37322453,0.47666344,0.0,0.0
1.2520162e-13,0.006319607,-7.7000527,-7.151798,-19.102102,2.785258,3.6015718,5.731667,4.1083884,-4.4611273,-4.256291,2.942691,-18.519838,-9.997392,0.29124764,0.77324647,1.1805536,1.5447955,1.8631172,2.212818,2.5049663,2.7482784,0.33695984,0.43234715,0.0,0.0
8.3466444e-14,0.0034871344,-7.729688,-9.3581705,-19.3449,5.3132825,3.4508965,7.4530005,4.019659,-1.8367006,-1.0800519,-3.6516762,-21.767248,-8.068379,0.28102124,0.74443835,1.1733785,1.5375247,1.8547431,2.1990378,2.4976108,2.7517736,0.32970688,0.38501534,0.0,0.0
8.3466444e-14,0.0034871344,-7.2095017,-10.427599,-18.407526,7.3004165,6.0088124,7.9263387,3.0038378,-2.8492615,-5.586508,-10.108495,-23.595907,-9.716902,0.26791894,0.72154355,1.1640049,1.5247916,1.8609762,2.190057,2.4920027,2.7522624,0.3176186,0.38180354,0.0,0.0
0.0,0.0,-6.4537697,-10.80371,-18.21889,5.900032,6.55825,5.5737762,-2.4749324,-4.848314,-10.124179,-12.631625,-21.856535,-8.076386,0.25915298,0.70154715,1.1654818,1.5078708,1.8762301,2.187383,2.488473,2.7573435,0.29434875,0.40382418,0.0,0.0
0.0,0.0,-5.3165956,-10.817601,-18.219526,6.1864324,10.213119,5.6088157,1.9311103,-2.8415306,-12.420223,-14.136628,-20.039152,-4.049916,0.2463177,0.6792767,1.1761026,1.4958715,1.8847309,2.1853163,2.4869611,2.7570565,0.27470532,0.44120598,0.0,0.0
3.3386577e-13,0.0052855075,-4.4620557,-11.9611025,-20.319868,4.0888524,9.205598,5.2245355,4.091135,4.0656915,-7.86541,-18.03388,-13.86584,0.44774708,0.23718153,0.6614688,1.1816721,1.4941436,1.8888043,2.1933525,2.4875934,2.7593167,0.23934722,0.47616008,0.0,0.0
3.7559704e-13,0.008117902,-3.9568183,-11.520912,-22.867258,3.6184237,10.175106,2.478297,5.8385053,13.820928,-5.536564,-19.625593,-12.833056,3.0842931,0.22767295,0.655399,1.176256,1.50844,1.882349,2.196597,2.4909256,2.7526379,0.20731337,0.48567367,0.0,0.0
4.590635e-13,0.011605036,-3.3245442,-12.827142,-24.129004,1.0230861,5.7100716,0.53101283,1.1549011,12.33113,-6.8024077,-19.71387,-15.300907,0.35971627,0.22034256,0.6386778,1.1663685,1.5189878,1.8742323,2.1899261,2.4882424,2.753672,0.17255968,0.5030443,0.0,0.0
3.3385802e-13,0.010909892,-2.3055646,-13.429242,-22.952341,2.123618,6.5597205,1.043291,-1.6490902,6.4781623,-10.27774,-18.138147,-22.116282,-4.9466405,0.21597363,0.6111536,1.1628766,1.5332346,1.8678058,2.1733427,2.486986,2.7529352,0.15533394,0.5045338,0.0,0.0
5.007987e-13,0.012667938,-1.0897695,-13.994853,-19.455437,1.9890823,5.9972286,3.532594,-4.2375875,3.9891407,-9.050504,-17.595781,-21.654083,-9.129783,0.21548934,0.5789943,1.1588693,1.5272803,1.860587,2.1637871,2.4860747,2.7538662,0.1535207,0.46765816,0.0,0.0
9.59874e-13,0.015295081,-1.1909219,-14.766796,-19.853758,2.7244022,5.52362,3.6436517,-5.6781106,4.313201,-3.3796637,-11.335526,-16.29152,-7.118916,0.21903427,0.5553215,1.1546617,1.5142134,1.85608,2.1597357,2.488413,2.7554789,0.15956484,0.42039803,0.0,0.0
1.2937554e-12,0.016818993,-0.6108545,-14.95947,-18.972086,2.1882048,5.485082,4.2719493,-6.8414664,8.03231,3.728138,-9.21375,-15.762105,-3.406781,0.21994543,0.5442212,1.1522838,1.497819,1.852171,2.155049,2.4850304,2.7564437,0.16560894,0.38631657,0.0,0.0
1.1268186e-12,0.0150610255,-0.03213775,-15.511706,-20.422325,0.62004036,1.4819502,0.385286,-4.0540566,6.1366158,7.9134846,-5.433665,-13.349771,-1.7857146,0.2156067,0.5321464,1.1368989,1.4851446,1.8543534,2.1526203,2.482457,2.7603824,0.14113025,0.41176602,0.0,0.0
6.2601205e-13,0.011779222,1.430449,-14.472325,-19.005278,-1.0447613,-1.7427956,-3.0103252,-2.5601408,4.901181,9.26463,-5.392366,-13.833386,2.6359046,0.20833349,0.5397582,1.1236448,1.4788488,1.8503224,2.1567595,2.4810698,2.7644956,0.12783319,0.4729114,0.0,0.0
1.1268146e-12,0.01310444,2.2354758,-12.079239,-18.001165,-2.2327652,-5.816113,-5.0039744,-3.4091425,-1.0263596,7.2126884,-0.78206855,-5.959265,3.8630173,0.20554347,0.5406223,1.1040169,1.4743537,1.8446165,2.1619542,2.4812057,2.7701027,0.11634935,0.53774124,125.64103,31.410257
2.7961591e-12,0.018901678,2.6772516,-11.499417,-14.94015,-2.0795367,-8.395959,-3.6190844,-6.7535644,-2.9266548,5.508936,-1.2726146,-6.630671,0.93472546,0.20745297,0.5390093,1.1085066,1.4812351,1.8404819,2.1660547,2.4781983,2.770033,0.12450892,0.5499078,243.72472,84.48887
2.754424e-12,0.016069204,2.3409946,-11.528054,-11.483932,-2.3069775,-11.339751,0.27003083,-4.08205,-0.96439105,3.926651,-1.970431,-5.9826455,-3.556608,0.2161845,0.5257478,1.1068801,1.4829439,1.8405781,2.17149,2.4723845,2.7642124,0.12662436,0.5452552,243.72472,137.56749
2.0449456e-12,0.013915218,1.9248248,-12.537177,-9.486136,-0.6665085,-14.666936,0.39512563,-0.058699924,0.26804814,-0.03350671,-6.981596,-8.69912,-3.4941895,0.22060259,0.5196375,1.1118156,1.4726108,1.8482941,2.178599,2.464414,2.7668436,0.114536114,0.59653205,203.05476,167.20897
2.0449105e-12,0.013915163,2.6086624,-11.755467,-8.506128,-0.36157373,-10.819772,2.171893,1.9350187,1.2933787,-2.3595297,-7.768013,-8.334877,-4.832691,0.22293061,0.5165096,1.1015488,1.4593843,1.852993,2.1771693,2.4588912,2.7740355,0.09489272,0.6471555,182.7198,184.35632
3.7559903e-12,0.022544874,3.300645,-10.157697,-7.7874756,-1.2555164,-6.71271,3.35978,0.46374956,-2.4528692,-5.5487766,-8.61309,-9.817047,-9.0344305,0.21623777,0.52688295,1.0943233,1.4559522,1.854998,2.1652722,2.463786,2.778117,0.08280448,0.5764457,293.24612,211.57878
3.4221243e-12,0.017259367,2.5720284,-10.180184,-10.643612,-2.7934563,-0.59910375,5.1128616,-2.7620971,-0.16446893,-3.4197633,-5.031568,-9.703963,-12.55997,0.21544862,0.5253826,1.0892004,1.4683138,1.8464416,2.1528375,2.470123,2.7698174,0.08945301,0.48898673,208.27502,230.82812
1.7945463e-12,0.012116845,1.6992226,-11.532681,-10.73376,0.12523095,2.3493564,5.683969,-3.8264124,-0.8501332,-2.2752254,-6.4123116,-14.052502,-10.78685,0.21880001,0.5122944,1.0822086,1.4707438,1.8345731,2.1371315,2.4717166,2.7717817,0.100634634,0.4130688,110.52631,240.9032
5.4253186e-12,0.015630042,0.9549675,-13.29494,-10.908322,3.39269,2.7691767,4.4295087,-5.2922497,6.5120063,-0.4204227,-12.440975,-15.809035,-5.552791,0.22615378,0.47626472,1.0746838,1.4605832,1.8175535,2.1158986,2.4639342,2.7852285,0.10003022,0.43118086,0.0,240.9032
6.1765163e-12,0.022371307,1.7883743,-15.072319,-8.099484,4.8275523,0.7722905,2.0272777,-6.6972356,10.555527,0.89123344,-14.941544,-16.261751,-4.7864575,0.22963242,0.44815812,1.0551547,1.4375167,1.8107258,2.1024494,2.45798,2.7936532,0.092475064,0.50786656,0.0,240.9032
6.6355727e-12,0.024998384,2.4630988,-15.287502,-6.0224795,4.4799657,-1.5016695,3.4049788,-4.704448,9.685711,-0.00627319,-15.317996,-14.621373,-5.810743,0.22564967,0.4329183,1.0417176,1.4312325,1.801112,2.1116793,2.4571493,2.7844918,0.075853735,0.5938217,110.39874,248.42761
5.383576e-12,0.02406346,4.640916,-14.623707,-5.0689564,1.8696347,-2.6212962,3.3579333,-6.609062,0.96751565,2.1060092,-6.556038,-13.861621,-11.7808695,0.21638922,0.43606076,1.0245141,1.4373845,1.7978916,2.1304553,2.457863,2.7724507,0.055908132,0.69642687,209.08923,258.66827
