pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-18.32902,9.690486,-0.6037772,1.3503752,-2.4714468,1.4889504,-2.3759148,1.0321158,2.5262578,-0.86600643,-3.6393573,2.9488828,0.61857337,0.9184535,1.3022105,1.5927577,1.9522995,2.2688742,2.5187032,2.7231464,0.9894228,0.13506459,0.0,0.0
0.0,0.0,-19.479334,10.320508,-1.1273948,2.2330596,-2.8836653,1.2761658,-2.4226558,1.3768073,2.262087,-0.5824657,-3.5679235,2.3088415,0.629842,0.9281121,1.285396,1.5702969,1.9359804,2.2520792,2.5081208,2.7481778,0.98821396,0.15912507,0.0,0.0
0.0,0.0,-20.598822,7.583076,-2.5953398,4.8196464,-3.377738,1.9101223,-3.968652,1.772936,-0.30566993,1.9006437,1.5765148,-1.0638174,0.62177086,0.94445133,1.268686,1.5435675,1.9168586,2.251543,2.4993813,2.7565014,0.9845875,0.16379179,0.0,0.0
0.0,0.0,-20.355375,7.0460796,-4.590805,5.995949,-2.6985476,3.8652973,-5.4813323,0.7300802,-1.040985,2.7709522,2.7520027,-1.2472059,0.60354227,0.9538572,1.2779092,1.5478355,1.9127344,2.259795,2.4932277,2.7429445,0.9767301,0.16318645,0.0,0.0
0.0,0.0,-22.196014,3.4484613,-2.7251627,5.507545,-2.452089,4.9933567,-2.649469,-1.3090005,-3.448477,3.2815921,2.7942104,-1.0952371,0.5823012,0.94008774,1.2865968,1.5656862,1.9137897,2.2522442,2.4865634,2.7468128,0.97008157,0.12545894,0.0,0.0
0.0,0.0,-22.9888,2.943656,-3.0991294,3.967843,-1.8923626,5.2392936,1.1146351,-1.0316215,-2.055311,2.289036,-3.5134442,-0.70271045,0.57297903,0.92725426,1.2864267,1.5929977,1.908086,2.2286472,2.4846337,2.7482936,0.94953156,0.14753813,0.0,0.0
0.0,0.0,-22.109762,2.5725362,-5.101603,2.296202,-0.24014616,5.3106484,4.0277715,1.0075606,1.107171,6.9454474,0.8530858,-2.6394925,0.5466943,0.91619605,1.2723593,1.6023173,1.9104036,2.2267191,2.4916964,2.734046,0.889997,0.21316259,0.0,0.0
0.0,0.0,-17.883253,3.4410117,-6.8820176,2.8408258,1.8249474,4.660707,1.2420645,2.4357014,2.778639,9.773415,2.6732652,-3.9983456,0.51282793,0.9132388,1.2586184,1.6118857,1.9171301,2.2334921,2.496302,2.7065117,0.79208225,0.30639926,0.0,0.0
4.1735173e-14,0.002832473,-14.931286,5.057144,-3.9553158,1.4063379,3.6978562,4.087667,-3.8196707,2.0094633,2.5947068,8.0503645,7.488993,-1.937079,0.48706853,0.8825302,1.2547883,1.6109185,1.9313205,2.2328923,2.491532,2.7034595,0.70414025,0.35485134,0.0,0.0
4.1735173e-14,0.002832473,-15.085315,3.8343818,-1.8430303,-1.2615236,4.9579506,4.8819737,-7.998754,-1.715556,-4.6502976,2.2178984,6.353924,-2.553985,0.4809595,0.845223,1.2455618,1.6014204,1.9288235,2.219882,2.4828947,2.7103188,0.6403748,0.39248586,0.0,0.0
8.347035e-14,0.005664946,-15.36073,5.1868496,-3.452205,-3.701208,8.284398,10.762901,-7.168734,-2.8810265,-8.654609,-0.13966505,11.696742,-6.3392982,0.46488664,0.81808347,1.2215772,1.5763249,1.9148806,2.2070937,2.4830368,2.7141979,0.5590813,0.40344778,0.0,0.0
4.1735173e-14,0.002832473,-14.920518,6.0602136,-6.714283,-5.8245797,11.910466,15.623319,-7.055565,-4.8274913,-11.885734,2.0410252,13.650345,-11.393704,0.44264427,0.8051818,1.1957035,1.5473534,1.9006091,2.2027283,2.485792,2.7115622,0.4614687,0.4202032,0.0,0.0
8.3466444e-14,0.0056648664,-13.333511,7.82069,-5.625002,-5.642918,13.931037,18.930227,-6.022616,-4.233086,-9.72842,4.263368,13.62559,-15.374729,0.42616472,0.7949965,1.1717794,1.5198313,1.8842679,2.1979315,2.484863,2.7136219,0.3526745,0.43972015,0.0,0.0
4.173127e-14,0.0028323939,-12.526684,9.855943,-3.8782146,-5.5587945,11.750163,17.509722,-9.622054,-3.8107994,-8.510045,4.8535347,13.128761,-14.449491,0.42637312,0.7787927,1.1531109,1.5034419,1.8657867,2.1901045,2.4758852,2.7177553,0.30432156,0.42589334,0.0,0.0
2.5040324e-13,0.0074228346,-11.576465,11.403515,-1.1736962,-7.6800933,9.896745,19.642479,-10.783851,-3.5776882,-9.546902,7.86783,14.572383,-11.0905905,0.42445922,0.7628658,1.131903,1.494277,1.839384,2.183084,2.4699743,2.7212703,0.24629797,0.4173638,0.0,0.0
2.921384e-13,0.008077575,-9.828691,13.668117,-0.6789987,-9.05262,8.298663,19.770859,-10.828842,-1.2249573,-9.411017,9.966431,16.186148,-9.740811,0.40786925,0.74561137,1.1127418,1.4922613,1.8164829,2.182849,2.468014,2.724006,0.22000605,0.3728834,0.0,0.0
3.3386968e-13,0.010909968,-8.103741,13.497764,-1.0322739,-11.408063,7.0301833,14.684899,-11.116704,2.0624135,-6.611529,13.756821,14.014192,-14.650723,0.38297662,0.7275472,1.0936512,1.4885362,1.8050805,2.1812658,2.4656682,2.7280266,0.16651557,0.4492971,0.0,0.0
1.2519772e-13,0.006319528,-6.7611976,13.520447,0.029883305,-11.26463,5.0411844,10.483853,-10.619338,10.956838,0.8708143,13.626128,12.859912,-16.229902,0.37216607,0.7000203,1.074606,1.4808551,1.8098348,2.1726487,2.4591982,2.7323449,0.13961922,0.49305168,0.0,0.0
1.2519772e-13,0.006319528,-6.362522,12.478303,0.67392325,-15.693448,1.208474,6.2663627,-11.450986,18.40969,1.252083,10.951875,13.257413,-13.959723,0.3666532,0.67496854,1.0495737,1.4732074,1.8098888,2.1591628,2.451178,2.7316313,0.09972802,0.5282336,0.0,0.0
1.4189296e-12,0.011498466,-5.712644,13.006805,1.604786,-18.294622,0.2558665,10.8042,-9.93159,21.270494,-1.1830134,10.549505,12.541446,-7.5109305,0.37042677,0.6815605,1.0497037,1.4466711,1.7847837,2.1102781,2.4375682,2.7169702,0.08129344,0.51283747,0.0,0.0
2.1701276e-12,0.018239731,-6.939734,13.713664,0.16875018,-17.09054,-2.798094,8.928322,-8.883869,19.468771,-4.551683,11.936852,9.177681,-7.4426093,0.3702978,0.7092108,1.0468041,1.4219236,1.7486337,2.0524,2.40283,2.7081769,0.072831675,0.5183942,0.0,0.0
3.1300056e-12,0.02219209,-7.804975,15.135304,-2.6419659,-15.781902,-3.3850467,8.214142,-9.9881735,16.919008,-5.688063,14.051854,10.010932,-5.825577,0.37103334,0.738431,1.0552667,1.401564,1.7228621,1.9931563,2.3634968,2.709771,0.08371109,0.5711612,0.0,0.0
1.8362735e-12,0.017013153,-7.622392,14.919266,-3.3658464,-14.83192,-2.9248111,5.7629247,-11.990565,16.934473,-1.280437,11.797114,12.880441,-4.2517447,0.36077777,0.7283998,1.0404097,1.4090791,1.7263206,1.9829637,2.3338335,2.7251015,0.08703536,0.58402425,113.07693,28.269232
5.1749312e-12,0.021479873,-5.8650975,13.797343,-3.0656774,-18.31566,-2.263711,6.566593,-15.046878,16.880737,-2.3935077,7.093615,16.299536,-2.98499,0.34018192,0.70110923,1.0304191,1.4178457,1.7367195,1.9923086,2.3286602,2.7368524,0.0843155,0.6097943,232.07445,79.220535
8.304854e-12,0.025316454,-3.279011,13.429909,-0.41556346,-17.35537,-4.838316,9.060306,-13.854119,14.657998,-3.467308,5.373815,16.786253,-3.9704459,0.31123528,0.67610407,1.0176135,1.4122977,1.7386532,2.0161157,2.3305051,2.7406528,0.0695074,0.6357551,358.44653,149.02704
2.0282291e-11,0.037971422,-1.8804015,11.951477,-0.013261874,-17.89557,-10.50774,13.438275,-14.351688,14.951364,-7.5235047,5.378445,16.983278,-1.952823,0.27766395,0.6600008,1.0078293,1.3807517,1.7351012,2.029768,2.334205,2.743456,0.06165005,0.6297579,379.95572,206.7592
1.6943634e-11,0.033504706,0.25827456,10.941783,-3.146159,-17.782484,-12.0028105,16.76292,-12.948228,16.257044,-13.362366,4.742117,20.605654,0.53513837,0.23758696,0.6492799,0.99969214,1.3437022,1.7209172,2.0345,2.325423,2.750592,0.051979452,0.5982917,395.61832,253.97398
2.2869805e-11,0.036928188,2.901034,9.808983,-7.089905,-18.800463,-10.311599,20.21338,-12.753211,15.457527,-15.155133,2.0948198,19.77469,6.5437317,0.20222771,0.6318204,1.0035135,1.3258282,1.7204064,2.0352333,2.3256671,2.75466,0.04986401,0.55576783,269.24625,282.33356
1.1893955e-11,0.028880263,2.1925094,9.1481,-8.120368,-18.213144,-9.091834,19.97455,-8.498161,8.9460745,-15.357726,-0.073264636,17.560616,9.3669405,0.21422279,0.6615713,1.0225626,1.3383175,1.6940511,1.9741716,2.265837,2.7190182,0.055908132,0.5549062,214.11958,289.82156
1.8696433e-11,0.035611942,-2.3550644,10.474125,-6.997952,-14.84796,-8.707692,17.902384,-3.9842112,0.19510555,-6.5575314,3.9986608,14.074502,11.862958,0.2664026,0.71830153,1.039458,1.3576479,1.6691576,1.9177607,2.1871414,2.6432579,0.07343609,0.55297023,189.86226,289.37326
5.74243e-11,0.044496194,-9.189485,12.343636,-6.6615715,-8.31268,-8.59301,14.671304,2.3972664,-4.6015706,-3.3890772,2.6995876,13.856832,14.619503,0.34006616,0.7954207,1.0483319,1.3790773,1.6357923,1.8613988,2.0945232,2.5374901,0.09066183,0.548117,189.86226,288.92496
5.74243e-11,0.044496194,-12.58197,14.109801,-8.896619,-5.514899,-4.7340035,16.401545,5.030177,-4.322856,-1.2280594,3.3302336,15.944252,11.886853,0.37941325,0.8284332,1.0486835,1.3994217,1.6361924,1.867684,2.0644448,2.4527514,0.100634634,0.5176602,110.40281,293.15332
5.27086e-11,0.0410675,-12.692666,12.50586,-8.409556,-2.2702248,-1.9453331,18.703196,6.5431705,-1.6851568,-3.9448917,-1.7082548,13.200584,5.189144,0.3926921,0.83492297,1.0549631,1.4271955,1.6471529,1.8798844,2.0674875,2.4127343,0.106678754,0.46826634,0.0,293.15332
4.9664036e-12,0.025011307,-12.411102,11.1699915,-7.743529,-1.9495811,-2.4178407,14.573171,2.520139,2.6059673,0.9791703,1.4123117,11.511096,-4.4416595,0.3977265,0.8305548,1.0643333,1.4343575,1.6566483,1.8944737,2.0817127,2.4112654,0.11755818,0.4063606,0.0,293.15332
5.0081974e-12,0.025099484,-11.981801,9.725462,-9.305142,-0.9655965,-4.185982,4.7598033,-0.6960628,1.653099,-0.29781613,-1.2660371,9.691818,-7.7061477,0.3973839,0.8306215,1.0660466,1.4259682,1.65445,1.910318,2.0921295,2.442919,0.12632215,0.39713958,0.0,293.15332
