pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.115730464,0.0,0.0
0.0,0.0,-0.130383,0.20496196,-0.27100545,0.3252917,-0.3654362,0.39004803,-0.39880076,0.39241192,-0.3725368,0.34158763,-0.3024964,0.2584478,0.44169292,0.76591355,1.116817,1.4476099,1.791787,2.1258686,2.4666233,2.803074,0.9978846,0.27579167,0.0,0.0
0.0,0.0,-5.520205,4.1968803,-1.1202213,0.15390919,-1.1034603,1.3647095,-0.5860956,0.32504728,-0.76060694,0.7872777,-0.33499917,0.21702446,0.5343018,0.8336628,1.1863934,1.4989201,1.8381578,2.1572564,2.4898338,2.8136318,0.9972801,0.31713018,0.0,0.0
0.0,0.0,-10.381282,4.6295776,-1.0610528,-1.1775398,0.12036506,3.1687996,0.5319527,0.2178992,-5.367226,0.74399966,1.768766,3.0798912,0.5891008,0.8871705,1.2515491,1.5595688,1.9016291,2.2042189,2.527127,2.8083985,0.9848897,0.24495284,0.0,0.0
0.0,0.0,-17.609243,2.6945858,-2.8740082,-2.8529747,1.8808409,6.7135262,2.2470427,0.9535115,-7.4377594,1.0305972,0.6740888,4.78618,0.55154985,0.8896386,1.2478572,1.5610051,1.9192363,2.222788,2.53148,2.7841465,0.96585065,0.14598413,0.0,0.0
8.3466444e-14,0.0034871344,-19.765316,-2.2729003,-2.7982986,-0.44516897,1.5330572,11.956922,8.085147,3.2321465,-5.806015,3.2224424,0.53676516,4.4877543,0.5081846,0.9000475,1.2293016,1.5481299,1.9316844,2.2468474,2.5330546,2.7526085,0.9153823,0.21916683,0.0,0.0
8.3466444e-14,0.0034871344,-22.924393,-3.8865378,-2.6099176,5.820514,1.2810682,18.157173,14.885917,4.083706,-3.7918155,3.884442,-1.3327584,5.4825616,0.4962066,0.90981144,1.2121372,1.5220714,1.9174261,2.2373679,2.5116484,2.7275598,0.8325779,0.32010743,0.0,0.0
1.6693289e-13,0.0069742687,-22.631647,-2.7618237,-0.26061782,11.239021,1.8925003,20.191223,18.163746,4.8011956,-1.0548024,5.8859177,0.78753895,3.762468,0.48261452,0.8908283,1.1998653,1.505733,1.8999435,2.214808,2.4911604,2.72002,0.70172256,0.43230844,0.0,0.0
8.3466444e-14,0.0034871344,-21.954027,-2.471861,1.0328531,14.411519,7.44142,19.901613,16.075695,6.193724,-2.340896,4.430551,0.7590473,2.8254535,0.4689074,0.8716094,1.2009163,1.5022076,1.8915462,2.1864398,2.4767652,2.7306716,0.55273503,0.50745386,0.0,0.0
1.2519772e-13,0.006319528,-19.969656,-2.6209252,-1.624945,12.809409,10.862732,20.156157,14.540883,10.211714,1.0267998,9.588258,-1.0133504,1.5148607,0.45607933,0.86597365,1.1948273,1.4882002,1.883787,2.18583,2.477748,2.7487433,0.41190693,0.5565512,102.083336,25.520834
1.2519772e-13,0.006319528,-20.141775,-3.3254535,-3.088712,12.998897,13.0864105,25.040583,19.046217,10.630212,-0.74525976,11.16629,-1.6214353,3.9122517,0.44150713,0.8732164,1.1776558,1.4619764,1.8698573,2.1859834,2.483432,2.760081,0.30401933,0.5823646,204.16667,70.18229
2.0866418e-13,0.009806662,-18.923185,-3.557767,-5.305777,13.244416,10.817542,25.612185,21.995512,9.141176,-0.9585255,14.51469,-2.4841907,6.5516567,0.4264945,0.8646938,1.1688447,1.4256419,1.842969,2.1784813,2.486206,2.7589903,0.24780901,0.5997769,304.07413,128.65526
2.5039934e-13,0.010461402,-17.821518,-3.2805784,-2.275406,16.001373,7.823788,21.402006,19.22306,8.412738,1.232358,10.163247,-1.5220321,6.3845353,0.40553632,0.856795,1.1746484,1.3999939,1.812575,2.1562636,2.4820168,2.7636337,0.22272591,0.612768,295.9486,170.47859
2.5039934e-13,0.010461402,-14.538041,-1.5578861,-1.348281,17.391344,5.2029843,16.387352,15.278968,12.065723,3.4602528,3.5625632,-1.1163033,6.52928,0.382218,0.8412268,1.1907516,1.3843956,1.7769169,2.153058,2.4773219,2.7609637,0.22030826,0.59671813,288.17035,199.9015
3.7559314e-13,0.011564632,-12.783793,-2.1028302,1.6500053,18.720106,4.7099752,11.4112625,7.8758454,13.400708,5.8421345,0.6941096,1.0787876,8.550855,0.34890652,0.8118262,1.1898438,1.3794569,1.7403933,2.147845,2.467494,2.74957,0.2024781,0.5530041,188.2629,215.51295
5.007987e-13,0.012667938,-10.852298,-2.0882504,-0.83767986,20.131712,7.3552394,7.745417,2.0978029,8.58323,5.83777,-1.6617495,2.1038737,9.683685,0.33150893,0.77813655,1.1620507,1.3820459,1.7119132,2.1312668,2.4552667,2.7433593,0.16440012,0.51949644,94.30508,222.25319
6.2599253e-13,0.013771168,-11.453003,-1.1919364,-1.4383243,20.809065,13.111512,-0.24387152,-3.2292106,4.2236996,7.676028,-0.3477336,0.9414446,7.6791625,0.34366727,0.74820167,1.0916264,1.3731142,1.6985207,2.0841825,2.4377203,2.743479,0.12934421,0.53933424,0.0,222.25319
5.007987e-13,0.012667939,-14.580365,1.3876182,-3.6115043,21.415228,24.416245,-2.3806448,1.7077223,1.9063358,3.471236,-5.589071,-1.1648839,3.8991282,0.39535466,0.74758625,1.0260838,1.3573341,1.6851093,2.0243537,2.401152,2.7570179,0.10123905,0.5750461,109.7015,231.15747
2.378788e-12,0.017236553,-19.383545,4.612905,-3.8413918,20.4238,30.605143,0.96061105,11.925088,2.7778308,6.2283306,-9.153834,-4.2166085,-0.27433786,0.4596466,0.76046115,0.9869249,1.3370434,1.6647099,1.965972,2.3441193,2.7556913,0.0936839,0.46729937,217.2617,246.20464
3.5055908e-12,0.020657523,-19.680147,8.418126,-5.6305566,18.776266,26.119652,-0.965038,15.104851,0.7232406,2.5052445,-14.209412,-2.009177,0.9037021,0.48037767,0.7816561,0.98396415,1.3403788,1.6534581,1.9222108,2.2371955,2.7421324,0.077062555,0.45713577,217.2617,261.25177
7.595392e-12,0.028446464,-16.498337,14.026352,-3.8850527,15.520267,14.182263,-0.060215514,14.182326,-3.7836897,6.9189644,-15.608914,-5.6770873,2.4980812,0.4713585,0.8007636,0.9874899,1.3548998,1.6457688,1.8924264,2.1313298,2.7196505,0.063463286,0.47976685,218.41548,272.8256
2.0908131e-11,0.035970103,-14.366242,19.967266,-2.7902985,13.863868,8.491069,-3.453227,13.355438,1.3429823,6.3010297,-14.668022,-4.2930694,4.2677407,0.44875503,0.81199026,0.9888105,1.3713188,1.6365756,1.8755738,2.0381749,2.7039318,0.050166216,0.6179943,211.37494,279.74582
2.6667177e-11,0.04118061,-16.853516,21.490885,-1.1203381,13.631596,12.668895,4.3154206,20.73433,7.724125,13.40015,-10.237607,-6.6869082,3.0435479,0.4775351,0.8161934,0.9856479,1.3688799,1.6048541,1.857163,2.006981,2.7015944,0.05228166,0.64942735,322.09195,290.33237
2.958842e-11,0.043126374,-21.477167,20.823156,-6.5180206,12.769093,18.682066,7.569962,29.082373,18.386381,17.472563,-4.2466326,-0.7286227,2.0422316,0.517827,0.8122372,0.9808957,1.3581218,1.5788078,1.8387386,1.9974436,2.7044208,0.06225446,0.6428346,331.71243,300.67737
