pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-20.748697,9.907643,0.42017198,0.7083111,-2.121459,1.0975761,-0.40290216,-0.44981965,-1.5856737,3.2851198,1.0568783,-2.658457,0.63064545,0.8855149,1.2804003,1.595425,1.9133807,2.208944,2.5112977,2.7666073,0.98881835,0.13402472,0.0,0.0
0.0,0.0,-19.543655,12.4559355,-2.0178988,-0.95772094,0.64490604,0.16841233,-1.5058426,1.9594456,-2.243815,1.600989,0.7207644,-0.010111411,0.6451142,0.90935105,1.2674981,1.569806,1.9238054,2.221202,2.5133724,2.77886,0.9900272,0.1580953,0.0,0.0
0.0,0.0,-18.600714,13.905005,-3.4976177,-1.2327397,0.8326729,0.418799,-2.105325,3.099187,-1.1418977,-1.557032,0.3840572,3.5704746,0.6496355,0.9257929,1.2602524,1.5642081,1.9403788,2.228248,2.5094202,2.7811224,0.99032944,0.15394787,0.0,0.0
0.0,0.0,-19.688156,12.151978,-1.5800356,-0.13593785,-1.5736504,1.7175118,-1.5430609,0.2812074,2.296398,-2.1064398,-1.3965902,3.5638354,0.64099884,0.9166656,1.2721506,1.5793037,1.939002,2.2267265,2.4971242,2.7735777,0.9867029,0.15572111,0.0,0.0
0.0,0.0,-22.252626,9.821919,-0.9939855,2.9182968,-3.7979689,1.5118681,2.1004584,-2.2863772,2.1696289,-4.6313004,-1.1497806,8.097316,0.62779456,0.8984866,1.287454,1.5928127,1.9195685,2.2217765,2.477327,2.7781858,0.98337865,0.12790503,0.0,0.0
0.0,0.0,-21.768593,9.515416,-1.5911559,3.8808248,-3.6123192,0.15770347,3.12524,-2.2414048,1.6551999,-4.374807,-1.218884,8.370923,0.61962277,0.8936043,1.2942221,1.5839262,1.9047285,2.2185667,2.4574733,2.7837734,0.97703236,0.15105473,0.0,0.0
0.0,0.0,-22.40036,6.979611,-3.58974,6.0525184,0.895991,-2.5765047,-2.9927979,0.60737014,2.6490633,-3.178505,0.92715883,8.328605,0.61638266,0.9019425,1.2849144,1.5779308,1.9024926,2.2173622,2.4574282,2.7819602,0.9703838,0.16660944,0.0,0.0
0.0,0.0,-23.190336,5.5731254,-3.6420536,8.161529,-0.1217103,-1.9403119,-9.911096,2.94758,6.760168,4.4721103,4.837905,5.7386184,0.60742193,0.9278037,1.2735103,1.5702451,1.9177675,2.2101047,2.4609964,2.765399,0.94409186,0.20558424,0.0,0.0
0.0,0.0,-26.092089,1.5937921,-3.5782566,10.468853,-0.8150912,-2.4071615,-13.580808,4.1589866,13.005935,12.63054,6.6489463,7.2274895,0.59208214,0.9399641,1.2578291,1.5542377,1.9180387,2.2103565,2.4716527,2.749553,0.8854639,0.26865518,0.0,0.0
0.0,0.0,-24.590044,1.9305512,-4.704397,11.377564,-4.5714593,-1.9104489,-10.1680155,6.588085,22.035728,21.15075,12.186254,7.577469,0.56852984,0.9375434,1.2598327,1.5349714,1.9120878,2.2035217,2.4644227,2.7327144,0.7990329,0.35035506,0.0,0.0
0.0,0.0,-23.437937,1.746645,-3.4244287,12.896209,-6.803515,-5.3375916,-6.7486367,11.458234,30.422134,24.185587,14.349796,7.136694,0.5504706,0.92897636,1.2656331,1.5154103,1.8941654,2.2080686,2.4666877,2.720064,0.67784834,0.40001276,0.0,0.0
0.0,0.0,-21.826578,2.8342638,-3.4518306,13.256537,-8.354856,-5.0334725,-5.158438,16.435705,35.12614,24.129263,15.335027,4.4688344,0.5402929,0.9285005,1.2813121,1.5068197,1.8772341,2.2019405,2.4678295,2.717037,0.5627077,0.38967368,0.0,0.0
4.1735173e-14,0.002832473,-21.188179,3.358843,-3.8587196,14.049893,-4.0021234,-2.9606037,-4.499475,21.403612,32.263596,18.042917,11.366382,2.8035011,0.522253,0.9261839,1.283608,1.5005449,1.8615279,2.1961944,2.4763715,2.7156897,0.47476578,0.3825983,0.0,0.0
1.2520162e-13,0.006319607,-19.344849,2.052773,-6.5940022,13.204853,-0.3118095,-0.76930565,-0.47673926,23.491869,31.442596,15.472881,11.81454,3.9921362,0.5046865,0.9151555,1.2771028,1.4955114,1.8503913,2.1788604,2.473336,2.7270203,0.42429736,0.4188293,0.0,0.0
2.0866808e-13,0.009806742,-18.424505,2.0744517,-5.1361365,13.602443,1.9011006,-1.1842823,-1.1101431,21.889063,29.274515,18.481209,14.559895,6.5919633,0.46857414,0.89925694,1.268073,1.487414,1.8439188,2.1657193,2.4692774,2.7440236,0.36476278,0.45865497,0.0,0.0
2.5039934e-13,0.010461402,-15.945315,1.6220593,-2.5833998,13.959499,1.9508525,-4.457382,-4.880585,10.0074625,26.859728,23.493643,16.83884,10.693158,0.43370673,0.88317007,1.2648655,1.4809241,1.8373585,2.163973,2.4616206,2.7618797,0.3109701,0.5016695,0.0,0.0
3.7560485e-13,0.011564709,-14.063836,1.0591415,-0.8137575,17.655079,6.3395495,-4.9158115,-8.99558,-0.7119293,18.413519,24.788078,12.955005,10.038825,0.38847816,0.85999185,1.2580615,1.4773861,1.8340387,2.165548,2.457777,2.76036,0.27561197,0.51403165,0.0,0.0
