pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
4.173127e-14,0.0028323939,-30.84166,4.362181,3.6761215,14.04247,-1.2794453,8.7280035,10.147042,16.11033,9.729614,1.9683815,2.122235,5.3258057,0.6226343,1.004722,1.3190979,1.5544158,1.962984,2.206926,2.3392518,2.738083,0.42520395,0.510907,0.0,0.0
8.3466444e-14,0.0056648664,-30.566423,4.762932,4.494608,13.367845,-1.4233832,6.9072423,9.625974,20.044336,11.673809,-0.5128022,-0.3313047,7.035753,0.62086374,1.0066801,1.3158431,1.5591305,1.96274,2.2138803,2.3373106,2.7280703,0.41885766,0.5034599,0.0,0.0
1.2519772e-13,0.0084972605,-30.281775,5.1684117,4.590956,12.515143,-0.6546977,4.443902,9.875897,23.501162,9.371138,-0.020508924,0.46373382,7.0096874,0.62269276,1.0089124,1.3096333,1.5687237,1.9617729,2.2187192,2.334028,2.718213,0.41976428,0.4882144,0.0,0.0
1.2520162e-13,0.00849734,-30.396044,6.1701164,2.1773152,11.889457,-0.35036007,6.8441453,11.757004,21.28775,4.5590158,2.5385563,1.4225779,7.0755935,0.6354111,1.009675,1.3029803,1.5848206,1.960122,2.2174742,2.330416,2.7211933,0.43245694,0.46249437,0.0,0.0
8.3466444e-14,0.0056648664,-30.232553,7.956942,1.4954659,10.451629,-1.3077326,7.903895,8.613353,20.717207,4.910212,6.835673,4.456481,2.8428428,0.65714425,1.0168303,1.2959696,1.594788,1.9504138,2.2116878,2.3248065,2.729242,0.45633125,0.46136892,0.0,0.0
8.3466444e-14,0.0056648664,-30.61426,9.963341,2.6006947,9.961621,-0.46127176,6.8326726,4.066153,19.292124,9.144795,7.216227,6.6233153,2.6158707,0.6687475,1.0244933,1.2927941,1.5969454,1.9461099,2.2081645,2.3246377,2.7275765,0.47869444,0.46264338,0.0,0.0
1.2519772e-13,0.006319528,-30.300064,9.660687,2.8434608,9.222748,0.3161831,7.1039176,2.8051307,16.788477,10.356793,7.213627,5.8905716,1.6154199,0.6647679,1.0292954,1.2916973,1.5972538,1.9442209,2.2081037,2.323187,2.7112968,0.5098217,0.44437924,0.0,0.0
1.6693289e-13,0.009152001,-30.154642,7.400781,3.7497375,7.789021,3.2117693,7.654491,5.310063,13.169206,6.439277,6.79433,5.712909,5.3911514,0.6429985,1.0204104,1.3012434,1.5993953,1.9473585,2.207458,2.3200967,2.701249,0.5285585,0.42851058,0.0,0.0
1.6693679e-13,0.00915208,-29.550362,4.5161796,3.1365652,7.8167777,3.8399494,13.518547,6.0173397,11.193477,2.5535996,7.1210823,3.6536515,5.8496494,0.6232179,1.0082124,1.3120413,1.6092769,1.9464931,2.210421,2.313259,2.7104023,0.5191901,0.43551412,0.0,0.0
1.2520162e-13,0.00849734,-29.68313,3.896345,4.5917945,7.738411,3.0920513,14.381577,6.5472183,9.696071,4.5173135,9.076264,2.969086,6.2399583,0.6073302,0.99973696,1.3263227,1.6147453,1.9534782,2.212962,2.3116572,2.7289295,0.4859474,0.448529,0.0,0.0
1.2520162e-13,0.00849734,-29.73081,3.5083523,4.3759403,10.231797,5.268425,14.433152,3.5794199,7.743994,4.909264,10.915543,4.2697816,6.579103,0.6078375,0.99846274,1.3362455,1.6178113,1.9620757,2.2131636,2.3165157,2.7329242,0.46781504,0.45593926,0.0,0.0
1.2520162e-13,0.00849734,-29.714304,3.8381786,3.6104324,10.866463,6.73348,11.094853,4.2638326,5.3508816,5.9593177,12.409428,5.2008233,6.4246507,0.61537105,1.0043125,1.3408657,1.6109542,1.9702734,2.2051687,2.3181658,2.72413,0.47446358,0.43909398,0.0,0.0
8.347035e-14,0.005664946,-29.57634,3.765992,1.5354189,9.791633,8.735009,12.698985,3.5375836,6.6568794,4.4865413,10.0652075,4.3138075,8.182559,0.6257122,1.0017277,1.3364096,1.6089433,1.9716069,2.2025769,2.319477,2.7162752,0.4932004,0.4444784,0.0,0.0
4.1735173e-14,0.002832473,-29.93528,4.3460083,1.4303151,9.834918,7.566381,10.623903,2.9082134,7.644529,3.732817,10.784351,5.14152,8.724214,0.63327855,1.0038811,1.3265189,1.6031202,1.9674078,2.203605,2.3174775,2.712773,0.51072836,0.4367784,0.0,0.0
0.0,0.0,-30.061018,5.3725853,-0.17475422,9.526883,7.0648,11.429971,2.3319118,10.942257,3.778083,8.605721,4.8370914,8.786765,0.64265895,1.0019002,1.3175373,1.6089503,1.9716687,2.207863,2.3187604,2.7132308,0.52704746,0.43716297,0.0,0.0
8.3466444e-14,0.0034871344,-29.637169,4.6522393,-1.1305702,11.733246,5.664337,12.463407,1.063883,11.579316,3.1612492,7.82733,7.8483243,8.110275,0.644611,1.0008955,1.3096662,1.6132965,1.9802135,2.2046106,2.3197527,2.7165546,0.5291629,0.4191885,0.0,0.0
1.2520162e-13,0.006319607,-29.406555,4.3533025,-1.7317048,12.106903,5.313435,11.70819,1.9444326,15.829944,6.5442033,3.7370005,3.9662228,5.068488,0.64024466,0.9980757,1.3088845,1.6244745,1.9846584,2.2027485,2.3156302,2.73054,0.5182834,0.4113462,0.0,0.0
1.6693679e-13,0.00915208,-29.495386,3.844581,0.61049795,13.562091,3.5637074,10.057781,2.6924975,14.948925,7.322195,6.8381767,1.9631823,3.524555,0.638308,0.9961317,1.3153793,1.6240038,1.9776878,2.208313,2.3127277,2.7436676,0.5252342,0.37658325,0.0,0.0
1.2520552e-13,0.008497419,-29.96889,4.5778384,1.6684383,9.710279,3.6810644,7.593146,5.6349387,13.491783,4.0536523,8.409227,-0.095393576,2.0080864,0.6400373,1.000255,1.326009,1.6167437,1.9703933,2.2143722,2.3132594,2.7495346,0.56603205,0.34643665,0.0,0.0
8.347035e-14,0.005664946,-29.844095,3.5574663,0.88520813,9.23146,2.0200806,11.68705,6.2138114,10.107545,-2.0251315,10.894191,2.298648,5.124824,0.6411421,1.0023428,1.3266398,1.6058589,1.968124,2.218827,2.3235385,2.735153,0.6047144,0.35999212,0.0,0.0
4.1735173e-14,0.002832473,-30.207169,3.9942503,0.37459397,8.644382,3.219982,14.164807,5.3790355,8.444234,-3.1292267,9.277417,3.7953758,10.536338,0.6337699,1.0039064,1.3153337,1.5990281,1.9603721,2.2211082,2.333214,2.728224,0.5572681,0.4644959,0.0,0.0
4.173127e-14,0.0028323939,-30.263899,4.3020477,2.064149,12.978336,4.699696,15.191941,5.286319,8.496314,-0.56332743,12.17812,6.210386,14.683513,0.6213059,0.9981888,1.2977085,1.603241,1.9550848,2.2228222,2.339547,2.7242165,0.40314293,0.60834885,89.63415,22.408537
1.2519772e-13,0.006319528,-30.263678,7.74626,4.1249466,14.094056,5.3569126,11.835076,10.243466,11.385306,2.8619225,12.577497,6.5599103,16.110073,0.60927355,0.99472386,1.284779,1.6127537,1.9473256,2.2292416,2.33974,2.7172062,0.21970384,0.68143916,186.21179,63.359344
2.0866418e-13,0.009806662,-29.937363,9.019179,4.2690187,13.867213,4.959973,10.682467,16.085396,13.249526,2.211103,11.1626625,9.823731,15.152287,0.6115548,0.9923637,1.2797416,1.6230873,1.9570919,2.2312224,2.3386915,2.7087448,0.168631,0.6175781,284.87247,118.73763
3.7559314e-13,0.011564632,-29.862627,9.155721,2.518885,11.641131,4.975699,9.550118,12.695758,12.808361,6.7442174,5.769968,7.1556354,15.429877,0.6172896,0.98723143,1.2823328,1.6213115,1.9618584,2.2298994,2.3370152,2.70712,0.27379873,0.5371675,195.23833,151.70738
3.7559314e-13,0.011564632,-30.046858,8.276092,1.505857,11.280681,7.8034577,12.73343,8.943062,8.669622,9.029351,4.9384947,7.0790534,15.737064,0.618186,0.98484373,1.2844439,1.6108786,1.9664792,2.220601,2.338401,2.728175,0.3865216,0.5532379,98.66068,166.13484
3.3385797e-13,0.010909892,-28.943892,6.5915685,0.42595223,12.061097,10.271339,14.687408,4.9047775,9.3458605,14.317348,6.31699,3.9710143,15.130363,0.60610694,0.98831433,1.2875314,1.6038804,1.9643945,2.211008,2.3384082,2.7394607,0.38742825,0.60123724,98.15854,176.82991
2.0866418e-13,0.009806662,-27.740892,7.385406,1.132954,12.402822,6.291542,13.853404,7.525652,9.78812,13.109588,9.376952,3.7689602,12.9952135,0.60287315,1.0041451,1.2882514,1.5934143,1.9678339,2.2024715,2.3380692,2.749932,0.34783924,0.6099821,196.2378,195.52644
