pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
4.1735173e-14,0.002832473,-29.176775,2.2190323,-3.3309572,10.59549,12.149396,3.0038402,5.2181745,4.5972037,-1.033641,0.84012324,5.033958,7.69899,0.67010087,1.0008157,1.5055321,1.7356232,2.0103104,2.2118814,2.486694,2.6166465,0.6860078,0.21570401,0.0,0.0
8.3466444e-14,0.0056648664,-29.263033,3.2004921,-3.2149856,9.154412,11.17955,5.0709977,2.3172185,6.9765134,2.473448,-0.72683567,4.4286656,4.2608576,0.66602874,0.9905452,1.4910017,1.727707,2.003207,2.22103,2.4860566,2.6178892,0.6878211,0.22881913,0.0,0.0
8.3466444e-14,0.0056648664,-29.998343,5.18568,-0.5866163,7.5565057,6.8432083,4.5853567,-0.058366735,9.215928,5.5613155,1.6289759,4.2585583,1.8311127,0.6741193,0.98083097,1.4761682,1.7164792,1.9992334,2.238238,2.4869356,2.6212978,0.68933207,0.24191977,0.0,0.0
8.3466444e-14,0.0056648664,-29.770666,6.0329432,-0.5521713,8.645298,3.2494984,4.4112334,1.0888442,10.688342,7.1926703,0.6988723,4.5472913,2.6624072,0.67579335,0.9755351,1.4593188,1.6995071,1.9923683,2.2562609,2.4884737,2.6250966,0.69416744,0.25110736,0.0,0.0
8.347035e-14,0.005664946,-28.604147,5.85733,0.7020672,8.866715,0.3937379,3.3312557,0.29121742,3.6268451,4.8117948,1.9743456,8.066604,4.276343,0.6753915,0.9782036,1.4454566,1.696874,1.9959685,2.2632945,2.4931316,2.6284401,0.6881233,0.2608782,0.0,0.0
1.2520552e-13,0.008497419,-25.907959,3.614639,-3.620724,6.647033,-0.8348678,4.9535804,-0.90903753,0.26100633,5.7750716,4.405786,11.968867,4.381132,0.6505268,0.9780037,1.4212497,1.704526,2.0005457,2.2606158,2.4914587,2.6279538,0.681777,0.26575992,0.0,0.0
1.2520162e-13,0.00849734,-23.386587,2.6179397,-7.561295,-0.12441429,-2.870205,5.148044,-1.7532243,-1.4468335,6.3933473,5.860832,12.072395,8.7082205,0.6174459,0.9766939,1.4015452,1.7171656,2.0085342,2.2507255,2.4878314,2.6258042,0.6654578,0.28364477,0.0,0.0
1.2520162e-13,0.00849734,-19.828588,3.0289707,-11.664371,-6.0678077,-7.8079143,0.7234681,-4.8653655,3.1976986,4.0801053,3.9205902,10.876836,14.968167,0.5653417,0.9714193,1.3769642,1.721179,2.0129087,2.2441494,2.4873965,2.6247833,0.61347836,0.32811037,0.0,0.0
1.2520162e-13,0.00849734,-16.14483,5.428749,-12.482642,-8.503249,-10.347583,-3.6546357,-7.4938455,1.3847289,-3.475005,-5.10602,7.836558,21.41632,0.49996415,0.96968174,1.3549185,1.7022461,2.017083,2.243638,2.4919627,2.6235373,0.5116349,0.37379965,0.0,0.0
8.347035e-14,0.005664946,-11.623718,6.85981,-13.14518,-7.4042225,-11.025311,-10.6002245,-10.704137,-1.4939266,-10.685374,-10.885737,4.484247,21.487726,0.43800417,0.96449345,1.3366877,1.6958375,2.0192213,2.2507465,2.4900932,2.6167269,0.394379,0.44167256,0.0,0.0
2.5039543e-13,0.007422836,-9.365088,6.3467064,-15.090825,-4.1492467,-9.622034,-14.993482,-10.9792185,-5.4555774,-9.39731,-11.538868,0.60680187,20.430933,0.38718104,0.9537413,1.3287919,1.7019854,2.0201406,2.2565734,2.4828618,2.6099017,0.31520095,0.47428903,0.0,0.0
4.1732056e-13,0.0091807265,-7.301552,4.0111237,-18.326302,-2.7963972,-8.569589,-16.921806,-11.644734,-7.785335,-7.351358,-12.138036,-5.096205,18.77286,0.3373847,0.9172952,1.3088404,1.7249995,2.0163653,2.2487955,2.4824698,2.6029317,0.27470538,0.5137129,0.0,0.0
6.259808e-13,0.01377109,-5.2435074,1.3852768,-19.82688,-2.3063684,-8.207494,-14.729214,-14.457234,-9.964628,-10.519363,-14.18409,-7.565365,20.29722,0.28645077,0.8733843,1.2884256,1.7286812,2.016391,2.2407906,2.4920049,2.6057768,0.24388033,0.5343968,0.0,0.0
