pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
4.1735173e-14,0.002832473,-30.128685,3.4004934,-2.3315268,9.4602785,4.543514,5.904302,1.4037462,-0.821964,6.18963,0.7253813,3.1074913,2.3794107,0.65561086,0.9551652,1.3624519,1.7129194,2.0112803,2.2200592,2.5062997,2.6465685,0.75460863,0.2500227,0.0,0.0
1.2520162e-13,0.006319607,-29.791224,2.6720238,-2.0837584,9.609123,3.9242573,1.161318,1.5716718,2.483681,6.789688,2.6841657,0.679324,-0.028962135,0.65028346,0.9613413,1.3652669,1.7098042,2.0055244,2.236793,2.5122225,2.647996,0.762466,0.24861346,0.0,0.0
1.6693679e-13,0.00915208,-29.988205,2.036069,-1.8631554,10.859351,3.652305,1.131874,-0.37994194,2.9618788,5.008866,6.6258507,-0.8192956,-1.3799386,0.6403182,0.9684637,1.3633772,1.7073269,1.9974375,2.2639859,2.5162833,2.6520462,0.7654881,0.24904692,0.0,0.0
1.6693679e-13,0.00915208,-28.850607,0.6178625,-3.7951097,9.186578,4.6477084,7.6825814,-3.1435826,-0.115383305,4.57803,11.898784,2.518748,-2.4434593,0.61915916,0.9700911,1.3399504,1.7020367,1.9809456,2.290107,2.515406,2.658484,0.75914174,0.25893664,0.0,0.0
1.2520552e-13,0.008497419,-27.402964,-0.25590754,-8.5422735,7.997277,8.032439,11.604641,-6.826294,-6.1716084,-0.27932987,13.898946,9.288199,2.8490276,0.5836957,0.9701162,1.31121,1.6900978,1.9817985,2.2978647,2.5149167,2.662836,0.7286189,0.27720585,0.0,0.0
1.6693679e-13,0.00915208,-23.353052,-1.3813729,-12.715454,4.741302,9.050292,10.993556,-8.949693,-10.484581,-4.6768093,14.548017,17.32579,7.48341,0.5310113,0.9663318,1.2808243,1.6779094,1.9823414,2.2965825,2.5109243,2.665431,0.6772439,0.31489024,0.0,0.0
1.6693289e-13,0.009152002,-19.710703,-1.5613208,-14.801701,6.9025216,6.3848457,4.4350963,-12.370675,-13.027097,-8.756594,15.774402,18.43765,6.19644,0.4692626,0.95647264,1.2739844,1.6660486,1.9915032,2.2919233,2.506748,2.661217,0.5883953,0.36221686,0.0,0.0
2.0866418e-13,0.009806662,-15.451874,-3.3313334,-14.947642,4.4470315,2.2976358,3.4105206,-13.398524,-15.605479,-8.78791,20.125711,17.461935,-0.6671397,0.400324,0.9218021,1.2714182,1.6585716,1.9889616,2.2888806,2.500385,2.657197,0.48715624,0.42944694,0.0,0.0
2.0866418e-13,0.009806662,-12.125276,-6.4815164,-17.050714,1.8376642,1.1960597,4.87738,-13.29205,-17.876413,-5.5626526,20.685314,14.091943,-5.4284897,0.33853197,0.8674228,1.282488,1.6492602,1.981082,2.2734158,2.4964066,2.6492217,0.37957087,0.49532613,0.0,0.0
2.5039934e-13,0.010461402,-9.881954,-8.64289,-17.29317,-3.0775945,0.75469476,7.492785,-16.795671,-20.551437,-0.35951647,16.070223,12.437389,-1.0277253,0.29362473,0.8042466,1.2893854,1.6390969,1.9612418,2.254671,2.4952478,2.643575,0.29585978,0.54184324,156.38298,39.095745
1.6693289e-13,0.0069742687,-7.8075852,-10.937747,-17.044441,-5.3895817,2.2201445,8.444598,-19.199913,-19.917227,3.4425755,10.7421465,12.552635,9.493611,0.27824682,0.7385214,1.2874516,1.6336209,1.9464992,2.2393634,2.4981165,2.6383865,0.23300092,0.5670065,312.76596,107.513306
1.6693289e-13,0.0069742687,-7.4476833,-12.682926,-13.100272,-7.71975,-0.28705087,9.11243,-19.091133,-20.427,5.9864097,9.888451,12.315938,13.934906,0.27549148,0.67235357,1.2736746,1.633264,1.9411532,2.2310412,2.498002,2.6376376,0.19885163,0.57152605,466.73068,197.31764
4.173322e-13,0.008772642,-5.911509,-14.686482,-10.72207,-10.432526,-1.4416386,7.4669585,-17.729538,-15.885922,7.743407,12.986911,14.431927,11.910121,0.27314404,0.61811763,1.2536719,1.6310533,1.9427551,2.2185264,2.4874456,2.634187,0.1828347,0.584121,463.4893,263.86057
4.590674e-13,0.011605115,-5.4557705,-15.401139,-9.246425,-11.013059,-3.0475473,4.52982,-18.093443,-11.788747,11.889201,17.827444,16.208567,2.0058234,0.26203933,0.5829511,1.2288576,1.6227759,1.9353546,2.2041707,2.469758,2.6397884,0.16409792,0.60704416,462.66626,313.56198
5.842729e-13,0.012708421,-4.9943843,-15.465134,-10.268642,-10.891767,-2.543225,1.776851,-22.948679,-10.871028,17.725977,20.77936,17.652164,-4.819116,0.25647843,0.55658704,1.1947689,1.5995787,1.923729,2.1941216,2.4646316,2.6390169,0.13508613,0.5946228,465.0845,351.44263
2.3370683e-12,0.01658197,-4.66245,-17.40867,-8.2227545,-7.1110263,-6.044685,1.2986298,-18.704775,-11.133838,16.068964,23.601122,19.420706,-5.824695,0.25548768,0.5172642,1.1535716,1.5821136,1.9115902,2.1933367,2.4687214,2.6355836,0.11060744,0.5769575,311.9429,373.48892
2.8378552e-12,0.019863708,-3.6015608,-20.427319,-6.2179604,-8.178658,-10.097394,4.2499995,-15.181874,-15.938991,11.068871,25.073015,15.961846,-4.410071,0.26358798,0.4707677,1.1008452,1.5598518,1.890987,2.2035427,2.4786532,2.6303902,0.09307948,0.59251565,309.508,389.41495
1.2728624e-11,0.029972827,-1.7086277,-23.414114,-3.5009775,-8.49226,-14.748665,5.2243266,-9.841992,-16.205507,2.979766,26.256561,17.471819,-1.9529094,0.2631636,0.43315697,1.0204345,1.5297009,1.8635522,2.2256029,2.4965522,2.6365778,0.085222125,0.65782493,307.879,400.95218
1.1184484e-11,0.02692798,-0.66251296,-24.33972,-2.3806746,-11.54028,-14.994273,4.4616084,-11.288666,-20.060976,2.2617934,25.811003,18.186522,-1.9569384,0.26282808,0.41153634,0.93899244,1.4950343,1.8319398,2.2505674,2.5147161,2.6447604,0.074342705,0.7134636,462.63303,416.3724
1.8195712e-11,0.034286756,-0.052506227,-24.353811,-1.4034114,-12.136048,-16.305819,1.8366674,-11.4131365,-20.71106,-0.31731138,22.953857,18.643576,-1.9281927,0.2592208,0.40695795,0.88630337,1.4939595,1.8262199,2.2530313,2.527135,2.63957,0.074644916,0.70516616,463.43893,428.139
1.3521653e-11,0.03178676,0.6530872,-24.858711,-2.0726216,-12.599903,-12.721623,-2.419505,-7.727407,-16.708845,-1.0257984,18.231087,17.950487,1.229771,0.24941798,0.40304187,0.8812372,1.5209271,1.8333918,2.2393253,2.5101688,2.6264122,0.08129344,0.69131786,463.42178,436.9597
1.3146072e-11,0.029965775,1.3960224,-25.798643,-6.604668,-12.206219,-8.397686,-8.364103,-5.4584565,-12.777268,-5.536898,11.472875,18.486763,1.1647028,0.23447631,0.39793524,0.8813336,1.5368834,1.8442283,2.218252,2.4827669,2.6265078,0.08220006,0.67124414,464.2277,443.7767
3.417965e-11,0.03657757,2.2258315,-26.483114,-9.809231,-13.415471,-5.7381744,-7.471475,-2.7597475,-7.030037,-8.986827,9.253575,23.583244,2.8334377,0.22214685,0.38927057,0.847475,1.5131544,1.8460072,2.1890209,2.4618952,2.6581385,0.07494711,0.6106638,466.09262,449.35568
4.1816817e-11,0.040257026,2.6545627,-27.591408,-8.012394,-15.767575,-10.186475,-9.1550865,-4.33071,-8.599078,-12.948662,6.0027237,21.837389,-2.7363384,0.22459185,0.38509133,0.7947278,1.461165,1.8509989,2.141756,2.4708173,2.694004,0.06165004,0.52778983,311.3558,452.70334
4.1649878e-11,0.0359638,3.1375082,-27.08468,-5.148133,-16.968493,-13.136642,-7.3394685,-3.4506004,-9.78592,-10.639323,8.119515,17.037775,-4.319506,0.23030901,0.3845615,0.75294185,1.4180058,1.8584422,2.1045506,2.4888573,2.7122297,0.05832578,0.45994246,155.79588,454.17175
2.4121807e-11,0.030984437,3.2437716,-27.094887,-4.4190216,-15.628228,-13.400287,-11.032166,-3.9806633,-13.895839,-9.321668,10.025099,9.475139,-6.979276,0.22500835,0.3812838,0.7369976,1.3772293,1.8581382,2.1148489,2.4993832,2.689696,0.05681475,0.4637284,0.0,454.17175
