pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-27.767797,2.3025157,-1.418073,9.003324,7.323971,12.9839325,6.857435,3.743784,0.23182528,4.730331,6.0650954,7.544811,0.6412882,1.0514413,1.49918,1.7218485,2.015867,2.2060416,2.4702287,2.5990632,0.65216076,0.22917874,0.0,0.0
4.173127e-14,0.0028323939,-28.664673,2.1336606,-0.42755556,8.623131,7.25827,14.485238,5.239769,0.620904,3.036548,3.6940262,6.445481,6.1751924,0.6371717,1.0395638,1.5004364,1.7253202,2.013618,2.2039306,2.4744725,2.6010234,0.64460564,0.2550185,0.0,0.0
1.2519772e-13,0.006319528,-29.656347,2.874345,1.2797738,7.232653,5.8254027,15.727977,4.5338674,-1.7593578,5.4546685,4.26828,8.57162,3.4468071,0.63392013,1.0233647,1.491693,1.7302784,2.0172265,2.206536,2.4842775,2.6022985,0.63705045,0.27954993,0.0,0.0
1.6693289e-13,0.009152001,-29.532038,2.2678597,1.6125526,7.748272,2.9000816,15.882889,4.964588,1.0206599,9.057908,1.5273298,6.0512276,3.5978978,0.6336512,1.006145,1.4833326,1.7378162,2.027376,2.223203,2.4925134,2.6039097,0.6430946,0.28206536,0.0,0.0
2.0866808e-13,0.009806742,-28.582773,1.7987499,0.1050121,6.8981514,1.9239403,16.078176,6.033415,4.283131,4.456,0.5279901,5.8096504,5.443968,0.6335068,1.0067496,1.4649754,1.7479302,2.0369651,2.2364464,2.4977312,2.6056316,0.6400725,0.27585205,0.0,0.0
3.3387358e-13,0.010910048,-27.729471,0.16987276,-2.9259665,9.134297,3.4082844,15.776626,9.087353,9.378058,-2.2796366,-3.0626495,8.341563,9.020669,0.6191514,1.0015323,1.439444,1.7596267,2.0426617,2.2494118,2.496111,2.6108582,0.62617105,0.28584945,0.0,0.0
3.3386968e-13,0.010909968,-27.560602,-1.1759535,-3.4883156,9.3155985,3.293352,12.816129,14.010209,12.093356,-7.704462,-5.387715,11.661752,11.983222,0.5894123,0.9758654,1.3875432,1.7594112,2.0412972,2.2627602,2.4973252,2.6160386,0.5889997,0.29632837,0.0,0.0
2.921345e-13,0.010255229,-26.085531,-0.92776036,-5.766668,6.0067487,-2.0545843,8.887492,20.340733,16.822325,-8.769428,-6.329645,15.890857,10.670025,0.54932547,0.94935036,1.3489431,1.7386223,2.0370662,2.2879212,2.5040042,2.6175663,0.5735872,0.30962,0.0,0.0
1.2519381e-13,0.008497181,-23.414648,-2.290208,-8.829299,2.025697,-7.875463,2.1702778,22.243261,19.016596,-6.8961167,-4.658612,15.290799,8.7444105,0.50277025,0.926332,1.3273609,1.7136139,2.0380619,2.302847,2.5122902,2.6136215,0.5494107,0.33327296,0.0,0.0
1.6692898e-13,0.009151922,-20.493479,-6.190933,-10.955468,2.1197956,-12.701495,1.0402246,21.75667,16.863516,-9.223366,-0.088889204,16.525629,6.6890507,0.43759093,0.8757537,1.3221989,1.6900936,2.0407383,2.2973645,2.508199,2.6038303,0.52221215,0.3687844,0.0,0.0
