pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-27.14694,4.861912,-1.2758175,3.899399,3.9263384,-3.1590004,1.7361232,-0.4881606,-2.4431098,2.3436646,-4.309561,1.628863,0.6396277,0.89803004,1.3406391,1.6574744,1.9471718,2.2258308,2.4892876,2.7625663,0.9573889,0.13182192,0.0,0.0
0.0,0.0,-25.159517,5.573466,0.22921824,3.2390583,1.585679,-2.460921,1.5071493,-1.0182153,-0.8446544,2.3865259,-3.6501453,0.7572642,0.6420069,0.91251326,1.3244615,1.6450349,1.9443722,2.221178,2.4939382,2.7678092,0.9643397,0.13987876,0.0,0.0
0.0,0.0,-24.861359,7.755037,-0.9681134,3.8235686,-0.0903646,-2.5407312,-0.0601147,0.42607594,2.0832963,2.4643419,-3.174177,-2.5917525,0.6546145,0.9198091,1.301239,1.6182132,1.9351325,2.2250917,2.4955695,2.7770672,0.9715926,0.1472845,0.0,0.0
0.0,0.0,-23.75054,10.543056,-4.119727,4.463778,1.6472195,-4.0477443,-2.7107465,4.2759414,1.5741705,0.11010059,0.10725816,-4.7713795,0.6724902,0.9241867,1.2834433,1.5910095,1.9248127,2.2344258,2.5012639,2.7828293,0.9761257,0.14166152,0.0,0.0
0.0,0.0,-24.158796,11.527446,-5.7714114,5.0979366,2.0187051,-2.8203228,-4.351297,3.5445836,2.343598,0.77957696,0.75506926,-5.753283,0.66505295,0.91809136,1.2756983,1.5946379,1.9154128,2.2473125,2.502629,2.7818344,0.9761257,0.14148718,0.0,0.0
0.0,0.0,-23.973093,8.909927,-2.5526512,4.943168,0.8352365,-1.5174493,-4.7007337,0.8858549,2.7202966,0.8490861,2.4059823,-3.8011825,0.64100283,0.92483526,1.2835832,1.6174507,1.9119401,2.2538617,2.5014098,2.7764423,0.9743125,0.13443834,0.0,0.0
4.173127e-14,0.0028323939,-23.58947,5.5612235,0.765065,5.997902,-2.6881144,0.4290224,-3.9104621,-0.82325506,2.5395825,2.4320104,0.2999502,-1.0740423,0.5802238,0.93124515,1.2889152,1.6308985,1.9104601,2.2567065,2.4948614,2.7650785,0.9724993,0.1373917,0.0,0.0
4.173127e-14,0.0028323939,-23.626394,5.901436,0.32118607,6.3824134,-4.020641,0.0903211,-1.367268,-1.2083455,1.3423666,2.8688774,0.4783465,-1.2043732,0.5906411,0.9459501,1.3057473,1.6282481,1.9207678,2.2570784,2.488064,2.741375,0.9737081,0.15269034,0.0,0.0
4.173127e-14,0.0028323939,-21.78186,9.000169,-0.89979,4.4285917,-5.0488944,1.0015067,2.8940742,-3.4237125,-0.72011656,4.466328,-2.1779423,0.41778278,0.61024415,0.9535825,1.2954105,1.5944824,1.9410015,2.264383,2.4959786,2.7208936,0.9788456,0.16534835,0.0,0.0
0.0,0.0,-19.485085,11.338525,-2.6510882,3.2038002,-5.669433,2.7870026,2.450783,-2.9069011,-1.2187444,3.8395336,-1.3399676,0.3787366,0.64799756,0.9577555,1.2843596,1.5598813,1.9325142,2.2570248,2.50522,2.7309716,0.9864008,0.17359346,0.0,0.0
