pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-29.485498,2.355916,1.4104786,7.682527,-1.215556,2.3008187,3.2665112,8.193491,9.180373,4.6436415,-4.7532125,-4.120396,0.65078974,0.96246463,1.4175705,1.711826,2.0166223,2.2285829,2.478763,2.646474,0.74886674,0.2256168,0.0,0.0
8.3466444e-14,0.0034871344,-30.572685,2.39386,3.327275,8.863452,0.063519634,-0.21725138,2.3342757,7.289478,5.568374,5.4797587,-4.010737,-1.6600012,0.63779813,0.9500181,1.3988829,1.7098374,2.019487,2.2387404,2.4710207,2.6488917,0.7573285,0.21452184,0.0,0.0
8.3466444e-14,0.0034871344,-31.45253,1.9855094,5.0489917,11.822278,1.7923752,-3.6704159,1.4167045,4.4992633,3.3643188,5.9648457,-3.7614272,-0.027758261,0.6232058,0.94057554,1.3820451,1.7102071,2.0262785,2.2545269,2.4665048,2.6487849,0.7603505,0.20928364,0.0,0.0
1.2520162e-13,0.006319607,-29.287443,1.3730516,4.163014,10.964213,1.9920324,-3.8760989,-0.4908832,1.8502153,-1.1931635,3.891662,-0.28119016,2.5674598,0.6112692,0.94281226,1.3628937,1.7132217,2.0187128,2.2717283,2.4774,2.6462853,0.75883955,0.21875942,0.0,0.0
4.1735173e-14,0.002832473,-26.902647,3.9187324,3.3463047,9.5242815,2.0429327,-3.985633,-6.347395,-4.6936965,-3.0093358,1.4952112,-1.2682887,2.4611833,0.61707217,0.9552233,1.3517065,1.7155619,2.0125153,2.2744455,2.4911816,2.6367671,0.734663,0.22613327,0.0,0.0
4.1735173e-14,0.002832473,-24.528679,8.18121,2.3139768,7.241385,1.1957787,-2.387509,-9.60345,-9.297097,-4.6934357,-3.4961586,-6.7508435,4.2467384,0.6275943,0.96077967,1.3451133,1.7145872,1.9985652,2.2705412,2.4990149,2.6319473,0.702327,0.23578902,0.0,0.0
0.0,0.0,-22.25183,11.756431,1.7755986,8.300297,0.93707734,-3.9275463,-11.326528,-9.041566,-4.4235644,-10.825836,-13.780629,2.8053696,0.6259932,0.95875674,1.3459978,1.7174479,1.9952588,2.2649562,2.4993784,2.6350117,0.63070416,0.26440537,0.0,0.0
0.0,0.0,-18.723536,12.918106,1.1199868,11.469448,-1.7307512,-6.215584,-8.606416,-5.912188,-7.12425,-13.0389185,-19.616423,-5.4662037,0.5848419,0.96104866,1.3380365,1.7208242,1.9887997,2.2616272,2.4951918,2.6360648,0.5197945,0.35010222,0.0,0.0
0.0,0.0,-14.586629,14.82758,2.5471926,9.973194,-2.274708,-7.771876,-12.381856,-3.5711184,-6.242397,-10.43917,-20.03888,-15.312543,0.51888704,0.96032447,1.309117,1.7136768,1.9857148,2.2664752,2.4941485,2.6381357,0.37352672,0.46373978,0.0,0.0
0.0,0.0,-12.013966,15.80675,2.5267355,10.975753,-0.1700716,-9.145858,-19.992228,-8.901342,-5.2402835,-6.01448,-17.236094,-22.846643,0.4501497,0.956408,1.2782593,1.7104944,1.9870452,2.2753308,2.4915981,2.640791,0.2481112,0.5576099,130.08849,32.52212
8.3466444e-14,0.0034871344,-9.925714,16.769684,2.8595304,10.970787,1.0298088,-9.437358,-19.523302,-11.087955,-4.6501174,-9.285041,-12.448703,-16.190584,0.3981245,0.94502956,1.2599576,1.705164,1.9862032,2.278953,2.4968665,2.6455407,0.17527954,0.62674785,267.90503,91.36785
2.921384e-13,0.008077575,-7.8989396,15.938348,0.5224987,13.314612,-2.1780894,-10.4281845,-11.836078,-12.022159,-13.000035,-14.643588,-10.354276,-13.14492,0.3576847,0.93647194,1.266839,1.7113928,1.9804754,2.2783678,2.5010426,2.6473835,0.15080084,0.6542587,413.4496,171.88829
