pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-30.62658,4.057711,1.2020491,10.304331,-0.87647325,4.2696347,-1.7010226,11.161614,5.4333644,-3.8603046,1.1080225,0.12751739,0.67133385,0.98855954,1.42621,1.7186247,2.0034158,2.235912,2.4704885,2.6712906,0.7642792,0.21915352,0.0,0.0
4.173127e-14,0.0028323939,-30.560198,3.8391144,0.8528507,9.632202,0.26695144,5.289702,0.23572783,7.1183133,3.022905,-0.6403219,4.2638917,2.4300964,0.6581362,0.9854575,1.4196601,1.7106699,1.9932404,2.2244723,2.461013,2.67834,0.7654881,0.23982121,0.0,0.0
4.173127e-14,0.0028323939,-30.264963,2.5692341,1.0736748,7.6658196,-1.6922832,5.977282,4.6723423,4.167267,2.531855,4.610602,2.643577,2.4355466,0.65521544,0.97927123,1.4119378,1.6988028,1.9857479,2.2091672,2.4523222,2.6754496,0.7597461,0.2424549,0.0,0.0
8.346254e-14,0.0056647877,-30.088531,3.5414622,-1.1082901,7.7235565,-2.0528872,4.5306296,6.7143745,3.987096,5.5749726,7.7296753,2.6246254,-0.036480844,0.6430323,0.9713357,1.4077593,1.6981765,1.9792811,2.2053359,2.4526365,2.6639934,0.74886674,0.23014684,0.0,0.0
4.173127e-14,0.0028323939,-30.019445,1.9743508,-0.8574822,7.9410133,-0.17857821,3.837476,6.2938285,3.9227602,1.9188,9.132972,3.3139007,-0.42437258,0.65206003,0.9635522,1.4087218,1.709825,1.9751297,2.2225986,2.4668858,2.651808,0.7416138,0.20676935,0.0,0.0
4.173127e-14,0.0028323939,-30.33288,2.403029,-1.1166058,9.185788,4.7304344,4.186633,2.2266648,0.118624054,0.37395415,8.151822,8.005504,1.3761119,0.65045303,0.95813817,1.4205984,1.7218822,1.968198,2.244994,2.4830189,2.6505377,0.74342704,0.21720552,0.0,0.0
4.173127e-14,0.0028323939,-30.795774,3.246912,2.0224895,10.008006,4.3099184,3.7285995,1.8207096,0.22865033,1.0546871,6.80464,5.8693676,4.0684676,0.6515257,0.95632964,1.4230887,1.7120897,1.9637884,2.2596693,2.4945233,2.6521633,0.74886674,0.21220632,0.0,0.0
4.173127e-14,0.0028323939,-30.889563,3.7065318,3.7796953,10.290975,0.5506713,2.024906,3.7962825,1.8487377,5.349871,5.3349853,1.2083431,2.5507944,0.64498043,0.9562226,1.4163593,1.694265,1.9751906,2.2681038,2.5006118,2.6567042,0.75491077,0.23989116,0.0,0.0
4.173127e-14,0.0028323939,-30.90687,2.9417455,3.264261,9.7035265,0.75406724,1.9542985,3.551979,4.2668915,4.1193666,3.9063902,-1.0059084,3.809625,0.6375904,0.9594119,1.394021,1.6920557,1.9881557,2.2723258,2.502725,2.6629581,0.76186156,0.23502909,0.0,0.0
0.0,0.0,-30.056456,0.9459216,-0.20357974,10.550868,3.162522,5.4459243,0.4717269,2.123583,3.2708066,3.820238,0.97500247,3.0882158,0.6415393,0.9591109,1.3682057,1.7121598,2.0041826,2.277366,2.4985971,2.6633356,0.7676036,0.24927421,0.0,0.0
