pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-29.541563,4.384496,-3.7403286,7.0177875,10.463672,10.107084,-3.8052418,1.4699188,10.443773,2.7615986,5.2217655,5.23068,0.69495887,1.0151911,1.4839755,1.7245506,2.0074673,2.2038958,2.4723876,2.6160948,0.69416744,0.24525298,0.0,0.0
4.173127e-14,0.0028323939,-30.071337,5.6047378,-1.9440342,9.487624,7.123333,6.820129,-1.663458,4.6344666,10.103046,-0.605818,3.1125689,6.349729,0.68989325,1.0031811,1.4799188,1.718572,1.9985467,2.1940434,2.4683588,2.6270323,0.69265634,0.27107027,0.0,0.0
8.346254e-14,0.0056647877,-30.188147,4.766007,-1.7374135,10.864411,6.3854127,5.1478753,2.7874367,5.2348523,4.0314007,0.82945746,2.0623112,6.080731,0.6752017,0.9856054,1.4725343,1.7131475,1.9887024,2.1833098,2.4649503,2.6368427,0.6893322,0.2845236,0.0,0.0
1.2519772e-13,0.0084972605,-30.126368,4.675234,-1.3445102,10.3926735,7.5570474,5.03614,1.950347,6.4691734,2.5788016,1.4987069,2.0142934,6.1949596,0.65967846,0.9729199,1.4672798,1.7198516,1.9806415,2.18869,2.4620612,2.6326694,0.6878211,0.2608844,0.0,0.0
1.2519772e-13,0.0084972605,-30.048712,2.8515584,-1.2212844,9.172302,10.775769,7.065636,0.60088515,4.6454735,0.86321086,5.486391,2.2187347,5.878357,0.6376957,0.971203,1.4646173,1.721551,1.9795691,2.1997125,2.4703739,2.617029,0.68026596,0.23579015,0.0,0.0
1.2520162e-13,0.00849734,-30.187935,3.3084555,1.1329702,8.282994,8.860718,7.3440175,-0.92788476,7.303968,5.340815,4.0641093,2.9194272,2.7673302,0.63921064,0.9896736,1.4702989,1.7139693,1.9794377,2.2127886,2.475582,2.6049945,0.6660623,0.23725493,0.0,0.0
1.2519772e-13,0.0084972605,-30.30365,3.4040906,3.5875237,9.568608,5.217692,5.123612,0.028395236,8.237799,6.3712997,5.8455734,6.446283,-0.8238625,0.62348753,1.0088038,1.4635864,1.6925424,1.976656,2.2129858,2.4800992,2.6025999,0.6521608,0.26787522,0.0,0.0
1.6693289e-13,0.009152001,-29.741282,3.7808049,2.4157677,8.132771,1.2508205,5.9256206,5.4363294,9.104218,4.3840313,5.413776,8.133428,-4.7795825,0.644507,1.0371871,1.4602737,1.6844968,1.9776659,2.2053125,2.4799354,2.6051843,0.64702326,0.2751173,0.0,0.0
2.0866418e-13,0.009806662,-29.651064,4.3986244,1.6513089,9.177591,2.0511482,5.810928,6.020224,6.650745,3.74071,8.15743,9.460869,-5.637081,0.637899,1.0349244,1.4564914,1.6950216,1.9802407,2.1996927,2.4814339,2.604555,0.65760046,0.23651789,0.0,0.0
2.5039934e-13,0.010461402,-29.978928,3.3143215,1.4397525,8.249171,2.1398869,8.1016245,5.4352036,2.8086827,4.7322726,9.876828,7.553839,-5.562817,0.6472583,1.0269727,1.4676355,1.710719,1.9869957,2.1975272,2.476881,2.6022792,0.66999096,0.19899248,0.0,0.0
