pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-30.471405,2.9663875,-1.5383697,2.3941925,4.412005,3.854593,-0.8832188,-0.8633506,5.0136843,8.137208,-3.8652134,1.0417634,0.6596923,0.946672,1.3909274,1.6799182,1.9991575,2.232322,2.4648514,2.681609,0.8041704,0.21189147,0.0,0.0
0.0,0.0,-30.539064,2.6451576,-2.231594,3.7310333,4.563141,4.042091,-0.53091085,1.1183501,2.0504613,5.502155,-2.7010763,1.3932184,0.652906,0.9407391,1.3840266,1.6737652,1.98937,2.2211587,2.461564,2.6914384,0.8192807,0.2137448,0.0,0.0
0.0,0.0,-30.405844,1.9432484,-2.3532436,5.1921906,3.6883118,2.8274162,-2.4662695,5.2198677,2.4267552,2.999834,-2.0290797,-1.4175882,0.6410413,0.9370296,1.3764216,1.6671953,1.9759048,2.208002,2.4680498,2.6952589,0.829858,0.2266217,0.0,0.0
0.0,0.0,-29.610079,1.0115573,-2.8410943,7.045498,4.0359,3.2533686,-1.2941569,7.403885,1.8467971,3.6255941,-1.9349319,-0.35064745,0.6331334,0.94150066,1.3726302,1.6681128,1.9654738,2.2081017,2.480097,2.6862955,0.82411605,0.24363065,0.0,0.0
0.0,0.0,-29.656212,0.93746585,-2.5507708,7.8913445,4.837445,4.207269,0.41842118,3.9910126,2.6280947,3.6946309,-0.18349965,-0.716947,0.632013,0.9458588,1.3785262,1.677337,1.9593053,2.2281368,2.4946816,2.676775,0.8053792,0.23358339,0.0,0.0
0.0,0.0,-29.835915,2.8187459,-2.7358692,5.4139314,6.2431984,9.155543,4.0010357,-1.180282,0.5908721,2.1975951,-1.1767501,4.050733,0.6454723,0.9535815,1.3897911,1.6820503,1.9552177,2.2464266,2.4931889,2.6773365,0.7966153,0.22893333,0.0,0.0
0.0,0.0,-30.720968,4.027883,-1.8467617,4.021629,5.1681914,7.423882,3.209253,-1.5747563,1.0626451,0.32021102,-2.4461029,3.7046642,0.64943886,0.94573635,1.3913296,1.6739231,1.9530679,2.2503192,2.4905806,2.682534,0.7966153,0.23492841,0.0,0.0
0.0,0.0,-31.29245,4.6417365,-0.46109247,3.7566671,3.4359033,5.076094,3.4395397,2.2563822,1.4031404,-0.24658954,-5.5183907,4.609039,0.6559646,0.9552613,1.3871874,1.6732926,1.9566779,2.241288,2.4869535,2.6823642,0.7975219,0.24066855,0.0,0.0
0.0,0.0,-31.320147,3.3562117,0.2609169,7.0808883,0.7979258,3.5481036,2.4127061,1.7256503,2.3640096,1.7970816,-1.9733065,3.174653,0.64933425,0.95549345,1.3850554,1.681211,1.9658343,2.240216,2.4890475,2.6746385,0.79178,0.20617418,0.0,0.0
0.0,0.0,-30.908731,0.9523757,-0.3782555,9.516486,1.1478645,3.9649556,2.5796394,-2.8193543,0.72093266,3.8257523,1.7153453,4.2166924,0.64372104,0.96847767,1.3869272,1.6960846,1.96984,2.2430325,2.4841402,2.6718,0.79087335,0.17394632,0.0,0.0
8.3466444e-14,0.0034871344,-29.926687,-0.58050853,-2.029992,9.421515,3.105501,6.50429,0.39111605,-4.6149373,0.3404347,3.5763159,2.3221474,3.6976712,0.62871814,0.9620571,1.3933259,1.6961371,1.9788809,2.2407014,2.467065,2.6733005,0.7987307,0.17364772,0.0,0.0
8.3466444e-14,0.0034871344,-29.216515,-0.937414,-3.7902126,6.2566237,5.0703793,8.015586,0.789159,-5.116221,0.58033997,5.234158,-1.249602,3.5120447,0.6138027,0.95569515,1.3869371,1.6955074,1.9805131,2.2326128,2.445957,2.6796372,0.8087035,0.20738052,0.0,0.0
8.3466444e-14,0.0034871344,-28.403193,-0.54968864,-3.873765,4.7936745,5.086085,9.97125,1.3931297,-1.7533458,2.7221699,6.5221763,-5.487278,2.6577356,0.6140899,0.9494653,1.38239,1.6942472,1.9881123,2.2356515,2.4384902,2.6800432,0.8204896,0.20572339,0.0,0.0
4.173127e-14,0.0028323939,-27.638535,2.0967398,-2.848163,4.8931007,4.805637,9.639915,3.0521348,-1.3812946,3.0360448,7.3890214,-5.6089864,2.100652,0.62480277,0.9526651,1.3742443,1.6915622,1.9819664,2.2474356,2.4491994,2.6847408,0.8262315,0.1855775,0.0,0.0
8.3466444e-14,0.0056648664,-28.497513,3.9760902,-0.2360127,5.615118,3.365371,4.023345,3.591797,1.1361636,1.0084771,3.3163567,-1.8711063,3.6639416,0.6437302,0.96875286,1.3589109,1.6757206,1.9803296,2.2627447,2.4744523,2.6887143,0.83650655,0.15160589,0.0,0.0
8.3466444e-14,0.0056648664,-28.984407,4.933911,1.5881926,5.467613,0.43526888,3.5352962,4.499124,2.228058,-1.4393468,-0.08599845,1.5724354,2.8072062,0.64369434,0.9784667,1.3334225,1.6569027,1.9733254,2.2626467,2.4914844,2.6919944,0.84587485,0.15886016,0.0,0.0
1.2520162e-13,0.006319607,-29.289146,3.7297976,3.199689,7.0036583,-1.2524626,4.4735622,2.6273,0.16168268,1.0656134,1.5480824,3.943594,-0.28475174,0.6197968,0.973622,1.298916,1.6456269,1.9667529,2.2523265,2.4963405,2.6908772,0.86068296,0.17115651,0.0,0.0
8.3466444e-14,0.0034871344,-28.217789,2.7897837,3.511591,11.093097,1.7163547,7.1913795,-0.60386515,0.86129194,1.9432281,7.0502076,2.1121395,-2.9430172,0.6089916,0.95687824,1.2876657,1.6463276,1.9710178,2.242919,2.4849362,2.694741,0.85524327,0.1914336,0.0,0.0
1.2519772e-13,0.006319528,-27.90565,4.73883,2.628838,12.243632,5.154136,4.9456363,0.27858973,-1.6217504,1.2465998,6.8598485,1.1900142,-3.268644,0.6110995,0.9453268,1.2869772,1.6457754,1.9795537,2.2453449,2.4807243,2.696245,0.83952856,0.20847791,0.0,0.0
4.173127e-14,0.0028323939,-27.83046,6.0827584,2.359374,12.968396,6.050532,2.6876767,3.1408145,0.71251124,-2.3882902,4.1526885,1.9603537,0.8225786,0.6402678,0.94842213,1.2957362,1.6451974,1.9935926,2.2579112,2.4861767,2.6964872,0.8201874,0.20466928,0.0,0.0
8.346254e-14,0.0056647877,-27.629023,8.1423025,1.9924288,11.432414,5.9183183,0.99788445,5.251192,2.3158448,-2.2847083,-2.9740336,-0.25321135,0.6947594,0.64247775,0.9532409,1.292313,1.6566986,1.9966702,2.2579415,2.4987748,2.6916344,0.8180719,0.19149019,0.0,0.0
4.173127e-14,0.0028323939,-27.984055,6.9654922,3.318053,11.941928,5.428009,0.57507634,2.8468475,4.377852,1.5687677,-2.830979,-2.9055738,-0.4656372,0.64784604,0.9546623,1.2979609,1.6804155,2.0054023,2.256583,2.5012689,2.6936646,0.8201874,0.15258805,0.0,0.0
8.346254e-14,0.0056647877,-27.57939,6.865801,3.1976573,12.162553,5.6876025,0.18707521,-4.1891065,0.24971612,-0.47818723,-2.05557,-2.080983,-0.9057763,0.6299569,0.9537532,1.3111562,1.6959156,2.0070426,2.2480154,2.4967687,2.6842835,0.8174675,0.14294674,0.0,0.0
8.346254e-14,0.0056647877,-26.396545,4.8376737,2.7038813,14.102731,3.03687,-2.1100926,-4.572688,-0.7638154,-0.28222504,3.6511981,3.2003963,-2.1104243,0.6187333,0.9575848,1.3250157,1.6901461,1.9992822,2.2507617,2.4857934,2.672968,0.78724694,0.15762906,0.0,0.0
8.346254e-14,0.0056647877,-24.17511,8.343471,4.2619643,14.414973,3.1803799,0.8048337,-6.240706,-4.1073375,-1.2110854,7.428009,7.9035363,0.07245501,0.6141463,0.9591412,1.3314313,1.6711658,1.9900447,2.2480426,2.4783301,2.6627712,0.7530976,0.19157122,0.0,0.0
4.173127e-14,0.0028323939,-23.73171,9.427257,5.0424647,13.480465,3.6396446,3.7951164,-0.046705406,-1.1519145,1.8267889,8.8319025,9.495568,1.0388712,0.61363053,0.957073,1.3267837,1.6582699,1.9784025,2.2445602,2.479861,2.6569626,0.6902388,0.20797707,0.0,0.0
4.173127e-14,0.0028323939,-24.085617,10.261126,7.530941,15.569543,5.3112497,8.430179,2.3512592,-1.0420998,-0.21401358,8.508147,9.077267,4.767256,0.60440093,0.94741946,1.3262372,1.6472572,1.9750153,2.2452226,2.4901087,2.6610537,0.6331218,0.21492314,0.0,0.0
4.173127e-14,0.0028323939,-24.35871,6.7681565,7.7410984,17.241732,3.5499547,0.8737831,0.6929798,2.3030367,-0.2700533,7.807932,9.521176,3.8761709,0.58311,0.9396294,1.3284551,1.6339899,1.9644579,2.2513158,2.4955566,2.6556635,0.57963127,0.19182928,0.0,0.0
4.173127e-14,0.0028323939,-23.039011,5.032701,6.6147676,16.809607,1.9314195,-0.058670204,-2.2237315,3.2263606,-1.0297744,6.2980027,6.2951818,0.83303326,0.5655434,0.9269735,1.3325825,1.6191407,1.9496979,2.2673965,2.4890313,2.6611376,0.5744938,0.19986989,0.0,0.0
4.173127e-14,0.0028323939,-22.22154,3.261832,5.5376124,14.710437,1.8374448,-1.1565381,-5.582461,2.978513,-0.309651,2.731056,3.667718,-4.76983,0.55417484,0.9153766,1.3258547,1.6077236,1.928832,2.2855713,2.4874096,2.6563423,0.5877909,0.22100085,0.0,0.0
8.3466444e-14,0.0056648664,-21.321083,2.706557,4.242437,16.576342,6.2189403,4.57599,-2.119172,7.4467826,2.7929204,2.1069653,-0.0030174255,-5.1925178,0.5413032,0.91033,1.3106269,1.6013784,1.9260345,2.287223,2.4973974,2.658111,0.60501665,0.24109237,0.0,0.0
1.2519772e-13,0.0084972605,-20.862625,3.327391,3.2063973,16.958496,6.5311165,1.089404,-5.1535306,7.530073,7.5384994,4.540034,1.1058631,-3.8767378,0.53672534,0.91686326,1.298165,1.6061435,1.9389892,2.2749612,2.5108712,2.6585624,0.60259897,0.25616208,0.0,0.0
8.3466444e-14,0.0056648664,-19.440819,5.5061355,1.6087586,13.244634,6.001644,2.3903277,-6.3847833,6.0804954,13.94899,9.874623,-1.4265736,0.22685786,0.5371144,0.92262983,1.3064951,1.6298372,1.9534677,2.2539349,2.5118902,2.664921,0.59020853,0.24579172,0.0,0.0
8.3466444e-14,0.0056648664,-16.961699,8.193284,-0.64807516,6.1449966,5.981857,4.8984914,-7.4231505,3.7141573,15.266415,10.530498,0.6063058,1.0608191,0.53258467,0.9246459,1.3212248,1.664039,1.9527807,2.2459528,2.5009856,2.6695507,0.56119674,0.27361473,0.0,0.0
2.5039543e-13,0.007422836,-15.942101,7.0465007,-0.09640819,4.778376,6.6375923,7.968677,-4.6410103,3.8910675,12.963086,11.291612,2.1504507,3.6781342,0.51277643,0.9146494,1.3240342,1.6805204,1.9499078,2.2482874,2.4930546,2.6674366,0.4962224,0.30737597,0.0,0.0
2.921267e-13,0.01025523,-15.179202,6.391962,1.3008425,7.8065352,9.785806,10.538962,-1.4217639,3.7743826,7.1622357,8.286324,6.51349,3.3223755,0.49213862,0.89899033,1.3082253,1.6788067,1.9402574,2.2496011,2.4917228,2.6595366,0.42157754,0.33238575,0.0,0.0
4.590635e-13,0.012013197,-14.985843,6.1316466,5.0790095,10.623708,7.0247784,8.711833,0.81270856,1.7472504,0.1091102,4.9487605,4.683244,2.7258184,0.4686401,0.88014454,1.2924565,1.6680838,1.9286605,2.2458718,2.4899347,2.6531198,0.32789364,0.34876105,0.0,0.0
2.921384e-13,0.010255308,-13.526324,6.7915154,7.706301,10.906662,7.2945175,9.01156,2.8113878,3.074876,-1.3589544,2.8279612,-0.6643023,2.5772598,0.4518226,0.8603552,1.2861844,1.666495,1.9211007,2.2410066,2.4883893,2.6484597,0.2466002,0.38109586,0.0,0.0
2.921384e-13,0.010255307,-12.661232,6.570574,9.12481,9.334047,6.4955163,7.2105675,1.7736996,2.4012644,-1.7062206,3.198445,-5.311527,4.1420817,0.43717217,0.8498215,1.2803651,1.6591266,1.929532,2.2325993,2.4878786,2.641289,0.1873678,0.40287828,0.0,0.0
1.2520162e-13,0.00849734,-12.141731,6.5742793,8.503083,8.571816,5.857119,9.410019,1.6867083,5.107152,0.012057562,7.0812206,-7.6675534,2.83232,0.4330785,0.84814996,1.2665013,1.6480874,1.9345384,2.2247925,2.4930027,2.639699,0.16591115,0.42509374,0.0,0.0
2.921267e-13,0.01025523,-12.442566,7.593601,7.533323,7.4740396,4.0688815,7.0229363,1.3689476,0.31397137,-0.95985395,8.427706,-3.895713,3.5797958,0.438543,0.85307837,1.252111,1.6423696,1.9325286,2.2147589,2.4877741,2.652857,0.18132366,0.44804168,0.0,0.0
4.1733617e-13,0.011716063,-12.4099655,9.112573,7.212502,8.372829,6.452002,4.291173,2.024298,2.0626173,-1.0981418,7.867316,-0.95245904,1.6911329,0.4388833,0.8536839,1.2433575,1.6417037,1.9157013,2.2119431,2.484213,2.6665108,0.18192808,0.5052632,0.0,0.0
7.094668e-13,0.014169097,-12.756705,9.117086,6.138037,12.169136,10.104743,4.369693,3.5599833,-2.2808304,0.5800147,7.554095,1.7532116,4.715603,0.437282,0.85250956,1.2389202,1.6409979,1.9037167,2.2110887,2.478379,2.6714365,0.16742219,0.5092781,0.0,0.0
1.0433286e-12,0.015692944,-13.273904,8.507851,3.5722618,12.643565,9.338286,5.1044908,2.1128953,-0.4605397,1.6204027,4.8442655,0.7904156,3.8496335,0.4379439,0.85995436,1.2268829,1.6246538,1.8918103,2.2155035,2.4773076,2.6650214,0.18766999,0.4655091,0.0,0.0
9.181231e-13,0.014232191,-12.421008,10.015919,1.7437426,12.260026,5.803747,3.9205315,-1.9364158,2.9024963,3.5437438,4.0406394,2.233505,3.6282654,0.4368826,0.8783982,1.2149291,1.601817,1.8966836,2.2219677,2.4708405,2.6616924,0.22181928,0.45147404,0.0,0.0
7.929293e-13,0.013537124,-12.140176,11.479938,1.867156,9.364467,2.631354,1.881249,-5.3865733,5.3964257,4.7452054,4.651285,5.5825744,6.378224,0.4341726,0.890323,1.2071875,1.5830466,1.9058771,2.2232864,2.4663725,2.6616924,0.25445753,0.42184344,0.0,0.0
5.842729e-13,0.012708421,-11.700011,10.947468,3.8474472,11.773242,3.9334137,1.1572374,-3.7315779,6.7610245,4.2882066,7.282818,5.4477897,3.5566845,0.42674306,0.8828552,1.2075907,1.5773267,1.9138232,2.2205327,2.4610205,2.6585376,0.24992444,0.37173656,0.0,0.0
5.84269e-13,0.012708343,-13.478101,4.809479,-0.43722948,7.5720267,2.397933,3.0173063,3.3476608,6.5037446,7.0330105,7.5168366,1.7322255,1.0122328,0.4231058,0.85366994,1.2030181,1.5828394,1.9126816,2.2125804,2.4580777,2.659383,0.25506195,0.2815596,0.0,0.0
3.7559704e-13,0.008117902,-13.255661,0.9699523,-5.18816,1.9351825,0.018084845,0.97513324,7.5248146,5.062656,3.669306,4.952767,-2.7829049,-5.404318,0.41420826,0.81947964,1.1975197,1.580974,1.9050838,2.210922,2.4583838,2.6552746,0.25959504,0.27701482,0.0,0.0
