pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-32.116764,6.3529015,-2.4503033,10.755248,1.1899725,5.280115,2.8399775,8.989703,-2.7723634,1.1272342,4.6196322,8.084598,0.6967161,1.0067822,1.2833365,1.5495167,2.0011637,2.229986,2.331322,2.7015057,0.7274101,0.25681514,0.0,0.0
0.0,0.0,-32.614094,7.3575974,-2.0973127,9.466343,2.6303551,5.9498158,-0.3062439,9.735685,-0.84469765,0.7187136,3.5176628,8.173339,0.6954737,1.0044664,1.2867347,1.5576798,1.998681,2.2239933,2.3283815,2.7013884,0.7237837,0.2639567,0.0,0.0
4.1735173e-14,0.002832473,-32.59927,6.352902,-2.1865547,9.421249,2.7749012,9.051517,-4.2149353,10.781337,2.1897194,-1.0082105,0.20385735,7.7748923,0.6912953,1.0068175,1.2931191,1.5713063,1.9872332,2.2204432,2.3221457,2.70193,0.71320647,0.2678976,0.0,0.0
4.1735173e-14,0.002832473,-31.733953,5.3492203,-2.4181662,11.348744,3.967508,10.671466,-2.6858785,11.893163,2.621907,-1.1098143,2.0358984,7.443972,0.68677616,1.0245801,1.3046263,1.5887257,1.9732513,2.214406,2.313886,2.7087262,0.68207914,0.30368674,0.0,0.0
4.1735173e-14,0.002832473,-30.904097,5.1456437,-1.655238,12.063446,2.033584,11.384979,-0.61459416,12.230664,4.2823052,6.4417725,1.9572272,4.155997,0.6837969,1.0428972,1.316137,1.607131,1.9596144,2.2114184,2.3089945,2.7048302,0.63735265,0.33371997,0.0,0.0
4.1735173e-14,0.002832473,-30.60174,5.9466195,-1.7998819,12.726239,3.0092955,8.741336,1.4224285,11.721381,5.7185388,12.582199,6.2774506,1.8189887,0.68664676,1.0507116,1.3246071,1.6170883,1.9522381,2.2047806,2.308183,2.7027807,0.5998791,0.350775,0.0,0.0
8.347035e-14,0.005664946,-30.822218,6.2367673,-1.9544878,12.327008,4.2237,8.18166,2.346563,9.872265,5.660948,11.396285,7.0220375,2.9301043,0.6810446,1.0383493,1.3231434,1.6241622,1.9435619,2.1994839,2.3069823,2.7121944,0.5838622,0.32430005,0.0,0.0
8.347035e-14,0.005664946,-30.736353,6.1325154,-2.67641,12.208575,3.6405108,6.8069096,4.9877057,11.697789,4.284946,5.8113647,5.1151996,5.0147896,0.6833789,1.0306708,1.3210572,1.6310395,1.9408684,2.1960714,2.305185,2.7130735,0.5859776,0.2988815,0.0,0.0
8.347035e-14,0.005664946,-31.433805,6.012772,0.8812747,12.041199,2.1167767,7.6043434,4.787199,11.387077,5.0860333,2.8441656,1.7846504,7.049291,0.67204976,1.0251391,1.3175478,1.6467346,1.9399146,2.1958587,2.3054078,2.7080166,0.5787247,0.30653098,0.0,0.0
8.3466444e-14,0.0056648664,-31.067406,6.147652,2.571662,11.340505,0.87661284,7.715895,5.979112,11.191642,7.4959297,7.2617793,-0.66603744,4.76815,0.66559654,1.0292392,1.324242,1.6534387,1.941369,2.2014322,2.3065748,2.699858,0.57086736,0.32773605,0.0,0.0
