pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
4.173127e-14,0.0028323939,-30.844412,4.9737854,6.1715484,10.914967,1.8766193,5.4629226,6.0955377,8.639985,10.53169,3.4796073,-1.4241718,9.519021,0.67959785,1.0650258,1.5200003,1.7311411,2.0272934,2.1940491,2.4759142,2.5959027,0.65004534,0.243764,0.0,0.0
8.346254e-14,0.0056647877,-31.303703,5.5763764,6.714331,10.968792,0.6589857,5.5974574,6.999195,7.4202895,8.899511,6.7712398,-1.0194546,8.329044,0.6706324,1.0398841,1.5179182,1.7254785,2.0183089,2.1834161,2.4730215,2.601114,0.63674825,0.27718267,0.0,0.0
1.2519381e-13,0.008497181,-31.503822,5.52527,4.7769847,10.501438,2.6924145,7.785423,6.069162,4.5679893,7.2175713,8.736959,1.347178,7.038677,0.6563273,1.0117844,1.5131875,1.7194184,2.0067585,2.169132,2.47194,2.6055872,0.6219402,0.303296,0.0,0.0
1.2519772e-13,0.0084972605,-30.186218,4.578619,0.9098873,9.772707,3.4952872,10.717903,7.8337784,2.7427247,6.149773,11.329127,4.037438,5.020077,0.6473078,0.99886847,1.5115882,1.7265135,1.9950229,2.1743486,2.4722376,2.6039302,0.612874,0.28236964,0.0,0.0
1.2519772e-13,0.0084972605,-28.875092,4.4952335,-2.2525647,9.077302,5.003595,12.338184,7.2691703,5.1129146,8.104954,8.371348,5.9838033,6.1264834,0.6426995,1.0181416,1.5111017,1.7326466,1.9918188,2.1911912,2.4809027,2.5977297,0.6071321,0.2550809,0.0,0.0
1.2520162e-13,0.00849734,-27.914011,5.3327255,-1.1302303,8.035743,1.7568537,11.791987,8.9484215,10.6812315,7.3556924,7.63318,5.3807607,5.9745994,0.6591698,1.0608773,1.5131818,1.7293164,1.9893879,2.2099707,2.48396,2.590288,0.5962527,0.25964043,0.0,0.0
1.2519772e-13,0.0084972605,-28.433584,5.4145064,0.9823237,7.16989,3.4455411,10.154553,6.6766205,13.140926,6.5329213,7.359567,5.287927,6.374204,0.63923746,1.0837747,1.4982599,1.7098479,1.9854594,2.2099955,2.485274,2.5863175,0.5899063,0.28311312,0.0,0.0
1.6693289e-13,0.009152001,-28.960861,5.041556,1.8550628,6.8937516,5.2161245,10.506175,5.461653,11.82989,5.6175513,5.7204647,5.8365455,7.0742507,0.6452255,1.1041497,1.4874582,1.6981401,1.9842981,2.1994443,2.4831772,2.5848057,0.59474164,0.29564717,0.0,0.0
2.0866418e-13,0.009806662,-29.19313,5.390488,0.9815655,7.290259,8.302985,10.675097,4.183076,8.122205,5.862108,5.538391,7.0805078,11.612155,0.6380128,1.09382,1.4892386,1.7056991,1.9890165,2.1948059,2.4844644,2.5845444,0.6110608,0.25885072,0.0,0.0
2.5039934e-13,0.010461402,-28.60604,6.2552505,-1.0860796,7.2418556,9.187322,10.086201,5.29043,5.3316026,7.301834,6.0097136,6.031523,12.760062,0.67106795,1.0906402,1.5097346,1.7223482,1.9996914,2.1966097,2.4809735,2.5827272,0.62768203,0.23196705,0.0,0.0
2.5039934e-13,0.010461402,-28.48469,5.800447,-1.838706,8.395549,9.303491,10.22866,6.1483912,3.9588366,7.013593,7.220175,3.516092,12.311301,0.67093366,1.0689193,1.5211717,1.7318268,2.0076125,2.1999862,2.4609196,2.581,0.6285887,0.22402291,0.0,0.0
2.0866415e-13,0.009806663,-29.310156,5.0958037,0.25262022,9.635684,6.959967,10.247558,8.442813,1.8936834,7.389618,7.1177287,3.2358763,8.713645,0.6599384,1.0481101,1.5113149,1.7353667,2.006183,2.1950872,2.4300182,2.5851603,0.6216379,0.2580659,0.0,0.0
1.6692898e-13,0.009151922,-29.848635,3.8616703,2.0393527,9.473409,2.6058464,12.415366,12.202384,2.3477986,4.760302,8.1424265,2.835659,7.6683235,0.65548676,1.0445567,1.4951082,1.7300106,2.001467,2.1866105,2.4167585,2.5911713,0.6065276,0.30673864,0.0,0.0
