pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-28.200333,2.8879778,-1.6553127,4.5734177,3.9999733,3.20663,2.7439425,4.843769,3.760622,10.335496,1.1880574,-0.44014135,0.6748395,1.0078446,1.4572735,1.7146648,2.00534,2.2237787,2.4701326,2.636419,0.7165306,0.22863276,0.0,0.0
4.173127e-14,0.0028323939,-29.490288,2.5321796,-1.6502371,8.201304,4.5031505,1.3294014,3.8391435,6.586735,1.4778876,3.7026901,-0.78312016,4.78649,0.6703488,0.9913941,1.4477705,1.7130485,1.9920348,2.2191067,2.46109,2.6479015,0.7225748,0.2559354,0.0,0.0
4.173127e-14,0.0028323939,-30.500526,2.8253944,-0.09623289,9.073894,4.1757073,2.041859,6.8325043,6.29977,-1.7865677,0.4494945,-1.7577285,8.571812,0.6651913,0.9768901,1.4381756,1.7106814,1.9792,2.210656,2.4545925,2.6554737,0.7325476,0.27915165,0.0,0.0
8.346254e-14,0.0056647877,-30.719664,4.246762,0.76926404,7.825475,3.313001,2.9598799,4.8241663,6.41803,0.44296494,2.0225608,-0.913867,7.1522,0.65696615,0.97229975,1.4366074,1.7117386,1.9697561,2.2104414,2.4541888,2.6555045,0.73194313,0.26382533,0.0,0.0
4.173127e-14,0.0028323939,-30.72172,4.739355,3.719947,6.4960423,2.1137316,5.733047,4.140637,4.7792006,2.4779,6.611445,3.6008575,3.8240674,0.658295,0.97998065,1.451088,1.7126125,1.967555,2.2182186,2.4649398,2.6438274,0.71713513,0.24142092,0.0,0.0
4.173127e-14,0.0028323939,-30.379562,3.9078655,1.8295037,6.8453345,4.317484,6.5752735,2.707484,3.6862364,4.8436313,8.307076,2.9228485,2.820877,0.65677696,0.98607737,1.4629307,1.7043241,1.9657451,2.2315562,2.47111,2.6371129,0.6977939,0.23252052,0.0,0.0
4.173127e-14,0.0028323939,-30.197767,3.2782497,1.2182794,6.8241296,5.8419266,6.4247684,3.1122353,4.5458283,4.524853,7.1371284,2.4686553,1.8185738,0.65725285,0.97952557,1.4607357,1.6904626,1.9640023,2.2335613,2.4784803,2.631605,0.6923542,0.2689471,0.0,0.0
4.173127e-14,0.0028323939,-30.588104,3.1942081,-0.36903223,7.2469764,7.2491727,5.652777,2.0757375,5.317097,3.5269032,4.892341,-0.25954178,2.2075913,0.65610164,0.97975606,1.4414316,1.6744909,1.9630995,2.21492,2.4796207,2.6425571,0.7029314,0.28396547,0.0,0.0
4.173127e-14,0.0028323939,-30.304161,3.069067,-0.4210095,8.39264,4.2652354,4.7775607,2.9149551,8.926124,3.6906846,0.4748886,0.9194067,3.8950882,0.66124487,0.9860193,1.4295601,1.6748334,1.9616324,2.195037,2.48258,2.6506846,0.7168329,0.2567515,0.0,0.0
4.1735173e-14,0.002832473,-30.420076,3.391796,0.19173098,9.123521,2.647532,4.68541,0.8731265,7.627018,4.954176,2.7806842,-0.0042595863,4.8802648,0.6647413,1.0099087,1.433133,1.6768478,1.9730803,2.188624,2.4765022,2.6566799,0.71501964,0.2404042,0.0,0.0
1.2520162e-13,0.006319607,-29.337797,2.3968835,-0.70356005,8.426949,1.7156054,6.398584,3.763696,7.012297,4.3239083,4.168964,0.4309626,7.0188293,0.6518125,1.0102396,1.4330295,1.6821626,1.9870018,2.1985095,2.4756858,2.6488554,0.7059534,0.23689598,0.0,0.0
2.0866808e-13,0.009806742,-29.687704,2.159858,0.83441955,8.56674,2.8032026,7.8402534,1.5357594,5.4936776,2.9835453,4.6625667,1.123628,6.0786514,0.6348422,1.0042052,1.4308887,1.6872591,2.0019715,2.2083771,2.4729414,2.6419122,0.69809604,0.23793094,0.0,0.0
1.6693289e-13,0.0069742687,-29.916193,1.3910102,1.4013047,6.914292,2.1062148,8.118515,6.1351566,3.3889625,1.5531527,2.7052574,2.0112479,4.2233353,0.63080186,0.9807546,1.4260064,1.6962514,2.0041168,2.2155764,2.4779246,2.638841,0.7116954,0.20925088,0.0,0.0
1.2519772e-13,0.006319528,-30.551033,2.0575268,1.5283908,6.45011,5.260571,6.0617256,3.4183562,2.6497877,1.3603363,1.0808641,2.801555,3.1733341,0.6375672,0.96143585,1.4242808,1.7103167,1.9958597,2.2180276,2.480568,2.6422606,0.7325476,0.20128733,0.0,0.0
8.3466444e-14,0.0056648664,-30.43133,2.141834,-0.043896515,3.6822956,4.0745463,4.3794475,5.09893,4.8509603,3.6510208,-0.2623681,0.61939615,1.0579194,0.6388638,0.9417637,1.4119586,1.7169646,1.9797579,2.2195446,2.4772074,2.6499076,0.75339985,0.2512696,0.0,0.0
8.3466444e-14,0.0056648664,-30.090754,1.9137326,0.23336633,5.743748,2.58197,3.98966,2.405836,9.606246,5.9479127,1.9514942,-1.9333324,-1.6769686,0.6250739,0.93505305,1.405594,1.7071267,1.9641037,2.2189834,2.4604242,2.6505291,0.7579329,0.2779468,0.0,0.0
8.347035e-14,0.005664946,-30.250189,1.8728986,1.3405176,6.2571316,0.8413906,5.9651885,3.8476765,9.615668,2.1205378,4.133431,2.1669483,-2.5170581,0.6232948,0.95054156,1.4208657,1.6981128,1.9596275,2.2221105,2.4515536,2.643472,0.7410093,0.2674779,0.0,0.0
4.1735173e-14,0.002832473,-30.255066,1.9599619,2.257821,8.559525,3.1343844,6.4812245,2.7024622,6.0994067,-2.0984118,6.08992,5.52321,-0.08451589,0.6310676,0.96550465,1.4409853,1.6975422,1.9644948,2.2308347,2.4568584,2.6336582,0.7213659,0.22501473,0.0,0.0
1.2520162e-13,0.006319607,-30.189949,2.8055897,0.56872493,7.3542304,4.9066205,7.3620267,5.1936097,3.4831936,-4.4328885,4.942862,6.842743,2.861029,0.6494332,0.9732477,1.447875,1.7130414,1.9734898,2.2395694,2.4758213,2.6302297,0.7092777,0.21155693,0.0,0.0
8.3466444e-14,0.0034871344,-30.11786,4.097137,0.36991444,6.6394563,2.5908298,6.862816,6.261232,2.3831217,0.14252424,4.8654237,3.9051445,6.1171265,0.65653133,0.9645641,1.4268813,1.7191368,1.9716011,2.2535474,2.4885998,2.6325386,0.705349,0.24149771,0.0,0.0
1.2520162e-13,0.006319607,-30.104202,4.726885,0.95500714,7.6306534,-0.5819834,6.8840766,8.54902,1.506833,4.307735,5.6626287,2.885828,6.626602,0.6591994,0.9539158,1.4099447,1.7155653,1.9666733,2.2624085,2.4965317,2.6365144,0.6959806,0.2818619,0.0,0.0
4.1735173e-14,0.002832473,-30.219622,5.1564007,1.5138787,8.413365,-0.40596446,6.1195283,6.1445904,0.44385913,6.985054,5.344166,3.9882479,6.7652683,0.6491451,0.95739865,1.3982186,1.702797,1.9639724,2.268294,2.5015347,2.6373875,0.67573285,0.3084789,0.0,0.0
8.3466444e-14,0.0056648664,-29.084427,4.3154607,1.2422047,10.61371,-0.37592182,6.7541833,5.954287,4.8519754,8.08742,3.6430242,3.4458046,5.7745476,0.6431206,0.9678616,1.3983179,1.6899148,1.9637985,2.2596858,2.5000634,2.6354334,0.6718042,0.28711262,0.0,0.0
1.2519772e-13,0.006319528,-29.81927,5.158813,2.2030084,10.989171,0.08731977,5.1661325,3.8489819,8.419927,6.9436994,4.325875,1.9120086,3.5103705,0.6461046,0.9848683,1.3999553,1.6823864,1.963713,2.2526274,2.494356,2.6330123,0.6536718,0.25631848,0.0,0.0
1.6693289e-13,0.009152001,-29.280823,6.047348,2.4675083,13.955241,0.30294752,6.8363757,5.424483,12.26136,1.6781831,5.180845,4.1540046,5.074745,0.66171545,0.99498445,1.3959408,1.6893215,1.9687351,2.2493317,2.4876747,2.6422594,0.6724086,0.22971158,0.0,0.0
1.6693679e-13,0.00915208,-29.038046,5.2439156,0.8904844,12.599528,1.7876021,8.602635,2.07984,10.81797,1.8429388,5.455368,3.5507958,3.2278416,0.6642553,1.0033814,1.3936663,1.7082056,1.9905257,2.2533166,2.4940357,2.6437151,0.6796615,0.23351085,0.0,0.0
8.347035e-14,0.005664946,-28.118223,4.463585,-1.0058336,10.446838,3.082404,10.210996,1.1882533,10.636917,1.5678524,2.3810527,3.3300774,4.1761737,0.6588747,1.0042571,1.3928827,1.730802,2.0132296,2.2497299,2.5003774,2.6415606,0.6947718,0.24809913,0.0,0.0
1.2520162e-13,0.006319607,-28.257751,3.750838,-0.61682624,9.198592,1.9043831,7.1225457,4.0183682,11.760207,6.8441796,1.0572675,-0.29721293,3.0995333,0.64546543,0.99426395,1.405831,1.741289,2.0235512,2.2420564,2.5062175,2.6257608,0.67935926,0.26328498,0.0,0.0
