pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-30.114515,3.023283,-2.8577042,9.804515,3.0779934,3.7968845,-0.9094536,4.251739,1.5293001,3.6186094,0.9207711,-4.0566688,0.6822946,0.98210144,1.411116,1.6803823,1.9825583,2.2408288,2.4791343,2.6754322,0.7999396,0.15576941,0.0,0.0
4.173127e-14,0.0028323939,-29.808807,2.0037897,-2.8043442,7.4939613,1.1362787,3.8503606,0.83589226,3.913516,0.37354445,-0.35410562,-0.7507658,-2.3385158,0.6611734,0.9670255,1.4046634,1.6868385,1.9718195,2.2434442,2.4781234,2.6794689,0.8087035,0.15316337,0.0,0.0
4.173127e-14,0.0028323939,-30.106659,2.1086414,-1.5175943,5.567173,0.37505963,4.0309014,2.6795738,3.7841682,-2.15373,-3.4526927,-0.51774246,2.247421,0.643797,0.95489293,1.402194,1.6933527,1.966189,2.2468996,2.4812477,2.6814826,0.8165609,0.15894336,0.0,0.0
8.346254e-14,0.0056647877,-30.143919,1.296213,-0.588782,3.5870695,0.061949056,5.2735467,1.2725087,1.6609935,0.4418948,-2.7392797,-3.1572115,0.371104,0.63333535,0.94401616,1.3821458,1.6972476,1.9623502,2.254774,2.485505,2.6887665,0.8201874,0.17657362,0.0,0.0
8.346254e-14,0.0056647877,-30.317078,2.5521057,-1.563264,2.4620562,1.4954628,9.43102,2.2342396,0.8109693,-0.27570215,-1.140002,-1.2315388,-0.34966183,0.63957125,0.9475587,1.3760315,1.6987863,1.9700059,2.2581701,2.4937677,2.68616,0.81686306,0.18567967,0.0,0.0
8.346254e-14,0.0056647877,-30.580544,3.7021034,-1.240367,1.5564684,2.540796,11.268903,1.3330655,-3.8307562,-0.87149006,4.184095,1.3138226,-4.5837684,0.6464671,0.9462375,1.3649553,1.6956879,1.9700407,2.2532394,2.4988139,2.6847334,0.8159564,0.19937487,0.0,0.0
8.346254e-14,0.0056647877,-31.167725,4.7591224,0.76693034,3.6084366,2.662708,9.84256,-0.97958493,-5.3787456,1.3001904,7.575325,3.2162297,-5.707447,0.6448094,0.94017917,1.3528637,1.6806669,1.9773184,2.2424679,2.501896,2.6830862,0.8213962,0.20723186,0.0,0.0
4.173127e-14,0.0028323939,-31.148249,4.5548677,2.5514228,5.006234,1.4663216,6.1499906,-2.261892,-3.6644547,-0.9492491,6.688561,4.6576304,-4.3118224,0.63868123,0.9360902,1.3301859,1.6720432,1.980698,2.2433074,2.5005276,2.6820652,0.8271381,0.21548444,0.0,0.0
4.173127e-14,0.0028323939,-30.32432,3.133098,1.0615668,4.816216,-1.0330572,5.009886,2.4478116,0.27783862,-2.4968414,-1.2876525,2.0285108,0.32356182,0.62872267,0.93736243,1.3115762,1.6763223,1.9935156,2.254442,2.4941483,2.6744611,0.81625867,0.21888405,0.0,0.0
0.0,0.0,-29.71826,2.1416197,-0.076719165,4.9740357,-0.17151578,7.8970017,3.9888623,2.1158109,-5.4404826,-3.183795,4.006188,3.2355034,0.62240297,0.937881,1.3033426,1.6889248,2.006594,2.263278,2.4916093,2.6601868,0.80356604,0.20713723,0.0,0.0
