pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-29.917055,0.95347923,0.050276756,4.3368635,-1.8518032,4.9894614,-2.929498,4.9506335,-2.4985487,5.8015466,-0.9440165,-0.17252302,0.620115,0.930222,1.3242944,1.6524051,1.98902,2.2076817,2.4844859,2.683841,0.8748867,0.19184446,0.0,0.0
4.1735173e-14,0.002832473,-30.644075,2.5733418,2.3227563,3.5333679,-4.2514186,0.051626842,-1.2092701,5.9603457,2.8055484,3.7255547,-1.7294474,-0.22154641,0.6274698,0.9192462,1.328416,1.6506157,1.9790972,2.2213428,2.4809961,2.6917553,0.87639767,0.18830031,0.0,0.0
4.1735173e-14,0.002832473,-31.587694,5.075191,4.368118,4.0894723,-6.5053954,-3.401467,1.3755909,3.7632675,5.284554,2.2843673,-0.35199723,0.25669488,0.63124084,0.9131302,1.3367049,1.6516923,1.9666014,2.2405002,2.4810717,2.700001,0.86884254,0.17166167,0.0,0.0
4.1735173e-14,0.002832473,-30.548914,5.511026,2.8274395,6.33917,-6.492565,-6.2910805,1.3824881,0.7962067,2.5194216,-3.6084154,0.91748124,3.9900043,0.64560187,0.92183685,1.3504494,1.6509533,1.9455376,2.2530572,2.4889605,2.7027485,0.85584766,0.16688597,0.0,0.0
4.1735173e-14,0.002832473,-28.766134,4.466182,-0.24004419,4.6697774,-6.725624,-3.012515,0.21609513,-1.2565184,-0.89396507,-4.9283166,5.1900835,4.795317,0.6246282,0.9352054,1.3477793,1.6540364,1.942206,2.2486444,2.4966078,2.7064707,0.83952856,0.17573728,0.0,0.0
4.1735173e-14,0.002832473,-25.698828,2.4288738,-1.2536172,3.7831638,-9.80088,-2.5779061,0.4590671,0.98696953,-1.0469257,-4.6578574,5.903484,7.9938035,0.5963821,0.9399558,1.332881,1.6476136,1.9473015,2.240698,2.5007298,2.703235,0.8186764,0.19265123,0.0,0.0
8.3466444e-14,0.0056648664,-23.56574,2.4976695,-0.09880773,3.543691,-11.7608185,-3.9367294,-0.7553828,4.1542187,1.2105674,2.9557877,8.739303,7.3432355,0.56233627,0.935116,1.3104857,1.6342993,1.9557624,2.239466,2.505329,2.6963995,0.7854337,0.20461361,0.0,0.0
8.3466444e-14,0.0056648664,-22.025574,3.973623,1.119429,2.7912292,-15.500455,-4.6722264,4.127473,7.4208565,0.2588148,7.1910224,8.852027,9.093818,0.5502833,0.9262453,1.3001009,1.6257364,1.9582573,2.2377312,2.4961374,2.6887414,0.75037783,0.19401084,0.0,0.0
8.3466444e-14,0.0056648664,-21.66977,4.5084405,1.1013142,4.58211,-12.780992,-3.340449,6.1273003,11.742061,-0.14487083,3.9266388,7.9024377,5.668087,0.5387315,0.9177013,1.2930096,1.6255118,1.9511986,2.2363603,2.4900749,2.6865823,0.71411306,0.2113884,0.0,0.0
4.1735173e-14,0.002832473,-21.338211,3.541601,1.9572247,7.633869,-9.5377035,1.5478595,10.274789,13.087293,-8.22791,-2.6696415,8.40953,6.849434,0.5203808,0.9163906,1.2832516,1.6392628,1.9418764,2.2402449,2.4797978,2.6894433,0.6887277,0.24012546,0.0,0.0
0.0,0.0,-21.320206,3.1534665,2.2899046,11.984637,-6.019484,4.202696,13.646675,16.922438,-11.686844,-6.4500713,12.097931,7.8178387,0.49980566,0.9080562,1.2694184,1.6489786,1.9325854,2.2466452,2.4811041,2.6867857,0.6352372,0.3084844,0.0,0.0
0.0,0.0,-21.242666,4.9234157,4.5307746,12.894559,-2.7654724,4.448892,18.203295,15.846971,-18.033333,-4.2394695,16.745096,12.164742,0.4926282,0.8913254,1.2628084,1.6580515,1.9375983,2.2455819,2.4814928,2.6826923,0.5648232,0.3719108,0.0,0.0
4.173127e-14,0.0028323939,-21.23607,5.213,5.060636,12.11089,-2.2992115,0.59580594,22.580627,20.258196,-11.880246,1.2431701,20.078533,13.53714,0.4849713,0.86370295,1.2606744,1.6549315,1.944266,2.2381551,2.4887755,2.6827428,0.4699305,0.4387597,0.0,0.0
4.173127e-14,0.0028323939,-19.537466,3.8545523,4.9284825,12.560456,1.098073,-4.634937,19.919374,22.24267,-8.514947,4.1071353,18.30725,13.000974,0.45644745,0.8279399,1.2545439,1.6223565,1.9293356,2.2285738,2.4922512,2.6821814,0.40344515,0.4682069,0.0,0.0
8.346254e-14,0.0056647877,-18.324259,-1.7739917,-0.30370966,11.713612,4.762801,-9.900805,15.983188,28.858915,2.3162642,8.811739,14.040713,14.433999,0.42118374,0.79761696,1.2438021,1.582219,1.8830107,2.213053,2.4859283,2.6794145,0.35327896,0.49486986,0.0,0.0
2.5039153e-13,0.007422757,-17.209501,-3.626428,-3.8167675,11.988148,8.606296,-11.720834,14.513019,32.428085,5.712734,8.430268,11.352521,16.329668,0.3987464,0.77876467,1.2346574,1.5477816,1.8358864,2.1916413,2.468323,2.6705227,0.30945906,0.5234309,0.0,0.0
3.3385797e-13,0.010909892,-17.33414,-3.0842211,-3.386692,10.842342,7.5372314,-10.157248,15.038609,35.80898,7.8274517,7.2230587,11.184204,18.930403,0.4092461,0.79213,1.2384568,1.5344938,1.8023719,2.1725216,2.4480486,2.672268,0.25415534,0.5069669,0.0,0.0
3.3385797e-13,0.010909892,-15.355507,0.47207904,-1.9906629,9.561536,2.9896185,-8.965759,10.723908,30.991228,3.7415998,6.6717644,9.37972,13.640686,0.4109386,0.8001008,1.2385727,1.518395,1.7805508,2.1532876,2.4393919,2.6691072,0.19945604,0.47713694,0.0,0.0
1.2519772e-13,0.006319528,-13.487357,2.2782774,-0.5527423,6.823311,-2.670749,-12.08709,1.7949528,21.35707,1.8214579,8.516461,5.522329,11.920532,0.40154657,0.80014443,1.2276175,1.5010718,1.7490972,2.117441,2.4384277,2.6622148,0.15744938,0.4138306,0.0,0.0
3.0465233e-12,0.013050242,-11.039197,2.4722152,-2.276515,3.4976094,-5.601263,-16.836325,-8.235033,12.0399885,4.8272815,11.229634,-1.0209023,6.564489,0.37908387,0.77554005,1.1946703,1.4845906,1.7214922,2.0693293,2.4370592,2.65071,0.12964642,0.43602058,0.0,0.0
3.5473141e-12,0.016332058,-9.66295,3.8184316,-1.4269291,1.9024254,-6.7502484,-18.525211,-14.114856,6.531486,7.40824,7.902164,-5.8539696,6.082585,0.3646004,0.75245255,1.1652815,1.4801425,1.6979679,2.0252104,2.423896,2.645961,0.111514054,0.47681472,0.0,0.0
3.5890492e-12,0.019164532,-8.302882,3.7087631,-1.5330719,-0.8228511,-4.6477213,-18.832418,-16.627028,3.7245357,3.8731935,2.261172,-10.539046,2.9347446,0.34819102,0.73306704,1.148652,1.476677,1.6896788,2.007598,2.417319,2.646613,0.092475064,0.5608301,93.03797,23.259493
6.6772374e-13,0.012433817,-6.498095,4.3817153,-0.17348123,-0.98956007,-2.896505,-20.831612,-17.670681,-0.45451185,-3.1705315,-1.3884383,-10.111906,-0.209112,0.3316948,0.7072633,1.1343166,1.4846698,1.6864163,2.0241408,2.4211323,2.6504467,0.07373829,0.6011098,207.6125,69.34775
8.7639965e-13,0.013060872,-7.0825877,7.220251,1.2082862,-0.79973906,-3.7816532,-21.264135,-18.407862,0.4262112,-10.37601,-0.11791309,-8.810796,-4.574104,0.37306133,0.7747275,1.1270033,1.5024608,1.7076416,2.0079467,2.3211803,2.6126113,0.07796917,0.57810515,355.55936,140.90065
7.595447e-12,0.023260495,-10.239853,15.913535,-0.58723277,2.2352483,-8.7962885,-18.830336,-17.644735,-0.3289083,-9.010266,1.9139792,-4.434436,-7.0121818,0.44717503,0.84753615,1.121029,1.5134131,1.7111915,1.985868,2.200507,2.5205424,0.11695377,0.53206176,262.5214,189.19408
8.179681e-12,0.02628049,-13.926404,22.307673,-2.6208653,3.4952402,-14.5649805,-16.607735,-17.249304,0.29651427,-8.043861,0.09884342,-5.746305,-4.0158415,0.5141042,0.93351704,1.1355929,1.5145549,1.7136726,1.9431099,2.0827167,2.4017408,0.16893321,0.50783366,147.94685,214.65874
9.515144e-12,0.02869828,-15.322469,23.44856,-4.625241,0.016874949,-17.296635,-17.810125,-17.510756,0.7750009,-7.1805053,-3.4004993,-5.319306,3.5727437,0.501537,0.92805403,1.1534439,1.4977304,1.6954231,1.9307151,2.07985,2.3212225,0.18555455,0.5205599,0.0,214.65874
