pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,1.1494297e-08,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44169292,0.76591355,1.116817,1.4476099,1.791787,2.1258686,2.4666233,2.803074,0.9978846,0.070431575,0.0,0.0
0.0,0.0,-4.1066422,3.8438637,-1.7434841,0.06795909,-0.005608652,0.6875205,-0.79796934,0.2641654,0.0804558,0.11016319,-0.358801,0.25202224,0.5343018,0.8336628,1.1863934,1.4989201,1.8381578,2.1572564,2.4898338,2.8136318,0.9975824,0.15852095,0.0,0.0
0.0,0.0,-9.009059,8.487023,-3.204518,-2.292459,4.291972,-2.9487953,0.92475605,-0.16954751,0.5913438,-1.1536245,1.2517606,-0.9356491,0.63530207,0.8895138,1.2707411,1.5366098,1.901241,2.1785276,2.5246422,2.8205128,0.9963735,0.1952856,0.0,0.0
0.0,0.0,-14.982166,10.184668,-5.017948,-2.2481098,6.557358,-3.566981,0.58460385,2.5263822,3.382334,-0.19229698,1.2901319,1.1238381,0.611983,0.89644957,1.2790853,1.5634419,1.9236549,2.1955297,2.5251095,2.7763627,0.97763675,0.18960969,0.0,0.0
0.0,0.0,-16.908798,6.495112,-6.3276696,-2.4433086,6.085274,-5.333786,2.6320684,6.4033713,6.5679855,2.8726342,2.1523056,1.54573,0.5781904,0.8998747,1.2862215,1.5899254,1.9354385,2.2166939,2.5194569,2.7330103,0.9377456,0.19711077,0.0,0.0
0.0,0.0,-17.461641,1.4171085,-6.951395,0.3758429,-1.1120038,-4.3143387,3.5816557,9.391947,9.306756,8.02419,-1.0912906,2.0195882,0.51120126,0.9040945,1.2723131,1.6259936,1.92596,2.2514937,2.4973977,2.6948833,0.8643095,0.26211357,0.0,0.0
0.0,0.0,-15.440116,-0.44985962,-7.0039344,1.0404235,-4.8721557,-6.078012,4.218391,10.74984,8.816264,5.0208526,0.6949273,-1.8636996,0.4638569,0.87851244,1.2696252,1.6184837,1.9092194,2.2559988,2.4876473,2.698695,0.77757627,0.32775727,0.0,0.0
8.3466444e-14,0.0034871344,-12.674014,-0.37780356,-4.931631,1.9632435,-8.283343,-7.2125053,4.864468,11.753482,9.972844,2.8018093,-1.2011,-2.7069495,0.41526875,0.8544944,1.261664,1.5989299,1.9040405,2.2539818,2.4832067,2.7097218,0.6548807,0.3863287,0.0,0.0
