pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-25.874529,3.8740408,-0.4509095,0.9488869,-1.2657298,6.853409,-2.29871,2.0213473,-2.0559509,-1.1911782,-0.1747833,-0.7372121,0.6113377,0.91495186,1.2994165,1.6286063,1.9371076,2.2228594,2.4867587,2.7336636,0.95950437,0.1038926,0.0,0.0
0.0,0.0,-25.556017,4.0586143,-0.09242035,2.4421172,-2.7204115,6.3608723,-1.7535092,0.06550828,-1.1000446,-1.0038127,2.4628613,-2.3743904,0.6102748,0.9192295,1.2920071,1.6196989,1.9292065,2.2238207,2.4768775,2.7418358,0.961922,0.1128696,0.0,0.0
0.0,0.0,-24.774935,4.97461,-1.1692051,5.325454,-3.4891245,3.510689,-1.1348082,-0.8749318,0.33444774,-0.90172845,4.740259,-3.1926239,0.6049101,0.9137452,1.2973394,1.6159368,1.9211411,2.2279594,2.4689124,2.7447026,0.96222425,0.121703364,0.0,0.0
0.0,0.0,-24.813303,3.7438362,-0.8596309,7.7684875,-2.0088122,-1.2060819,-0.89368266,-1.2096415,1.831422,2.6038048,-0.20451386,-3.1579955,0.60232675,0.9043069,1.3047746,1.6154705,1.9105492,2.2352395,2.4661157,2.7481182,0.9631309,0.1323869,0.0,0.0
0.0,0.0,-24.330065,4.2460914,-0.47489893,8.3172655,-3.2492344,-3.1287746,1.1209912,-1.0507114,2.6442418,2.7260983,-3.1044407,-0.3158996,0.5982495,0.8998988,1.3081073,1.6129917,1.9083958,2.2328098,2.473249,2.7372963,0.961922,0.12999158,0.0,0.0
0.0,0.0,-24.725962,4.19381,-0.34392324,6.7872376,-4.7969065,-0.15552346,2.7748337,-0.38163123,0.677893,0.5762307,-4.8165135,2.9382083,0.6103922,0.9209793,1.2949502,1.5889403,1.9074712,2.2336652,2.482083,2.746436,0.9667573,0.13001157,0.0,0.0
0.0,0.0,-24.5113,4.944724,-0.14269245,7.0297256,-5.6307473,2.4363487,2.2471862,-1.8265079,-1.2754883,-1.4360813,-0.49073997,3.5047495,0.6087534,0.9371434,1.2865521,1.5773166,1.9119154,2.2310822,2.491176,2.7440767,0.9622242,0.11625487,0.0,0.0
0.0,0.0,-24.922523,2.4180381,-2.0014744,5.924953,-5.525823,2.1521065,3.3291435,1.188428,-3.9016864,-0.47451082,1.873758,3.4644325,0.6025343,0.9456237,1.282231,1.5734992,1.914162,2.2368624,2.495731,2.746431,0.9534603,0.116420306,0.0,0.0
0.0,0.0,-24.934309,2.6613526,-0.34323433,4.7771907,-5.4447975,2.5106044,1.7735263,1.691168,-2.631512,2.2337482,2.4900103,1.836627,0.58623534,0.93415856,1.2800468,1.5883003,1.9199972,2.2503736,2.499985,2.7246087,0.9217286,0.122060835,0.0,0.0
0.0,0.0,-24.328773,3.1865528,-0.3006225,2.361882,-4.2106147,2.7711093,1.1617755,4.019898,-2.0729694,2.1825883,2.288154,0.7361019,0.5790948,0.9237144,1.2755789,1.5941023,1.926339,2.2683809,2.4996994,2.7156026,0.8906014,0.14152364,0.0,0.0
0.0,0.0,-23.793762,5.085762,1.3310422,3.3566387,-3.3151772,1.5560395,-4.875357,2.293079,3.3661678,4.890429,2.1298506,2.4393902,0.5791717,0.91787714,1.272803,1.6047605,1.938919,2.2744658,2.5047333,2.7122986,0.8609852,0.16189377,0.0,0.0
0.0,0.0,-21.806894,6.330027,1.8810806,4.5630403,-3.6812496,-1.1328074,-5.1894717,-2.8168097,6.0321217,8.44181,4.2032776,-0.59318286,0.574663,0.91848826,1.2756494,1.6218036,1.9460763,2.261672,2.5055888,2.7116497,0.82320946,0.1913591,0.0,0.0
4.173127e-14,0.0028323939,-19.579,8.225629,2.4485168,5.364887,-4.16589,-1.7879896,-6.350754,-7.3236575,6.809136,12.288254,5.3334374,-1.5488793,0.56486565,0.9205263,1.2823858,1.6324202,1.9469124,2.2437563,2.5059543,2.7019298,0.7573285,0.20629705,0.0,0.0
8.346254e-14,0.0056647877,-16.629034,10.397682,2.1928966,5.991139,-1.839242,2.0274656,-2.1137676,-7.4941936,3.411681,10.072401,6.022854,-4.1695495,0.54817647,0.914262,1.2801876,1.6320144,1.9471054,2.2380743,2.5020208,2.687953,0.6778483,0.25668368,0.0,0.0
1.2519772e-13,0.0084972605,-16.099623,10.577661,2.2063966,7.693006,2.614491,3.3545196,-5.9856567,-9.307366,-1.6036531,6.839556,7.823169,0.81696635,0.530706,0.90352744,1.2676328,1.6326246,1.946795,2.2346904,2.5033643,2.6791985,0.5754004,0.30910316,0.0,0.0
1.2520162e-13,0.00849734,-14.818128,10.749347,1.4797236,8.1133585,5.479389,3.2675698,-9.154935,-7.886736,-1.9809065,6.5997086,11.394679,2.5307677,0.51526064,0.8985236,1.2543607,1.6295635,1.9468955,2.2401297,2.5115454,2.675334,0.51767904,0.3682704,0.0,0.0
8.347035e-14,0.005664946,-13.5673895,12.142606,0.67776614,7.420298,5.706997,3.515042,-12.221085,-9.159251,-2.8073742,3.6005077,9.458426,-0.3997426,0.4810009,0.90761703,1.2472588,1.6293205,1.9400419,2.2422922,2.5151005,2.6755362,0.45905104,0.37997353,0.0,0.0
1.2520162e-13,0.006319607,-9.795137,10.8175955,-2.35575,6.6480527,4.8397756,5.521591,-7.444256,-3.1643956,-4.0320687,0.41538778,3.6096828,-5.148146,0.43568334,0.9037958,1.2453405,1.6255623,1.9316773,2.2515857,2.5097203,2.6905162,0.43487456,0.40220156,0.0,0.0
8.3466444e-14,0.0034871344,-7.384996,9.515442,-3.9580517,5.358869,4.6272216,7.5240746,-1.5449514,-2.071569,-8.254131,-4.4436626,-1.8149933,-6.6890273,0.3829914,0.89163,1.2422129,1.6214582,1.9351131,2.2566593,2.4964523,2.7081633,0.37866426,0.4661994,0.0,0.0
1.6693289e-13,0.0069742687,-5.7747016,7.9714456,-5.2711806,1.5096359,4.1368747,11.717927,2.0830753,-2.0409956,-10.307021,-4.223009,-2.0637424,-8.53922,0.34795168,0.8633041,1.2343203,1.6165031,1.9393072,2.267518,2.491481,2.7240903,0.3112723,0.50195575,0.0,0.0
2.921384e-13,0.008077575,-4.718918,9.082004,-4.672522,-2.1668007,1.8063388,12.958919,3.6016738,-4.3928814,-7.904123,-1.2780278,-0.18730898,-9.8257065,0.3287387,0.84866816,1.2304454,1.6081504,1.9378451,2.2696292,2.4898503,2.7264907,0.25596857,0.5026086,0.0,0.0
3.7560485e-13,0.011564709,-3.6449077,9.895076,-4.508678,-4.559871,1.5471387,13.688294,3.1170638,-4.4670234,-6.2505717,-1.1938065,1.6134897,-7.2755656,0.3117156,0.8355914,1.2285465,1.6054054,1.9229177,2.2693355,2.49249,2.7360182,0.2178906,0.47499505,0.0,0.0
