pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-23.239265,4.8109627,0.92780477,5.5028114,-1.9804748,1.3913493,-1.9966763,-3.2836237,-0.53879434,5.0553603,1.7516888,-3.5157852,0.5949809,0.9041812,1.2987633,1.5937065,1.9245739,2.239083,2.5032384,2.7460887,0.97975224,0.14845377,0.0,0.0
0.0,0.0,-22.730268,4.9344816,2.9844646,4.234636,-2.8682702,-1.07753,0.3664875,-0.28482786,-2.1268754,3.1435096,1.3887644,-2.5091438,0.5880954,0.8862481,1.3009027,1.604237,1.9363389,2.2210329,2.4875157,2.7528064,0.9821698,0.1482406,0.0,0.0
0.0,0.0,-21.00134,6.9492364,2.482327,2.886884,-3.4189904,-2.1096947,1.9074291,1.9415909,-3.1013405,1.0066266,1.3823813,-1.391246,0.59177184,0.8845741,1.2983812,1.6048989,1.9350866,2.2011356,2.4832108,2.7752907,0.9860985,0.19438072,0.0,0.0
0.0,0.0,-18.135677,9.659533,-0.13465627,1.3488959,-2.7939088,-0.982351,1.0765373,3.3195076,-3.9003584,0.8940385,0.18081127,-0.13253538,0.60774606,0.89206463,1.2877727,1.5913143,1.9180003,2.1987004,2.498401,2.8021183,0.99093384,0.21327947,0.0,0.0
0.0,0.0,-11.936051,9.307213,-3.7288673,2.0992386,-2.3670418,1.154255,-0.4964969,1.5964044,-1.7190892,0.3443534,0.09546595,0.20370416,0.6226093,0.9048679,1.2695408,1.5658382,1.894756,2.1927488,2.5114317,2.8210373,0.9936537,0.21744579,0.0,0.0
0.0,0.0,-13.4366255,9.184241,-2.760874,1.481349,-2.8276346,2.7767258,-0.76680595,0.4867336,-2.4609559,1.6901363,0.32443526,0.8004782,0.6324484,0.907706,1.2650622,1.5479159,1.879725,2.2080467,2.4999344,2.8148882,0.9924448,0.1654028,0.0,0.0
0.0,0.0,-15.871681,7.665741,-2.8277986,3.355892,-3.1992233,3.709389,-1.3845037,0.49807134,-3.475352,1.8875118,0.43993175,1.2843026,0.62748945,0.90919137,1.2760571,1.5540987,1.880806,2.217438,2.4856117,2.800768,0.98760957,0.13625343,0.0,0.0
0.0,0.0,-22.096748,7.0273876,-2.943697,3.6252944,-3.1513388,4.3171444,0.47780696,3.2995894,-7.3179336,-0.5998866,-0.27514896,4.7209144,0.6091984,0.9252241,1.2755394,1.5577713,1.8911239,2.2439063,2.4731648,2.7553217,0.9758236,0.14513713,0.0,0.0
0.0,0.0,-21.011597,3.2218378,-8.713136,5.986751,-1.5788325,3.5787659,0.9827916,5.475847,-8.030048,-3.7189987,-1.9698044,6.534495,0.57116246,0.9379404,1.2622343,1.5768803,1.9162273,2.2453654,2.472284,2.711831,0.95769113,0.15837623,0.0,0.0
0.0,0.0,-19.952501,-0.06561772,-10.319689,2.9096096,-2.5887349,5.607837,0.4513043,3.818854,-7.304091,-3.387874,-1.5956215,7.2260475,0.53332263,0.9498027,1.2604717,1.5849293,1.9346156,2.2467394,2.4708958,2.677677,0.9350257,0.1774181,0.0,0.0
0.0,0.0,-18.312029,-0.6923271,-11.220899,0.7752909,-4.2190638,6.3608894,-5.5783005,1.300023,-1.5364295,-1.4690739,0.04213063,6.0749736,0.5044707,0.942187,1.2674687,1.5947695,1.9429799,2.2332132,2.470992,2.679947,0.8927169,0.18458848,0.0,0.0
0.0,0.0,-17.098063,0.5604835,-6.198687,-2.9594145,-10.617101,6.385919,-9.244525,-0.9580979,3.2302895,1.0977769,1.6594009,7.588941,0.49320284,0.93467623,1.2787126,1.5918919,1.9404331,2.2368438,2.4772851,2.692002,0.83016014,0.19958414,0.0,0.0
0.0,0.0,-15.739403,4.0502543,-4.458907,-1.0958533,-13.697106,1.7580318,-8.355171,-3.2418783,0.7636016,-2.4328098,2.0046847,7.8332806,0.4961075,0.92681074,1.2686447,1.5950316,1.9360623,2.2457576,2.4855597,2.696223,0.74644905,0.23132582,0.0,0.0
0.0,0.0,-15.212017,6.892654,-6.529472,-1.2823792,-13.430854,0.22703183,-3.4007647,-8.171714,-4.4717083,-1.904091,2.1071932,5.481439,0.53172463,0.9189113,1.2119604,1.5819477,1.9178146,2.243777,2.4838047,2.694997,0.66515565,0.25879863,0.0,0.0
4.1735173e-14,0.002832473,-16.745544,12.02814,-11.642533,1.0408883,-10.353015,-1.1717088,-1.4832315,-11.559388,-9.237872,-2.0744932,3.0252237,-0.60977125,0.5825273,0.90738505,1.1273125,1.5413628,1.8946272,2.2251887,2.4787576,2.7024763,0.574796,0.26133308,0.0,0.0
1.2520162e-13,0.006319607,-19.68065,16.627157,-15.278778,2.7037601,-10.201272,-1.2022668,-1.6281542,-11.594115,-4.6324253,-3.9431884,2.6599166,-1.9330348,0.645878,0.8941378,1.0302575,1.472176,1.8599019,2.2034352,2.4754336,2.7226055,0.48020554,0.25380993,0.0,0.0
2.0866808e-13,0.009806742,-22.37121,21.156916,-18.141413,4.6449823,-10.722729,-5.025664,2.119358,-9.930081,-1.3487157,-8.850753,4.238197,-1.1424342,0.6782195,0.8832979,0.97559357,1.4070735,1.8265858,2.1840286,2.4702985,2.7475865,0.39347234,0.24869375,0.0,0.0
5.007987e-13,0.012259777,-23.658524,22.071745,-18.259222,5.1659846,-10.32565,-7.5863595,5.117431,-8.279607,4.2758574,-16.64162,5.0512977,1.033501,0.68275255,0.8677042,0.94188625,1.3526764,1.7830473,2.1567957,2.4556866,2.7705164,0.33575097,0.2757077,0.0,0.0
