pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,1.3190729e-08,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.06458934,0.0,0.0
0.0,0.0,-7.1470776,4.5067096,-1.3330139,1.9207401,-2.735839,0.041442897,3.7654254,-3.5659702,0.12918812,0.78114104,0.7086201,0.06343157,0.4538624,0.75843185,1.0924813,1.4680127,1.8148893,2.1146612,2.4809554,2.7738335,0.98821396,0.13465707,0.0,0.0
0.0,0.0,-15.248372,8.689803,-0.9545304,2.468033,-4.4072647,-1.5000316,4.3512836,-6.280077,-0.7327428,2.3573797,1.0180204,1.47043,0.5464354,0.8060363,1.152196,1.5203266,1.883379,2.140062,2.504995,2.7595203,0.961922,0.20001493,0.0,0.0
0.0,0.0,-23.534676,13.50967,1.1825786,2.0218332,-3.801171,-2.5761905,5.927897,-4.921018,-3.3633,3.878521,0.6291929,0.6660073,0.6452644,0.8582755,1.2029128,1.5687795,1.9264523,2.1696837,2.5195522,2.7502792,0.8990631,0.269798,0.0,0.0
0.0,0.0,-22.91379,16.851393,1.915382,0.7780754,0.5916832,-0.28926596,6.943142,-3.0806954,-3.6661303,1.868248,-2.7580316,-0.17674263,0.6311526,0.85133976,1.2006425,1.541015,1.8878552,2.1830084,2.4945383,2.7636487,0.81384104,0.3770567,0.0,0.0
8.3466444e-14,0.0034871344,-21.2975,18.22355,2.1912222,5.9262314,3.287442,1.0269811,9.252571,0.22556357,-4.6504793,-1.3080448,-5.2453275,-4.3797965,0.61890846,0.8611439,1.1751962,1.5242807,1.8459835,2.1900299,2.4791715,2.7668562,0.6896343,0.48703635,0.0,0.0
8.3466444e-14,0.0034871344,-19.345392,18.013523,1.5188497,10.333497,5.999041,7.0462074,10.841514,-2.027036,-2.541211,-3.9934971,-8.970437,-4.984144,0.5821774,0.85885864,1.1538125,1.5036026,1.8287333,2.1952708,2.4746525,2.767224,0.5832578,0.5618525,0.0,0.0
1.2520162e-13,0.006319607,-18.257812,14.1487875,3.2515194,14.717664,8.0031805,6.174852,7.3207345,-3.932402,-1.3319542,-3.6642582,-8.290536,-5.5243373,0.5431747,0.84606737,1.1308786,1.4901711,1.8170915,2.1934693,2.472348,2.76466,0.49108493,0.61106634,83.52273,20.880682
1.2520162e-13,0.006319607,-16.713808,13.847256,4.2386823,12.9162,9.850881,5.2857575,5.661391,-4.8711166,3.3189552,-3.5751324,-10.400758,-5.7880588,0.5039973,0.82682014,1.1097276,1.4832727,1.8014861,2.1912262,2.4738626,2.7760706,0.43457237,0.6606669,159.9539,55.648987
2.0866808e-13,0.009806742,-15.033531,14.241038,5.984268,14.697366,9.79717,-0.16875143,4.217079,-6.3645434,4.7417235,-4.847809,-7.9873447,-4.782697,0.47663882,0.8125458,1.0878845,1.4875956,1.7835584,2.1832101,2.4802914,2.778396,0.38893923,0.6863864,247.50142,103.61209
1.6693289e-13,0.0069742687,-14.463269,17.098818,9.5626135,13.869339,7.0716968,-1.5891123,3.468704,-4.3121586,3.7356641,-7.578935,-6.106439,-3.0951042,0.45205942,0.81108266,1.0779847,1.4853889,1.7756138,2.1777537,2.4863117,2.7796392,0.35630098,0.6891918,269.7341,145.1426
8.3466444e-14,0.0034871344,-14.538844,19.381365,12.920254,15.048972,7.0544763,-1.8146296,-1.5447202,-6.509651,0.8042677,-7.199472,-2.4834468,1.3259051,0.43903735,0.8155241,1.0707151,1.482587,1.7797146,2.175606,2.4905756,2.7760932,0.2919311,0.6885602,292.69962,182.03185
7.51198e-13,0.006741266,-15.594284,21.269403,13.805673,15.320386,7.503493,-1.8794404,-4.520819,-5.9217486,4.618074,-0.36700472,1.0430697,1.8923465,0.44173923,0.81748104,1.0639558,1.4731876,1.7874141,2.168174,2.4886386,2.7812214,0.21637957,0.6946027,299.7103,211.45146
7.51198e-13,0.006741266,-17.252367,20.883604,13.117855,14.531024,8.970413,-2.1616518,-3.6723862,-2.7161198,9.551433,8.576057,2.6437175,4.0138164,0.4584423,0.8150501,1.0578641,1.4721694,1.7901872,2.1666164,2.4898462,2.7843513,0.14233907,0.68627024,294.4941,232.21211
8.346644e-13,0.0102284,-18.427286,18.979628,10.337995,13.324754,12.02708,3.3712547,5.0173073,1.4027052,15.358069,14.496373,5.6886597,6.58572,0.47703567,0.80704886,1.063382,1.4761596,1.7946987,2.1647797,2.486109,2.7814314,0.13085525,0.6303168,306.8716,250.877
1.6693289e-13,0.0069742687,-20.186012,16.442152,10.596124,14.628555,14.236984,7.108831,8.100524,1.7902986,11.554379,5.4596214,3.7724435,7.200873,0.49742374,0.8083517,1.0867387,1.4803642,1.809559,2.1742373,2.4856594,2.7829916,0.21063764,0.49194744,212.3134,263.81668
2.5039934e-13,0.010461402,-20.778921,14.373567,10.362009,16.355635,18.238684,10.003423,11.766853,1.8205367,6.400968,-1.7257514,0.22997475,4.1236978,0.51243144,0.8092404,1.1029947,1.4867748,1.8208512,2.1823778,2.4821224,2.779786,0.2774252,0.44822767,111.77419,270.9673
2.5039934e-13,0.010461402,-21.56922,12.758835,11.470981,18.711235,15.875112,9.647475,14.170264,1.8793346,3.3050966,-8.800082,-3.629592,-0.49602994,0.52922255,0.8191154,1.1137375,1.491232,1.8289448,2.188381,2.4815035,2.7833939,0.3608341,0.4652339,0.0,270.9673
2.5039934e-13,0.010461402,-21.707483,13.416203,10.020312,16.483694,12.721161,8.589961,14.006789,1.7958328,5.3423247,-7.107927,-6.8768306,-1.0268134,0.5392569,0.8197088,1.1097758,1.4906076,1.8175224,2.1833572,2.471446,2.7727153,0.37533998,0.49203706,0.0,270.9673
1.6693289e-13,0.0069742687,-23.106,12.722569,11.356617,17.510647,11.7296295,6.3118825,9.597373,-1.8951402,5.515899,-7.7483597,-10.402409,-0.7373945,0.55271214,0.8187775,1.1183734,1.4779649,1.8116373,2.1771736,2.4667408,2.7713387,0.44484738,0.451905,0.0,270.9673
1.6693289e-13,0.0069742687,-24.138878,12.572146,11.245524,16.673307,11.061249,1.5396137,2.5250895,-5.1974225,2.7593699,-7.082274,-10.714913,0.6402512,0.5686946,0.8080848,1.1308976,1.4654831,1.8062645,2.1703594,2.4712007,2.7675226,0.494107,0.43718275,0.0,270.9673
1.6693289e-13,0.0069742687,-25.274122,11.538681,11.610324,17.138212,15.222397,1.0197948,3.9012039,-1.7225856,0.28940293,-4.157098,-9.393497,-2.0207307,0.5812354,0.808348,1.1509346,1.4680767,1.8139213,2.1751173,2.4821284,2.7763827,0.5478997,0.5070521,0.0,270.9673
1.6693289e-13,0.0069742687,-24.123804,12.0750475,9.603629,14.1843,13.490665,3.224723,7.3901353,1.7062584,1.1398004,-4.4570823,-5.824328,-2.3957267,0.5858883,0.8050511,1.1575993,1.4769224,1.8214756,2.17969,2.4824374,2.7864826,0.533696,0.57041943,71.35923,266.22647
1.2520162e-13,0.006319607,-24.384539,13.617379,10.710811,12.844673,15.195209,6.2292404,9.606854,3.0021992,4.6610637,0.0057061515,-3.4156446,-1.9084238,0.5731717,0.8043173,1.1480044,1.4881629,1.8228563,2.1832283,2.4786189,2.7929935,0.47083712,0.56872153,156.66109,261.41574
