pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.08323541,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44169292,0.76591355,1.116817,1.4476099,1.791787,2.1258686,2.4666233,2.803074,0.9978846,0.22788186,0.0,0.0
0.0,0.0,-4.622271,3.9563158,-1.3980347,-0.11532831,-0.26446137,0.9187071,-0.6255473,0.013200107,-0.005730562,0.3506122,-0.35083053,0.055103082,0.5343018,0.8336628,1.1863934,1.4989201,1.8381578,2.1572564,2.4898338,2.8136318,0.9972801,0.38954997,0.0,0.0
0.0,0.0,-8.784555,7.821125,-3.11063,-0.07738611,-0.2858306,1.6407267,-1.423117,0.24413078,0.08908871,0.48661402,-0.7371151,0.29856706,0.6269107,0.90141207,1.2559699,1.5502304,1.8845288,2.1886444,2.513044,2.8241894,0.9966757,0.38760567,0.0,0.0
0.0,0.0,-8.784555,7.821125,-3.11063,-0.07738611,-0.2858306,1.6407267,-1.423117,0.24413078,0.08908871,0.48661402,-0.7371151,0.29856706,0.5343018,0.8336628,1.1863934,1.4989201,1.8381578,2.1572564,2.4898336,2.8136318,0.996978,0.3661295,0.0,0.0
0.0,0.0,-7.2469373,7.2331085,-3.9371493,0.7619491,0.032008987,0.80864,-1.3257115,0.86612314,-0.24768169,0.16194133,-0.36358956,0.37055087,0.5343018,0.8336628,1.1863934,1.4989201,1.8381578,2.1572564,2.4898338,2.8136318,0.996978,0.3285025,0.0,0.0
0.0,0.0,-8.883686,7.299938,-2.8002856,0.65574086,-0.8966426,0.95034903,-0.6142406,0.7310819,-0.75403327,0.25538546,-0.008493148,0.30764863,0.5343018,0.8336628,1.1863934,1.4989201,1.8381578,2.1572564,2.4898338,2.8136318,0.9966757,0.35316885,0.0,0.0
0.0,0.0,-13.242726,11.206347,-4.3815403,0.6272704,-1.017357,1.7562171,-1.3469847,0.87690264,-0.69541246,0.46599984,-0.3764962,0.49598464,0.6269107,0.90141207,1.2559699,1.5502304,1.8845288,2.1886444,2.513044,2.8241894,0.9954669,0.37469283,0.0,0.0
0.0,0.0,-15.157715,11.841809,-3.291581,-0.28721076,-1.5567492,2.684265,-1.2577511,0.14522664,-0.51518416,0.91634077,-0.63325644,0.2944694,0.6269107,0.90141207,1.2559699,1.5502304,1.8845288,2.1886444,2.513044,2.8241894,0.9951647,0.2994031,0.0,0.0
0.0,0.0,-14.453166,11.647755,-4.1503425,1.1824859,-2.718999,3.2190723,-1.5649186,0.49701473,-0.73570013,0.92672676,-0.6493818,0.38772038,0.62658805,0.9221766,1.2559534,1.5349265,1.8845097,2.2065423,2.5130932,2.8074682,0.9948625,0.29123366,0.0,0.0
0.0,0.0,-12.332756,11.484969,-1.8135437,4.2211547,-1.9206542,6.801765,1.1826043,2.7288399,-0.43381843,2.642043,-3.0028493,-1.2530388,0.5338138,0.92997676,1.2463641,1.5491523,1.8939457,2.2230194,2.5121212,2.776624,0.8881838,0.27216265,0.0,0.0
0.0,0.0,-9.560344,12.396492,-0.57110983,5.949269,0.57005376,8.993163,3.0554583,5.1168675,3.594344,4.8402762,-3.3257744,-0.13248555,0.4613407,0.9203362,1.2464546,1.5801249,1.9052693,2.2527316,2.5092258,2.7343073,0.7116954,0.37424016,0.0,0.0
8.3466444e-14,0.0034871344,-8.346486,13.662254,3.649801,3.9480858,5.3751054,8.7152605,0.4884993,4.897916,5.0204024,3.6122344,-4.508345,4.8435636,0.3914137,0.88336056,1.2465175,1.620062,1.9190143,2.2594903,2.5046456,2.713276,0.49803567,0.40874067,0.0,0.0
8.3466444e-14,0.0034871344,-10.043519,13.867381,6.327703,4.633899,9.642926,7.6625133,-1.563354,7.303791,7.8936133,2.115088,-3.044694,5.4413757,0.4115053,0.853885,1.2598128,1.634821,1.9290737,2.2571337,2.4995472,2.7054775,0.35902086,0.44586563,0.0,0.0
4.173322e-13,0.008772642,-10.871474,11.868931,7.502935,3.3245049,8.535975,9.454994,-0.8598073,4.957544,2.7714279,-0.6349718,-0.82496995,8.519158,0.39416495,0.8643098,1.2532997,1.6148833,1.9352161,2.2355385,2.4914255,2.7096558,0.2674524,0.41543427,0.0,0.0
5.4252604e-13,0.009875871,-9.339458,12.359634,8.258087,8.88503,6.417301,10.529313,3.8209038,9.361721,0.41334262,1.5506682,3.2870328,3.4525042,0.37236997,0.8936672,1.2409655,1.5813416,1.9227138,2.2186918,2.4860365,2.7145445,0.23209429,0.45317098,0.0,0.0
6.2599253e-13,0.0133630065,-9.5837145,12.685428,5.970824,6.1475415,2.0656443,10.49212,5.1490383,6.7742867,0.55232906,6.5682034,9.99622,8.120852,0.35591757,0.92118853,1.2208816,1.5404857,1.8886771,2.2113252,2.4860294,2.7251377,0.1985494,0.41026774,0.0,0.0
3.7559314e-13,0.011564632,-9.608584,13.830844,9.179179,9.438302,2.8392537,6.2097106,3.876901,10.764053,-2.131545,5.1379004,8.332931,4.954573,0.35976997,0.9131667,1.2081407,1.5238589,1.852513,2.202594,2.4941013,2.7369568,0.19220309,0.35669747,0.0,0.0
2.5039934e-13,0.010461402,-10.93261,12.69123,8.7778015,6.9207425,2.9623327,4.39905,4.3420386,8.602454,-0.124867916,6.2678947,10.583516,10.73342,0.37628973,0.8794016,1.1959277,1.5208035,1.8378476,2.194907,2.4980433,2.7456284,0.17920822,0.3441498,0.0,0.0
5.007987e-13,0.012259777,-10.457607,14.741665,11.302974,6.8577213,6.3147545,0.6806264,5.7149043,9.052593,-4.1512504,-1.8535787,2.5439816,10.229829,0.39913568,0.84757423,1.1812048,1.5024267,1.8196532,2.1800463,2.4843788,2.764651,0.17830159,0.41794416,0.0,0.0
6.260042e-13,0.013363083,-12.718738,18.32253,11.680581,5.8626485,8.151448,-3.9152558,8.655671,9.339072,2.293143,0.18023677,1.6951576,16.251894,0.43381408,0.8405461,1.1747869,1.458999,1.7991667,2.157732,2.4630706,2.778323,0.16440012,0.570834,156.38298,39.095745
6.260042e-13,0.013363083,-14.826694,19.1434,13.15839,6.167633,12.918324,-5.545992,7.548495,8.442563,0.20838754,-3.6137383,1.0654379,16.634119,0.45605454,0.8409438,1.1711415,1.4234661,1.7676147,2.127279,2.4452703,2.7854395,0.13689937,0.60625243,299.0482,104.083855
6.260042e-13,0.013363083,-15.42205,19.1545,13.631602,5.436231,11.605881,-8.275761,5.9800363,6.8066716,1.4948645,2.8356736,10.460754,17.558844,0.4636363,0.8358016,1.1750811,1.4153074,1.7528633,2.1000931,2.4395921,2.7681894,0.1438501,0.49586043,427.99557,185.06177
2.9630803e-12,0.018494735,-16.872559,12.26184,7.898079,6.7574325,6.4034843,-8.507077,-2.1200848,2.2517655,0.8630969,1.0343529,10.778096,9.99613,0.44356322,0.8111201,1.1302553,1.3857216,1.7284068,2.0220258,2.337128,2.714452,0.1489876,0.37933183,271.61255,226.94397
3.0882857e-12,0.01959804,-16.480616,9.439734,6.271557,10.410381,-1.2995156,-10.337203,-7.5585914,-0.7599558,4.740997,2.0931177,5.2613287,3.070834,0.41929248,0.7989102,1.0861297,1.3748909,1.7023348,1.9468908,2.2174199,2.6381962,0.14294349,0.28236365,128.94737,242.93378
