pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-1.3912191,1.9007883,-1.9635531,1.6136408,-1.0297239,0.44804156,-0.05842117,-0.06676676,-0.018984,0.18652338,-0.30728772,0.31416526,0.44169292,0.76591355,1.116817,1.4476099,1.791787,2.1258686,2.4666233,2.803074,0.9978846,0.026565157,0.0,0.0
0.0,0.0,-5.3572345,5.6918397,-3.787583,1.7636439,-1.0008521,1.0454303,-0.8465242,0.27432984,0.017760005,0.24836595,-0.6064746,0.58128256,0.5343018,0.8336628,1.1863934,1.4989201,1.8381578,2.1572564,2.4898338,2.8136318,0.9975824,0.19298209,0.0,0.0
0.0,0.0,-6.73274,7.5738006,-5.7369533,3.3734076,-2.0377192,1.5071641,-0.9179713,0.21370076,0.0017556386,0.4252863,-0.9029918,0.8888189,0.6269107,0.90141207,1.2559699,1.5502304,1.8845288,2.1886444,2.513044,2.8241894,0.9972801,0.19298208,0.0,0.0
0.0,0.0,-9.314532,9.466739,-5.5934997,1.9057156,-0.9807864,1.6609379,-1.6481622,0.61780274,0.059637725,0.30296278,-0.89781636,0.8410413,0.6269107,0.90141207,1.2559699,1.5502304,1.8845288,2.1886444,2.513044,2.8241894,0.9972801,0.16641697,0.0,0.0
0.0,0.0,-5.348517,5.6756873,-3.7694695,1.7557125,-1.0096582,1.0635492,-0.8600592,0.27670613,0.022893725,0.2411202,-0.5986294,0.57392406,0.5343018,0.8336628,1.1863934,1.4989201,1.8381578,2.1572564,2.4898336,2.8136318,0.9975824,2.2382286e-08,0.0,0.0
0.0,0.0,-3.9730113,3.7937267,-1.8200997,0.14594866,0.02720896,0.6018154,-0.78861207,0.33733523,0.03889809,0.06419985,-0.30211222,0.26638773,0.44169292,0.76591355,1.1168169,1.4476099,1.791787,2.1258686,2.4666233,2.803074,0.9978846,2.8095103e-08,0.0,0.0
0.0,0.0,-3.0879123,3.1128976,-3.4808598,5.1955495,-5.904757,4.0173497,-1.4061776,0.04399122,0.48985568,-0.9158296,0.8811601,-0.3814114,0.44075966,0.8083665,1.1168123,1.4158076,1.7916137,2.1627362,2.4666734,2.7685263,0.9975824,2.9453957e-08,0.0,0.0
0.0,0.0,-4.6225934,5.4389477,-6.3705325,8.363235,-9.050513,6.8705673,-3.7616036,1.7842137,-0.61162525,-0.39269197,0.8144581,-0.61711836,0.53243536,0.9185687,1.1863843,1.4353155,1.8378115,2.230992,2.489934,2.7445366,0.996978,0.06451661,0.0,0.0
0.0,0.0,-4.6225934,5.4389477,-6.3705325,8.363235,-9.050513,6.8705673,-3.7616036,1.7842137,-0.61162525,-0.39269197,0.8144581,-0.61711836,0.53243536,0.9185687,1.1863843,1.4353155,1.8378115,2.230992,2.489934,2.7445366,0.996978,0.17842549,0.0,0.0
0.0,0.0,-6.921449,2.7679331,-1.6236728,3.3758268,-3.7090445,4.4529204,-3.087309,0.25276867,-1.0403293,3.0799532,-3.0316296,1.2600242,0.47063097,0.83062124,1.1923329,1.4835305,1.8473043,2.193661,2.4686754,2.7640212,0.9906316,0.32221285,0.0,0.0
0.0,0.0,-12.245846,-3.6351852,-0.94206244,0.73043084,-1.5886396,5.8846374,-0.25606847,-0.6359075,0.6116573,-0.08746783,-5.993921,0.4597198,0.40575346,0.7682946,1.1926473,1.5347959,1.8700422,2.1766722,2.4676025,2.7762272,0.9631309,0.4213009,0.0,0.0
4.173127e-14,0.0028323939,-19.0492,-7.647375,-6.5277576,-0.06465403,-0.7266764,12.315926,2.7612817,-2.1047337,-0.24649465,-4.291776,-12.26144,-0.7054779,0.42830923,0.82066184,1.2644848,1.6070014,1.9410048,2.220648,2.4855165,2.763396,0.9141734,0.48686758,0.0,0.0
8.346254e-14,0.0056647877,-19.80745,-11.69472,-14.211266,-4.008986,1.8919572,15.094425,5.197389,-1.5712401,-2.3518856,-11.442641,-16.409813,-1.0263315,0.41000798,0.8431973,1.2499552,1.616213,1.9523717,2.231684,2.497865,2.7546747,0.82955575,0.5703897,0.0,0.0
8.346254e-14,0.0056647877,-18.354368,-11.066083,-19.730396,-10.560692,2.831732,13.992516,5.618216,-0.7144553,-5.93366,-13.09644,-18.960556,0.84637934,0.38879737,0.8293066,1.2251271,1.6151224,1.9429994,2.2184289,2.4843266,2.7592947,0.73647624,0.62176806,76.16581,19.041452
1.2519772e-13,0.006319528,-16.890465,-8.459728,-19.62073,-15.703626,1.5036069,10.751201,3.2114923,1.3163346,-7.3943906,-18.103489,-18.637129,-1.6325588,0.37288943,0.80957675,1.1977582,1.6064793,1.9269204,2.2181969,2.4823828,2.7638009,0.6485343,0.6249424,152.52997,52.413578
8.3466444e-14,0.0034871344,-16.341383,-5.531076,-18.216799,-15.181328,-1.5662774,7.85405,1.3845091,2.4500024,-5.337116,-21.27871,-22.151484,-7.628618,0.3813356,0.8075647,1.1908547,1.592816,1.909112,2.218934,2.48532,2.7603683,0.5983681,0.5214991,152.52997,85.785706
8.3466444e-14,0.0034871344,-16.159546,-2.8540628,-13.730178,-12.74026,-4.439902,3.2291377,0.50080377,-2.105812,-8.658195,-28.562277,-24.78118,-9.495824,0.39543465,0.80294126,1.2016438,1.579752,1.894731,2.219342,2.4903796,2.756375,0.5551526,0.47251448,76.36416,100.11637
0.0,0.0,-15.551406,-2.9678152,-10.834274,-14.170659,-6.573471,-1.9072105,-5.602625,-9.468257,-11.447159,-26.49293,-23.724289,-3.2354248,0.40073776,0.7917623,1.2024251,1.5687121,1.8835984,2.2096379,2.4856703,2.7571685,0.48927167,0.4876493,0.0,100.11637
0.0,0.0,-14.982391,-2.1606731,-8.863336,-15.121124,-9.577933,-6.966909,-12.535183,-18.899237,-20.281794,-25.542534,-12.104079,6.1915474,0.38674104,0.7663869,1.1733801,1.54957,1.8635627,2.196407,2.4741251,2.772025,0.3970988,0.521347,0.0,100.11637
4.1735173e-14,0.002832473,-14.135348,-2.0593512,-10.710171,-18.026377,-9.158046,-6.842423,-19.97799,-25.570892,-18.095503,-23.359213,-10.084674,13.224942,0.35286722,0.74505645,1.1366659,1.5283331,1.8400364,2.1880176,2.4686131,2.7741044,0.3061348,0.511326,0.0,100.11637
1.2520162e-13,0.006319607,-12.536316,-2.4684336,-14.125087,-18.520632,-11.190614,-2.4911158,-17.39398,-24.35849,-20.798277,-31.053907,-15.090519,16.119154,0.30348107,0.7184348,1.1105379,1.5059546,1.8196367,2.183738,2.4632976,2.773101,0.22997884,0.46957603,0.0,100.11637
3.3387358e-13,0.010910048,-8.886481,-3.1120863,-17.548323,-22.432093,-16.32624,1.0322884,-14.721362,-19.94933,-18.763567,-36.985878,-22.11067,17.25812,0.24447201,0.69265205,1.1101154,1.4884185,1.8126334,2.1786718,2.4653225,2.7604506,0.17799939,0.537756,0.0,100.11637
