pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-9.347469,10.161579,-6.6460724,2.1063457,0.18267809,0.29808426,-1.6236864,1.8914014,-0.9785905,0.055162568,0.042653013,0.41337752,0.6269107,0.90141207,1.2559699,1.5502304,1.8845288,2.1886444,2.513044,2.8241894,0.9963735,0.34880677,0.0,0.0
0.0,0.0,-11.340809,11.371228,-6.3380775,1.4658281,-0.1436108,1.27094,-2.04055,1.4762235,-0.5775272,0.27344483,-0.43805233,0.5670225,0.64921564,0.92642635,1.2818323,1.5737208,1.9047409,2.2043412,2.5238712,2.8296125,0.9963735,0.2787759,0.0,0.0
0.0,0.0,-12.144254,11.054779,-4.901124,0.5503851,-0.60745144,1.9468422,-1.5935421,0.5469519,-0.87147635,1.6928134,-0.69501543,-1.6418176,0.6440738,0.9302996,1.2975656,1.5913264,1.9161774,2.2089624,2.5221863,2.8261414,0.9948625,0.19443697,0.0,0.0
0.0,0.0,-16.36501,8.350217,-1.2506247,3.1772687,-3.3967085,0.32068387,0.08337966,0.5770278,-1.5370849,3.834398,-2.1086721,-4.047251,0.58279014,0.90272456,1.2905806,1.5973392,1.9301296,2.206604,2.4992435,2.797165,0.9806588,0.13685656,0.0,0.0
0.0,0.0,-18.017265,1.5325423,0.75520396,1.7484312,-7.4597993,-1.226766,1.6838433,1.4579693,-6.9633613,2.822231,-1.5831555,-0.6369603,0.50772977,0.8328996,1.2628309,1.5740465,1.9251204,2.193779,2.4793499,2.7673604,0.9162889,0.1309232,0.0,0.0
8.3466444e-14,0.0034871344,-19.880892,-1.1915866,2.4878864,-2.2725403,-9.882092,-1.5046583,-2.7577088,2.5644042,-8.195282,2.2623062,0.25536904,2.9134521,0.45770398,0.7734349,1.2406648,1.5529724,1.9187073,2.18668,2.4722843,2.7536013,0.79329103,0.17143919,0.0,0.0
8.3466444e-14,0.0034871344,-18.060545,-1.2897202,5.7582855,-7.0298467,-13.391522,1.7791233,-6.144027,0.5596979,-11.860207,-4.5057645,-2.4371378,3.818373,0.46213198,0.74088067,1.2329103,1.5439243,1.9017416,2.1892383,2.483547,2.767416,0.643699,0.22902836,0.0,0.0
1.6693289e-13,0.0069742687,-17.439775,1.5646335,10.833133,-3.3324482,-10.751411,4.4685636,-7.288135,1.8746443,-7.5632577,-4.180061,-2.9129694,0.7286544,0.44327375,0.7142763,1.2031192,1.5228211,1.8863424,2.187372,2.478218,2.7705867,0.5104261,0.2927933,0.0,0.0
1.6693289e-13,0.0069742687,-16.880262,0.5256694,16.337992,2.1347475,-15.818265,3.4771442,-8.542978,1.8237399,-6.458021,-7.087011,-5.314816,-0.67772055,0.42870235,0.6759758,1.1718773,1.4934677,1.8714045,2.1813738,2.4719622,2.760142,0.40707162,0.35920897,0.0,0.0
2.0866415e-13,0.009806663,-15.796842,-0.098362744,18.005043,2.622435,-15.531711,3.6214173,-11.484833,5.076685,-2.379916,-3.2350686,-1.5120984,0.076018095,0.41296527,0.6431943,1.1486592,1.4568499,1.8470918,2.1640825,2.4723742,2.7470872,0.31912965,0.35206082,0.0,0.0
4.590635e-13,0.0116050355,-14.246559,-2.109564,17.947655,2.8167038,-18.85923,1.005287,-17.330048,7.980753,-1.2338574,-2.4822521,0.38137484,-0.540757,0.40788856,0.6192518,1.1352795,1.4264437,1.8133168,2.133197,2.4735706,2.7423,0.24841343,0.36896133,0.0,0.0
3.7559704e-13,0.008117902,-12.900544,-2.909651,19.830633,2.1117973,-18.261568,3.299961,-16.055141,8.457432,-4.6117635,0.18619959,3.4850893,0.29436144,0.39330623,0.5962403,1.1230038,1.3927115,1.7780498,2.1040843,2.467353,2.7490208,0.19975823,0.36865607,0.0,0.0
