pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-31.440928,2.729517,-4.8944497,10.221139,-1.0639488,4.972186,-1.6341438,-3.1271465,-2.049588,1.0719525,3.0947664,5.0045085,0.67166233,0.99516064,1.3030411,1.5921973,2.0091825,2.213315,2.3360307,2.7546606,0.8292535,0.22690797,0.0,0.0
0.0,0.0,-31.731485,2.3064163,-2.9469068,8.023905,-2.3755903,7.9122796,-0.72763175,-3.0750005,-2.2562873,-0.622019,0.8105965,4.4179535,0.65524274,0.9997347,1.3032494,1.5797361,1.9981656,2.2145655,2.3330128,2.7335994,0.8156543,0.23802984,0.0,0.0
0.0,0.0,-31.09313,1.8668442,-2.3123188,5.7163224,-4.1331477,9.559691,-0.035092432,-3.2400472,-1.8540406,4.2088294,0.75070596,1.4172689,0.6522644,1.0047351,1.308441,1.5731086,1.9783092,2.2171147,2.330262,2.712981,0.7972197,0.24304378,0.0,0.0
0.0,0.0,-31.511549,3.806054,-1.3133484,9.04478,-2.9699018,7.4882903,1.5872825,-0.15283234,-0.3628292,5.501243,3.7548091,2.7476647,0.65573806,1.0117942,1.3141704,1.5849856,1.9610828,2.2066593,2.3257349,2.6952813,0.77032334,0.25672665,0.0,0.0
0.0,0.0,-31.290825,4.356994,-0.30478847,11.208053,0.48437357,4.763959,0.117232956,1.1943238,3.5939476,10.609443,7.026907,3.2112153,0.6743267,1.0196795,1.3319687,1.604289,1.9527321,2.1921198,2.317687,2.6981316,0.7310366,0.25293335,0.0,0.0
4.1735173e-14,0.002832473,-31.160011,4.868902,0.25541568,13.455686,4.361947,4.607396,0.58631057,2.5052702,6.155932,8.171827,7.648174,6.873417,0.67233723,1.0315447,1.3452426,1.6183099,1.9521788,2.1740248,2.3087432,2.6982992,0.6881233,0.27127615,0.0,0.0
8.3466444e-14,0.0056648664,-30.062624,3.9078827,-1.3880421,11.266728,6.7013607,5.2819085,1.0420945,3.8027592,6.1067085,10.030195,4.858831,7.7943826,0.6633294,1.0371633,1.3531014,1.6220859,1.9505835,2.1731012,2.3068125,2.7056181,0.65911156,0.28561476,0.0,0.0
1.2519772e-13,0.0084972605,-29.392563,4.325891,-3.4129667,11.216122,6.528488,7.004816,2.6470606,4.359737,5.7314315,8.733294,5.6440716,8.376853,0.6599817,1.0279225,1.3527702,1.6287746,1.9496408,2.1717727,2.3102093,2.7069054,0.6542762,0.29853013,0.0,0.0
1.2519772e-13,0.0084972605,-29.752645,4.4044757,-4.240709,10.637165,6.971132,9.639076,2.1064,3.624402,4.826008,7.539467,5.4530277,7.9760203,0.66798156,1.0122789,1.3501076,1.6374263,1.9446611,2.1718998,2.3116496,2.713829,0.65790266,0.30509245,0.0,0.0
1.2520162e-13,0.00849734,-30.29563,4.290664,-4.7754765,12.772672,6.3338027,10.50323,-0.48742568,3.0159047,7.5104218,4.8244605,6.513329,6.7889743,0.678572,0.9981099,1.3474873,1.6422118,1.949809,2.1690896,2.3096807,2.7178037,0.6654578,0.3099864,0.0,0.0
1.6693679e-13,0.00915208,-30.624292,4.003053,-3.4521694,13.052396,6.38623,9.254571,1.7932352,3.5506897,5.282185,4.0670114,4.522539,7.876482,0.672431,1.0009079,1.3425789,1.6397357,1.9490598,2.1678874,2.3018327,2.7157316,0.6569961,0.3126119,0.0,0.0
1.6693289e-13,0.009152002,-30.708893,4.3132577,-2.440316,13.483079,6.1792145,8.64035,1.6992716,5.4362946,4.828674,4.881426,7.1327915,6.7081227,0.6650519,1.0105997,1.3383598,1.6360911,1.9498724,2.1739056,2.3020327,2.7052896,0.6491387,0.30568784,0.0,0.0
2.0866418e-13,0.009806662,-30.693289,4.7003245,-1.1734742,11.825795,3.5888064,10.959147,3.6754782,6.2359967,1.3417649,4.286419,9.403061,6.9929104,0.6594811,1.0223479,1.3353676,1.6342144,1.9377317,2.183797,2.3056571,2.6963975,0.6430946,0.29366493,0.0,0.0
2.0866418e-13,0.009806662,-30.498144,4.16312,-1.9581105,11.379215,2.7890358,13.396039,-0.242505,8.195069,3.4755363,4.005572,9.404842,2.6276045,0.6565532,1.0338145,1.3363618,1.6311039,1.9279486,2.195566,2.31167,2.678482,0.64702326,0.2727103,0.0,0.0
2.0866806e-13,0.009806742,-30.385244,2.4914196,-1.288432,10.540999,1.5641118,13.236053,0.15310693,10.57545,2.7551444,1.8610772,6.5371895,4.18817,0.6520086,1.0348473,1.3351892,1.6284213,1.9208416,2.1963708,2.3094852,2.6757116,0.6569961,0.25341147,0.0,0.0
1.2520162e-13,0.006319607,-30.013243,2.6280174,-2.7013912,8.384188,4.711166,12.93293,1.0616016,8.315615,2.2628932,4.3839283,4.705194,5.0973544,0.6531144,1.0340971,1.3348631,1.6245586,1.9227428,2.1885493,2.3093784,2.674669,0.6612269,0.25084436,0.0,0.0
4.1735173e-14,0.002832473,-30.211615,3.4594867,-3.4956875,10.033408,6.6119666,9.413767,1.2377776,4.773719,2.271918,6.4145303,4.5036917,8.476172,0.67210597,1.0305811,1.3345343,1.623819,1.9353747,2.1825688,2.3097765,2.6878593,0.6718042,0.24448264,0.0,0.0
8.3466444e-14,0.0034871344,-30.206,4.7162776,-4.0281463,11.522927,6.101292,8.177898,2.9913623,0.6852178,4.1940684,10.828832,2.9108953,6.408169,0.6845891,1.0325079,1.3353763,1.6254978,1.9546032,2.1870358,2.314749,2.6869535,0.681777,0.24619319,0.0,0.0
1.2519772e-13,0.006319528,-30.067862,4.991738,-4.4408813,11.639736,4.4095006,9.008708,3.2141726,1.2379144,4.741903,9.872706,0.43615004,4.904695,0.6829004,1.0299696,1.3303486,1.6345145,1.9667726,2.202204,2.3160093,2.6796389,0.693563,0.22894137,0.0,0.0
1.6692898e-13,0.009151922,-29.828737,5.2798743,-2.1678083,10.406216,2.3200426,12.125714,7.249349,2.0152533,1.2383137,7.0078278,1.7388196,3.2924016,0.67258376,1.0214285,1.3296937,1.6342744,1.9644784,2.2179554,2.3200138,2.6754875,0.6947718,0.23487927,0.0,0.0
8.346254e-14,0.0056647877,-29.478655,6.7245803,-1.0277436,9.393181,4.5300674,13.186066,8.296536,6.0615234,-1.4119264,3.865427,3.6564143,1.9582224,0.6621874,1.0016347,1.3417448,1.627946,1.9534149,2.2168703,2.322914,2.6953938,0.6965851,0.23759985,0.0,0.0
8.3466444e-14,0.0056648664,-29.458563,5.8277555,0.71503097,12.550705,5.7510376,12.171422,7.301695,5.3347583,1.0591093,1.6096416,3.8110492,0.31843236,0.66360843,0.986715,1.3511003,1.6215676,1.9493957,2.2110195,2.324214,2.716323,0.6881233,0.26056048,0.0,0.0
4.1735173e-14,0.002832473,-29.38901,4.9433227,-2.0270257,12.173795,8.112887,10.786796,6.0436635,7.266939,3.4284627,4.492384,1.2719123,2.3093622,0.6635646,0.98146194,1.349517,1.6328416,1.9495484,2.2016401,2.3235292,2.7325194,0.6754306,0.27880052,0.0,0.0
8.3466444e-14,0.0056648664,-29.954115,3.6303809,-3.3609607,11.510655,7.512999,11.328084,1.2116429,7.2617393,5.0450215,5.6635995,-0.9899705,5.3200636,0.66526866,0.9877829,1.3320422,1.6444248,1.94841,2.202654,2.3227026,2.7230728,0.658205,0.27695993,0.0,0.0
8.346254e-14,0.0056647877,-30.54683,3.3868477,-3.5086374,10.138995,5.3379974,9.708083,1.1044611,10.959472,4.3349423,8.7848215,-1.3158005,6.7583756,0.66420645,1.000564,1.3292608,1.6460352,1.9447503,2.2048275,2.3231223,2.7101147,0.6533696,0.2696765,0.0,0.0
1.2519381e-13,0.008497181,-30.981153,3.4057062,-0.62425274,10.088807,3.1500397,9.975635,0.14359038,10.646349,5.0229154,7.7480025,-0.17874813,6.117581,0.65636706,1.0088238,1.3340468,1.6404423,1.9454905,2.2062283,2.3241436,2.6898048,0.653974,0.2675999,0.0,0.0
1.2519381e-13,0.008497181,-31.013105,3.88042,0.36619207,11.012386,1.0597628,5.7924323,4.600379,8.982741,5.8659496,7.767017,3.163656,7.180347,0.6564558,1.0119258,1.348905,1.6385541,1.9540156,2.20635,2.3212044,2.6745098,0.6560895,0.28847447,0.0,0.0
