pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-13.159909,11.420611,-4.6537642,0.58424526,-0.70457846,1.1080596,-0.13865408,-0.3170499,-0.49942204,1.0099385,-0.36756024,-0.5064079,0.66481197,0.8984476,1.2785393,1.5982552,1.9295616,2.2182424,2.5211172,2.7520664,0.99335146,0.27256778,0.0,0.0
0.0,0.0,-14.577293,9.7947645,-2.3869333,1.6725502,-2.8443887,0.4900858,1.7352239,-0.9358885,-0.40303823,1.0777854,-1.8050452,1.753184,0.6452156,0.9142272,1.2722739,1.5766448,1.9067558,2.2134788,2.5104277,2.7614193,0.9906316,0.19405703,0.0,0.0
0.0,0.0,-17.349401,7.7092557,-1.2571822,4.3411765,-3.7756712,0.2699801,0.67405397,-0.7548404,-0.614458,2.3584063,-1.8309647,1.3784432,0.6073909,0.92993426,1.2735267,1.5708812,1.8970442,2.2057977,2.491455,2.7705548,0.98337865,0.12457061,0.0,0.0
0.0,0.0,-21.935122,3.7615032,0.54146266,4.771567,-0.34775606,0.3406556,-0.78709954,-3.1488888,-1.2011216,5.981257,-1.8914579,-0.67240334,0.5988193,0.95594615,1.2773207,1.5841211,1.9088659,2.215069,2.485458,2.7315862,0.9709882,0.11912304,0.0,0.0
0.0,0.0,-24.007685,3.5788014,-1.0037113,4.868691,1.5960106,0.7594316,-3.2072868,-2.34692,-0.60602325,6.7178154,-4.531811,-0.8732378,0.58741164,0.94614863,1.275611,1.5890303,1.921339,2.2132885,2.489527,2.7177875,0.95587796,0.14083771,0.0,0.0
0.0,0.0,-23.440485,3.4506435,-0.42427507,2.6787827,1.1843039,1.4209418,-4.942385,-4.2608113,-0.77890486,3.1608305,-7.5037665,-0.5126505,0.59241384,0.9378031,1.2687836,1.5804334,1.9323386,2.2224636,2.4971428,2.700515,0.91477793,0.16251649,0.0,0.0
0.0,0.0,-22.859797,7.324318,0.14373982,-0.22961934,-3.111349,4.1693463,-6.4400153,-3.9779294,-2.1979067,-5.7136235,-8.285932,1.0430899,0.57271695,0.9174077,1.2789643,1.5787048,1.9438971,2.2362683,2.4933653,2.6962538,0.8679359,0.18917017,0.0,0.0
8.3466444e-14,0.0034871344,-19.713951,6.2475185,-1.3692747,-2.481682,0.530256,8.617226,-4.4940906,-2.6517456,-1.1452737,-4.496426,-4.887106,-0.91206676,0.54210466,0.90900165,1.2839158,1.5765771,1.9386181,2.2522008,2.4874208,2.6973732,0.78029615,0.22664173,0.0,0.0
8.3466444e-14,0.0034871344,-15.092319,8.213086,-1.2028937,-4.3150635,1.909438,8.03676,-2.4900064,-3.4732265,0.24765746,-4.99272,-3.7781305,-0.25776422,0.48323417,0.8662372,1.264145,1.5671114,1.915069,2.2559497,2.482766,2.7109506,0.6406769,0.2907561,0.0,0.0
8.3466444e-14,0.0034871344,-11.340571,8.525531,1.8199731,-4.6003017,1.2289826,5.7554474,-2.87937,-2.567571,4.1438165,1.9020547,-4.883408,-4.5797715,0.4110531,0.81139374,1.2160927,1.5481807,1.8883435,2.2436802,2.482154,2.7331905,0.45542464,0.42789164,0.0,0.0
