pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.074075036,0.0,0.0
0.0,0.0,-1.373088,1.8812178,-1.9530507,1.617754,-1.0450422,0.46352485,-0.06146002,-0.083048135,0.013531293,0.14942698,-0.27957523,0.304625,0.44169292,0.76591355,1.116817,1.4476099,1.791787,2.1258686,2.4666233,2.803074,0.9972801,0.16167398,0.0,0.0
0.0,0.0,-7.151502,3.0390837,-4.925585,0.812794,-2.668246,2.3887732,1.6043159,3.883331,2.4031959,0.73939556,-1.567977,-0.5523879,0.47160172,0.8344187,1.1725258,1.5081953,1.8268781,2.1710126,2.4902332,2.7893727,0.97280145,0.29277548,0.0,0.0
0.0,0.0,-10.740108,5.0815806,-8.186591,1.087624,-4.8292484,1.8916273,2.5961123,8.026179,4.4903607,1.5464926,-0.8590495,0.15262866,0.5037043,0.9112137,1.2398577,1.5723186,1.8733071,2.2097628,2.5086231,2.7776759,0.9171955,0.33364308,0.0,0.0
4.1735173e-14,0.002832473,-13.299739,4.1507173,-9.560332,-0.85937375,-7.00728,3.364085,4.39162,10.147739,6.4506874,1.8542757,-0.8230057,1.5509506,0.43894053,0.90589637,1.2315075,1.5740265,1.8663007,2.206165,2.5014622,2.7563207,0.8226051,0.37119153,0.0,0.0
8.3466444e-14,0.0056648664,-11.680333,3.9236403,-9.3981085,-2.6811018,-7.020054,3.380892,4.9407687,12.8502,4.5411325,3.058856,3.248801,5.9296594,0.43111515,0.8981738,1.2394365,1.5717214,1.8598076,2.1910877,2.4949958,2.7600267,0.71501964,0.406366,0.0,0.0
1.6693289e-13,0.009152001,-11.123021,5.8215337,-5.687984,-3.9626124,-7.556604,6.9523683,5.4848614,10.884548,-0.3609616,3.3712032,4.7698636,9.928447,0.41412815,0.8756182,1.2333604,1.567468,1.834321,2.1719422,2.4874623,2.7625134,0.5497129,0.48594365,0.0,0.0
1.6693289e-13,0.009152001,-9.86885,9.603719,-0.9058008,-6.692738,-7.137712,9.7113695,6.388885,9.077559,-5.3504043,5.2651734,7.1014,12.676727,0.39103606,0.86253136,1.2213818,1.5658665,1.8145739,2.1573713,2.478234,2.7677429,0.3937746,0.5165065,0.0,0.0
4.590674e-13,0.011605115,-8.940787,12.142563,1.9402007,-9.284383,-10.557436,9.559864,4.835068,1.7755541,-6.432619,4.25717,6.346524,14.844752,0.37450698,0.83555764,1.2034484,1.5499557,1.7961701,2.1353443,2.4662788,2.7686052,0.29011786,0.52526826,0.0,0.0
4.590674e-13,0.011605115,-8.93617,11.996263,4.043572,-13.366333,-9.702886,13.062569,4.6881127,0.63466185,-2.794033,9.005104,5.6676693,13.487567,0.35863218,0.798662,1.1784532,1.520401,1.7771004,2.1127417,2.4622085,2.7657363,0.26322153,0.5297155,0.0,0.0
7.51198e-13,0.01405815,-8.7044115,11.563638,5.5344605,-14.827891,-7.4653106,14.126546,2.229002,-1.5040984,-1.4841205,12.291501,4.308918,13.61974,0.36108676,0.74562645,1.1440178,1.4900476,1.7508532,2.0869513,2.4585307,2.7616148,0.22393472,0.590064,138.67924,34.66981
7.51198e-13,0.01405815,-9.202362,11.377276,9.801053,-11.596379,-4.8600883,13.723495,-2.3263607,-3.0433848,-1.4847445,19.126717,2.6738555,10.623806,0.37172782,0.7057212,1.1133099,1.4610869,1.7123328,2.0533962,2.4479303,2.7617218,0.16016923,0.61335975,278.69193,95.67535
7.51198e-13,0.01405815,-10.777493,10.070084,11.022942,-9.9861355,-4.8895607,9.9807,-5.3666496,-5.1316533,-6.0346127,18.914312,5.871498,8.241248,0.392832,0.6781392,1.083209,1.436839,1.6724672,2.01767,2.4306753,2.7684822,0.12178906,0.58627534,418.70462,176.43266
4.590674e-13,0.011605115,-12.454953,8.841198,10.805798,-8.582244,-7.086081,7.201891,-3.287323,-2.8374226,-7.6103263,16.983328,7.052775,1.617,0.39927635,0.6661055,1.0688597,1.4098037,1.6460257,1.9734999,2.4072783,2.7717974,0.1136295,0.5762146,280.0254,222.52019
2.0866808e-13,0.009806742,-11.298631,7.9565644,9.915723,-10.034155,-4.445082,11.792198,3.9016693,4.976043,-8.984528,11.658587,7.04488,-2.8170898,0.38696024,0.65412086,1.0515877,1.3925737,1.6327759,1.9352847,2.3752182,2.7748613,0.10123905,0.5589072,140.0127,242.27197
4.841085e-12,0.018016865,-9.550217,7.6030574,8.984925,-10.504013,-1.6463901,14.2604475,9.7310705,9.551251,-11.553772,7.1501064,4.1042995,-2.3608327,0.37693977,0.63571334,1.0312824,1.3918066,1.6377589,1.8952785,2.3299675,2.7662022,0.06829858,0.5548308,0.0,242.27197
5.8426944e-12,0.022623887,-7.5769043,6.0171514,8.182296,-13.935338,2.9342024,14.213569,9.161408,12.312729,-11.177293,4.7193174,4.8486924,-3.642788,0.36528972,0.62859124,1.0091588,1.4254025,1.6356755,1.874112,2.281029,2.749595,0.05228166,0.5327564,0.0,242.27197
9.932495e-12,0.030412829,-5.741446,6.271545,4.7900033,-17.534338,3.3488605,6.6526666,11.535214,10.745532,-13.693669,3.3159494,8.495955,-0.41972986,0.34897265,0.63149095,1.00183,1.4662997,1.6390114,1.8729082,2.232599,2.7353418,0.05288607,0.55531293,151.5464,259.96924
1.1267962e-11,0.03132138,-2.574421,7.854259,3.1053922,-19.337917,1.6130861,2.1809523,11.340118,7.41255,-7.0629296,1.8425413,11.952893,-3.4700167,0.30914587,0.66690445,1.0074846,1.4948224,1.6272388,1.891427,2.1950488,2.7178504,0.05228166,0.6047554,281.36374,285.50717
4.711695e-11,0.045563716,-0.737827,11.291801,1.2913027,-18.779114,-1.4357978,-1.8003746,16.312574,7.0477815,-1.1827116,-1.6970686,14.241768,0.65826654,0.26315445,0.6981638,1.0214754,1.4897518,1.6135893,1.9159874,2.1641467,2.711713,0.042611063,0.6543154,382.52322,309.7612
5.938647e-11,0.05130169,0.6395837,13.470978,1.7468939,-19.393671,-2.61428,-0.16475181,17.041512,6.564677,3.5290356,-5.6340394,16.351912,2.3330457,0.2301954,0.7227166,1.0158844,1.4774677,1.6076332,1.9339027,2.1449378,2.687657,0.031731643,0.6807561,343.13647,318.105
1.2845491e-10,0.06553335,0.5392844,14.60492,-1.119002,-19.63552,-2.2357802,2.7942398,19.66674,8.302563,4.5476165,-7.8616295,16.05739,8.274076,0.2124163,0.72209644,1.0227405,1.4642617,1.6138096,1.9568496,2.1308975,2.6649656,0.03203385,0.67908645,332.4075,321.68063
9.3231846e-11,0.052417412,1.1332619,11.634089,-3.8442366,-17.058867,1.264438,5.2927423,15.545283,8.099233,0.81002396,-7.7842197,16.258158,13.753147,0.20498197,0.71885544,1.0341148,1.4512542,1.6190966,1.9660519,2.1210577,2.6135643,0.03747356,0.6810351,350.33633,328.84454
9.5569025e-11,0.053109482,1.1471183,8.722494,-7.8346324,-13.635024,6.830559,7.0374465,14.117856,11.4650345,2.2839844,-3.998902,17.319635,13.1943865,0.19800627,0.69699025,1.0528822,1.4241861,1.6174555,1.9666128,2.1169891,2.576752,0.037473556,0.6908429,365.50912,338.01068
2.6500501e-11,0.03887779,2.5259237,5.207079,-9.108108,-13.147859,13.083991,4.24169,9.524312,15.632215,0.7730556,-2.2535875,19.34069,10.061234,0.19305152,0.672975,1.0504979,1.4145371,1.613639,1.9416447,2.1109343,2.5210989,0.03173164,0.7119167,355.52417,342.38907
6.906863e-11,0.053207487,2.7436628,4.1044755,-9.541411,-15.33545,17.921553,3.4747674,10.740392,20.105062,3.3584664,-0.35030508,20.643217,6.5355935,0.19536775,0.6530876,1.0503583,1.4126352,1.6161212,1.9190316,2.1031885,2.4887056,0.024478694,0.7064268,335.75107,340.72958
5.2709285e-11,0.045077547,2.8058703,3.6313686,-8.577851,-16.010206,18.543936,4.8999667,10.445859,19.565317,1.951698,-5.165064,17.51542,6.632744,0.20152378,0.6546909,1.0404958,1.4200484,1.6177534,1.8920757,2.0907893,2.4488344,0.020550014,0.6960766,335.16113,339.33746
2.046181e-10,0.06601303,1.3012105,5.0718956,-7.550115,-17.1036,19.652643,9.41689,16.257372,16.473783,-0.12840064,-7.989568,14.682747,7.1813827,0.20460822,0.6554646,1.028721,1.412798,1.6103336,1.8890295,2.0883856,2.4423168,0.021154428,0.69234663,372.35898,347.59286
3.9045575e-10,0.08066451,1.2811133,6.3407044,-7.5694633,-17.327143,19.835802,13.785144,16.22616,15.738622,-1.8299087,-9.603887,9.74788,8.196321,0.2098697,0.63928837,0.9918747,1.4097971,1.5946664,1.8904685,2.0911343,2.4287426,0.023874283,0.70038223,397.23013,360.00217
