pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-30.625,2.3065584,-2.2026165,2.742367,0.3434105,0.7853327,4.102054,3.609503,3.2553875,-3.3711166,1.7101859,3.440482,0.6376551,0.9120982,1.3111709,1.65622,2.013386,2.2361515,2.4725878,2.6773555,0.8612874,0.20885146,0.0,0.0
4.1735173e-14,0.002832473,-30.04003,3.1448677,-0.6405682,4.657781,-3.0482986,-4.2870827,2.0079944,2.400211,2.8555768,-1.452712,0.8698376,3.2545073,0.63669676,0.9193204,1.310985,1.6590155,2.0078976,2.2389238,2.4804797,2.6870716,0.8612874,0.18786375,0.0,0.0
4.1735173e-14,0.002832473,-28.93585,4.4559197,1.1922705,4.962421,-6.765297,-7.9706864,0.69781667,-0.5441671,1.9620003,2.8716993,0.9623079,5.731891,0.6331103,0.9269576,1.3075824,1.6584044,1.99201,2.2401488,2.4904048,2.6926603,0.860683,0.17291735,0.0,0.0
4.1735173e-14,0.002832473,-27.316973,5.449919,0.99668676,2.3052695,-10.414746,-7.4276357,0.8576401,-5.222069,-1.8766056,2.5054932,1.2351482,7.2193394,0.6287363,0.9356138,1.3071299,1.6541466,1.9696714,2.2394245,2.4953375,2.6889446,0.8531279,0.1729873,0.0,0.0
0.0,0.0,-24.049955,7.0293097,-3.541242,-4.7610974,-11.666718,-4.624774,1.8931707,-8.018573,-4.111768,3.697492,2.5254018,7.872692,0.61387086,0.93919355,1.2917489,1.6472732,1.9562327,2.239118,2.495383,2.6877706,0.82351166,0.20163262,0.0,0.0
0.0,0.0,-21.067303,8.701846,-7.5463004,-9.926514,-13.708325,-5.5289,-2.4702318,-11.462522,-6.7562957,-0.02123928,3.2591124,3.6174269,0.58708394,0.93614465,1.280148,1.6549344,1.9523088,2.2419155,2.4926212,2.6877804,0.75823516,0.24695612,0.0,0.0
0.0,0.0,-17.08647,9.184929,-9.276768,-11.930122,-11.755404,-5.4422812,-8.4607115,-10.491553,-1.1789331,0.15322275,2.0393512,3.823642,0.5528446,0.93628293,1.2665983,1.6564008,1.9514818,2.24984,2.492876,2.6813824,0.66515565,0.2795378,0.0,0.0
0.0,0.0,-14.523884,10.719216,-7.0204053,-9.418548,-11.944575,-3.6510608,-12.664744,-13.335808,-2.9460325,-3.2318382,-0.28186837,2.650235,0.4899563,0.92507523,1.2485938,1.6482773,1.9547261,2.260146,2.4950035,2.6686294,0.55122393,0.37465262,0.0,0.0
4.1735173e-14,0.002832473,-10.829627,11.918915,-3.5868194,-6.689199,-11.042354,-4.055116,-14.592904,-14.369222,-6.4787765,-3.4889412,2.079971,4.985527,0.4085147,0.910408,1.2265688,1.628963,1.9589921,2.2700064,2.497941,2.6647475,0.41976428,0.41215178,0.0,0.0
1.2520162e-13,0.006319607,-7.3927245,12.643524,-0.06112683,-3.6859436,-13.331758,-7.323337,-18.737959,-20.86417,-17.32216,-6.278375,4.312445,2.1135213,0.312814,0.8796546,1.2105237,1.6159639,1.9660755,2.266959,2.4949782,2.661907,0.27440313,0.49025807,0.0,0.0
