pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-16.247477,12.026303,-2.5237978,-0.58563596,-2.227072,3.1263142,-0.76025295,-0.3361242,-0.85534924,1.4328486,-0.62244594,0.09447968,0.6269107,0.90141207,1.2559699,1.5502304,1.8845288,2.1886444,2.513044,2.8241894,0.9942581,0.36100623,0.0,0.0
0.0,0.0,-12.41392,9.992662,-3.6238813,1.2460691,-2.5213702,2.4165366,-0.4641651,-0.22244339,-0.70283914,1.1304678,-0.6598957,0.39481232,0.6269107,0.90141207,1.2559699,1.5502304,1.8845288,2.1886444,2.513044,2.8241894,0.9951647,0.34605202,0.0,0.0
0.0,0.0,-7.103695,5.9645023,-2.7053816,1.4720577,-1.8435837,1.3251973,-0.14346217,-0.05763648,-0.48148397,0.5907943,-0.3661925,0.38988292,0.5343018,0.8336628,1.1863934,1.4989201,1.8381578,2.1572564,2.4898336,2.8136318,0.9966757,0.2802132,0.0,0.0
0.0,0.0,-5.189716,5.1972156,-3.3358753,1.966736,-1.5248941,0.52198917,1.42073,-2.4272132,0.94204026,1.8957195,-3.577719,3.1924722,0.52643514,0.8334138,1.198392,1.507472,1.8406366,2.1643353,2.474971,2.7978213,0.9942581,0.17606954,0.0,0.0
0.0,0.0,-11.825681,5.0239277,-0.067803144,-0.04641509,-0.2617046,0.8267625,0.34828815,-2.6712983,2.0200984,3.2852623,-7.19194,4.2885437,0.50560576,0.8311498,1.21351,1.5237697,1.8545946,2.1814053,2.469453,2.7801278,0.98549414,0.1519636,0.0,0.0
0.0,0.0,-18.049807,7.220365,-0.46972153,-4.652527,-4.5398135,3.6471567,-0.280664,-3.600653,2.89372,1.4319472,-7.6807475,3.4095488,0.5700685,0.8977592,1.3041192,1.5922569,1.9219137,2.2263806,2.4793537,2.765812,0.9625265,0.2328927,0.0,0.0
0.0,0.0,-17.737648,5.8639083,-0.5354549,-4.255443,-4.24642,1.8247627,-0.008223216,-4.1052094,-0.5486981,-2.1257067,-8.95181,-2.5489018,0.5084312,0.8844057,1.2953447,1.5994774,1.9360505,2.2413118,2.4885826,2.7535303,0.86823815,0.35006395,0.0,0.0
0.0,0.0,-12.342301,6.7404113,-2.2290313,-1.8178396,-3.2757332,-0.39612055,2.3052037,-5.6542754,-3.5786946,-7.2066674,-10.465531,-9.060416,0.4340218,0.8692325,1.2754346,1.597928,1.9261932,2.2463145,2.488575,2.7452557,0.69054097,0.429504,0.0,0.0
3.3386577e-13,0.0052855075,-7.5629287,8.008805,2.0343554,7.5962696,1.1474384,-2.2157135,6.2865853,-2.4260237,-2.4529183,-5.8223653,-13.315278,-11.444621,0.3540763,0.8545167,1.2507932,1.5980841,1.907096,2.2515004,2.4963272,2.7437336,0.44031426,0.53228503,0.0,0.0
3.3386577e-13,0.0052855075,-6.3485246,10.417973,5.885404,10.698975,2.420355,1.9517937,9.423028,5.5852265,3.2623005,2.232978,-6.6348095,-6.8278866,0.29440656,0.85919076,1.2473259,1.5996275,1.8995861,2.2485764,2.49426,2.7450533,0.22484136,0.6361587,136.11111,34.02778
