pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-30.627419,2.2665012,-0.06285552,10.807735,6.0509353,10.592372,0.22615214,5.7106977,-5.036094,5.8151054,7.1211686,6.109911,0.6633162,1.0149043,1.486608,1.7164594,2.017905,2.2098613,2.4967682,2.612405,0.68117255,0.22006609,0.0,0.0
8.3466444e-14,0.0034871344,-30.247276,3.2780297,0.038027663,10.188062,6.105488,9.028108,1.4204006,4.902176,-3.1823378,6.027887,6.325937,5.856234,0.65743744,1.0079641,1.4721514,1.7208033,2.0132096,2.2196608,2.4912539,2.609771,0.6766395,0.23342626,0.0,0.0
1.6693289e-13,0.0069742687,-29.49997,4.6341567,-0.9917595,7.5430074,4.9636607,7.882898,2.2457697,3.9206028,-1.967676,5.062589,4.873121,6.6463428,0.6520054,0.9963049,1.449185,1.7254881,2.0111454,2.2406805,2.483204,2.607062,0.6672711,0.24633151,0.0,0.0
2.0866806e-13,0.009806742,-27.890406,6.646908,-0.6503652,6.4921937,3.7258174,6.573721,3.182555,2.3648198,1.0316845,5.080566,3.3511689,4.6793933,0.6588895,0.97757787,1.4339776,1.724484,2.0031726,2.270422,2.4859066,2.608588,0.6718042,0.26341802,0.0,0.0
2.0866808e-13,0.009806742,-26.115377,7.252829,1.426395,5.086981,-0.06675307,3.1241522,-0.31149992,-2.3889759,1.9264278,5.0276666,-0.2641295,1.8404685,0.6458192,0.96862084,1.4260387,1.7141281,1.9853677,2.2777894,2.4962375,2.6188068,0.66032034,0.26931512,0.0,0.0
1.6693679e-13,0.00915208,-23.684229,8.9871435,4.291427,6.047609,-6.0939145,-1.7552088,-2.2681434,-5.666142,-0.42698765,3.8985443,-3.416747,-3.102135,0.6234393,0.96050215,1.4205767,1.6985697,1.9712232,2.2680748,2.5050693,2.6224048,0.62828654,0.2857516,0.0,0.0
2.921267e-13,0.010612714,-21.480047,11.255009,7.8742003,4.140226,-13.36008,-7.5217366,-5.496225,-9.7572365,-3.6676395,4.7422595,-6.09086,-4.8076687,0.5949006,0.96401983,1.4112906,1.6970032,1.9702598,2.2525084,2.5045612,2.620033,0.5702629,0.30524927,0.0,0.0
2.0866025e-13,0.007125579,-19.545835,13.518188,9.526836,6.262851,-16.039251,-11.797687,-4.94626,-11.351275,-9.624605,2.2469275,-6.191813,-4.903694,0.5642437,0.94597024,1.3985986,1.6970791,1.9802445,2.2505617,2.4943964,2.611893,0.4907827,0.34804145,0.0,0.0
3.3385016e-13,0.008586212,-18.064348,14.358497,12.888562,6.669026,-16.14741,-17.04853,-4.745675,-10.958135,-12.667247,1.7407695,-4.3279557,-3.1624534,0.53174376,0.89968586,1.3803953,1.7011839,1.9758154,2.248524,2.4901056,2.6108863,0.4152312,0.3740207,0.0,0.0
2.0865635e-13,0.007125499,-17.564867,12.338871,17.397057,5.861305,-14.287667,-21.149273,-6.2561717,-8.300271,-16.136118,1.1181337,-2.733718,-1.1183057,0.5017595,0.83501387,1.3556447,1.690719,1.9755316,2.2340548,2.4883792,2.612748,0.34542155,0.4080449,0.0,0.0
