pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-30.16365,5.2219973,-0.51767427,4.9437394,0.16889314,4.3611712,0.54921466,6.8233414,3.088247,9.258569,2.5437987,-1.4311262,0.66515714,0.9733098,1.4134315,1.7230797,1.9871107,2.2191448,2.485479,2.652788,0.75642186,0.2158194,0.0,0.0
8.3466444e-14,0.0034871344,-30.022165,4.153084,-2.4861026,5.6627903,3.073889,4.688658,3.9732487,5.6225033,1.4913362,6.991611,1.3376833,0.56596357,0.65511197,0.9591684,1.4015765,1.7167927,1.9774365,2.224577,2.4844263,2.6515331,0.75339985,0.22304893,0.0,0.0
8.3466444e-14,0.0034871344,-29.04436,3.4775226,-2.8424778,8.572111,5.9759164,4.3742595,6.148888,4.0389023,4.503634,4.4669695,-1.3779465,2.1858988,0.6547124,0.94874436,1.3981434,1.7046686,1.9741284,2.2357113,2.4857938,2.6461742,0.72529465,0.2233261,0.0,0.0
2.921384e-13,0.008077575,-27.641378,5.4236794,-0.2461729,14.391969,10.686192,5.7590027,8.557931,0.90475935,3.9253035,3.0018663,-2.1358316,2.3268912,0.6390345,0.9433511,1.4023223,1.6968298,1.971835,2.2482936,2.4889555,2.6437654,0.7002115,0.20467748,0.0,0.0
2.5040714e-13,0.0074229133,-25.698517,6.755615,1.8785776,15.326621,8.48702,4.4760222,8.660852,2.8033216,3.4502003,3.2219317,-2.6953962,-2.0130608,0.6376463,0.9454618,1.4071165,1.6943327,1.9818686,2.2470806,2.4930203,2.647746,0.6557872,0.22330403,0.0,0.0
2.921384e-13,0.010255307,-23.712671,9.882163,4.93919,15.5527725,6.7091084,4.142513,7.895649,4.267998,-0.7162874,-1.3148719,-7.7910995,-7.267306,0.61773944,0.9419201,1.3901778,1.6942824,1.9856453,2.2438345,2.4959276,2.6531782,0.62375337,0.3048465,0.0,0.0
8.3466444e-14,0.0056648664,-20.539457,12.067318,4.701296,13.996039,4.6484313,6.484159,5.0942426,1.2187183,-3.0000985,-2.8680499,-12.681347,-12.786438,0.5866513,0.9410532,1.3504077,1.688733,1.9985768,2.2486076,2.5025969,2.6530135,0.5448776,0.40847573,0.0,0.0
8.346254e-14,0.0056647877,-16.755602,15.477941,8.381616,16.619957,4.2740912,4.234648,-0.34564385,0.05757463,-3.2990973,-7.4700303,-16.538023,-12.753835,0.5377616,0.9398686,1.319918,1.6735543,2.0074575,2.2652092,2.507345,2.6485984,0.44363856,0.47344968,0.0,0.0
1.2519772e-13,0.006319528,-13.9301605,15.339833,6.353873,15.54052,3.1990726,1.7618284,-3.6625528,3.1578293,-1.4091953,-6.755375,-13.242848,-11.792735,0.49591947,0.93885964,1.301447,1.6554351,2.0237572,2.2658541,2.5122788,2.6503458,0.35781205,0.49966398,0.0,0.0
2.0866418e-13,0.009806662,-12.141987,15.323532,4.0899296,14.898193,1.0251099,-2.042632,-1.7399492,7.8065586,4.047728,-3.289862,-10.22121,-6.527201,0.4662846,0.9422012,1.2964813,1.6460475,2.0241668,2.2603266,2.5084298,2.6565285,0.3022061,0.5101028,0.0,0.0
