pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
2.4205737e-12,0.020656878,-20.711386,12.520775,7.2425156,12.961841,8.8359785,18.117258,13.253657,28.308008,19.944738,19.73887,16.490704,11.090824,0.21613292,0.90208364,1.2120357,1.5943958,1.9467522,2.1998286,2.3493502,2.7781274,0.0,0.97715956,82.58427,20.646067
2.3370839e-12,0.020440338,-22.713652,11.969134,8.118533,16.106562,10.327851,16.221813,14.769893,25.148918,17.964808,22.624517,15.577343,11.181787,0.21645737,0.9121752,1.2030066,1.5884286,1.948274,2.2084696,2.3576999,2.7834966,0.0,0.9762648,178.72716,60.16634
2.253594e-12,0.020223798,-24.502634,11.674436,9.787853,17.046743,12.973946,15.580749,16.086184,22.34381,16.4822,22.888018,13.803631,13.057172,0.21820474,0.9275244,1.2005559,1.5872723,1.9522719,2.2166529,2.357032,2.778834,0.0,0.97453433,278.93762,114.85916
2.253594e-12,0.020223798,-25.038702,11.00611,10.68283,17.430956,12.526906,17.1082,16.3547,22.27756,16.435696,20.45727,13.295577,14.572171,0.2261746,0.9261692,1.2174215,1.5873822,1.946105,2.219673,2.3475742,2.7694397,0.0,0.97272086,284.19864,157.19403
2.253594e-12,0.020223798,-25.049955,9.726422,11.74895,16.030025,12.235157,17.815065,15.553673,22.097998,20.205439,19.785234,11.81286,14.021259,0.23473807,0.9420698,1.2364831,1.5998944,1.9420298,2.2109048,2.3347492,2.7588558,0.0,0.9713475,276.85873,187.11021
2.5457403e-12,0.020922026,-25.41062,8.262107,11.3097,18.571625,9.590589,19.852888,14.56039,23.234865,20.112856,17.035055,15.2479925,13.650264,0.24410021,0.9504215,1.2544336,1.6060854,1.9350938,2.20083,2.336476,2.7604582,0.0,0.97042656,266.72766,207.01457
2.5457403e-12,0.020922026,-25.498205,8.222264,10.245861,19.706812,13.124775,18.883429,11.795592,23.80778,16.875313,17.872948,16.981234,15.591441,0.2506849,0.9725394,1.2633024,1.606504,1.9359121,2.1961,2.3418605,2.765978,0.0,0.97014,255.75244,219.19904
2.5457403e-12,0.020922026,-25.427193,9.444371,8.851799,19.605942,14.161316,20.757101,11.717301,24.500824,13.161893,16.649195,19.509466,16.86674,0.25226745,0.97395796,1.263144,1.6054319,1.9357668,2.1951866,2.3532226,2.768988,0.0,0.97083855,254.50201,228.02478
2.5457403e-12,0.020922026,-25.15172,9.942742,6.878018,18.897985,16.446236,21.184158,12.43306,20.78486,14.4436655,19.994093,16.630302,16.54397,0.24843277,0.97392505,1.2539734,1.6065542,1.9331279,2.199114,2.357466,2.7711983,0.0,0.9720473,281.15518,241.30742
2.5457403e-12,0.020922026,-24.922525,9.809384,6.468106,19.973436,15.731,21.491755,13.128808,18.814695,16.860678,16.53137,16.73681,21.230629,0.23947324,0.9663448,1.2393366,1.6068659,1.9298534,2.2036726,2.364832,2.773696,0.0,0.97427577,324.9066,262.20718
2.5457403e-12,0.020922026,-24.24437,8.023913,6.5511336,22.249275,14.326055,22.393953,12.672032,17.052856,17.856339,16.279652,17.448076,21.364344,0.2245611,0.96413565,1.2302825,1.602436,1.9276756,2.2013605,2.3721952,2.777363,0.0,0.97563916,337.92874,281.13757
2.253594e-12,0.020223798,-23.744385,8.758008,5.7332244,21.539658,15.287041,21.29476,13.6760025,18.751612,15.412063,15.801351,18.16098,21.803398,0.2116674,0.9678237,1.225127,1.5973982,1.930975,2.192627,2.3821187,2.7787673,0.0,0.97709894,307.18753,287.65005
2.253594e-12,0.020223798,-23.060785,10.778024,7.193069,19.664558,14.011456,19.803741,15.227585,20.155905,15.403152,17.15974,15.686028,20.574804,0.20357598,0.96247655,1.2234068,1.5940884,1.9298483,2.1840837,2.3852584,2.784217,0.0,0.97736526,291.56607,288.6291
2.253594e-12,0.020223798,-23.259783,12.138302,5.675348,15.880458,18.268705,19.957909,13.437008,20.58727,18.939333,16.78125,10.230991,20.573011,0.20520024,0.955941,1.2287793,1.5921525,1.9205106,2.1910462,2.3763978,2.786831,0.0,0.9768698,306.2855,293.04318
2.253594e-12,0.020223798,-23.342987,10.922709,7.466825,16.172274,15.801582,19.377375,12.454024,21.181849,23.47686,15.619487,10.001046,20.482496,0.213768,0.9418029,1.2333325,1.5879661,1.9148518,2.2009985,2.3662918,2.789875,0.0,0.9764964,307.44632,296.64395
2.253594e-12,0.020223798,-24.692627,9.640523,8.626778,17.104582,14.106999,20.577879,12.734627,21.030273,22.12722,14.913693,13.29594,18.639458,0.2212888,0.93566465,1.224278,1.5856876,1.91743,2.2122905,2.3613641,2.7841375,0.0,0.9755075,281.78085,292.9282
2.253594e-12,0.020223798,-25.213106,9.62257,11.0594225,19.068527,8.462386,20.19312,14.079656,20.833138,18.6769,16.162905,19.507883,19.163956,0.22654532,0.9345283,1.207132,1.5874287,1.925645,2.2184107,2.363488,2.774295,0.0,0.97545224,277.18686,288.99283
2.545713e-12,0.020921968,-24.905436,9.717044,10.533433,20.013779,6.0500684,18.73487,16.152418,21.481974,16.713587,20.058958,18.837023,17.05776,0.22581883,0.93967056,1.2004364,1.5874468,1.921158,2.2215545,2.3633127,2.7698529,0.0,0.97513217,321.3265,297.07626
