pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-28.9785,3.7748868,-0.4631077,12.584409,1.6169137,8.216912,6.856931,8.949283,2.7190838,19.836218,5.1145234,6.2691455,0.6237795,1.0036284,1.2847404,1.5448781,1.9956068,2.2148302,2.3339775,2.7820423,0.4711393,0.4753586,0.0,0.0
8.3466444e-14,0.0034871344,-28.775404,2.9498503,-0.046868775,11.730705,3.0116377,10.072539,9.730451,7.2114844,2.948534,16.026308,2.8765328,6.427658,0.6178613,1.0153475,1.2888914,1.5495797,1.9929231,2.2172682,2.336769,2.7806637,0.47053492,0.46898225,0.0,0.0
8.3466444e-14,0.0034871344,-28.752602,2.6433535,0.96013546,12.594708,3.8825772,13.825891,9.071486,5.439383,1.5937132,15.13821,3.5228508,5.080256,0.61573607,1.0265142,1.291643,1.5611835,1.9884442,2.209955,2.3393633,2.7787619,0.45723784,0.49319172,0.0,0.0
1.2519772e-13,0.006319528,-28.533453,2.966978,0.020333529,12.904492,8.134772,14.873821,6.3299956,3.409277,5.20488,13.223172,5.782812,6.609529,0.6124169,1.0347258,1.2930571,1.587094,1.9783856,2.1917722,2.333906,2.770758,0.3980054,0.54806805,63.636364,15.909091
4.173127e-14,0.0028323939,-28.332743,4.849482,-0.0017194344,11.716892,9.318791,16.906746,3.5808527,1.9686128,5.3696747,15.89154,9.688686,7.50234,0.6004891,1.0145708,1.300112,1.6168919,1.971671,2.1764314,2.3259983,2.7592213,0.3124811,0.5984785,127.27273,43.75
1.2519772e-13,0.006319528,-28.001505,5.6203365,-1.13121,8.463696,12.281663,15.428458,4.859384,4.8804054,9.362199,11.50948,7.3731456,11.942767,0.5956273,0.9926241,1.3070525,1.6362079,1.9694303,2.1791246,2.318726,2.7432606,0.2378362,0.60697526,195.38353,81.65838
1.2520162e-13,0.006319607,-27.774002,6.4722486,-1.8348726,5.965294,8.995589,17.668833,7.028032,9.189242,9.506806,9.957715,5.8338876,10.198882,0.59359807,0.97534114,1.3079801,1.6453851,1.9781209,2.1935627,2.3230293,2.732566,0.21003324,0.5922902,213.41014,114.59631
1.6693289e-13,0.009152002,-26.544428,6.242359,-3.5590115,7.186226,8.718135,17.574251,9.643688,15.920959,12.0023,3.986267,-0.5961277,9.832622,0.60001856,0.9831093,1.3006921,1.6470441,1.9752297,2.2018337,2.3297489,2.7342918,0.23118766,0.550107,223.63252,141.85536
8.3466444e-14,0.0056648664,-24.184883,5.641562,-7.289823,9.934232,8.246833,18.576128,9.996961,18.018856,9.551032,3.9775543,-3.5631313,7.55226,0.5956176,0.99336654,1.2777863,1.6309472,1.950699,2.2002823,2.3320353,2.746484,0.27500758,0.5023967,155.52173,159.04695
1.2519772e-13,0.006319528,-21.079252,4.0377603,-6.01984,8.963208,9.186306,21.093729,6.915809,14.321918,10.281932,-0.41907373,-10.498986,-1.0535215,0.52600914,0.9243746,1.2091215,1.5533198,1.8858719,2.1877477,2.3206222,2.7407696,0.28044727,0.53393394,73.85874,165.29988
8.3466444e-14,0.0034871344,-16.569029,5.4749427,-0.6792908,10.594419,9.312038,24.370626,3.368581,8.175218,10.906383,1.2676492,-11.58064,-7.088739,0.42722607,0.84756875,1.1363424,1.4766763,1.8208594,2.1823158,2.3067892,2.7178745,0.23541856,0.6205599,75.66178,170.44034
4.173322e-13,0.008772642,-12.055408,10.159375,6.96444,13.866536,10.509529,25.377396,8.01506,5.998733,11.614331,2.102774,-8.69592,-10.312556,0.29066417,0.7962726,1.0894208,1.4466306,1.7889613,2.180981,2.2984092,2.6983833,0.13417952,0.71625465,152.86656,179.82188
3.7559704e-13,0.008117902,-8.043637,14.303174,6.184153,17.840694,16.179781,24.202864,17.241135,11.002616,9.527973,3.931902,-2.0323699,-2.4334402,0.2153449,0.8083938,1.0871216,1.4675341,1.7946434,2.1740627,2.2949429,2.7046013,0.0595346,0.69991326,234.88283,193.58711
1.794534e-11,0.025473706,-6.5506797,13.366231,1.9800606,16.290777,22.503168,21.552076,25.743284,20.789583,7.9221406,2.9292276,-1.978592,-0.85279053,0.18041228,0.80875134,1.0869061,1.4888601,1.8052117,2.156008,2.2908344,2.7137063,0.02175884,0.6140438,254.36342,208.78119
2.2327357e-11,0.031885456,-5.7390037,9.763194,-1.6732823,13.657097,28.848276,23.971296,28.710747,25.944399,8.22918,-2.5044158,-5.2682796,-0.8410058,0.16896462,0.7702084,1.0691038,1.4848194,1.7971004,2.1279204,2.2787254,2.7087328,0.016621336,0.58278126,177.15865,219.73418
2.7001451e-11,0.040750276,-5.9410815,6.712335,-1.336359,15.095321,32.584595,23.982168,28.98777,27.802933,12.893687,-2.8502808,-7.7201576,-5.4727764,0.16791038,0.74160886,1.031318,1.476934,1.7759053,2.1160104,2.2691758,2.692035,0.014203687,0.60920334,190.36206,231.24976
1.2979058e-11,0.034134027,-6.6846414,5.275254,-1.0795814,16.0605,32.964672,19.687246,25.775385,23.87992,13.830666,-4.4084826,-5.3572216,-6.2507343,0.16960514,0.71477765,0.9953787,1.4580282,1.7473701,2.1043217,2.2557325,2.6815474,0.011483832,0.6670746,188.4817,239.41638
1.1351386e-11,0.032738905,-7.84572,2.6308506,-0.48688498,18.616875,33.977177,16.893593,19.036459,18.534338,16.772512,-2.6238909,-5.800553,-3.5768921,0.1934299,0.6910651,0.9654083,1.4313718,1.7186972,2.0966084,2.2484305,2.6770535,0.012692656,0.68596786,278.95096,249.30003
6.802486e-12,0.025334798,-8.414105,0.29517046,-0.43600997,19.280077,31.421677,12.287891,13.5873995,19.85962,17.447784,-7.101641,-8.175903,0.6897971,0.21203125,0.6547487,0.9573479,1.3930243,1.699995,2.078206,2.2415428,2.6735678,0.017830161,0.64354277,283.3991,257.8248
3.3386526e-11,0.0349995,-7.85293,-3.968073,-4.9692283,18.66219,30.132881,15.642715,11.960153,20.015259,21.64924,-10.645423,-10.563053,4.571727,0.22587241,0.6169057,0.9432399,1.3458806,1.6862575,2.0623634,2.242049,2.668534,0.027198547,0.60432345,299.8386,268.32825
7.641343e-11,0.04788028,-7.420502,-6.445133,-7.4320107,13.447372,25.735487,14.615605,11.209724,22.138351,24.374945,-11.037761,-9.869569,0.08464893,0.23241992,0.58393806,0.9342149,1.3011342,1.665049,2.045408,2.240882,2.6644847,0.03807797,0.5676803,324.46597,282.36267
7.979386e-11,0.05432673,-6.1937575,-8.156725,-10.967049,8.777648,21.72243,13.100549,8.3707285,22.595388,25.603003,-8.737751,-10.071418,-3.8423054,0.23413384,0.5589456,0.927747,1.2593681,1.6366857,2.0380454,2.2371905,2.649503,0.045028705,0.5602584,334.04404,295.283
9.381621e-11,0.056805074,-6.1380486,-8.241187,-11.925618,8.201028,21.949778,12.659406,5.167627,23.28483,22.542395,-9.427844,-10.383868,-11.005681,0.22741212,0.52727485,0.9253083,1.2191833,1.5963708,2.0287273,2.2284877,2.6408045,0.05228166,0.5888893,224.34254,303.00436
1.3325396e-10,0.061527375,-6.5738053,-9.671744,-17.238977,6.3200417,21.880117,12.833073,5.102741,21.363771,19.322355,-10.982114,-15.440216,-9.001538,0.22053933,0.4965984,0.91616654,1.1776586,1.5509869,2.004151,2.2184389,2.6260917,0.05530372,0.62801915,245.35701,314.04898
2.409258e-10,0.08097824,-8.221204,-10.762378,-16.880354,10.190679,25.054762,14.9641905,4.400558,12.442604,14.14535,-15.479247,-18.599932,-3.8056965,0.21850483,0.48148453,0.90645653,1.1481735,1.4986721,1.941732,2.1991448,2.6252265,0.05832578,0.6378657,269.79166,328.44113
