pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
4.1735173e-14,0.002832473,-28.616922,1.518068,-2.8651876,4.579214,5.2022595,9.462196,2.2671854,1.7344995,9.722238,-0.102101445,-4.059489,3.126359,0.64391524,0.9587899,1.3965491,1.7064356,2.0508318,2.2413955,2.5092156,2.6405098,0.72499245,0.30012545,0.0,0.0
1.2520162e-13,0.006319607,-27.90642,2.6041028,-2.3177214,3.695984,6.5899243,7.8347306,-2.1254096,-3.5697315,2.9263618,3.6267414,2.7715464,4.232615,0.63282436,0.94234943,1.3937616,1.7151531,2.0567954,2.2458284,2.5079315,2.6388505,0.71381074,0.25833765,0.0,0.0
1.6693289e-13,0.009152002,-26.188543,5.047218,-1.9781208,4.0719867,5.9276147,5.556507,-3.9851084,-5.757509,-0.57660764,3.8997889,2.773677,2.3744047,0.62119126,0.93222207,1.3842207,1.7221389,2.051879,2.2540178,2.5035918,2.6331127,0.6844968,0.2491192,0.0,0.0
1.6693289e-13,0.009152001,-22.71195,6.570481,-2.592088,6.4304433,5.0030684,1.1194875,-10.601777,-7.379313,-6.8817706,0.36876425,-1.1362638,-2.721221,0.58859354,0.9384753,1.362295,1.7216476,2.0339067,2.2613113,2.4977787,2.6248283,0.62617105,0.2730486,0.0,0.0
1.6693289e-13,0.009152001,-18.139383,6.1484685,-2.7276628,8.28334,1.1321025,-0.45543218,-8.677493,-7.3463225,-12.978485,-0.73289853,-3.2270956,-12.428959,0.52221006,0.92795086,1.3200117,1.6975139,2.0293078,2.2694445,2.4945543,2.619216,0.52251434,0.367736,0.0,0.0
2.9214231e-13,0.010612833,-13.656623,3.880511,-1.3486767,8.054472,0.6986982,-3.3963318,-9.456216,-12.701942,-22.607588,3.358979,3.66969,-20.874413,0.43575534,0.8800668,1.2803278,1.6731881,2.035666,2.272497,2.4940093,2.6220367,0.39830765,0.45249954,0.0,0.0
3.3387358e-13,0.011267495,-9.905591,0.68655115,1.5399798,5.103321,0.6252795,-2.6937878,-9.699344,-16.52907,-23.17132,5.2572618,7.4144955,-22.955574,0.36417365,0.80507094,1.257194,1.6598142,2.0343685,2.2657454,2.494262,2.6244495,0.2877002,0.518451,0.0,0.0
1.085095e-12,0.014738168,-6.430899,-2.097372,3.4786208,4.8351197,-1.422917,0.48295674,-11.239295,-20.294703,-23.3841,2.978567,11.020893,-21.269705,0.32132348,0.7273591,1.2506636,1.6504875,2.009171,2.2514756,2.4977763,2.6258495,0.21063764,0.5262506,0.0,0.0
1.0850794e-12,0.014738048,-3.483263,-5.4872055,3.5894842,7.1071434,-3.6845238,3.6988914,-8.365805,-19.990171,-26.38884,-1.4381787,12.070309,-17.991997,0.294881,0.6429875,1.2410879,1.6319693,1.9847317,2.2345803,2.5012128,2.621106,0.15624055,0.51066107,0.0,0.0
2.337076e-12,0.019262245,-1.8150522,-8.204359,4.9105473,7.3639717,-4.675841,4.35395,-2.7958806,-17.57866,-29.808617,-0.40558532,16.067217,-16.97767,0.2874684,0.5719283,1.2078638,1.6108079,1.9670415,2.2157538,2.500487,2.6219037,0.11514053,0.5232277,0.0,0.0
