pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-30.377752,4.482756,-8.908907e-05,4.483778,2.3987892,9.49805,2.0888221,1.8121735,3.6011174,10.698655,3.9935749,2.3644025,0.66051245,0.96043235,1.4267999,1.7546682,1.9937773,2.2295868,2.4762719,2.6320288,0.7107887,0.22127844,0.0,0.0
4.1735173e-14,0.002832473,-30.274963,5.554889,-0.16925494,2.3103454,2.9155605,11.041064,2.711024,1.5905288,4.388825,8.534255,2.6850405,2.0111208,0.66723734,0.95883626,1.4231185,1.7508159,1.9942493,2.2332184,2.476691,2.633792,0.711091,0.21417065,0.0,0.0
8.3466444e-14,0.0056648664,-30.12181,6.249681,-0.062029082,1.8410535,2.5990508,12.756546,5.2366037,1.3725715,4.0779567,6.711267,2.8900154,1.9725175,0.66844463,0.95376796,1.4128432,1.7500029,1.9972591,2.241146,2.4796753,2.6373494,0.71320635,0.21868576,0.0,0.0
1.2520162e-13,0.00849734,-29.532654,6.618897,-1.202118,-0.01745232,-2.286908,13.421592,11.643861,3.4348507,0.4091352,1.7568817,3.48003,0.39843857,0.6643174,0.9499974,1.3861314,1.7495168,1.9954424,2.2528913,2.4864676,2.6425898,0.71894836,0.22637849,0.0,0.0
8.3466444e-14,0.0056648664,-29.406624,5.3844953,-1.7593628,1.4992095,-5.9028573,11.795948,11.14461,7.469588,0.058081944,0.93010855,3.643407,1.1104504,0.65198463,0.94168013,1.3459386,1.751752,1.9976158,2.2675927,2.494377,2.6468234,0.71532184,0.27836356,0.0,0.0
8.347035e-14,0.005664946,-26.83509,5.205944,-5.9260354,-1.4626385,-7.9270954,5.7122607,7.7543836,14.11649,1.5370971,-1.7787279,2.2351367,3.2813835,0.626597,0.9358968,1.3106536,1.7379723,1.9918743,2.2731237,2.4954176,2.6491058,0.6841946,0.28676257,0.0,0.0
8.3466444e-14,0.0056648664,-23.435194,5.205235,-11.652471,-9.347576,-7.794226,3.078923,3.896115,12.9290285,3.2738388,3.647536,3.3949652,2.8462932,0.58434033,0.9320385,1.3036458,1.7255697,1.9813595,2.2666593,2.4888775,2.638416,0.621638,0.2866476,0.0,0.0
1.2520162e-13,0.00849734,-18.21438,4.53112,-18.299387,-14.48286,-8.454337,-2.2536602,4.7073145,12.513626,2.5408773,5.0976057,5.26252,7.5176663,0.5251557,0.9361405,1.318839,1.7176791,1.9665747,2.252872,2.4794886,2.6319027,0.53762466,0.26749945,0.0,0.0
1.6693289e-13,0.009152001,-14.810123,2.0099137,-22.126589,-16.00209,-10.055541,-1.312656,6.8288245,5.234347,0.86271936,8.739989,7.0956674,6.4803624,0.4592391,0.93843204,1.3291177,1.7166033,1.9672455,2.245598,2.4770026,2.6307642,0.4629798,0.27292392,0.0,0.0
2.0866808e-13,0.009806742,-11.468282,-1.865344,-24.537788,-13.108635,-11.364354,-3.09599,11.366142,3.9320488,-0.81369734,8.259372,8.37493,1.8318313,0.3808527,0.9171609,1.3246161,1.708388,1.97529,2.239689,2.475567,2.6337805,0.39075246,0.30332848,0.0,0.0
