pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-26.496597,1.6642841,2.3318245,7.7276015,0.46788692,-2.4495876,-4.2302074,1.0744474,1.8026247,-1.7771603,1.8013511,2.3929434,0.60514665,0.92672926,1.3115216,1.6064258,1.935944,2.2496343,2.5068417,2.7594903,0.9582956,0.12000132,0.0,0.0
0.0,0.0,-26.301428,3.1457818,4.9041557,5.994539,-2.748989,-2.795372,-2.2791147,2.75048,3.0731113,-4.4913316,0.16976292,2.9784567,0.59809905,0.9316922,1.2972664,1.5827929,1.9226326,2.2315505,2.4990873,2.759859,0.96282864,0.14247349,0.0,0.0
0.0,0.0,-23.690918,5.201697,2.2027836,5.194653,-4.1887126,-1.166569,-0.37306675,4.92526,-1.8710657,-2.6852055,-0.6343898,2.6531432,0.59378487,0.9411704,1.2888011,1.5579408,1.9060105,2.2224143,2.483826,2.750241,0.9682684,0.16985977,0.0,0.0
0.0,0.0,-22.556616,3.6605585,-2.0223217,5.7000103,-0.6973732,1.5714513,-1.0381885,1.907612,-3.0073698,-1.3048853,-1.0332499,3.185415,0.5794087,0.9499996,1.2821178,1.5423197,1.9049863,2.2268803,2.479428,2.724796,0.96977943,0.20198007,0.0,0.0
0.0,0.0,-21.202566,-0.38032484,-5.793682,5.8692575,1.8123881,4.0257974,-0.48226532,2.5415838,-4.7411423,0.06606611,-3.6642227,0.089790106,0.54479617,0.9265528,1.2996094,1.5608319,1.9186894,2.233763,2.4767475,2.7097342,0.9534602,0.25155616,0.0,0.0
0.0,0.0,-22.821747,-6.4874744,-6.175985,5.009409,1.7603565,4.151439,0.3189179,3.5646458,0.70462203,-1.906257,-8.274562,-3.2400894,0.49463078,0.8972145,1.3052107,1.5854052,1.935496,2.2303545,2.4831975,2.706073,0.9141734,0.27330765,0.0,0.0
0.0,0.0,-22.698282,-10.994369,-9.093876,2.743241,-1.1922126,2.4259796,-1.2047468,7.4069085,-2.0406668,-4.5824237,-11.002472,-1.4691753,0.4558564,0.85905725,1.3016137,1.6113809,1.9450788,2.2232563,2.488438,2.7155669,0.83439106,0.29606965,0.0,0.0
0.0,0.0,-21.861303,-12.511401,-13.134545,-2.380269,-0.16920853,3.7805426,-0.2641264,4.4007635,-5.88444,-2.7929068,-12.1865,1.767253,0.43566394,0.8312633,1.2567724,1.6070738,1.9487233,2.2162879,2.4950528,2.7225683,0.72801447,0.32344198,0.0,0.0
4.173127e-14,0.0028323939,-20.247137,-10.895961,-14.9186945,-6.744259,1.7747431,3.519696,0.64359623,3.4331157,-12.314067,-9.216659,-16.203985,4.95039,0.4291328,0.78766376,1.2074667,1.5884376,1.9374651,2.2106578,2.4973786,2.72812,0.61136293,0.3494886,0.0,0.0
4.173127e-14,0.0028323939,-20.190552,-11.100362,-12.205733,-9.230949,5.406114,5.1628156,4.0650268,3.5243123,-10.174584,-9.512138,-14.32083,5.5572762,0.4237151,0.7455732,1.1582369,1.5574714,1.9107786,2.207791,2.495364,2.7304509,0.51405257,0.34614658,0.0,0.0
