pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.15202762,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.2828566,0.0,0.0
0.0,0.0,-3.8015404,3.7074149,-1.8927835,0.2601636,0.020509785,0.50766873,-0.7213865,0.3662596,-0.02977544,0.09518508,-0.29142717,0.24801601,0.44169292,0.76591355,1.116817,1.4476099,1.791787,2.1258686,2.4666233,2.803074,0.996978,0.3444989,0.0,0.0
0.0,0.0,-10.534606,6.9103465,-1.9139742,1.0715994,-0.9768684,0.33149967,-0.771775,0.92462975,-0.14428736,0.17737563,-0.66911125,0.40387583,0.5072922,0.8214536,1.1819509,1.501265,1.8518968,2.1814802,2.4883442,2.7889698,0.9924448,0.27151194,0.0,0.0
0.0,0.0,-18.237185,5.3986726,-3.5381393,1.4059048,-0.050047476,2.8565931,0.4294025,0.018994173,-0.07527561,-0.2998508,-2.2277114,2.049202,0.55770034,0.86168385,1.2454787,1.5554657,1.9152527,2.2486947,2.5086126,2.7854397,0.9712904,0.2744161,0.0,0.0
0.0,0.0,-21.996513,-1.3398479,-5.647629,-0.814732,-1.6753178,7.1343474,1.1915616,-2.925957,-0.5540209,-1.1752168,-3.708641,2.969904,0.49559817,0.8276891,1.2386214,1.5606613,1.9261054,2.2686875,2.4981353,2.7684095,0.9181022,0.4014797,0.0,0.0
0.0,0.0,-22.094078,-9.397986,-11.91529,-6.1241913,-2.807471,16.21023,0.38331413,-7.1186447,1.0332782,-0.07074229,-6.232996,-0.20822716,0.44013062,0.7978335,1.2292918,1.5645914,1.9203724,2.2537887,2.4809422,2.7668877,0.82169837,0.568501,78.19149,19.547873
0.0,0.0,-20.633524,-12.704933,-18.392122,-12.146866,-5.046594,20.304977,-0.23939057,-13.768746,4.486531,4.517153,-9.016941,-5.9962745,0.38398376,0.75980204,1.209499,1.5623938,1.9073511,2.2222211,2.4743445,2.7582748,0.6959806,0.7076037,156.59206,53.808918
4.1735173e-14,0.002832473,-18.543264,-14.340023,-21.801077,-19.184813,-4.5795674,23.75039,-4.1873364,-19.975065,7.4034514,7.7879806,-13.091652,-12.573967,0.33751902,0.71695215,1.1812106,1.540784,1.8922443,2.2057726,2.4777524,2.7581851,0.56301,0.8070164,235.62659,99.263336
4.1735173e-14,0.002832473,-16.340813,-14.914203,-23.893015,-24.208948,-5.414025,21.814325,-8.937599,-22.226698,9.593557,8.808095,-13.275407,-13.911407,0.30256578,0.66813093,1.1531953,1.5032573,1.8620224,2.1940534,2.4870634,2.766651,0.44273195,0.84997946,236.89458,133.67114
1.2520162e-13,0.006319607,-13.764892,-15.217857,-24.809027,-26.909317,-8.095,23.696274,-10.956985,-19.318056,12.939021,7.618872,-11.441536,-13.534429,0.27552512,0.6449378,1.1351163,1.4649763,1.842733,2.1831791,2.480853,2.7642367,0.33423996,0.8603789,237.3195,159.58322
1.6693289e-13,0.0069742687,-11.0286665,-14.7540045,-27.73529,-27.701567,-11.375379,21.702768,-9.310439,-16.126293,13.039883,6.2721133,-9.4123125,-12.063647,0.25195006,0.63339037,1.1248851,1.4463391,1.8349581,2.1711338,2.4705245,2.753362,0.23692958,0.851309,236.47644,178.80652
