pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
4.173127e-14,0.0028323939,0.7693777,1.4075257,2.383266,32.621677,23.61181,2.462232,1.5948982,2.8694217,9.811949,-9.534534,4.873406,12.412717,0.19010727,0.49691868,1.1640168,1.5891768,1.9315096,2.204385,2.4688256,2.6324975,0.22091265,0.5852672,0.0,0.0
8.346254e-14,0.0056647877,5.393251,-2.5864222,2.6055746,31.9823,20.40143,-3.2343433,-3.2596886,1.8547133,6.437632,-4.473878,3.6579907,8.190623,0.18518569,0.43810657,1.0590932,1.4745879,1.866628,2.151453,2.4554358,2.6286626,0.11967362,0.5753107,0.0,0.0
2.1450874e-11,0.024069995,8.47009,-5.380993,5.9380417,27.044716,16.427452,-9.907599,-6.8204675,-3.9829779,9.277534,1.3219247,3.3537576,5.4091015,0.18925798,0.40428337,0.91109806,1.3130844,1.7364073,2.0528889,2.4208403,2.6154776,0.02024781,0.5480757,0.0,0.0
2.1446815e-10,0.056859914,5.6910324,-5.45373,6.211225,19.197905,13.19377,-9.492434,-0.8641818,-7.51532,11.035588,3.1842337,0.2459511,5.4793305,0.2040237,0.46448198,0.8074217,1.1276361,1.5712308,1.9310498,2.3294065,2.5842648,0.018132366,0.46304464,0.0,0.0
2.2548578e-10,0.06913298,-0.15820725,-5.9033794,1.2230285,9.920003,11.375515,-12.028653,2.3503153,-4.937341,14.55312,5.35162,3.4961894,11.414767,0.2796168,0.571599,0.8330047,1.1302562,1.4787993,1.849096,2.187595,2.4166603,0.034753703,0.38690653,0.0,0.0
1.048844e-09,0.10619416,-8.830559,-3.017464,-4.1371675,6.24754,9.082041,-8.818215,3.3060942,2.169483,9.598655,1.5057038,1.1054233,10.051781,0.3399445,0.650713,0.89212346,1.1455213,1.4472414,1.7808038,2.0432112,2.236984,0.06376549,0.36113915,0.0,0.0
1.3963634e-09,0.11908647,-15.229481,-0.76766676,-7.6441216,4.349153,5.237213,-7.432529,-3.7173264,7.104652,11.232371,3.2435277,1.1125237,1.7477694,0.38589248,0.6876499,0.95916766,1.204114,1.4488249,1.7197422,1.9469007,2.061558,0.09428831,0.39152527,0.0,0.0
1.0174417e-07,0.33651254,-18.356386,1.7414341,-5.417007,2.0989916,1.9950961,-0.55263543,-7.1902633,8.46492,8.670478,0.53047794,-3.6344645,-6.347248,0.37354445,0.66081077,0.9300113,1.1494493,1.4224743,1.6560993,1.8924431,2.048228,0.106678754,0.37050533,0.0,0.0
3.4290147e-07,0.5838496,-15.598302,1.5446881,-6.020016,-1.9355811,1.6945485,0.9841044,-6.7642307,7.931507,5.206206,4.9358277,-2.954067,-8.045248,0.3636228,0.6336944,0.9045114,1.1391364,1.4142293,1.6356629,1.886294,2.1991577,0.10214567,0.37462497,0.0,0.0
3.8355336e-07,0.71335155,-13.400678,1.3200909,-4.0226326,-4.503437,1.8984388,1.9955359,-1.460392,5.9992423,1.8943448,9.0806675,-2.3484259,-0.71656513,0.35245624,0.6289312,0.8759885,1.1402881,1.4221467,1.6608702,1.8828502,2.3552773,0.08703536,0.43854523,0.0,0.0
6.1424873e-07,0.813468,-11.590924,4.3482533,-0.04516427,-3.8818111,3.3050911,0.8540697,6.5165234,3.730437,-0.7742119,12.591377,-2.080676,0.7522872,0.3409032,0.6152396,0.8425632,1.1248235,1.4222761,1.6549783,1.8772106,2.3484268,0.06708976,0.5245823,0.0,0.0
1.9615875e-06,1.0432389,-11.638886,4.2845616,4.9329915,-3.4595387,2.0986838,-1.7498409,8.547838,3.1549606,1.7773509,11.174973,-0.93268585,1.2277235,0.34121346,0.6060146,0.80705214,1.1021385,1.4068581,1.645041,1.8444561,2.2331445,0.052583862,0.52640504,0.0,0.0
1.9237548e-06,0.9491498,-12.660941,3.6927948,7.7919693,-1.5554844,6.1968274,-5.3729014,10.575582,8.48109,-0.2354223,7.903704,-1.9628586,-5.422198,0.34639153,0.5945602,0.77053136,1.0773149,1.3819078,1.6192799,1.8055996,2.125746,0.048352975,0.5132548,0.0,0.0
2.762377e-06,1.1022764,-14.613781,0.68505377,8.883788,-2.305341,8.793618,-8.024917,13.152095,12.642255,2.4210665,6.378691,-3.7279541,-4.40976,0.3561907,0.5938615,0.74399537,1.0670109,1.3711847,1.6222386,1.8018864,2.2017355,0.057419162,0.46433306,0.0,0.0
1.5796371e-06,0.92350847,-16.683773,-2.393186,7.7760005,-3.77827,9.221104,-10.934691,16.779066,13.930882,1.918238,6.102112,-6.0018063,-2.1081476,0.36203182,0.59198743,0.72331285,1.0403954,1.3567514,1.6193639,1.8018614,2.2757843,0.071320646,0.46696135,0.0,0.0
1.8328242e-06,1.1477331,-17.030779,-3.8002176,7.2296243,-9.103915,6.9156723,-11.603328,16.730844,13.625552,5.7307677,6.4274297,-3.988094,1.4666072,0.37102738,0.58899385,0.7182102,1.0167867,1.347568,1.6286515,1.8147435,2.3914835,0.07796917,0.4786302,0.0,0.0
7.0331816e-07,0.8386383,-16.813593,-2.216446,9.4029875,-9.231288,4.709835,-11.992747,15.582583,11.964505,5.78608,4.895449,-1.6805601,0.07557996,0.3720437,0.581806,0.7080984,0.9809132,1.314051,1.6116873,1.7969933,2.3018272,0.075853735,0.5215692,0.0,0.0
3.0234483e-07,0.58280677,-15.8378525,-0.17346531,12.216576,-8.881723,6.311989,-9.06798,16.815752,12.078373,4.5917068,7.0488133,-2.4534605,-3.9160779,0.36641344,0.5773595,0.70965785,0.9651497,1.2883279,1.5961109,1.7898055,2.293442,0.061952252,0.52529806,0.0,0.0
2.0405666e-07,0.5412333,-16.863066,1.4024299,12.838203,-4.309313,3.6335888,-9.345739,20.536064,9.710994,5.4368377,7.245632,-3.8529131,-4.9841824,0.3610916,0.5780208,0.7191736,0.9572696,1.2726377,1.5804667,1.8022823,2.3009417,0.055605922,0.5135928,0.0,0.0
