pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
1.2519772e-13,0.0084972605,-26.141006,7.702387,-2.796903,11.536944,2.1400955,10.381718,8.4323435,11.754796,7.093836,16.008707,14.849507,9.736335,0.5891536,0.9899034,1.2824482,1.5694205,1.9964901,2.1946516,2.363444,2.7662485,0.07071623,0.74060297,159.78261,39.945652
1.2519772e-13,0.0084972605,-25.268608,5.761781,-4.755861,13.580432,2.7572489,10.241562,6.0323052,13.769208,8.270362,15.459251,11.329268,8.863466,0.57776254,0.99585176,1.2675911,1.578277,1.9949303,2.1981945,2.3571205,2.7700405,0.065276526,0.7480209,319.56522,109.85055
1.2520162e-13,0.00849734,-25.29791,4.8560205,-4.423055,15.786679,3.8309462,14.2129545,5.306002,10.581214,9.051847,12.961662,9.778483,8.032596,0.5643461,0.99776775,1.2547898,1.5873394,1.9868747,2.2004511,2.34741,2.773476,0.05862799,0.7495403,465.08154,198.65828
1.6693289e-13,0.009152001,-26.025396,4.566057,-2.996025,13.41537,5.2697277,15.16302,8.242096,14.149684,6.126472,10.625268,9.501261,7.035193,0.56744057,0.99694043,1.257478,1.5972677,1.9786171,2.2032866,2.339014,2.7667377,0.06527652,0.71831375,433.21207,257.29675
2.0866808e-13,0.009806742,-27.9186,6.0973735,1.5343704,11.541542,3.9246695,15.250332,10.018105,11.55563,6.314935,11.696439,11.869278,7.3404574,0.5774397,0.9887665,1.2638832,1.5950913,1.9744695,2.2027798,2.3364844,2.7616882,0.091266245,0.68398905,405.05722,294.23685
2.0866415e-13,0.009806663,-29.021544,5.8029075,3.2221854,11.661621,1.2926584,8.722599,12.263432,18.572515,7.8748727,11.88279,8.003486,7.9767413,0.59104365,0.98570234,1.2617487,1.5903801,1.9788324,2.1994188,2.3348167,2.753004,0.11967361,0.6636854,398.12708,320.20944
2.0866418e-13,0.009806662,-29.675804,6.1641536,3.4254382,15.237251,2.2433863,5.23766,12.835369,18.443066,5.9834075,12.999196,6.274504,8.004928,0.5920656,0.97863084,1.2601805,1.5932437,1.9787945,2.195708,2.3300188,2.742159,0.12692656,0.66131395,414.46048,343.7722
2.0866418e-13,0.009806662,-28.733587,5.2421436,1.327523,16.309381,5.551199,4.0572314,12.345382,17.814573,5.3808875,12.737216,4.549994,8.187435,0.59214103,0.9819315,1.2671589,1.6040474,1.9767917,2.1984906,2.327357,2.73357,0.12058023,0.66233164,426.6101,364.48166
2.5039934e-13,0.010461402,-27.389664,5.447675,-0.9397848,15.173823,6.737969,6.6255946,8.486485,10.427914,3.0630577,15.264008,11.493351,7.744166,0.5932997,0.9846687,1.2772676,1.6096677,1.9756998,2.2068307,2.3327847,2.7272797,0.1233001,0.6577043,428.16055,380.40137
2.0866806e-13,0.009806742,-26.463617,4.9684505,-2.9210813,10.9331665,5.8551292,10.763641,9.444394,8.284707,0.027907372,15.268695,14.843121,11.681655,0.5911749,0.9891797,1.2800951,1.6039177,1.9737922,2.2114334,2.3413332,2.735563,0.13931702,0.6651601,436.9399,394.536
1.6693679e-13,0.00915208,-24.931902,5.915359,-4.8054695,5.3513045,0.46750894,12.426345,11.59639,6.6568904,-0.59601104,12.615361,13.944847,18.253134,0.5846277,0.9788262,1.273075,1.5939695,1.9722563,2.2118256,2.3489044,2.7387316,0.15986703,0.6709935,456.49585,410.02597
1.6693679e-13,0.00915208,-23.364054,6.5017877,-4.887481,0.04972565,0.31161198,14.353535,16.028778,5.10786,-4.138308,10.872346,11.290875,19.806213,0.56392235,0.9627226,1.2687817,1.5931021,1.9643897,2.2106931,2.3496933,2.7452319,0.18646117,0.661532,479.6926,427.44263
2.0866808e-13,0.009806742,-19.611235,7.592556,-5.9209123,-1.814181,-3.3756695,10.5335245,12.922966,5.5064645,-3.1578274,7.199253,9.3261385,16.772146,0.54403543,0.948299,1.2671736,1.5955449,1.9560871,2.2112815,2.3519907,2.7499628,0.21668178,0.63324344,484.68906,441.75424
2.5039934e-13,0.010461402,-17.074266,8.82446,-5.818966,-1.5374144,-3.4119732,8.707066,10.715714,5.236176,-5.371475,5.420398,10.155936,9.63246,0.5158641,0.947192,1.2696084,1.5969673,1.9473248,2.2068102,2.3484797,2.758695,0.27138105,0.5939011,475.90292,450.2914
2.5039934e-13,0.010461402,-13.807765,10.318302,-6.6223245,-3.5624323,-7.5491357,5.7595677,9.065044,7.1888947,-6.015577,2.5431416,3.8737507,6.250788,0.49682546,0.95110315,1.2756766,1.5928502,1.9410588,2.2013261,2.345136,2.7606637,0.30885464,0.56115216,464.26102,453.7838
3.7559314e-13,0.011564632,-12.479942,11.703786,-6.026343,-4.448042,-7.4026685,2.6684124,6.7360053,4.797926,-6.710203,3.0068161,1.6411816,5.878109,0.46637258,0.9518226,1.2747374,1.5828232,1.9355296,2.1950738,2.3418562,2.763419,0.33000907,0.5443732,306.23868,454.7998
5.0078697e-13,0.012667861,-9.994248,12.604724,-5.7603264,-5.253369,-6.855972,2.8251789,4.1019254,2.232748,-7.229403,2.4894414,-1.958023,2.766121,0.44183052,0.94891137,1.268005,1.5704972,1.9341329,2.1968858,2.3422475,2.763583,0.30734363,0.528501,151.69148,454.82727
7.511863e-13,0.014466234,-8.261807,12.83742,-5.7445216,-2.3025193,-7.0585237,0.21269548,-0.2388246,1.1119812,-2.752106,3.1309679,0.046384055,1.6896281,0.41109118,0.9487651,1.2533588,1.5631257,1.9327515,2.204356,2.3445616,2.7688668,0.29827744,0.53725547,0.0,454.82727
7.511863e-13,0.0144662345,-6.2277284,13.831467,-5.1976376,-1.374019,-8.477391,2.1392171,-3.545407,1.0410408,-4.7355576,0.9828064,-0.563643,-1.2640017,0.37808776,0.95054895,1.2417845,1.5602641,1.9383545,2.2156093,2.3436956,2.7742102,0.27017227,0.52287966,0.0,454.82727
