pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.05751686,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4022894,0.6834052,1.2042236,1.4687963,1.8358917,2.1036396,2.4638453,2.7387345,0.996978,0.12897427,0.0,0.0
0.0,0.0,-6.7489266,3.386259,1.8494173,-2.798497,-0.8458566,3.9906685,-2.7368705,0.8001124,-1.7738076,2.0235217,-0.30947885,-0.09842985,0.48520947,0.7316187,1.2836999,1.5417781,1.8950001,2.132961,2.4912918,2.735363,0.9936537,0.19829929,0.0,0.0
0.0,0.0,-12.872845,5.4039626,-0.36086002,-4.6524773,-3.1116698,5.3567758,-3.045415,-0.8977814,-6.0404677,0.970299,-2.5320714,-0.32932404,0.5421979,0.78691363,1.3555393,1.6267576,1.9604293,2.1686022,2.5169148,2.706887,0.9655485,0.22515534,0.0,0.0
0.0,0.0,-18.757927,7.5572295,-2.7892134,-6.579317,-6.076943,4.7806826,-4.602907,-4.2540183,-12.398305,-3.3917332,-4.8344007,-2.3813794,0.5420672,0.8600526,1.2684355,1.6458863,1.9291052,2.2002547,2.5175607,2.7337258,0.8993654,0.30018222,0.0,0.0
0.0,0.0,-17.13648,5.2889247,-5.949856,-4.1972027,-5.4831753,-1.1212362,-9.640746,-11.829955,-17.441141,-8.718961,-10.073085,-4.6812997,0.5060392,0.8558361,1.2664877,1.6629763,1.929777,2.213989,2.5001106,2.7114785,0.7890601,0.40763786,0.0,0.0
0.0,0.0,-15.498337,4.01843,-2.406846,-2.787522,-5.485514,-6.067324,-14.098202,-13.434181,-16.983753,-11.179883,-13.439776,-6.8681808,0.47392657,0.8370885,1.2631587,1.657465,1.9215058,2.2241933,2.4843736,2.7203453,0.63191295,0.5213785,0.0,0.0
4.1735173e-14,0.002832473,-13.137367,2.0707293,0.57318,0.5190501,-5.01642,-9.704379,-18.192019,-13.199161,-14.258456,-11.755376,-14.95683,-8.243262,0.43808842,0.8023286,1.2399732,1.637957,1.925273,2.226037,2.4798894,2.7401521,0.5055908,0.58797204,98.0,24.5
1.2520162e-13,0.006319607,-12.178473,2.5825684,2.4193382,0.7946889,-4.181173,-10.632215,-16.326994,-12.130628,-11.716137,-14.921618,-14.230694,-7.7850976,0.39883053,0.78384703,1.198206,1.6105858,1.9222931,2.2266238,2.491255,2.7609103,0.40042308,0.6350892,196.0,67.375
1.2520162e-13,0.006319607,-10.413974,4.016726,0.0051231384,-0.35683694,-4.2108817,-9.60646,-16.242622,-12.913289,-13.293395,-17.31056,-13.768348,-6.3324623,0.3739634,0.77227694,1.1563816,1.5816065,1.9188147,2.2306187,2.5011835,2.772455,0.34844366,0.6654525,286.76135,122.22159
1.2520162e-13,0.006319607,-9.247495,6.9142303,-1.2819945,-3.1343899,-2.9629698,-8.969291,-14.821322,-14.66196,-11.484527,-16.104794,-11.947366,-6.511888,0.3495171,0.7710357,1.125301,1.54603,1.889408,2.227604,2.5002491,2.7692935,0.2731943,0.6853536,272.2841,159.73721
4.1735173e-14,0.002832473,-7.9617157,6.870945,-2.3179505,-2.5948608,-2.1370962,-8.088831,-17.802858,-16.803514,-9.971821,-11.217324,-9.799377,-10.328997,0.32308826,0.75968695,1.102312,1.512126,1.8515244,2.2186038,2.4882343,2.7716992,0.22000605,0.6991175,262.66565,185.46931
1.2520162e-13,0.006319607,-6.6690145,5.6715503,-2.9163616,-0.67311305,1.8388027,-8.044048,-19.8203,-20.217926,-8.456065,-4.357755,-7.339054,-13.50063,0.29697934,0.7456699,1.0861359,1.4931488,1.8198217,2.1939971,2.4722402,2.7711766,0.16923542,0.704024,270.28503,206.67326
8.346644e-13,0.0102284,-5.0904536,4.962504,-4.510552,-0.87880325,6.1282825,-9.868776,-21.446877,-21.706024,-13.522728,-0.5387252,-5.288071,-14.026405,0.27299657,0.72738916,1.0847416,1.4829019,1.8026448,2.1702604,2.4593146,2.7765357,0.14264129,0.6950633,305.95404,231.49345
8.7639574e-13,0.013060794,-2.908615,4.358667,-5.3779945,-1.7990776,7.1931324,-8.827524,-18.101065,-19.163322,-19.40241,-1.6915547,-3.6773884,-9.184367,0.2586821,0.7075346,1.0759381,1.4758631,1.7902914,2.1502573,2.4530108,2.7738934,0.118767,0.6716514,340.30017,258.69513
2.1283923e-12,0.01758499,-2.0305243,5.0920687,-5.5522113,-4.0033503,9.38083,-6.8366227,-19.632545,-15.334163,-21.513403,-8.230423,0.056515533,-5.280193,0.251905,0.67654514,1.0608448,1.4573501,1.7707244,2.1351695,2.4509962,2.7759562,0.11060744,0.6578623,354.63773,282.6808
2.1283923e-12,0.017584993,-0.9390463,4.243374,-5.095797,-5.834734,7.4854646,-0.8405959,-21.062933,-10.4384775,-18.946371,-16.367086,1.268906,-2.7468634,0.24752302,0.6436327,1.0394988,1.4456323,1.7626715,2.1324756,2.456708,2.7843745,0.106678754,0.6598112,350.2897,299.58304
2.1701276e-12,0.018239731,0.6121537,4.6311855,-5.8449593,-8.585074,7.543785,1.7622331,-21.228628,-8.447597,-15.141971,-19.129381,1.4051566,-5.961635,0.23943873,0.6214027,1.0323538,1.4400605,1.7663981,2.129515,2.4632869,2.7932026,0.09549713,0.67540854,325.8173,306.1416
4.382014e-12,0.020967955,1.9576092,3.5227678,-5.2104325,-7.9213986,6.4482675,3.5405657,-19.666773,-10.358558,-15.173846,-18.688747,1.7818094,-10.692458,0.2205549,0.61176056,1.0378824,1.4422697,1.7776332,2.1275637,2.474635,2.8008606,0.08582654,0.6825817,312.7323,307.78928
5.717477e-12,0.023385746,3.4382932,1.9315358,-3.7787392,-6.635654,5.656252,2.9571307,-17.772566,-11.125609,-16.953766,-11.591842,2.7944996,-10.416141,0.20730744,0.5937834,1.0287892,1.4454225,1.7851585,2.1262956,2.4744499,2.8034458,0.077364765,0.6824498,324.11975,311.87186
7.720672e-12,0.029057667,4.3727894,0.25369975,-3.07263,-6.5243554,5.811371,3.8250592,-22.03271,-10.378372,-18.796995,-7.702643,7.474005,-10.460185,0.1972786,0.5617643,1.0014524,1.440601,1.7866215,2.1292028,2.4739792,2.8093681,0.07494712,0.6653754,350.81262,321.6071
9.515174e-12,0.030461019,5.340815,-1.2383434,-2.8858984,-7.712656,9.884845,5.2600713,-24.858599,-7.8710446,-17.86977,-6.4734426,9.370273,-7.2513156,0.19611907,0.5252318,0.9573423,1.4337794,1.7837969,2.132862,2.4723222,2.8116386,0.06678755,0.65949607,385.25867,337.52
7.637186e-12,0.025892407,5.8735385,-3.0378513,-2.9763975,-8.5827265,13.697539,7.1820235,-27.698843,-6.9844933,-15.9954405,-9.050771,7.369463,-9.366601,0.19222645,0.50428385,0.92288136,1.4319139,1.7701511,2.1368828,2.479894,2.8024752,0.05832578,0.64879775,412.15247,356.1781
