pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-12.452765,11.323356,-5.8764286,3.016802,-3.7103586,4.0152817,-2.2877712,0.49826506,-0.06964869,0.37612092,-0.6329406,0.6695196,0.62673146,0.91519946,1.2559713,1.5400876,1.8844906,2.200514,2.5130894,2.8131187,0.9951647,0.20442401,0.0,0.0
0.0,0.0,-14.956516,10.024573,-4.0009017,4.3735466,-5.0548296,3.4113636,-2.1678474,1.0603982,-0.17818862,0.5498716,-0.6688554,0.2779924,0.6179369,0.9392082,1.2591859,1.5294107,1.8888149,2.2137325,2.5087807,2.7856426,0.9924448,0.17986356,0.0,0.0
0.0,0.0,-17.280327,7.335106,-3.01692,7.779892,-7.566508,3.8821533,-2.9721577,2.6466372,-0.35065737,0.4505836,-1.2719511,-1.1833068,0.5946576,0.9496551,1.2681857,1.534162,1.9004899,2.226518,2.5026767,2.752328,0.9864008,0.16172129,0.0,0.0
0.0,0.0,-19.87693,2.0163007,-2.3867881,6.8083177,-5.6073494,1.7389811,-1.2857383,4.1398406,4.90096,1.9684769,-2.4301703,-3.4460986,0.55147153,0.94068384,1.2682985,1.5509094,1.907935,2.2321713,2.4967139,2.7265866,0.9613176,0.17688172,0.0,0.0
4.1735173e-14,0.002832473,-20.079239,-2.1861007,-4.3052025,7.030874,-4.9514565,1.6132532,0.4678935,7.108298,12.916989,4.706914,-4.3297,-4.776644,0.49793997,0.9009781,1.2625636,1.5720477,1.9141022,2.2331374,2.4993646,2.7226074,0.9063161,0.22752242,0.0,0.0
4.1735173e-14,0.002832473,-19.232824,-6.119662,-5.7257442,4.634223,-0.3897524,1.1933384,-1.4490601,6.2300086,17.571869,9.621785,-5.593227,-5.7135577,0.4442207,0.85117024,1.2341428,1.5691105,1.9102641,2.2317073,2.4993665,2.7241802,0.80779696,0.3080777,0.0,0.0
4.1735173e-14,0.002832473,-16.81952,-6.283712,-6.7367682,2.788739,2.6184652,0.92288065,-6.7084255,4.3253064,15.322043,13.979763,-5.854839,-4.828345,0.3961976,0.7940714,1.2074355,1.5550336,1.9048756,2.2193873,2.4963453,2.732175,0.66092473,0.39056906,0.0,0.0
4.173127e-14,0.0028323939,-13.419223,-7.1751485,-8.357961,2.6159716,3.7673237,0.5014643,-12.4233675,2.9024847,10.877711,15.484487,-7.6915264,-9.794791,0.35627356,0.7425053,1.1706047,1.5177898,1.8919986,2.2131033,2.4906433,2.741368,0.50619525,0.4531629,0.0,0.0
1.2519772e-13,0.006319528,-11.353019,-7.438219,-7.5441093,4.3728185,4.2713456,4.122729,-11.57014,3.7600386,14.991916,20.11971,-11.269406,-14.787288,0.32965183,0.6910999,1.1487426,1.4799875,1.8699265,2.206089,2.4894087,2.7586575,0.38319734,0.4873751,0.0,0.0
1.2519772e-13,0.006319528,-9.854434,-8.90869,-5.6360226,5.06948,5.2868724,8.146626,-11.374126,5.717171,18.82659,22.147718,-16.901022,-19.27201,0.31309643,0.6329288,1.128037,1.4545783,1.8475337,2.2000186,2.4928467,2.7716227,0.32064068,0.5166218,0.0,0.0
