pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.038054083,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44169292,0.76591355,1.116817,1.4476099,1.791787,2.1258686,2.4666233,2.803074,0.9975824,0.09779233,0.0,0.0
0.0,0.0,-6.1043644,0.77611655,-1.2310851,1.9763149,-2.659733,2.0858507,1.6498331,-1.2742673,2.2748597,-3.3617804,0.53727907,-0.9517004,0.49752542,0.83099014,1.1894037,1.5120155,1.8534881,2.182619,2.4692383,2.7935655,0.9836809,0.157498,0.0,0.0
0.0,0.0,-13.001721,-0.49385715,-3.9046457,-0.0957365,-5.5587583,1.713604,1.3804737,-1.4225403,2.8909862,-4.150369,-2.8461533,-2.6456215,0.5395486,0.8740328,1.2481567,1.5733181,1.9158767,2.2337828,2.4784489,2.7801495,0.94016314,0.20025133,0.0,0.0
0.0,0.0,-18.234972,-0.6514997,-6.1177125,-4.1950183,-11.11394,-1.2901468,-0.91547936,-4.642524,2.4561918,-6.162865,-2.8599846,-3.7955246,0.4741956,0.8400577,1.2271214,1.5868458,1.9287828,2.245046,2.4699783,2.7568104,0.85826534,0.24868476,0.0,0.0
8.3466444e-14,0.0034871344,-17.075804,-3.067939,-6.653375,-10.510193,-14.894824,-6.5275826,-5.61274,-4.6914544,-3.2906206,-7.539936,-6.4579773,-4.21864,0.43569124,0.7894369,1.1919601,1.573822,1.9180549,2.2180386,2.4861536,2.752436,0.74342704,0.30896562,0.0,0.0
8.3466444e-14,0.0034871344,-14.6092615,-1.8635902,-3.867607,-14.680416,-20.505442,-8.636351,-7.1635113,-7.0384026,-8.84047,-12.154527,-4.0388136,-3.8187053,0.40447292,0.7445524,1.1620535,1.5607544,1.9023123,2.1895435,2.4958441,2.7578208,0.60259897,0.34332705,0.0,0.0
8.3466444e-14,0.0034871344,-13.622048,-3.2925255,-2.8251772,-18.271639,-22.983719,-8.930631,-5.56842,-3.7812874,-13.266046,-16.968386,-6.5527196,-4.511282,0.37375715,0.69662565,1.1216165,1.5303367,1.8775021,2.1726978,2.4963186,2.7655227,0.43457237,0.35965165,0.0,0.0
2.0866028e-13,0.0045903632,-11.753873,-4.0347657,-1.9186324,-20.906553,-21.863382,-10.758882,-2.7994862,-1.3882041,-16.271383,-18.486113,-10.074881,-5.1149406,0.34969938,0.6522657,1.0825858,1.5103661,1.850787,2.1674464,2.4913714,2.7705634,0.29283774,0.3698939,0.0,0.0
7.511824e-13,0.010704573,-9.768295,-7.4306884,-2.0110152,-21.456259,-19.43344,-12.756703,-2.167466,1.7363716,-17.85789,-19.398561,-15.283856,-3.794924,0.3260291,0.61198133,1.0329971,1.4896425,1.8291601,2.1708348,2.4902668,2.770859,0.19069205,0.409858,0.0,0.0
8.346488e-13,0.014191707,-6.9569526,-7.991567,0.04592331,-23.308313,-16.633743,-12.794277,-2.2231257,3.6660888,-21.418121,-18.666906,-17.127327,-1.7643824,0.3113651,0.57777053,0.9840448,1.4811077,1.8131877,2.172223,2.490469,2.7688506,0.14233908,0.45525527,0.0,0.0
1.3771866e-12,0.01634261,-5.5682964,-9.042107,0.96391195,-25.946901,-16.828352,-13.393216,-4.819858,2.2006595,-24.495659,-18.90663,-14.843379,-0.4863305,0.30323228,0.55722564,0.91699123,1.468661,1.7933893,2.164464,2.4805534,2.7737591,0.10728317,0.4837227,0.0,0.0
8.7639965e-13,0.013060872,-4.6837177,-9.84919,2.1536372,-28.349127,-13.709499,-13.822727,-5.4178367,0.7543805,-29.767517,-18.4467,-9.536266,0.20185351,0.29566064,0.5433416,0.85732937,1.45464,1.7643121,2.1480846,2.4610517,2.7892094,0.086430945,0.49495006,0.0,0.0
4.3402317e-12,0.020313248,-4.2722363,-11.734248,1.6647428,-28.16111,-12.370084,-16.24368,-4.5959535,-3.2176123,-34.36389,-16.091482,-8.2892275,-2.2615516,0.29611573,0.5295989,0.8083213,1.4377618,1.7407023,2.126852,2.4466965,2.8050308,0.07796917,0.44462797,0.0,0.0
8.304859e-12,0.025269195,-4.170612,-14.208661,4.5563583,-27.306631,-11.377116,-13.677295,-3.2985804,-2.9090776,-34.816067,-12.076728,-2.9476604,-7.5095363,0.3020531,0.51364774,0.7596783,1.4091374,1.7247504,2.110275,2.441108,2.8086758,0.07464491,0.38894188,0.0,0.0
2.0282291e-11,0.037924085,-4.8882604,-15.044109,9.814351,-26.481085,-11.613564,-14.13813,-4.3244195,-1.80384,-29.672823,-8.116101,-1.0885701,-10.680192,0.31947726,0.50188667,0.70053655,1.3661093,1.718049,2.0944786,2.443424,2.8019352,0.074040495,0.33477306,0.0,0.0
1.9280742e-11,0.03690667,-5.746086,-18.046263,15.4119835,-28.743605,-11.529353,-11.877285,-6.621357,-0.99075204,-23.906118,-8.586026,0.5317871,-12.787186,0.33081284,0.49512926,0.640793,1.3100448,1.7175951,2.0770376,2.4428978,2.7956457,0.07343608,0.34924912,0.0,0.0
1.5107459e-11,0.03132373,-5.2529125,-18.11014,19.664892,-30.91934,-10.472308,-10.43592,-6.3122964,-1.7039028,-19.23995,-10.474547,-0.14239502,-9.113706,0.3289047,0.49104443,0.60334164,1.2788762,1.7141038,2.05824,2.4452565,2.7993524,0.07041403,0.36505553,0.0,0.0
6.6355883e-12,0.026575878,-4.2789564,-19.790575,18.676626,-34.101913,-9.954471,-10.276244,-6.113829,-4.835275,-17.201612,-14.975803,-2.6432757,-8.448394,0.31961092,0.49155793,0.58800125,1.262463,1.7023398,2.0435305,2.4401848,2.8017228,0.0692052,0.36163417,0.0,0.0
1.1643517e-11,0.030326733,-4.6646686,-20.905943,18.612047,-34.971096,-9.879865,-13.5941925,-6.8910003,-5.584288,-18.070885,-17.517065,-2.2566588,-7.5824885,0.31244817,0.4927667,0.58322525,1.2646432,1.6700372,2.0237005,2.4213939,2.8006332,0.06860078,0.3491591,0.0,0.0
2.5290372e-11,0.04049058,-5.1091285,-21.476244,18.594893,-35.64847,-11.530044,-20.194094,-8.064938,-4.63516,-20.158628,-20.690712,-4.8536954,-8.184037,0.3140392,0.4925309,0.5834391,1.24883,1.638462,1.9911069,2.4024494,2.7897537,0.072529465,0.35525355,0.0,0.0
3.296918e-11,0.0449245,-5.9021096,-22.50756,21.153503,-35.129566,-13.045612,-22.115463,-5.8738027,-4.641951,-20.570738,-24.020258,-3.8542373,-10.336436,0.32157877,0.48739085,0.5894056,1.2439476,1.5947232,1.9331179,2.3795846,2.7713194,0.07283167,0.3727773,0.0,0.0
3.1466538e-11,0.04405717,-9.655316,-14.939411,17.977991,-27.664152,-19.632963,-18.02607,-2.509084,-4.8969684,-18.86778,-24.977829,-1.4853306,-9.546566,0.3586682,0.5476305,0.7097003,1.24829,1.5572472,1.8514446,2.2640393,2.5742228,0.07645815,0.3316978,0.0,0.0
2.3328424e-11,0.040384818,-16.836416,-8.2477045,9.9909935,-17.245058,-24.610403,-15.453221,1.1259183,-10.277062,-16.01275,-22.714172,-3.3761158,-10.614247,0.37694967,0.6030324,0.82085055,1.2398795,1.5266829,1.7844381,2.1436367,2.3814535,0.08310668,0.2734954,0.0,0.0
7.294936e-11,0.0504048,-22.50141,-5.2290688,-0.21558364,-5.0338435,-23.014917,-10.546886,-2.0783045,-12.616479,-12.551704,-17.999643,-6.30417,-8.320689,0.394174,0.664721,0.9330618,1.2269834,1.5300512,1.753385,2.049201,2.2033796,0.09549713,0.21593238,0.0,0.0
7.5578675e-11,0.05184595,-24.387465,-6.1058254,-4.1396217,0.34934416,-18.843916,-8.945352,-5.3225155,-15.858239,-8.000912,-15.473904,-5.8416963,-5.7550273,0.3780373,0.65512866,0.9412603,1.1969557,1.5764984,1.7670661,2.072961,2.1897693,0.11634935,0.21003108,0.0,0.0
1.0299759e-10,0.060297955,-24.182383,-10.607844,-6.5261397,5.5331345,-15.230408,-7.440497,-9.588557,-11.237483,-4.5281014,-11.400758,0.37582412,-1.198749,0.38230526,0.6474598,0.9706698,1.1933556,1.6278672,1.7748166,2.0942404,2.177339,0.13780598,0.2673647,0.0,0.0
9.077077e-11,0.0586583,-23.717768,-7.44228,-2.55361,4.72819,-17.950209,-6.3963475,-6.7646565,-9.855472,-11.355977,-10.9686165,-0.16382504,-0.22973649,0.38036498,0.63337094,0.98372406,1.1808391,1.649396,1.7645831,2.0782347,2.15304,0.14113025,0.41852093,0.0,0.0
1.9431205e-10,0.074883334,-20.183432,-1.8322939,0.55100995,4.604199,-14.704684,-4.573205,-4.232497,-7.1859097,-15.049187,-9.171496,-6.962046,-5.7402663,0.37949884,0.646625,0.9837497,1.1961902,1.635513,1.7532488,2.0619183,2.172551,0.114838324,0.61231035,60.743805,15.185951
6.5782935e-10,0.10113182,-17.146616,7.021087,5.8275776,3.2139518,-10.715953,-0.37593305,0.6252677,-6.7928543,-16.23569,-10.158395,-13.866463,-9.471944,0.38937488,0.68244576,0.97766453,1.2137016,1.593455,1.7394539,2.0439224,2.168165,0.08763977,0.710231,121.48761,41.761364
3.1954208e-09,0.1551696,-18.14817,11.872674,4.8626986,4.472173,-3.9214344,0.81637436,-0.3717998,-3.4250956,-9.390263,-8.48242,-11.559554,-10.728166,0.42591897,0.716351,0.9853236,1.2375163,1.56701,1.7325765,2.0406501,2.1653872,0.096101545,0.69090754,186.4001,77.92105
3.7374495e-09,0.1762712,-22.231033,11.81604,6.612274,6.722645,-1.1035718,-0.13095434,0.43257618,1.7082437,-4.689075,-8.614001,-10.206246,-7.9201984,0.4680371,0.73726827,0.9955428,1.2518269,1.5459958,1.7387654,2.036722,2.1642144,0.12511332,0.66619426,185.98637,104.93738
3.4685392e-09,0.16641389,-24.39408,11.574948,7.4446006,9.142264,3.5335886,2.4135554,-3.8749237,-1.2622528,-4.264332,-10.465411,-8.554174,-8.441142,0.49103424,0.7388918,0.99919397,1.2366743,1.5416266,1.7416402,2.0452516,2.1662672,0.13508613,0.651278,184.58064,124.84818
1.1649941e-09,0.1287614,-25.361212,11.294995,8.518285,13.145299,5.757645,6.568067,-3.3316886,-4.3096137,-7.3339877,-8.382121,-7.145634,-9.378011,0.4934837,0.7460232,1.0019795,1.2176191,1.5269055,1.7357925,2.05812,2.164902,0.13266848,0.58423096,190.54639,141.27275
2.4281601e-09,0.14831801,-27.039307,10.069276,6.8675475,17.977646,8.961165,8.625043,-7.4378743,-10.808205,-9.4775305,-6.873651,-3.739549,-9.423288,0.501122,0.7499437,1.0061566,1.191814,1.5088538,1.7175936,2.063859,2.1406093,0.14475672,0.4700757,130.21632,151.65468
