pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,8.856615e-09,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.1342818,0.0,0.0
0.0,0.0,-2.9432156,3.2889392,-2.2770226,0.82734686,0.028678657,0.013440345,-0.4593064,0.6534297,-0.40982953,0.047868595,0.06764657,0.08582968,0.44169292,0.76591355,1.116817,1.4476099,1.791787,2.1258686,2.4666233,2.803074,0.9975824,0.22763912,0.0,0.0
0.0,0.0,-9.234433,6.965772,-2.3917897,0.984329,-1.2583236,0.6523723,-0.33666548,0.96112245,-0.9370242,0.11254665,0.13139094,0.23928349,0.5027375,0.810461,1.1611066,1.4841374,1.8203044,2.1288621,2.4749856,2.8007162,0.99335146,0.28373614,0.0,0.0
0.0,0.0,-18.214918,6.4403114,-2.4864826,2.2421858,-2.1898615,2.526809,-2.0152986,0.27681336,-0.11550442,1.5043176,1.0713114,0.51606923,0.56033516,0.8452018,1.2036306,1.5260844,1.8635501,2.150852,2.4913113,2.802594,0.9803565,0.21447343,0.0,0.0
0.0,0.0,-24.369043,1.6332878,-0.13129924,0.07364241,-2.7646682,7.443892,-0.016608557,-0.78092486,1.242091,2.9439971,3.5914824,1.8409153,0.51315814,0.7941177,1.1651322,1.506188,1.8543013,2.1455958,2.4845405,2.7973394,0.93260795,0.21704507,0.0,0.0
8.3466444e-14,0.0034871344,-26.158218,-3.4476812,1.4273065,-0.4106137,-2.408061,14.025022,2.7448986,-2.1125057,3.8332996,4.912493,3.1440513,-0.32991615,0.48659834,0.7462838,1.1562337,1.493843,1.8630062,2.169781,2.4900649,2.803788,0.84436387,0.3022991,0.0,0.0
8.3466444e-14,0.0034871344,-24.581633,-4.4678063,4.774489,-2.3687794,-0.9761293,19.643122,5.4738917,-3.838894,2.766715,9.123659,2.8162525,-4.7586412,0.45633283,0.6986324,1.1445801,1.4701004,1.8488709,2.1677296,2.4836977,2.7991197,0.7183439,0.39437446,0.0,0.0
8.3466444e-14,0.0034871344,-21.486725,-4.091333,6.19542,-2.3243165,-0.8781321,23.111902,6.181971,-5.7809606,3.9842083,12.522944,2.3583667,-11.65313,0.4306775,0.6581667,1.1382259,1.4603186,1.8330755,2.1531508,2.4773252,2.7844155,0.59443945,0.46946183,0.0,0.0
4.1735173e-14,0.002832473,-19.745674,-5.0358453,7.952503,-1.6731068,-1.0019401,22.243898,6.7084527,-5.3928447,4.16749,18.002922,2.761545,-16.11397,0.4099698,0.6282873,1.1304731,1.4571948,1.8116703,2.1464567,2.4747002,2.774246,0.49048054,0.5009105,0.0,0.0
1.2520162e-13,0.006319607,-17.498117,-6.4550443,7.995252,-0.7764924,-4.399668,21.07324,10.916997,-3.5330303,7.6083794,19.535408,2.8059797,-18.119751,0.39357042,0.60680014,1.1340587,1.4537921,1.8000344,2.1434345,2.475427,2.7701747,0.40404955,0.5380853,0.0,0.0
1.2520162e-13,0.006319607,-15.69184,-5.9110756,7.885441,-0.3851514,-5.423001,20.29648,13.285552,-0.687375,8.566873,19.750341,-2.0637972,-18.042063,0.38321695,0.60985273,1.1405014,1.4423833,1.7933841,2.1399543,2.481768,2.7747717,0.33544877,0.5783257,76.96335,19.240837
1.6693289e-13,0.0069742687,-13.588669,-4.8682356,6.5587826,-2.906317,-7.008452,24.14946,15.21178,3.953659,9.601588,16.687496,-3.1772587,-14.845733,0.37944308,0.6190318,1.1321746,1.4329122,1.7909478,2.1216583,2.4808164,2.7752428,0.2623149,0.5970218,153.72627,52.862198
4.173322e-13,0.008772642,-12.094978,-3.0636737,5.65369,-4.022734,-4.343959,25.385668,13.721114,7.6994953,8.882866,10.98965,-5.75571,-14.745987,0.37329683,0.62975246,1.1181954,1.4318722,1.778659,2.1108303,2.4716692,2.7792876,0.21124206,0.60371,223.02019,95.401695
7.51198e-13,0.01405815,-11.276441,-3.4086025,5.897941,-2.495169,-3.4843676,24.892157,14.632965,10.686493,6.9795613,8.290936,-2.0103948,-10.5289135,0.36761808,0.6329785,1.1133313,1.4415699,1.7704226,2.1085284,2.454035,2.7794993,0.1586582,0.5996621,218.59492,126.200005
8.7640355e-13,0.015161456,-10.285463,-3.2998016,5.4584126,-0.21655555,2.4471657,25.51298,10.67953,7.4149137,4.880756,5.8716455,-0.7486465,-8.040761,0.3564082,0.64336205,1.1213622,1.4603524,1.7626363,2.1040475,2.440115,2.7839067,0.1287398,0.63061166,233.35742,152.98936
7.512097e-13,0.014466389,-9.807254,-3.192323,4.428306,3.0473497,7.313236,26.452477,10.260203,3.2868645,-0.29401875,2.9191494,0.015559594,-2.0389097,0.35499406,0.6524038,1.1300973,1.4826547,1.7557815,2.0736625,2.422799,2.7843869,0.09066183,0.65419745,271.48538,182.61336
7.512097e-13,0.014466389,-10.506387,-2.8962905,5.6009254,5.440075,7.461725,27.31633,8.568225,3.462551,-4.374555,-0.42883506,0.71830606,-1.3240012,0.35940683,0.6697406,1.1251268,1.496491,1.7353249,2.0280662,2.3821573,2.7821505,0.072831675,0.6693538,287.25156,208.7729
7.512097e-13,0.014466389,-12.27174,-1.2853394,5.703729,7.010813,1.9198971,28.446783,11.656688,3.43381,-6.025915,-2.7861578,-0.118235506,5.210434,0.37329146,0.68173593,1.1145755,1.4804922,1.7144604,1.975522,2.3235776,2.7666218,0.061952252,0.66457695,267.21622,223.38373
1.5858547e-12,0.017315384,-14.449674,0.6694448,6.638775,5.212576,-4.585809,31.935362,13.349964,3.0081165,-2.9200084,2.05387,-3.274008,9.118701,0.3796003,0.69091636,1.0971951,1.446375,1.7019143,1.9530519,2.260226,2.7438142,0.06860078,0.6520612,241.73071,227.9705
1.2937239e-12,0.014862348,-15.769127,1.567759,3.3417914,3.0130463,-5.314054,33.541084,19.07453,0.13405387,1.237943,6.7102966,-8.258195,12.274025,0.38067237,0.6949189,1.0836334,1.4039264,1.69549,1.9395666,2.2154582,2.7173188,0.072529465,0.6403728,239.08684,230.74957
4.632351e-12,0.021011418,-16.028822,1.9217485,0.8448716,3.2019799,-2.7530463,27.111246,19.940382,2.3106453,2.038061,10.072467,-5.4451756,8.20548,0.37899092,0.69882894,1.0572788,1.3663288,1.6813067,1.9457244,2.185329,2.7030194,0.07676035,0.59937817,259.177,237.85645
4.1315558e-12,0.019686192,-15.202648,0.19178979,-1.1055981,3.3601427,0.04701948,15.037342,20.043974,5.2569313,0.15316884,6.9344316,0.7777422,7.087557,0.37329856,0.6882518,1.0115032,1.3197589,1.6597323,1.9321374,2.183389,2.7009575,0.075853735,0.5445406,177.2406,243.23457
7.1780325e-12,0.027155856,-14.237018,-0.8208689,1.6943079,3.4809265,-2.731212,4.3104825,13.691128,5.08449,-2.2956965,0.9812746,9.062384,8.51407,0.36777148,0.6454432,0.95726395,1.2583714,1.6299238,1.9195634,2.2063303,2.7138863,0.07524932,0.49026355,91.58025,246.3852
4.381932e-12,0.023157611,-13.640882,-1.6059726,7.9000106,1.9785476,-7.897906,-0.34195176,10.880219,1.616357,-5.8521256,1.4525031,10.325099,9.562188,0.3597997,0.5974973,0.9191308,1.2106432,1.603485,1.9028125,2.2504237,2.7273352,0.067996375,0.51519275,0.0,246.3852
