pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-13.773734,7.144169,1.248064,-2.2135384,0.835237,-1.0492455,1.3251759,-1.5584372,1.5516511,-0.68757373,0.43324482,-0.9937957,0.593589,0.86427456,1.290433,1.6379672,1.8974644,2.1687534,2.4927256,2.7359936,0.9936536,0.42287293,0.0,0.0
0.0,0.0,-10.951484,3.4161043,4.90332,-5.1758046,3.1178265,-2.9325874,2.8797195,-2.6953049,2.3294485,-1.27043,0.847913,-1.1791447,0.5483279,0.8192732,1.3530036,1.6445742,1.9173113,2.1652992,2.470338,2.7036579,0.99395585,0.39084157,0.0,0.0
0.0,0.0,-9.640367,3.0373533,4.170152,-4.7579856,3.700552,-3.4714072,2.4661512,-1.9714122,2.2733333,-1.680751,0.91843843,-0.82960314,0.5486147,0.824801,1.3532194,1.6151527,1.9173179,2.1721935,2.4703457,2.7292244,0.9951647,0.25486422,0.0,0.0
0.0,0.0,-7.7397666,6.6363053,-2.1076276,-1.21808,1.6117054,-0.82688755,0.44987142,-0.32154799,0.06408874,0.06652627,0.016517827,0.0127105,0.5813628,0.8508827,1.3183247,1.5862585,1.904369,2.1782959,2.4906492,2.766287,0.9963735,0.121456504,0.0,0.0
0.0,0.0,-7.4937005,8.513538,-6.75453,4.513804,-3.119874,2.0832336,-0.7773766,-0.34514698,0.68262845,-0.66588557,1.129647,-1.9291097,0.61636144,0.90336055,1.2663628,1.5645517,1.9023533,2.2033546,2.4929655,2.7879393,0.99032944,0.038994294,0.0,0.0
0.0,0.0,-12.401115,7.1335983,-3.9797087,6.3017163,-8.857413,3.1432421,3.8896663,-1.8673531,1.3068982,2.446351,2.225117,-8.5022745,0.60845774,0.91027117,1.2737142,1.5722381,1.9175234,2.2181318,2.4763358,2.7578545,0.9818676,0.08461208,0.0,0.0
0.0,0.0,-18.0083,5.8395824,-0.17193317,8.723495,-7.2455096,5.0138674,3.0503414,1.3786559,0.29923454,4.7756615,3.0624988,-8.76093,0.5889209,0.930008,1.2850385,1.5801955,1.9419883,2.2302296,2.4668705,2.7076209,0.94378966,0.12495158,0.0,0.0
0.0,0.0,-23.57627,6.2966447,3.980548,9.612984,-5.0088673,5.591694,2.7629178,2.0322206,-3.5127766,8.191884,1.230412,-5.2066555,0.5789549,0.9558111,1.2780632,1.5639757,1.9489557,2.2347775,2.4851685,2.6938794,0.90238744,0.15374158,0.0,0.0
0.0,0.0,-24.105646,5.4033036,5.0896363,6.9421344,-1.8553699,6.8132014,0.09430083,4.344175,-3.0845385,8.546873,0.014840643,-1.052335,0.5763468,0.9642864,1.2757856,1.5508281,1.9485124,2.2408404,2.500231,2.679426,0.8603808,0.18086453,0.0,0.0
0.0,0.0,-23.143663,9.283065,5.656116,4.893493,-2.6411202,3.0773354,1.4923873,1.6815786,-1.838328,5.252753,1.7163657,2.782841,0.58593327,0.9526729,1.2754426,1.537665,1.9228902,2.2545469,2.502054,2.6946223,0.8102145,0.22540061,0.0,0.0
0.0,0.0,-21.874435,12.771828,6.8746185,3.956259,1.6683435,2.247216,1.1438179,2.5909772,0.5327495,-0.37726912,0.521863,3.2629201,0.58870035,0.93637985,1.276184,1.5340859,1.8985342,2.2551696,2.4940832,2.7051725,0.72469026,0.28163126,0.0,0.0
0.0,0.0,-19.180702,16.232687,7.732115,11.07022,6.2871246,0.5669127,-5.5406747,-4.7624354,-6.1446247,-6.022329,0.09238049,8.718426,0.58080465,0.92813545,1.261525,1.5425736,1.8846798,2.2505183,2.4910707,2.7191746,0.621638,0.355013,0.0,0.0
4.1735173e-14,0.002832473,-18.795427,17.683704,8.792382,14.70631,7.9237714,1.9992524,-8.267688,-4.3485317,-7.3187466,-7.540438,-2.5597413,6.582794,0.5742039,0.9252219,1.242659,1.5529304,1.8844236,2.2350547,2.4912856,2.731369,0.53732246,0.36021206,0.0,0.0
4.1735173e-14,0.002832473,-19.531382,18.498903,7.839503,14.141243,4.6720605,-1.0152652,-5.9714165,-3.8814325,-12.429073,-5.0843787,-0.911906,5.787619,0.58504647,0.9206519,1.2332617,1.5559858,1.8712772,2.2215242,2.4932117,2.7501383,0.51616806,0.33559847,0.0,0.0
4.1735173e-14,0.002832473,-19.484186,21.0321,7.169279,9.326461,2.8386583,-6.801519,-3.255088,2.987293,-11.630237,-4.825685,-1.8579248,2.1888015,0.5956244,0.9186726,1.2338597,1.54492,1.8540869,2.2114277,2.4871354,2.7564201,0.54306436,0.27210274,0.0,0.0
4.1735173e-14,0.002832473,-19.574602,21.285284,5.846657,5.331709,0.61921155,-10.708496,-3.795552,2.2342942,-11.590112,-3.7458184,-1.0064613,1.4835377,0.6055648,0.91545326,1.2345773,1.5297533,1.8372979,2.2010028,2.4800491,2.752015,0.5754004,0.25444484,0.0,0.0
4.1735173e-14,0.002832473,-18.927565,23.195465,6.9312863,5.1758146,1.0937146,-11.264171,-6.89929,2.285004,-7.3441844,-5.184652,-3.384158,0.6723468,0.5949157,0.90999144,1.2271243,1.5102297,1.8280436,2.185352,2.47047,2.746954,0.5521305,0.25975022,0.0,0.0
8.3466444e-14,0.0056648664,-15.962077,20.025187,3.0403311,3.0735428,-0.8508685,-7.5355325,-6.748922,3.433426,-4.3318424,-2.934913,-2.0259993,0.6738157,0.508313,0.89299005,1.2043577,1.4800414,1.8027983,2.1507683,2.4599967,2.7452328,0.4517981,0.25964177,0.0,0.0
1.2519772e-13,0.006319528,-12.10268,14.541301,-5.0735135,0.5533343,-6.117911,-5.9783196,-4.446078,2.2194116,-6.4679923,-6.990089,-5.3194656,-2.9608831,0.4292265,0.8805285,1.1592345,1.436275,1.761941,2.0981963,2.437087,2.7382557,0.32366273,0.2808072,0.0,0.0
4.590635e-13,0.0116050355,-10.809917,8.854503,-14.455963,-1.0728287,-10.303463,-7.274468,-4.7521214,0.7835612,-8.355694,-7.891506,-5.193026,-2.3886192,0.39542863,0.8601892,1.1132401,1.3877078,1.7239113,2.0337362,2.3769948,2.713973,0.21124206,0.30619562,0.0,0.0
1.7527954e-12,0.016783973,-14.039497,10.481793,-15.722446,-2.2087228,-11.687509,-10.327096,-3.6030242,0.7712018,-11.255492,-10.80048,-10.110313,-0.43073034,0.45806873,0.8579605,1.086389,1.3573433,1.7041982,1.9875866,2.2800312,2.6861203,0.15442732,0.36319137,0.0,0.0
2.4205269e-12,0.020038106,-17.422503,14.02222,-12.472339,-1.4872481,-11.3185,-14.4110365,-5.2139525,1.3650142,-12.15949,-7.29377,-8.376323,-0.14688937,0.5106425,0.8534582,1.0816807,1.3467036,1.6960806,1.9640716,2.1831667,2.6571715,0.13992143,0.40841034,0.0,0.0
2.2536018e-12,0.019045822,-18.136415,15.715947,-9.894451,-2.6323507,-11.377864,-15.930213,-6.3482003,-0.008008321,-16.670012,-8.726879,-7.485165,-2.3769257,0.5235364,0.8645937,1.0840691,1.3613743,1.6906425,1.9633174,2.129824,2.6488326,0.14505893,0.4879478,0.0,0.0
1.0850638e-12,0.015327598,-17.771814,16.54455,-9.33906,-1.3966142,-11.594285,-11.490543,-5.4938035,-3.7043006,-18.958487,-11.767423,-4.164039,-6.287119,0.5202119,0.87515074,1.0826793,1.3712277,1.6870335,1.9655256,2.1297066,2.6471922,0.14052583,0.5033069,0.0,0.0
2.8796139e-12,0.018308425,-17.883924,17.252466,-10.360808,-1.5139824,-9.679566,-6.545635,-6.955169,-3.974083,-17.177486,-11.676444,-2.5638673,-3.8541143,0.5290699,0.8852075,1.0803144,1.3780464,1.687642,1.9718672,2.1488187,2.661668,0.13750379,0.49288812,0.0,0.0
4.131572e-12,0.022173515,-18.93057,18.978209,-6.9425864,-0.27771273,-11.065333,-3.9692905,-5.9996686,-6.220321,-12.95856,-9.001721,0.8401578,-5.631022,0.54190063,0.8866117,1.0776908,1.3784796,1.6864601,1.975278,2.1726143,2.6755016,0.14082803,0.47282848,0.0,0.0
4.381963e-12,0.023531793,-18.191402,19.592623,-6.0596766,-0.20132332,-10.080052,-7.7488976,-11.005924,-7.197866,-9.646359,-3.2935874,0.5975561,-5.792839,0.5429522,0.87880725,1.0798845,1.3830152,1.6894118,1.976641,2.1914418,2.693835,0.13750379,0.5248048,0.0,0.0
3.5472597e-12,0.022439355,-17.420008,20.117188,-2.9941633,2.5848258,-8.709559,-10.00707,-11.561897,-9.140592,-12.593345,-2.1869423,-6.9545264,-8.843926,0.51718736,0.87551546,1.0807211,1.3783206,1.6936842,1.9731236,2.2213848,2.7145834,0.12934421,0.6036768,148.48485,37.121212
3.1716782e-12,0.021720476,-15.777211,19.387749,-3.9983623,3.027549,-9.080476,-10.053336,-12.233067,-6.836368,-13.987957,-1.048891,-14.578354,-9.376481,0.48871613,0.8741627,1.0796548,1.366151,1.7032615,1.9770716,2.246726,2.7353055,0.11242068,0.6480462,282.97318,98.584206
2.7543616e-12,0.016069092,-16.035746,18.416077,-1.7949926,6.194523,-11.765239,-9.2770815,-7.981806,-6.9879403,-14.3749695,-4.364707,-14.879807,-11.666427,0.46896592,0.87387055,1.0752367,1.3482143,1.7055459,1.9813682,2.2664897,2.7517776,0.108189784,0.6518553,416.03052,177.94579
1.0850482e-12,0.01027183,-15.570348,18.342255,-1.1695485,5.9456277,-11.946027,-11.520028,-9.989963,-5.0402527,-10.379201,-6.6654487,-10.0610075,-10.054872,0.46088123,0.86771315,1.0696145,1.3389372,1.7135973,1.9917637,2.2833116,2.7527218,0.10456332,0.6379258,412.4159,236.56331
1.3771944e-12,0.010843725,-15.388143,19.606354,-0.8818067,4.9877906,-11.057752,-16.27562,-11.305336,-2.257272,-9.400779,-12.051045,-8.429864,-8.844159,0.46102318,0.85949665,1.0641127,1.3378972,1.7199135,2.0046556,2.312685,2.7450273,0.111514054,0.63973427,424.22885,283.47968
1.794511e-12,0.016495109,-14.813595,20.515196,-0.93378615,2.9969978,-10.056445,-13.557694,-10.576032,-3.1613128,-8.3063965,-11.529925,-9.360995,-7.6510963,0.4527829,0.8578761,1.0579982,1.3436518,1.726307,2.0210273,2.3446462,2.7379158,0.10939861,0.6508593,427.17862,319.40445
2.0866455e-12,0.018948223,-14.003829,20.51048,-0.21562147,3.7936373,-10.147529,-11.414856,-8.380673,-3.2418168,-12.808154,-14.131207,-8.36023,-9.272888,0.44049063,0.8529129,1.0575417,1.3545147,1.730934,2.031751,2.3690786,2.7454605,0.09851918,0.67931914,405.8378,341.0128
1.0850482e-12,0.016222399,-13.722835,19.506205,2.2832491,6.360004,-6.0779347,-10.090664,-9.212143,-5.267273,-14.910973,-10.208283,-8.550256,-11.650355,0.41962358,0.85247034,1.0674716,1.3769192,1.7361588,2.0405467,2.3960335,2.7521532,0.08582654,0.70023626,366.3933,347.3579
7.51198e-13,0.01405815,-12.400601,20.066439,2.8437557,6.122908,-0.43575206,-11.986741,-14.991481,-5.969382,-14.878838,-8.806794,-8.46239,-10.479398,0.35325634,0.8412996,1.081437,1.4005026,1.7318882,2.0528576,2.4113443,2.752675,0.086733155,0.7183644,335.4436,344.37936
1.7527954e-12,0.016783973,-7.7268753,19.559557,1.8273314,4.37762,-1.078394,-12.327813,-21.891197,-9.804844,-10.170246,-6.049539,-10.622886,-10.147892,0.25907946,0.83188504,1.0966315,1.4186128,1.7264217,2.075119,2.432665,2.7520742,0.085222125,0.75131416,343.93845,344.26913
