pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-26.138489,5.97026,-0.86454123,4.5600123,2.746254,1.8320428,-7.026771,-1.7654372,-1.4333467,10.109434,-1.4277357,-6.903113,0.6353138,0.9217152,1.2856793,1.5852565,1.9266456,2.2366374,2.4935439,2.7233207,0.9579933,0.14572321,0.0,0.0
0.0,0.0,-26.687067,6.0974617,-1.2881869,5.2458024,-2.050422,1.5718474,-4.486843,3.8221867,-4.342749,8.462857,-1.1313604,-3.2570121,0.6348877,0.92828614,1.2773112,1.586214,1.9281415,2.2236922,2.493726,2.7195663,0.95527345,0.13398813,0.0,0.0
0.0,0.0,-27.143225,6.017334,1.1507963,5.5526695,-6.8158126,-0.04536907,-2.2089984,6.935739,-6.684221,6.9770203,-1.4373852,1.6452365,0.63260645,0.94136786,1.2710361,1.5864806,1.9121443,2.214813,2.5000722,2.7173471,0.95466906,0.12279069,0.0,0.0
0.0,0.0,-25.702219,5.2108927,0.7651801,6.511665,-6.8324094,-1.0920882,-1.9612347,7.1992135,-5.5812783,5.699707,-1.5573398,1.3638253,0.6135102,0.94206333,1.2761922,1.5850754,1.899981,2.2120013,2.5043724,2.7118175,0.95738894,0.13194121,0.0,0.0
0.0,0.0,-24.4337,3.6442413,3.3383427,4.746745,-3.7685328,-1.1658317,-1.7640395,3.6517804,-3.7528746,1.9116923,-0.022846937,1.1691731,0.58558327,0.9294212,1.2949023,1.5910974,1.909758,2.220896,2.5047567,2.708965,0.95406467,0.13605638,0.0,0.0
0.0,0.0,-22.758352,2.2196586,4.042906,5.119514,-1.9690777,1.7310158,-0.93732375,0.99808294,-5.111896,1.8785229,0.35523018,0.9940515,0.55274266,0.90761274,1.3196532,1.6030016,1.932948,2.219658,2.496199,2.7043264,0.9365367,0.14591996,0.0,0.0
0.0,0.0,-21.415895,1.1152235,4.107964,5.0131226,-1.1854597,4.696726,0.128147,-3.9666245,-1.8662776,5.9888377,5.7590938,6.2099395,0.5438661,0.912456,1.3322605,1.6148171,1.9527849,2.2397854,2.4996498,2.7040014,0.86823815,0.16371755,0.0,0.0
0.0,0.0,-19.206453,3.6781209,1.70471,8.476295,0.4871653,7.0602736,-0.336319,-4.2241845,0.9257782,8.652661,6.020002,11.5746765,0.5437855,0.93512815,1.3256034,1.6170372,1.9466696,2.2490642,2.505157,2.6995938,0.74644905,0.2044815,0.0,0.0
0.0,0.0,-16.68225,7.3126845,-0.14156081,9.550082,2.6353827,9.233045,-3.0484765,-3.7782066,9.044213,7.408423,7.6739693,10.116686,0.54424334,0.95232534,1.299886,1.6120033,1.9445662,2.2678711,2.50886,2.69505,0.6095497,0.24577935,0.0,0.0
0.0,0.0,-15.363675,10.017406,-1.9677767,9.871038,1.9482759,6.8446393,-4.686834,-4.65041,8.976247,1.7697264,3.1634462,4.120287,0.5591657,0.92694193,1.2313561,1.5765477,1.9270802,2.266362,2.4965365,2.6926358,0.50619525,0.22343647,0.0,0.0
