pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-25.009119,3.275131,4.4488583,1.919961,-1.0383325,2.2344496,-1.6733736,-1.7303361,0.8860629,-2.3967226,-0.6654074,7.6055436,0.58090425,0.88600945,1.3054813,1.6049423,1.9188854,2.2208347,2.5029547,2.739825,0.9694772,0.21445699,0.0,0.0
0.0,0.0,-24.815866,4.115236,3.8101413,2.8323753,-2.2485657,2.1387227,-2.3389816,0.20426941,0.34511986,-2.0635366,-1.0526742,6.246927,0.5839047,0.8943324,1.2998506,1.5979277,1.9148283,2.20638,2.495363,2.7611036,0.9724992,0.17931814,0.0,0.0
0.0,0.0,-22.707209,7.3547616,2.2204874,-0.10915645,-0.2399373,1.4772692,-2.7302215,1.7647653,0.08971089,-1.9566656,-2.0202742,5.67767,0.59355927,0.90702677,1.2897154,1.5803256,1.9042107,2.1987636,2.4851494,2.7800906,0.9773345,0.1533574,0.0,0.0
0.0,0.0,-21.340063,8.729094,0.2968686,-1.158713,0.3077952,3.7247431,-2.6739655,0.7297826,-5.0266514,3.828788,0.670407,1.4728675,0.5902696,0.91340286,1.2871813,1.5724319,1.904893,2.2199292,2.4872644,2.7668803,0.9815654,0.15643947,0.0,0.0
0.0,0.0,-19.804888,6.84905,-2.1180532,-0.6478033,2.5788722,3.3982484,-1.0922968,-0.74636215,-4.8137813,3.6050234,-1.118981,1.5853609,0.5817701,0.9227453,1.2894182,1.5700454,1.9021641,2.2440434,2.489447,2.7496338,0.98035663,0.16976126,0.0,0.0
4.1735173e-14,0.002832473,-19.10143,5.1693096,-4.8892446,3.8922532,0.8789106,4.9259987,-5.10138,-3.4447262,-3.9388778,3.0039895,0.7625146,1.650114,0.5590262,0.9400513,1.2826453,1.5768126,1.9157284,2.272586,2.504205,2.7239704,0.9582955,0.1764731,0.0,0.0
4.1735173e-14,0.002832473,-18.486229,3.2479956,-6.6613564,5.279371,-0.22861743,4.449062,-9.095279,-5.1712284,0.6215632,1.9798592,-4.087595,1.984447,0.5342224,0.95347303,1.2766356,1.5711943,1.9295044,2.2837768,2.5125606,2.709348,0.9108493,0.21509801,0.0,0.0
4.1735173e-14,0.002832473,-16.237871,3.4399183,-5.79724,4.335283,-0.9577945,4.9747148,-12.146637,-5.5261188,1.6121316,1.9664165,-6.687469,-3.7790062,0.49031505,0.93731546,1.2670738,1.5639509,1.9415121,2.2843637,2.5128787,2.6989205,0.82744026,0.28652748,0.0,0.0
0.0,0.0,-14.990742,0.3931509,-5.7164726,2.9080899,0.4526542,1.5171846,-11.880699,-3.5311584,2.4871185,1.9879526,-11.094169,-9.851838,0.43757233,0.89528483,1.2638605,1.5600657,1.933856,2.2695591,2.5030844,2.7047281,0.70474464,0.36812058,0.0,0.0
8.3466444e-14,0.0034871344,-12.836644,1.0682617,-6.213218,1.6714468,4.8245287,1.0940953,-12.29782,-2.8434803,5.29451,-1.9641176,-19.246738,-14.071227,0.40142488,0.8560812,1.2466053,1.560224,1.9131719,2.2510529,2.490905,2.718771,0.5793291,0.38904765,0.0,0.0
8.3466444e-14,0.0034871344,-12.417397,0.19483805,-8.239829,2.38326,5.426314,-0.007914841,-10.263107,-4.0037203,6.3845253,-4.6901774,-17.253893,-12.212237,0.37942374,0.8343544,1.2324859,1.560152,1.8918022,2.2327816,2.479695,2.7271464,0.46479297,0.3678093,0.0,0.0
