pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
2.8378864e-12,0.021620253,-25.197273,6.9849143,5.674942,16.266312,12.191345,24.117388,16.641098,24.058052,19.237494,14.590146,11.256986,16.67892,0.25247502,1.0085773,1.2476119,1.6025747,1.9618235,2.2122838,2.3082507,2.7244856,0.0,0.96216613,89.63415,22.408537
2.837859e-12,0.021620193,-25.82952,8.574673,7.600792,17.13211,11.139664,24.127459,15.9618225,22.222878,15.991496,17.543867,12.872539,18.431656,0.25636926,1.0096681,1.2459189,1.6017936,1.9627186,2.210868,2.3076165,2.7266395,0.0,0.9612213,179.2683,61.623474
2.545713e-12,0.020921968,-26.980558,10.332527,8.455475,19.946192,9.532624,24.21251,16.539589,20.0254,13.989013,18.679909,17.42266,17.319609,0.2637009,1.0071927,1.2490964,1.6183748,1.9545828,2.2032335,2.3024344,2.7261474,0.0,0.9585455,271.84497,114.178856
3.129978e-12,0.022192033,-27.434006,9.959521,8.741893,20.953163,12.8260145,25.351381,14.611935,17.312693,13.50573,17.125814,20.883718,18.913607,0.2701045,1.0013413,1.2651397,1.6461607,1.9348694,2.1924994,2.2919283,2.7173634,0.0,0.9551309,296.7886,159.8313
2.921349e-12,0.021710403,-27.422796,9.011013,7.71946,21.07562,13.709293,26.184793,17.616205,17.405924,12.66289,17.636324,21.806305,17.810156,0.2722223,1.011763,1.2929555,1.675921,1.9134814,2.1822517,2.2818363,2.6944058,0.0,0.9498172,325.0143,201.12706
3.3804554e-12,0.022747418,-26.977095,8.996362,7.204005,19.044907,15.411034,26.887825,18.323862,18.239931,10.504687,20.197245,18.69866,21.88526,0.27274504,1.03114,1.31611,1.6831212,1.9037962,2.1754904,2.2762988,2.6654403,0.0,0.9476121,344.72934,237.02763
2.8796802e-12,0.021693893,-26.762869,9.376675,6.3302,21.19577,16.153913,23.502108,17.892698,18.132788,11.087803,22.371294,19.215687,21.024387,0.27103677,1.0465059,1.3251153,1.6841545,1.9012146,2.174599,2.2765923,2.6423688,0.0,0.94615984,364.90152,268.9961
3.0883367e-12,0.02217558,-26.563828,10.071721,6.4313207,20.366451,17.022203,22.29759,16.165808,19.472776,13.537529,21.477966,17.402523,21.606825,0.2691566,1.0509182,1.3340014,1.6786399,1.9027481,2.1773214,2.2754102,2.6405737,0.0,0.946429,358.42825,291.35413
3.2969929e-12,0.022555724,-26.574114,9.811376,6.1521206,21.032995,18.355085,16.853899,16.159458,21.850256,16.06867,20.06151,18.585703,18.683233,0.26724777,1.0466074,1.3454152,1.6763268,1.8957294,2.1833034,2.275925,2.6494837,0.0,0.94666475,348.49692,305.63983
3.5056491e-12,0.023037411,-25.46415,10.4153595,6.460373,17.96489,15.425328,13.498408,14.714629,26.399902,17.457184,20.707254,18.055855,14.583232,0.2643164,1.0435518,1.3479716,1.6782957,1.8928245,2.1875038,2.27814,2.6634371,0.0,0.9493532,340.5087,314.3571
3.5056218e-12,0.023037354,-23.816095,9.58175,4.6618047,17.96196,16.003462,11.148028,13.476578,26.662691,18.395744,19.617598,15.169788,10.406337,0.26291457,1.0315483,1.3341717,1.679335,1.8864642,2.1933496,2.286493,2.6795738,0.0,0.9517873,344.67114,321.93558
3.1300056e-12,0.022318423,-19.964888,7.288698,-0.28589025,13.409928,13.969613,14.6207075,11.065857,24.688782,16.93273,20.713617,9.908637,6.852278,0.2590767,1.0171684,1.3081788,1.6726469,1.8962129,2.19716,2.2924798,2.6971836,0.0,0.94980496,356.8217,330.6571
3.4221243e-12,0.02289026,-16.531488,3.2673423,-6.986379,12.414375,15.548631,18.555586,11.164971,24.82055,13.246949,15.283877,8.747649,7.3265443,0.2575917,0.9947286,1.2831043,1.64849,1.9070739,2.1943834,2.2934406,2.710355,0.0,0.9458311,347.84836,334.95493
3.4221243e-12,0.02289026,-14.538292,-0.46522808,-11.217635,11.007552,15.134334,20.357714,10.755895,27.126436,8.896008,8.653435,11.226265,12.4528,0.26087365,0.94662046,1.2524513,1.611885,1.9271078,2.1878464,2.2935057,2.7096834,0.0,0.9406213,324.17435,332.25977
3.129978e-12,0.022192033,-14.514587,-5.2053146,-11.103869,9.332947,18.102188,21.057487,9.412069,30.445784,9.86215,3.7312434,13.154945,18.599617,0.26839513,0.8658135,1.2214186,1.5856261,1.9271421,2.1807349,2.2932374,2.7036183,0.0,0.93147564,303.33334,325.02817
2.837859e-12,0.021620197,-14.73021,-8.587041,-9.561303,6.8388143,24.272406,19.179636,4.471883,24.662102,10.731792,2.6171188,13.464561,19.177822,0.28203258,0.7781117,1.1929426,1.5749272,1.9101394,2.1831334,2.2932947,2.6949794,0.003022061,0.9083664,312.5698,321.91357
3.505622e-12,0.022810468,-12.924043,-9.355337,-7.900406,1.2838262,27.595587,16.817472,0.35174122,15.207565,12.207118,5.6512017,11.86045,12.151725,0.29102978,0.7131488,1.1742953,1.5835787,1.8792238,2.1841705,2.2854478,2.6757624,0.009066183,0.87446904,358.07797,330.95468
3.0882898e-12,0.02135471,-10.491909,-9.717907,-7.357366,-0.5197744,27.394293,10.941685,-0.46178317,9.772955,9.450672,1.553196,11.200851,8.706611,0.29096588,0.6765373,1.1706866,1.5941986,1.8634087,2.1803176,2.2769346,2.6541698,0.018736778,0.82495373,391.8997,346.19092
