pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-14.898552,12.46071,-4.6969414,0.3542075,-1.0914739,2.8439834,-1.8977336,-1.135426,1.6035117,2.0359957,-4.2307982,1.1519834,0.6526461,0.90598375,1.2389609,1.5810909,1.8698326,2.1800494,2.5379,2.804248,0.9942581,0.25239396,0.0,0.0
0.0,0.0,-11.177211,9.610722,-4.398206,1.5617112,-1.9152145,2.8871648,-2.015397,-0.5609717,1.0992166,2.057244,-4.022184,1.0744251,0.6397784,0.9036979,1.2474655,1.5656605,1.8771807,2.184347,2.525472,2.8142192,0.9948625,0.20788546,0.0,0.0
0.0,0.0,-10.801368,9.312875,-4.258805,1.4303335,-1.7646027,2.9065564,-2.2641563,-0.3182962,1.0656407,1.9866885,-4.0487466,1.1903622,0.6269107,0.90141207,1.2559699,1.5502304,1.8845288,2.1886444,2.513044,2.8241894,0.99607134,0.27530584,0.0,0.0
0.0,0.0,-8.922749,8.905157,-5.0645366,1.6473597,-1.0657817,1.990934,-2.1244419,1.1722836,-0.40477917,0.44416335,-0.6697976,0.4752686,0.6269107,0.90141207,1.2559699,1.5502304,1.8845288,2.1886444,2.513044,2.8241894,0.9963735,0.33822283,0.0,0.0
0.0,0.0,-12.506484,11.541968,-5.16573,0.2810112,-0.08318409,1.9586786,-2.3812668,1.0168587,0.13121997,0.20464444,-1.1704193,1.1643175,0.6269107,0.90141207,1.2559699,1.5502304,1.8845288,2.1886444,2.513044,2.8241894,0.9963735,0.33482012,0.0,0.0
0.0,0.0,-12.73729,11.632792,-5.180399,0.33647263,-0.013239592,1.8009747,-2.5439277,1.4228455,0.11710888,-0.09851212,-1.4044155,1.8861523,0.6269107,0.90141207,1.2559699,1.5502304,1.8845288,2.1886444,2.513044,2.8241894,0.99607134,0.22387399,0.0,0.0
0.0,0.0,-14.057052,11.63842,-4.793776,2.360177,-4.3371716,5.1686454,-3.302166,1.114283,0.13061179,-0.41087627,-0.33882555,0.95036966,0.6226093,0.9155349,1.2280898,1.5354394,1.8881406,2.2155013,2.500849,2.7876718,0.9954669,0.17612462,0.0,0.0
0.0,0.0,-15.7728195,11.406444,-3.8319457,3.74913,-7.170195,6.2991333,-2.857097,1.3054847,-0.63930315,-0.5659856,0.61779106,0.4386828,0.6199074,0.92776495,1.2052511,1.525765,1.8902597,2.2388246,2.4902802,2.76058,0.99486256,0.17572467,0.0,0.0
0.0,0.0,-17.108717,9.7909355,-1.7802907,5.071198,-9.269491,5.2023816,-0.36700997,1.2627667,-3.0804675,2.006995,-1.0707037,1.5900784,0.601694,0.94371074,1.2140632,1.5259261,1.8981628,2.2424793,2.4807165,2.7269506,0.9924448,0.19224922,0.0,0.0
0.0,0.0,-18.217993,6.8645196,0.92680246,3.954901,-6.045515,1.2602463,0.616328,2.5903425,-4.9949284,4.9215665,-4.291942,4.071401,0.58354914,0.9402921,1.2544028,1.5456896,1.9037758,2.2157393,2.4808772,2.726738,0.9900272,0.17133664,0.0,0.0
0.0,0.0,-18.583933,5.44346,2.0641625,3.3082898,-3.8062017,-0.55734706,0.3087152,2.4465225,-4.2137876,5.511467,-4.894734,3.5629513,0.5612554,0.9178283,1.2982368,1.578736,1.9109224,2.1847708,2.4768155,2.7108076,0.9864008,0.1896212,0.0,0.0
0.0,0.0,-19.874361,1.9195633,-0.5404766,-0.31466675,-0.9424471,3.8198745,-2.959212,3.8611915,-2.6170313,4.268666,-3.774474,1.85012,0.5232616,0.8866015,1.2911596,1.5981221,1.9167924,2.19615,2.4759338,2.7127953,0.9534602,0.24693649,0.0,0.0
0.0,0.0,-18.948477,-0.2185185,-5.6458373,-8.848184,-8.032028,1.6487564,-3.8620121,0.9699936,-3.894287,0.15778367,-1.035323,1.1580777,0.47015238,0.85023373,1.2695386,1.6176106,1.9247941,2.212032,2.4795392,2.7166069,0.8652161,0.3366898,0.0,0.0
0.0,0.0,-16.372757,-6.539411,-9.547581,-14.411313,-15.4097395,-0.43202353,-8.797754,-3.0204487,-4.651146,1.4734925,-2.369287,0.83266306,0.40209463,0.7514327,1.209037,1.5894504,1.9196781,2.22881,2.4847,2.7257888,0.6841946,0.4429318,0.0,0.0
8.3466444e-14,0.0034871344,-14.872523,-14.908963,-9.102005,-17.731808,-23.165817,-6.2715306,-13.819809,-5.728688,-9.451066,-0.18349493,-2.7038276,-1.6906236,0.36482847,0.64413476,1.1469263,1.5496069,1.9018854,2.2227314,2.4865038,2.724907,0.48141432,0.49199995,0.0,0.0
1.6693289e-13,0.0069742687,-14.4190855,-20.989258,-5.523184,-14.360809,-18.89814,-4.3403754,-16.64622,-4.869777,-10.707967,-1.2117229,-3.2654648,-4.9219413,0.3473306,0.54293203,1.0924221,1.4962578,1.8707901,2.2078865,2.4795005,2.7316418,0.328498,0.522012,0.0,0.0
1.6693289e-13,0.0069742687,-14.505016,-23.837286,-3.317044,-12.810933,-16.145979,-0.47511196,-17.99697,-3.0389197,-15.0951395,-4.4340367,-1.858262,-7.430313,0.34454787,0.531802,1.0763901,1.4791616,1.8541349,2.1964545,2.4698892,2.7390082,0.2762164,0.5054194,0.0,0.0
4.173322e-13,0.008772642,-12.578694,-21.3573,-4.63787,-10.072318,-13.351354,1.9934894,-16.815521,-7.176491,-11.897626,-2.804555,-1.4893131,-7.640947,0.3371242,0.53612095,1.086444,1.4797715,1.8451757,2.1882484,2.46158,2.7399662,0.27077666,0.4850489,0.0,0.0
4.173322e-13,0.008772642,-11.706552,-22.07295,-6.2908115,-9.19782,-13.359874,3.6871455,-20.426222,-10.866806,-8.254792,-1.747241,-1.819971,-5.537502,0.3257307,0.5327914,1.0966411,1.489235,1.8464025,2.193116,2.4682877,2.73592,0.25778183,0.47993445,0.0,0.0
7.51198e-13,0.01405815,-11.050183,-23.966278,-6.0984607,-8.311841,-12.045464,3.4453125,-21.481073,-10.708771,-5.8577766,-2.0816004,-2.4508216,-0.4094955,0.31848136,0.51731664,1.0889198,1.4889311,1.8443503,2.2058659,2.480421,2.7300978,0.23632516,0.4923943,0.0,0.0
4.173322e-13,0.008772642,-10.754964,-25.54046,-3.563863,-6.884529,-13.277808,2.870805,-21.758965,-7.4931602,-8.703311,-3.8928995,-1.1166759,1.5918771,0.3137872,0.495548,1.0819587,1.4796286,1.8434896,2.2188375,2.4865055,2.7324708,0.21849501,0.49696967,0.0,0.0
4.173322e-13,0.008772642,-10.010342,-25.127441,-2.4509687,-4.4442177,-16.362272,-0.60434324,-15.687744,-5.5333614,-16.045454,-0.4230237,-1.0600713,1.2477478,0.31541494,0.4863163,1.075184,1.4733809,1.8387737,2.2267773,2.4793754,2.7397852,0.21033545,0.50214106,0.0,0.0
4.173322e-13,0.008772642,-10.037248,-23.383764,-0.9549901,-6.151994,-17.051634,-6.3623853,-9.420042,-4.11128,-23.440826,5.801754,1.181949,-1.7651644,0.32029876,0.4903506,1.0523278,1.4736716,1.8394079,2.2235892,2.4708145,2.7517374,0.1931097,0.5060642,0.0,0.0
1.1685302e-12,0.015513908,-10.382579,-21.725851,0.3466606,-9.348314,-13.146714,-10.624348,-9.0558405,-3.745219,-27.32434,11.226655,2.344773,-3.3164241,0.33565903,0.50566375,0.9932075,1.4783945,1.8310145,2.2125676,2.4688811,2.761216,0.16923541,0.5149794,0.0,0.0
1.1267951e-12,0.014859169,-11.172069,-21.387423,2.450054,-14.118039,-6.253506,-11.421112,-17.177366,-2.4585783,-27.565056,15.319542,4.091006,-3.1420872,0.3534985,0.52257437,0.9085619,1.4708408,1.8217021,2.1929543,2.473347,2.7631848,0.1477788,0.5125262,0.0,0.0
