pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,-21.696981,5.164617,-0.5890438,3.594988,1.1848482,2.1565037,-6.0637956,-0.8343565,1.3576001,6.0851154,-4.1575136,-3.0608099,0.60080665,0.90838575,1.3201526,1.5808281,1.9247814,2.2376566,2.5031624,2.7387087,0.97975224,0.15573166,0.0,0.0
0.0,0.0,-22.209946,6.6035485,0.25673747,3.0545635,-0.030950308,0.6208369,-5.9169807,4.1399074,0.21601117,1.7937074,-2.8480341,-1.7604227,0.60374683,0.9044884,1.3033756,1.5740999,1.9109062,2.219314,2.492037,2.7605278,0.980961,0.14714296,0.0,0.0
0.0,0.0,-23.142359,7.4014316,1.9416016,2.9828243,-2.2808692,-1.0854404,-4.3076453,7.626253,-0.30883,-2.2904363,-1.998901,-0.04255454,0.596837,0.8957818,1.295506,1.5805014,1.905078,2.1958745,2.4819832,2.7801101,0.9818676,0.13150065,0.0,0.0
0.0,0.0,-22.786263,5.2675433,4.8529544,2.9558697,-5.544943,0.39458528,-1.9983824,6.5167108,-1.7193207,-3.2915146,-0.56431407,2.5199602,0.5869268,0.9009792,1.2981989,1.5940076,1.9091581,2.205753,2.480273,2.7779293,0.97854334,0.11357034,0.0,0.0
0.0,0.0,-24.06944,3.3537261,4.2992516,0.14048655,-3.34458,-1.5532652,-3.0868146,1.6171519,-1.8562301,0.6868102,-0.13545792,3.2155035,0.56942993,0.85592455,1.2658862,1.582805,1.9076506,2.2137027,2.4683368,2.7592528,0.939861,0.1740834,0.0,0.0
0.0,0.0,-24.370209,3.107144,4.8345737,0.21709235,1.22108,-3.171015,-6.514238,-5.1786504,-4.279986,1.1798247,-2.9979804,-1.6615928,0.5659701,0.8317015,1.2138445,1.545371,1.8777682,2.2108262,2.4523695,2.7482731,0.8162587,0.30177113,0.0,0.0
0.0,0.0,-25.389122,6.0464463,4.421013,4.349538,6.18986,-5.1147656,-7.7538066,-10.300713,-3.1435688,-2.3549092,-7.619331,-6.8205743,0.57569236,0.7983497,1.1487273,1.4959522,1.8370024,2.1840098,2.4430125,2.750754,0.60622543,0.39543995,0.0,0.0
2.0866028e-13,0.0045903632,-25.129583,8.367806,4.321996,9.678464,8.8726,0.391538,0.07623037,-13.385749,-3.5208957,-7.405082,-8.602015,-7.1141677,0.5895453,0.81396216,1.1170856,1.4549159,1.8008925,2.1404524,2.440719,2.7548244,0.40253854,0.4028972,0.0,0.0
2.921267e-13,0.008077498,-25.204268,10.44741,1.3817196,11.199539,8.694791,2.8587496,6.8015327,-9.656678,1.8344727,-4.548653,-5.211517,-1.7916368,0.5944497,0.80898684,1.0853873,1.401227,1.7684641,2.1066484,2.433532,2.743697,0.28165612,0.37373617,0.0,0.0
3.7559314e-13,0.011564632,-25.096771,11.589038,0.9952871,10.230649,10.133744,4.0787606,8.984988,-3.750677,2.7162945,1.6383122,0.84144324,2.559829,0.5922207,0.79877186,1.0589008,1.3446479,1.721023,2.0696452,2.4188175,2.7437828,0.23451196,0.36586598,0.0,0.0
3.7559314e-13,0.011564632,-24.844645,13.183341,2.3908157,11.753879,10.586614,3.1516678,8.31127,-2.0704749,5.163591,4.664659,1.3452173,2.7891219,0.5866242,0.78920716,1.040046,1.3054754,1.6688067,2.0260448,2.402381,2.7445078,0.1976428,0.37940323,0.0,0.0
3.7559314e-13,0.011564632,-25.641134,13.9795885,4.7333965,12.566228,13.94325,4.8574276,7.6117883,-1.6867151,2.7063606,0.8346332,3.814881,5.47708,0.5819909,0.77829295,1.0323185,1.2809377,1.6247044,1.9726642,2.3676407,2.7534177,0.168631,0.36213663,0.0,0.0
5.0078697e-13,0.012667861,-26.519333,13.549732,4.9213605,12.032458,16.333456,5.929233,2.5184774,-0.22552411,2.0960119,-2.3955977,7.503427,5.991404,0.5747627,0.77016926,1.0305032,1.2673998,1.5998435,1.9236337,2.315612,2.7543821,0.15654276,0.3770361,0.0,0.0
5.00801e-12,0.019774755,-26.17687,15.00209,4.8796406,9.547463,15.789085,3.3317754,-2.5917377,-0.8784299,-2.4950864,-1.9825474,11.417366,4.6651855,0.5616982,0.76359326,1.0244256,1.2482198,1.5758458,1.8992062,2.2551296,2.7460992,0.14959203,0.40618476,0.0,0.0
6.3435043e-12,0.024446046,-24.886396,17.006487,7.838576,9.846599,10.901443,1.3741131,-6.389688,-5.882075,-4.530529,2.23188,10.461654,1.3212582,0.5461442,0.76976806,1.0123745,1.247365,1.5511574,1.878879,2.217629,2.7366307,0.13297069,0.3782479,0.0,0.0
