pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,9.7807815e-09,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349084,0.6981643,1.0472405,1.3962997,1.745416,2.0944808,2.4434128,2.792516,0.99818677,0.05201139,0.0,0.0
0.0,0.0,-2.508929,0.3361449,2.5036626,-2.765087,1.3752831,-0.89870167,1.2680808,-1.0409929,0.38576564,-0.2277957,0.32114378,-0.06543835,0.38939467,0.75599104,1.1534227,1.4556524,1.8046407,2.1673462,2.4584186,2.7486029,0.98912054,0.132668,0.0,0.0
0.0,0.0,-7.520849,2.3427289,1.6696175,-6.550737,-1.16012,0.3746868,-0.6289037,4.1590075,-2.826556,2.9133189,1.1073173,1.7559303,0.44484028,0.830247,1.2337253,1.516604,1.8564368,2.227313,2.4726179,2.7109249,0.9585977,0.2949258,0.0,0.0
0.0,0.0,-13.144272,4.601598,-1.1000167,-9.662433,-3.3169472,5.6547966,2.419347,5.811287,1.6659632,9.553337,2.0926397,1.5591518,0.48828325,0.8894965,1.2996501,1.5751529,1.9141175,2.2805092,2.483599,2.6823556,0.8854639,0.44665393,0.0,0.0
0.0,0.0,-15.188052,5.6758556,-5.2990866,-7.808466,-6.5323963,8.315627,5.5334477,14.206681,10.090725,15.317955,4.580487,3.638562,0.47627237,0.8751442,1.2396146,1.573218,1.9167875,2.256487,2.4831846,2.7072375,0.7615593,0.5693407,144.11765,36.02941
0.0,0.0,-15.519012,4.7786727,-3.5262444,-4.4474797,-7.465718,11.165158,13.974487,14.629041,21.33208,19.522575,6.2760086,4.5251307,0.4493345,0.8403037,1.2139418,1.5642399,1.9183679,2.2379293,2.4809554,2.733363,0.6071321,0.6305504,279.53854,96.9067
8.3466444e-14,0.0034871344,-16.087358,5.5357547,4.1656537,-0.8279702,-7.797418,9.413594,16.861746,14.975116,20.391779,18.293472,7.3934693,10.264545,0.4359127,0.79892445,1.2096287,1.5484171,1.908009,2.219766,2.4823823,2.7516758,0.45633125,0.6666385,417.9006,177.1552
1.6693289e-13,0.0069742687,-18.404526,6.130362,13.60791,1.8894153,-7.971215,15.432008,18.27992,7.8646126,16.83223,19.64097,5.1837277,10.769286,0.43217888,0.7609659,1.2239653,1.5305196,1.8877487,2.2095697,2.4873848,2.7620838,0.33212453,0.6962037,423.78296,238.81213
2.5039934e-13,0.010461402,-19.616415,7.790056,20.659142,5.1101418,-8.026566,16.34036,17.85459,3.0979888,14.366204,19.291431,2.6925564,9.966284,0.4294151,0.7167762,1.2222791,1.5076908,1.8665432,2.2026112,2.4924433,2.7584536,0.26382592,0.69960135,409.58847,281.50623
1.6693289e-13,0.0069742687,-20.976965,7.7907586,24.250692,6.2993464,-6.777565,21.446228,14.751781,-2.9464703,18.280733,17.5223,-0.98382664,4.2950654,0.42647848,0.69453126,1.2115892,1.4891771,1.840364,2.1839905,2.4885435,2.7577362,0.22514355,0.6762972,371.49695,304.00388
4.173322e-13,0.008772642,-21.458588,9.488255,25.221151,7.164549,-5.2355413,21.564964,12.429573,-8.696329,18.472464,16.36352,-3.316428,2.8265867,0.4297197,0.6775618,1.1941288,1.4707178,1.8109745,2.1643734,2.4814615,2.760808,0.20640677,0.63905126,324.21655,309.05704
4.173322e-13,0.008772642,-22.222214,11.207965,28.342262,5.509566,-4.1967964,22.020157,10.697327,-12.637071,17.96711,14.031894,-8.870426,1.8354387,0.43257794,0.6640384,1.181197,1.4664627,1.789528,2.1478457,2.4708686,2.7724857,0.21003324,0.5599674,301.32782,307.12473
1.1685302e-12,0.015513908,-21.592218,11.692752,29.451147,2.914918,-5.955896,18.896303,10.651112,-13.813683,16.048227,11.694509,-12.661125,4.1436806,0.43194738,0.6391735,1.1835209,1.4656262,1.7903233,2.1559076,2.4662492,2.7830327,0.23118766,0.49722242,201.0573,306.01764
9.181309e-13,0.013715535,-20.391855,11.597589,31.751158,-0.052223444,-8.782889,19.98998,10.465453,-13.714728,14.68674,7.94685,-15.402034,5.8775506,0.42796767,0.60795957,1.1977975,1.4660853,1.7938446,2.1611006,2.4516232,2.7881062,0.2671502,0.4559836,98.33767,304.91718
1.1685302e-12,0.015513908,-19.855694,11.219841,32.797707,-2.9086125,-11.962588,20.235788,6.640156,-17.750826,16.268805,8.486153,-15.715747,6.064673,0.41715005,0.5709286,1.2105263,1.4533888,1.7876601,2.1608639,2.4493606,2.795614,0.23209429,0.46661887,0.0,304.91718
7.51198e-13,0.01405815,-19.109432,12.15994,37.318363,-1.3213066,-11.957782,23.251114,6.037167,-20.721895,13.724597,14.680736,-15.033409,4.8525968,0.40701446,0.5406177,1.2061276,1.4446735,1.7592684,2.1504328,2.4433632,2.7978323,0.18676336,0.47621703,0.0,304.91718
1.4189295e-12,0.01731228,-19.271494,12.721667,39.780697,-2.3093314,-13.608937,20.113874,6.402453,-22.99159,10.654338,19.890543,-14.415089,4.437045,0.39870453,0.5229557,1.2003247,1.4357878,1.7398028,2.1360278,2.4406507,2.8054407,0.13448171,0.45378757,0.0,304.91718
1.4189295e-12,0.017312283,-18.082365,12.196496,41.673386,2.3994,-13.122993,18.114912,8.980365,-23.356607,3.812597,22.644938,-12.928871,5.0931873,0.39640674,0.5245668,1.2040659,1.4380956,1.7340975,2.1307213,2.4307606,2.8030825,0.123904504,0.4675568,0.0,304.91718
1.1685302e-12,0.015513909,-17.039333,11.223575,38.83987,7.126913,-17.32043,11.274766,10.826217,-19.178537,3.6213303,18.390284,-11.928412,7.3893127,0.39486274,0.5445457,1.2234415,1.4426975,1.73743,2.1309783,2.4354389,2.7913387,0.13961922,0.4649938,0.0,304.91718
4.590635e-13,0.0116050355,-15.523559,9.804465,33.363808,12.122882,-16.505384,5.124843,8.9791,-13.533203,5.1419144,10.628417,-14.334763,6.0784855,0.3957249,0.59459823,1.2424036,1.4556818,1.7365271,2.1402948,2.4517298,2.7718399,0.17407072,0.53262454,0.0,304.91718
1.2519772e-13,0.006319528,-13.26585,10.632405,24.984735,11.46786,-13.586993,4.402407,9.413585,-4.1844997,8.05605,4.2868342,-13.914638,4.5563,0.39357662,0.6764533,1.251403,1.4720317,1.735741,2.143647,2.4743178,2.757163,0.21637957,0.542811,0.0,304.91718
