file,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
H_2Pac_AllEyez.wav,28.701889,0.3590567,17.199888,29.133856,36.640373,19.440485,217.72403,139.7416,206.52565,257.96002,1.0252749,0.59507644,0.49085128,0.96046436,1.5037045,1.0128533,19.843216,13.790355,9.406795,6.1073174,0.75242686,1.0691408,9.095455,1.151518,12.778624,0.8263248,7.9507356,1.7300438,3.361826,4.316627,0.079859,1.5174885,1.4290781,0.60802275,0.6360077,6.7688084,5.5435085,3.3003824,13.242557,1.2094842,755.29254,0.41203496,1064.834,0.3032805,-66.345055,-1.1949131,1843.6595,0.19098577,765.18243,0.39609838,-65.827255,-1.1193509,2825.6008,0.12538536,675.50397,0.40901753,-65.89577,-1.1108716,-10.942354,-0.6770805,18.22883,0.4392927,-0.004732154,-12.66991,-0.01312197,-0.9762922,0.8392672,0.982289,11.049219,0.8678088,12.404685,0.85293597,7.7983603,1.8204554,2.4768376,6.121072,-7.1981688,14.056737,-0.0047109015,-0.005522027,0.52104014,4.1348977,3.0249634,0.2384466,0.25115177,0.09621622,0.14923863,-25.801468
H_2Pac_KeepYaH.wav,25.568554,0.4832747,13.657857,20.250147,38.126953,24.469097,310.87573,480.975,196.78976,331.7246,1.258047,0.47739476,0.8114631,1.2098197,1.7618968,0.95043373,10.77915,10.449394,6.8414054,3.7254846,0.9318052,0.782023,13.9421625,0.63067347,5.6655297,2.1838372,13.61671,0.9075056,0.09551555,139.11737,0.074337795,1.5403237,1.2399403,0.6376849,-1.3728422,-3.2155983,5.3005743,5.0620685,8.496956,2.3074048,609.08923,0.42362726,1094.6998,0.22632259,-82.17751,-1.0403173,1667.9047,0.2004783,749.5734,0.4551854,-76.93283,-1.0539747,2662.2097,0.12562633,717.6834,0.49940506,-76.65583,-1.0607888,-9.488607,-0.80974907,15.470682,0.60804904,-0.022203479,-2.6508446,-0.016149625,-0.5852195,0.968927,0.74362755,14.95665,0.5513166,4.96822,2.5340266,13.311507,0.9656084,-0.6119869,-23.285326,-11.465279,18.251589,-0.04618282,-0.01520362,0.8693527,2.947625,3.0,0.21699186,0.28051606,0.12041666,0.14811252,-24.651157
H_50Cent_CandySh.wav,26.403942,0.36729404,19.018187,24.256556,34.019176,15.00099,307.96445,342.09357,111.87677,101.4359,1.1303798,0.49740854,0.6619612,1.1423306,1.5774456,0.9154844,14.73084,10.861419,8.689969,4.7842546,0.9590946,0.8540416,16.984715,0.6853382,0.34369144,34.85605,9.543681,1.1057223,5.5741506,2.2507052,0.07171645,1.6530886,1.349019,0.61465144,-0.42098045,-9.526643,3.4424043,6.9216256,9.30234,1.9342313,636.1542,0.41748172,1197.4156,0.21369554,-77.972435,-1.1263413,1629.0204,0.18191615,955.2396,0.27379707,-75.198616,-1.1223863,2619.4204,0.13112158,846.6444,0.3174911,-77.4202,-1.0707158,-9.015923,-0.81537324,16.34899,0.5760105,0.003001303,18.14673,-0.012000837,-0.8203432,0.87599987,0.9578363,19.23536,0.48711467,-1.9652424,-5.842314,8.415041,1.3297064,2.7533712,4.6388674,-11.933977,21.188684,-0.06677245,-0.00645468,1.1333468,3.4131114,2.25,0.2900926,0.40084052,0.17353658,0.21284586,-24.16956
H_50Cent_InDaClu.wav,28.024698,0.31006995,16.429615,33.35472,34.882927,18.453312,492.66357,570.10474,224.45833,420.84088,1.0856168,0.6381303,0.41215083,1.0744175,1.6030455,1.1908946,16.096182,7.766299,9.716043,5.7786274,0.9586376,0.7845271,18.890759,0.7083877,2.4610696,5.2410316,5.7942567,2.138732,1.4995874,8.056379,0.047549468,1.9810205,1.4653322,0.6570209,0.22308937,27.183146,6.2042465,2.3008697,17.835676,0.55429906,631.41486,0.44250107,1170.4528,0.24860209,-100.524124,-0.9017429,1635.2316,0.20591088,917.4459,0.31496513,-95.548706,-0.91038436,2653.316,0.14137788,785.3043,0.41623658,-97.872635,-0.86896294,-9.859565,-0.6732026,19.320194,0.4318703,0.029306058,2.6707416,-0.009501435,-1.1285539,0.86133796,0.82902753,21.054089,0.5299568,0.62694,20.01378,5.364909,2.5744772,-1.8267858,-7.265394,-10.711976,20.219934,-0.034330275,-0.006157746,1.0840145,3.6005256,3.4473684,0.1545038,0.14221913,0.11928572,0.11874461,-25.05576
H_ActionBronson_ActinCr.wav,27.222948,0.45902658,16.343733,20.08136,42.30328,25.959547,569.3725,855.5576,166.26984,330.78284,1.375122,0.4542773,0.87710315,1.3873234,1.8396401,0.962537,13.540229,10.074883,10.252051,5.71279,1.0355117,0.7432981,15.971273,0.6987952,2.8599892,4.868162,6.5696845,2.208111,-0.85969174,-16.964508,0.0504687,1.6796614,1.1440647,0.6794734,0.6629519,8.438882,-2.3041062,-11.500275,2.5651422,9.236613,574.75336,0.44277847,1123.592,0.2330383,-72.96639,-1.1431003,1569.6498,0.19323958,874.65186,0.34745598,-63.3317,-1.2053008,2604.441,0.12332698,754.616,0.39797354,-66.346115,-1.1260456,-10.186425,-0.75327986,18.374987,0.5028454,-0.02761347,-2.300644,-0.017576883,-0.636411,1.0240974,0.7597807,17.057386,0.6472521,1.3825587,9.890651,5.6092668,2.6799843,-2.1552515,-7.0934577,-11.731028,19.524847,-0.053387698,-0.013289943,1.0853009,3.7834313,2.28559,0.31790474,0.4035265,0.13064101,0.14607987,-22.9714
H_AedFX_Warning.wav,42.920193,0.32645392,36.963875,43.10076,55.87922,18.915344,343.8898,400.0489,275.7406,606.1489,1.6108856,0.44434908,1.1149045,1.5306511,1.982678,0.86777353,30.180141,26.128883,10.687865,6.9544635,1.4804633,0.891587,-3.763887,-4.3623004,-10.426938,-1.6713507,8.7588,2.5616632,-3.213268,-6.5438733,0.06465484,1.3250384,1.4127051,0.4420929,-2.0142283,-2.5508397,-9.345048,-2.739561,-3.212463,-7.283459,943.7045,0.37013397,847.4299,0.40525714,-105.830666,-0.8984372,1969.7568,0.17840606,890.9165,0.34841582,-82.79859,-1.1460257,2954.4465,0.1270618,753.07007,0.3502815,-83.11317,-1.1248643,3.2555618,4.5174494,6.2260823,2.1847954,0.03801156,2.3147607,0.0018915517,9.676643,1.0709791,1.0559856,-7.2880125,-2.371285,-16.57701,-1.01733,-0.634923,-32.35685,-13.374884,-1.3712333,-10.578719,18.514238,-0.12550475,0.00277727,2.10178,3.9826696,2.085071,0.27944,0.40111902,0.22484848,0.19542941,-19.654306
H_AkuaNaru_Poetry.wav,20.449335,0.28424984,15.679146,19.582186,27.98799,12.308844,178.15222,166.91695,84.5191,148.26369,0.91512203,0.5592268,0.550845,0.8647394,1.223242,0.672397,14.458388,14.308367,6.013296,4.4397554,1.0184596,0.69790536,24.47591,0.51270413,23.380577,0.44298396,23.321005,0.47806638,7.5047746,1.5666218,0.05260793,1.6028092,1.228613,0.70342237,2.0405326,1.708479,4.068212,5.082393,25.710274,0.69429255,549.67773,0.43668157,1245.916,0.20463485,-30.597713,-1.5748442,1668.6411,0.19286305,883.8962,0.46804515,-45.203373,-0.96468985,2742.3005,0.10133947,778.65643,0.4818489,-47.28162,-0.9124261,-24.07388,-0.35610738,33.092297,0.29509538,-0.041957945,-1.5057573,-0.021824952,-0.56580895,1.0643508,0.6450524,25.739897,0.4419306,23.803028,0.4188321,24.137516,0.45024672,7.7483397,1.538198,-9.621594,17.978388,0.020602955,-0.008716032,0.4458501,2.2260273,0.5715919,1.613,1.0699631,0.125,0.18673362,-21.453495
H_ASAPRocky_Fashion.wav,21.58354,0.3911459,13.6793375,18.797594,29.694504,16.015167,290.28836,485.4758,223.15302,314.3817,1.3680017,0.44968352,0.9583653,1.3490747,1.7978303,0.839465,14.697695,12.481638,7.390873,3.8693094,0.83686554,0.62475777,13.249267,0.6006508,13.865384,0.81833297,2.1834543,4.5380025,2.167899,4.553871,0.05572044,1.7615237,1.2046543,0.53594625,-2.8248715,-1.0148677,-9.8518915,-4.238924,-1.8824227,-19.379648,474.3309,0.34634185,1159.7758,0.18350162,-101.87712,-0.87808335,1501.8835,0.1431612,923.36707,0.35698497,-103.9838,-0.8120878,2481.4216,0.09317191,761.1549,0.33870137,-105.671646,-0.7844677,-12.684532,-0.52336556,20.50372,0.3811436,-0.020333663,-1.9826115,-0.022289434,-0.47225094,0.92778945,0.61909753,14.60528,0.44936436,13.075898,0.8692571,1.4133862,7.094882,1.5876019,6.338004,-12.718762,20.487722,-0.028268855,-0.018842956,0.7410926,3.4026465,4.8404546,0.09893855,0.088111706,0.099548385,0.1093402,-23.535587
H_BBou_Kanona.wav,26.563103,0.36626127,15.305984,24.113876,34.7971,19.491116,288.20932,398.95538,193.73329,236.72632,1.3217989,0.43499726,0.8431008,1.3329813,1.7542212,0.9111204,15.896436,8.894369,8.751041,4.821218,1.0713627,0.70009565,15.195442,0.48255697,8.22213,1.4320637,5.9902134,1.907417,2.6480298,5.722145,0.08450531,1.7508955,1.2532411,0.56905156,-0.90095973,-4.591254,9.1741705,2.874238,11.345414,1.1256584,638.6277,0.42069635,1145.7278,0.18738586,-111.5482,-0.8077503,1677.9711,0.20787291,846.5468,0.37051597,-108.04542,-0.8122637,2712.8413,0.12823278,668.75134,0.4621295,-109.443535,-0.7888452,-10.107982,-0.6398032,17.480028,0.405655,0.0128225675,5.2623177,-0.014109806,-0.83745486,1.0880965,0.78787863,15.184323,0.45040846,6.4112916,1.9385308,2.7016273,4.1555867,-2.6293905,-5.595075,-15.526828,23.644815,-0.05745162,-0.010733558,1.0729988,3.935563,3.5109208,0.13284883,0.16232869,0.15657343,0.17294693,-22.370745
H_BeastieBoys_FightFo.wav,22.679626,0.46583098,14.698453,20.063755,23.201406,8.502954,221.74307,218.87894,177.6741,287.33517,1.5331924,0.3947959,1.1569235,1.5883442,2.049255,0.89233136,13.654042,8.441137,6.0089574,3.7941356,1.0262567,0.43518507,10.675129,0.6860949,3.0993848,3.4084907,21.021929,0.47638252,1.2175583,6.7697945,0.06900146,1.3570769,1.3439806,0.530339,-2.3634331,-1.1314994,0.8244893,27.738695,5.740342,3.6384535,683.2462,0.4650133,1131.2128,0.26123643,-104.235695,-0.8144456,1709.9635,0.16711217,835.50104,0.40975115,-102.14817,-0.8113619,2650.1956,0.12950033,824.4249,0.370251,-101.19708,-0.8256423,-7.8318634,-0.7256001,13.635535,0.46680352,-0.027971113,-1.6700639,-0.011947683,-0.7645965,1.0887802,0.40409538,10.799626,0.71930915,2.7625177,4.3614035,20.621418,0.53181565,0.80781895,11.820995,-6.3583274,11.688131,-0.025780534,-0.011411721,0.958271,2.7332458,4.736842,0.104944445,0.11731484,0.09503105,0.113088354,-25.26692
