,,,,,SONG INFO,,,,,,,,,GEMS-DIMENSIONS,,,,,,,,,GEMS-FACTORS,,,,the differentiation of the ratings (indicates how many different items per dimension where used),,,,,,,,,,,,,ICC based on all participants,,,,,
Code,MP3-Code,package,num. Of raters,follow up,Title,Artist,feat.,Year,Genre,Subgenre,Articles,liking,familiarity,wonder,transcendece,tenderness,nostalgia,peacefulness,sadness,tension,energy,joyful activation,sublimity,vitality,unease,,wond_diff,tran_diff,tend_diff,nost_diff,peac_diff,sadn_diff,tens_diff,ener_diff,joya_diff,sublimity_diff,vitality_diff,unease_diff,,ICC_SEL_47_BOTH,ICC_SEL_45_BOTH,ICC_INT_47_BOTH,ICC_INT_45_BOTH,ICC_DIM_BOTH,ICC_FAC_BOTH
H001,H_Trailerpark_Schlech,1,12,1,Schlechter Tag,Trailerpark,NA,2012,Hip Hop,Pop,,3.17,2,15.65,19.68,5.30,3.54,5.08,0.00,11.20,2.35,22.33,18.50,21.15,10.50,,0.06,0.08,0.05,0.02,0.03,0.00,0.07,0.03,0.21,0.05,0.13,0.04,,0.35,0.37,0.27,0.29,0.65,-0.07
H002,H_Desiigner_Panda,1,12,0,Panda,Desiigner,NA,2016,Hip Hop,Trap,,3.83,4.25,24.69,4.69,9.30,0.78,7.92,1.06,9.33,22.73,28.26,19.39,30.32,8.91,,0.14,0.04,0.05,0.04,0.08,0.03,0.10,0.13,0.19,0.07,0.17,0.07,,0.21,0.25,0.38,0.41,0.76,0.62
H003,H_NAS_DooRags,1,12,0,Doo Rags,NAS,NA,2001,Hip Hop,NA,,4,2.08,24.43,18.57,19.88,14.29,17.55,2.50,0.00,27.48,24.67,33.45,36.15,2.11,,0.14,0.08,0.13,0.13,0.13,0.03,0.00,0.20,0.17,0.12,0.18,0.01,,0.42,0.40,0.38,0.36,0.58,0.95
H004,H_DMX_XGonGiv,2,11,0,X Gon' Give It To Ya,DMX,NA,2003,Hip Hop,NA,,4.18,3.91,17.27,7.05,8.60,9.89,9.52,0.73,0.00,37.77,37.27,26.05,40.20,0.61,,0.09,0.03,0.07,0.07,0.06,0.03,0.00,0.20,0.21,0.06,0.21,0.01,,0.51,0.51,0.50,0.49,0.86,0.96
H005,H_Xatar_MeineGr,2,11,0,Meine Große Liebe,Xatar,NA,2015,Hip Hop,NA,,2.64,2,6.46,15.86,9.27,0.00,0.67,0.00,3.79,15.98,13.86,19.42,19.77,3.38,,0.05,0.06,0.04,0.00,0.04,0.00,0.04,0.11,0.06,0.04,0.08,0.02,,0.40,0.24,0.37,0.15,0.52,0.70
H006,H_BiggieSmalls_Hypnoti,2,12,0,Hypnotize,Biggie Smalls,NA,1997,Hip Hop,NA,,3.83,3.58,26.12,12.94,7.75,20.89,17.32,0.00,7.35,13.80,24.72,30.68,23.21,6.89,,0.11,0.07,0.05,0.13,0.10,0.00,0.05,0.07,0.15,0.09,0.11,0.03,,0.41,0.42,0.47,0.47,0.53,0.79
H007,H_Salt-N-Pepa_Shoop,3,34,0,Shoop,Salt-N-Pepa,NA,1993,Hip Hop,NA,,3.47,2.12,10.04,7.40,3.14,4.87,8.91,0.00,2.97,18.51,38.19,20.36,34.69,2.78,,0.07,0.05,0.02,0.02,0.07,0.00,0.02,0.14,0.36,0.05,0.26,0.01,,0.89,0.90,0.89,0.89,0.94,0.96
H008,H_PrinzPi_Laura,3,34,0,Laura,Prinz Pi,NA,2011,Hip Hop,NA,,2.18,1.24,6.54,5.03,4.60,6.95,8.44,9.50,13.60,8.01,3.58,16.56,8.89,16.73,,0.04,0.03,0.04,0.07,0.06,0.10,0.11,0.05,0.03,0.05,0.04,0.10,,0.67,0.45,0.66,0.44,0.17,0.47
H009,H_BlackEyedPeas_WhereIs,3,33,1,Where Is The Love,Black Eyed Peas,NA,2003,Hip Hop,NA,,3.73,3.97,23.57,24.06,4.24,18.32,5.87,10.21,4.68,18.01,22.35,29.50,26.19,11.25,,0.16,0.12,0.02,0.14,0.04,0.11,0.03,0.13,0.18,0.10,0.16,0.06,,0.78,0.78,0.75,0.75,0.85,0.90
