"code","song_code","artist","title","year","genre","subgenre","tempo (BPM)","key","energetics","instrumentation_groups","instrumentation","language","explicit_new","lyrics timeframe","timestamp_start","timestamp_end","duration_sec","url_excerpt"
"H_2Pac_AllEyez","H015","2Pac","All Eyez On Me","1996","Hip-Hop/Rap","Gangsta Rap","93",NA,"mittel","instrumental + vocal",NA,"en","yes","One nigga's gettin' jealous and motherfuckers died. Depend on me like the first and fifteenth. They might hold me for a second, but these punks won't get me. We got foe niggas and low riders in ski masks. Screamin', ""Thug Life"" every time they pass, all eyes on me. Live the life of a thug nigga until the day I die. Live the life of a boss player (All eyes on me) 'cause even gettin' high. All eyes on me. Live the life of a thug nigga until the day I die. Live the life of a boss player 'cause even gettin' high","00:01:06","00:01:40",34,"https://www.youtube.com/embed/05PCmqjIeNE?start=66&end=100&autoplay=1"
"H_2Pac_KeepYaH","H060","2Pac","Keep Ya Head Up","1993","Hip-Hop/Rap","Gangsta Rap","86",NA,"niedrig-mittel","instrumental + vocal",NA,"en",NA,"Keep ya head up, ooh, child, things are gonna get easier. Keep ya head up, ooh, child, things'll get brighter. Keep ya head up, ooh, child, things are gonna get easier. Keep ya head up, ooh, child, things'll get brighter. Aiyyo, I remember Marvin Gaye, used to sing to me. He had me feelin' like black was tha thing to be. And suddenly tha ghetto didn't seem so tough. And though we had it rough, we always had enough. I huffed and puffed about my curfew and broke the rules. Ran with the local crew, and had a smoke or two","00:01:22","00:02:03",41,"https://www.youtube.com/embed/sPS54-fIpVs?start=82&end=123&autoplay=1"
"H_50Cent_CandySh","H059","50 Cent ft. Olivia","Candy Shop","2005","Hip-Hop/Rap","gangsta Rap","98",NA,"mittel-schnell","instrumental + vocal",NA,"en",NA,"Welcome to the candy shop. Yeah. Uh-huh. So seductive. I'll take you to the candy shop. I'll let you lick the lollipop. Go 'head girl don't you stop. Keep going 'til you hit the spot, whoa. I'll take you to the candy shop (yeah). Boy, one taste of what I got (uh-huh). I'll have you spending all you got (come on). Keep going 'til you hit the spot, whoa. You could have it your way, how do you want it? You gon' back that thing up, or should I push up on it? Temperature rising, okay, let's go to the next level. Dance floor jam-packed, hot as a tea kettle. I break it down for you now, baby it's simple","00:00:25","00:01:13",48,NA
"H_50Cent_InDaClu","H041","50 Cent","In Da Club","2003","Hip-Hop/Rap","Gangsta Rap","90",NA,"mittel-hoch","instrumental + vocal",NA,"en","yes","Go, go, go, go, go, go, Go, shorty. It's your birthday. We gon' party like it's your birthday. We gon' sip Bacardi like it's your birthday. And you know we don't give a fuck it's not your birthday, You can find me in the club, bottle full of bub. Mama I got what you need, if you nedd to feel the buz. I'm into havin' sex, I ain't into makin' love. So come give me a hug, if you into getting rubbed. You can find me in the club, bottle full of bub. Mama I got what you need, if you nedd to feel the buz. I'm into havin' sex, I ain't into makin' love","00:00:40","00:01:18",38,"https://www.youtube.com/embed/5qm8PH4xAss?start=40&end=78&autoplay=1"
"H_ActionBronson_ActinCr","H047","Action Bronson","Actin Crazy","2015","Hip-Hop/Rap","Hip-Hop/Rap","166 Halftime",NA,"mittel-hoch","instrumental + vocal",NA,"en","yes","Ma, you know I'm still your little baby. All my life I was a fuck-up, now I pull the truck up. Same bitch stuck up, now she wanna suck us. See me hangin' out the window, screamin', ""What, what?!"". No more tough luck, a different cloth is what I'm cut from. Baby, oh, my lord. The cops chasin' Bronson in an all-white Ford. Shit, I'm on that all-night tour. Bitch, I'm alright, but I'm off that raw. I'm in a robe dancin' salsa on the top floor. You would swear I'm Puerto Rican, but I'm not, lord. Hot hoes every city that we go, singin'. ""Heads high, kill 'em with it now!"". Uh, all I do is eat oysters. And speak six languages in three voices. It's Adriatic","00:00:15","00:01:12",57,"https://www.youtube.com/embed/debIyWS6Byc?start=15&end=72&autoplay=1"
"H_AedFX_Warning","H901","AedFX","Warning","2016","Hip-Hop/Rap","Instrumental Hip-Hop","130",NA,"0.66","instrumental",NA,NA,NA,NA,NA,NA,NA,NA
"H_AkuaNaru_Poetry","H042","Akua Naru","Poetry: How Does It Feel Now","2011","Hip-Hop/Rap","Jazz","73",NA,"niedrig-mittel","instrumental + vocal",NA,"en",NA,"Play, make believe, as my tears, poor chest, Won't succeed to breathe, if not to hear of you. Surely there has never been a shade so blue. A stank attitude, so not mad at you. Not a magnitude to encompass the latitude Of my love for you. No space and time compatible. What do I have to do? What do I have to do? Uh.my friends say I got it bad for you. I do. But there's nothing in this world","00:00:59","00:01:34",35,NA
"H_ASAPRocky_Fashion","H078","A$AP Rocky","Fashion Killa","2013","Hip-Hop/Rap","Trap","140",NA,"niedrig","instrumental + vocal",NA,"en","yes","I said her pistol go (Bang-bang, boom-boom, pop-pop). Her pistol go (Bang-bang, boom-boom, pop-pop). I said her pistol go (Bang-bang, boom-boom, pop-pop). 'Cause she a fashion killa, and I'm a jiggy nigga, uh. I said, rockin', rollin', swaggin' to the max. My bitch a fashion killa, she be busy poppin' tags. She got a lotta Prada, that Dolce and Gabbana. I can't forget Escada, and that Balenciaga. I'm sippin' purple syrup, come be my Aunt Jemima. And if you is a rider, we'll go shopping like mañana. Her attitude Rihanna","00:00:51","00:01:28",37,"https://www.youtube.com/embed/F6VfsJ7LAlE?start=51&end=88&autoplay=1"
"H_BBou_Kanona","H029","BBou","Kanona","2012","Hip-Hop/Rap","Hip-Hop/Rap","81",NA,"mittel","instrumental",NA,NA,NA,NA,"00:00:22","00:01:11",49,"https://www.youtube.com/embed/8aJCXj0-h4s?start=22&end=71&autoplay=1"
"H_BeastieBoys_FightFo","H046","Beastie Boys","Fight For Your Right","1986","Hip-Hop/Rap","Rock","134",NA,"hoch","instrumental + vocal",NA,"en",NA,"I'll kick you out of my home if you don't cut that hair. Your mom busted in and said, what's that noise? Aw, mom you're just jealous it's the Beastie Boys. You gotta fight for your right to party. You gotta fight","00:02:38","00:03:16",38,"https://www.youtube.com/embed/eBShN8qT4lk?start=158&end=196&autoplay=1"
"H_Beginner_Füchse","H024","Beginner feat. Samy Deluxe","Füchse","1998","Hip-Hop/Rap",NA,"85",NA,"niedrig","instrumental + vocal",NA,"de",NA,"Ich hau' ab aus meinem Bau. Verschließ' die Tür, ziehe durchs Revier. Markier' hier und da mal, dass ich da war. Höre Gelaber, schleiche gerade über die Promenade. Zeuge einer großen Maskerade. Große Buchstaben, grelle Farben, die mir sagen, dass sie Kabelfernsehen haben. Gestiken von Gerngesehenden, aber jeder Fuchs weiß. Dass ähnliche Garderobe heute leider nicht mehr Schutz heißt. Deshalb schnupper' ich, was befindet sich da darunter. Immer auf der Hut - wie Udo - und darunter. Jede Nacht, jeden Tag auf der Jagd, denn das Rudel tollt","00:00:37","00:01:13",36,NA
